date,equity
2023-05-24,999200.0000000001
2023-05-25,1006966.5366697208
2023-05-26,1031718.8967487126
2023-05-30,1064956.3079828722
2023-05-31,1079951.1428860081
2023-06-01,1072543.8276368664
2023-06-02,1066377.4418314055
2023-06-05,1082884.829583495
2023-06-06,1061660.7390604052
2023-06-07,1018401.8088880001
2023-06-08,1046744.4820909712
2023-06-09,1046709.0702812285
2023-06-12,1070117.9447654523
2023-06-13,1086600.2530613714
2023-06-14,1083571.0002779595
2023-06-15,1105330.4109432637
2023-06-16,1103571.0627288946
2023-06-20,1083707.5909866374
2023-06-21,1040509.467350097
2023-06-22,1032617.2334331955
2023-06-23,1020048.1470188181
2023-06-26,1028949.4179525814
2023-06-27,1088712.1310532424
2023-06-28,1097396.9999182618
2023-06-29,1083459.0985687776
2023-06-30,1097217.414383489
2023-07-03,1112612.9042228286
2023-07-05,1108391.2666483165
2023-07-06,1089950.5369921674
2023-07-07,1092193.3928847478
2023-07-10,1101175.2519582864
2023-07-11,1119090.1918101115
2023-07-12,1128431.7248024107
2023-07-13,1158932.7444057527
2023-07-14,1150056.0912751819
2023-07-17,1174201.2992932594
2023-07-18,1193218.5978780529
2023-07-19,1185800.2392820923
2023-07-20,1125712.9739525379
2023-07-21,1125604.8557686186
2023-07-24,1138561.5086062204
2023-07-25,1139459.46451824
2023-07-26,1128819.3429022373
2023-07-27,1118001.0267296496
2023-07-28,1149811.917792735
2023-07-31,1165694.4352354768
2023-08-01,1162475.284029883
2023-08-02,1130660.9609309682
2023-08-03,1112274.2628318863
2023-08-04,1104659.1214594026
2023-08-07,1094125.9623701419
2023-08-08,1101516.5013477388
2023-08-09,1076022.7395596649
2023-08-10,1176611.2027414476
2023-08-11,1207644.3573463168
2023-08-14,1227197.4893049027
2023-08-15,1208429.2274583047
2023-08-16,1193096.154158634
2023-08-17,1145330.9987406116
2023-08-18,1133541.9749997754
2023-08-21,1158137.8616337944
2023-08-22,1160597.829236874
2023-08-23,1191507.4204203852
2023-08-24,1168269.1593202683
2023-08-25,1173690.6991285507
2023-08-28,1199017.7590825688
2023-08-29,1249935.7023896365
2023-08-30,1265250.1005217338
2023-08-31,1252823.0249771143
2023-09-01,1253709.1510742104
2023-09-05,1222430.4045470401
2023-09-06,1223504.2682572738
2023-09-07,1161536.5425772974
2023-09-08,1163861.1054213427
2023-09-11,1168899.8092507254
2023-09-12,1159088.3247630496
2023-09-13,1151759.5921726408
2023-09-14,1177260.3647003882
2023-09-15,1178132.7538337852
2023-09-18,1193801.6611449604
2023-09-19,1150063.9885301262
2023-09-20,1134829.100823326
2023-09-21,1115830.4555719385
2023-09-22,1127027.1218466675
2023-09-25,1126136.5081754744
2023-09-26,1112888.788666106
2023-09-27,1131556.7118155526
2023-09-28,1143717.8463537756
2023-09-29,1157288.227788764
2023-10-02,1172208.407617406
2023-10-03,1134453.8353985383
2023-10-04,1167117.0845988095
2023-10-05,1161751.5258201899
2023-10-06,1216084.9518744568
2023-10-09,1232740.6533500822
2023-10-10,1256388.1874905261
2023-10-11,1260293.9462917426
2023-10-12,1235613.2421279578
2023-10-13,1215246.5821591893
2023-10-16,1225509.6400522536
2023-10-17,1225305.43897056
2023-10-18,1203673.9699764594
2023-10-19,1160406.8833388546
2023-10-20,1125993.8373223364
2023-10-23,1132372.3220981585
2023-10-24,1161177.6769901016
2023-10-25,1134011.8250412047
2023-10-26,1116717.4080246422
2023-10-27,1121275.2368122982
2023-10-30,1095977.536783542
2023-10-31,1094812.8465149573
2023-11-01,1102094.8593724244
2023-11-02,1128720.1499513793
2023-11-03,1158470.7290369181
2023-11-06,1162892.6861630685
2023-11-07,1194399.920347058
2023-11-08,1199250.3057667203
2023-11-09,1205071.6192884094
2023-11-10,1232076.1378638947
2023-11-13,1238637.030254463
2023-11-14,1237970.9497520926
2023-11-15,1264969.0192457936
2023-11-16,1245492.2820969753
2023-11-17,1256345.0671525854
2023-11-20,1289863.8653100072
2023-11-21,1273945.1767560705
2023-11-22,1288392.5020346432
2023-11-24,1305712.8233441513
2023-11-27,1279567.3771139898
2023-11-28,1369341.4509631912
2023-11-29,1425705.1234127504
2023-11-30,1443779.53624211
2023-12-01,1455703.272838483
2023-12-04,1464205.2327491804
2023-12-05,1487400.72124172
2023-12-06,1451415.6493821507
2023-12-07,1464554.1717467075
2023-12-08,1491136.3257087735
2023-12-11,1463713.176043212
2023-12-12,1464647.0082989438
2023-12-13,1497673.433808404
2023-12-14,1515991.2077064998
2023-12-15,1501033.7856620555
2023-12-18,1508378.6054007225
2023-12-19,1518914.0890020006
2023-12-20,1492070.1678003515
2023-12-21,1504873.7240996393
2023-12-22,1541020.1263622236
2023-12-26,1532307.4529739497
2023-12-27,1598862.5253407587
2023-12-28,1598592.7897106423
2023-12-29,1554296.5499870358
2024-01-02,1562675.363199421
2024-01-03,1525718.4571286754
2024-01-04,1543854.40564095
2024-01-05,1510562.3937108463
2024-01-08,1532852.8039227498
2024-01-09,1520310.5801784184
2024-01-10,1498449.9908904808
2024-01-11,1476102.0125004104
2024-01-12,1429626.8841825535
2024-01-16,1395961.8027298632
2024-01-17,1415618.3035112538
2024-01-18,1438922.1996701562
