date,equity
2023-05-24,999280.0
2023-05-25,1025356.7466714511
2023-05-26,1033095.25276853
2023-05-30,1020237.0956786706
2023-05-31,1024052.2668763881
2023-06-01,1027107.6113662145
2023-06-02,1030874.5701295513
2023-06-05,1042176.6559618543
2023-06-06,1043598.3910761724
2023-06-07,1034731.1041322984
2023-06-08,1053332.5026272347
2023-06-09,1059745.6810039356
2023-06-12,1065035.6264579706
2023-06-13,1071540.2045161454
2023-06-14,1072768.1611805037
2023-06-15,1072697.9232456998
2023-06-16,1074002.8623721378
2023-06-20,1063996.2042507364
2023-06-21,1054433.1566488657
2023-06-22,1053772.335877011
2023-06-23,1035753.7166017487
2023-06-26,1035123.4884759705
2023-06-27,1062607.9892382282
2023-06-28,1073735.090787189
2023-06-29,1072962.0015218225
2023-06-30,1082192.950482386
2023-07-03,1083603.8099819422
2023-07-05,1078677.23011111
2023-07-06,1067404.3798278403
2023-07-07,1066383.800223341
2023-07-10,1085888.9382041856
2023-07-11,1082015.8391261715
2023-07-12,1094858.1143702816
2023-07-13,1108985.406774759
2023-07-14,1106696.7453800945
2023-07-17,1120330.4152007208
2023-07-18,1124108.303614572
2023-07-19,1124595.349835336
2023-07-20,1102241.6916505278
2023-07-21,1111373.8187269822
2023-07-24,1115004.156101464
2023-07-25,1120222.5425509382
2023-07-26,1118795.8277577735
2023-07-27,1112906.0024897405
2023-07-28,1135073.4838674034
2023-07-31,1134021.9384901645
2023-08-01,1134828.1995672567
2023-08-02,1122755.4208544982
2023-08-03,1124061.1274488878
2023-08-04,1119783.252612901
2023-08-07,1130654.1929659564
2023-08-08,1120705.2948503424
2023-08-09,1103158.0581680369
2023-08-10,1139755.5736949816
2023-08-11,1129345.9013676222
2023-08-14,1142961.986488707
2023-08-15,1128083.0762211892
2023-08-16,1116332.0928536484
2023-08-17,1104343.73217017
2023-08-18,1104859.0304756013
2023-08-21,1121173.0310173216
2023-08-22,1121813.4596864446
2023-08-23,1128271.1978318908
2023-08-24,1123507.8479936523
2023-08-25,1130944.9656781217
2023-08-28,1134385.3357258139
2023-08-29,1139191.2549312026
2023-08-30,1142114.3645157595
2023-08-31,1138498.3693112382
2023-09-01,1137242.7071598172
2023-09-05,1128981.2540348712
2023-09-06,1129032.2908038655
2023-09-07,1122447.4386212155
2023-09-08,1119919.187255518
2023-09-11,1121630.7886788498
2023-09-12,1112537.917530458
2023-09-13,1113669.3844718544
2023-09-14,1119608.782883945
2023-09-15,1102405.877486844
2023-09-18,1103986.9949297083
2023-09-19,1094234.9999485083
2023-09-20,1077033.994865657
2023-09-21,1051654.1918717439
2023-09-22,1046588.8078914263
2023-09-25,1051175.2864361722
2023-09-26,1045205.4286792879
2023-09-27,1055135.7889986562
2023-09-28,1061611.907694325
2023-09-29,1068944.9320758276
2023-10-02,1061964.5099908714
2023-10-03,1054186.4129085327
2023-10-04,1051448.9015203891
2023-10-05,1053979.847826596
2023-10-06,1064380.279671303
2023-10-09,1073381.6757643598
2023-10-10,1074745.4622634058
2023-10-11,1077247.3110271313
2023-10-12,1070178.0070973763
2023-10-13,1052723.1423552504
2023-10-16,1067604.6421045822
2023-10-17,1072835.885736701
2023-10-18,1066978.4724916255
2023-10-19,1052005.8558991477
2023-10-20,1042638.1205030225
2023-10-23,1034418.403570267
2023-10-24,1046293.5230498438
2023-10-25,1021871.4074582774
2023-10-26,1015152.9112453422
2023-10-27,1015408.6007671455
2023-10-30,1028129.8842929597
2023-10-31,1036243.683963561
2023-11-01,1039813.2425605318
2023-11-02,1064043.9547775201
2023-11-03,1072299.7572412784
2023-11-06,1071870.8373383817
2023-11-07,1072674.1095483687
2023-11-08,1070467.2114261661
2023-11-09,1057146.8642287145
2023-11-10,1073623.0621762734
2023-11-13,1072714.7166810313
2023-11-14,1076056.5086528575
2023-11-15,1081400.0106675534
2023-11-16,1079046.5862799543
2023-11-17,1086952.6491227709
2023-11-20,1097878.83330232
2023-11-21,1092196.4137104354
2023-11-22,1090879.7646265035
2023-11-24,1093056.1198912356
2023-11-27,1089467.5561049979
2023-11-28,1087895.7228438577
2023-11-29,1088475.3440357987
2023-11-30,1085017.4299362577
2023-12-01,1096009.264549068
2023-12-04,1073661.1419036495
2023-12-05,1068806.2030667549
2023-12-06,1057112.625012165
2023-12-07,1082184.1535222142
2023-12-08,1085752.3005240478
2023-12-11,1113250.1963270493
2023-12-12,1114383.7568047973
2023-12-13,1128398.3129596151
2023-12-14,1133349.2350888138
2023-12-15,1135858.0350712964
2023-12-18,1145645.7908140393
2023-12-19,1147681.7110399394
2023-12-20,1133940.949814179
2023-12-21,1142028.2480858397
2023-12-22,1140789.241289136
2023-12-26,1139754.8489043317
2023-12-27,1137296.2474287006
2023-12-28,1137020.841430074
2023-12-29,1130795.4295424423
2024-01-02,1104667.8487034475
2024-01-03,1092174.3763636465
2024-01-04,1083541.4525000216
2024-01-05,1080905.8600688232
2024-01-08,1106740.9118963215
2024-01-09,1102558.739872211
2024-01-10,1098086.5771806368
2024-01-11,1088227.199169403
2024-01-12,1080626.8129657982
2024-01-16,1080879.1992996915
2024-01-17,1078942.616323972
2024-01-18,1087155.758241167
2024-01-19,1102230.7513114319
2024-01-22,1101423.488360101
2024-01-23,1097682.5078172009
2024-01-24,1105174.1886820595
2024-01-25,1108315.082633291
2024-01-26,1114491.7919150682
2024-01-29,1121638.4306165702
2024-01-30,1108648.636950774
2024-01-31,1100194.5027991885
2024-02-01,1102773.7048863824
2024-02-02,1115264.8562130393
2024-02-05,1110847.943190336
2024-02-06,1110486.5046413792
2024-02-07,1106919.914380406
2024-02-08,1107207.707875313
2024-02-09,1108475.8434799109
2024-02-12,1112243.0717289918
2024-02-13,1090625.096054824
2024-02-14,1090826.039097095
2024-02-15,1104584.6734903536
2024-02-16,1092955.4879250561
2024-02-20,1084435.6107645184
2024-02-21,1051443.0072030872
2024-02-22,1080744.9146920654
2024-02-23,1090082.4916318394
2024-02-26,1107642.3896324544
2024-02-27,1107151.4331662515
2024-02-28,1102349.3195382187
2024-02-29,1106946.0662294852
2024-03-01,1121302.8784841113
