date,equity,held
2023-05-24,100000.0,0
2023-05-25,107140.57009518519,1
2023-05-26,115245.32254687698,1
2023-05-30,116859.64603367231,1
2023-05-31,114487.56399564211,1
2023-06-01,118638.7596203532,1
2023-06-02,121307.37794221629,1
2023-06-05,121570.94839734834,1
2023-06-06,121439.16316978232,1
2023-06-07,115245.32254687698,1
2023-06-08,119198.82731569947,1
2023-06-09,120648.45180438618,1
2023-06-12,126809.37865674889,1
2023-06-13,129642.72200579972,1
2023-06-14,132410.19877014667,1
2023-06-15,137055.60852003965,1
2023-06-16,134419.89095417963,1
2023-06-20,133760.99084542863,1
2023-06-21,128400.23692872084,1
2023-06-22,132663.6959716607,1
2023-06-23,128730.75417534012,1
2023-06-26,123640.98900131253,1
2023-06-27,129755.31078751743,1
2023-06-28,130548.52094450872,1
2023-06-29,129656.13999608417,1
2023-06-30,135506.04538208575,1
2023-07-03,136431.43120282982,1
2023-07-05,136332.32548409436,1
2023-07-06,133126.42792565134,1
2023-07-07,131771.3670813943,1
2023-07-10,131870.52485828797,1
2023-07-11,133754.37945933302,1
2023-07-12,138711.9429405287,1
2023-07-13,145619.4228255667,1
2023-07-14,145487.23414727437,1
2023-07-17,149519.37276410733,1
2023-07-18,153088.79244148912,1
2023-07-19,153088.79244148912,1
2023-07-20,142347.43743524735,1
2023-07-21,141091.54738242357,1
2023-07-24,141653.38505514973,1
2023-07-25,144495.69542195613,1
2023-07-26,143008.45891394632,1
2023-07-27,141785.59976252113,1
2023-07-28,149453.2589031518,1
2023-07-31,149750.70620475375,1
2023-08-01,148593.94789974453,1
2023-08-02,138877.1885492988,1
2023-08-03,137885.67585305963,1
2023-08-04,135968.7513069973,1
2023-08-07,139339.8814596708,1
2023-08-08,135770.4357532099,1
2023-08-09,131242.57332460626,1
2023-08-10,131837.48094234974,1
2023-08-11,129193.46010025161,1
2023-08-14,133490.00210274832,1
2023-08-15,129391.76263949946,1
2023-08-16,125095.2076224632,1
2023-08-17,120864.77948092198,1
2023-08-18,120302.95482273537,1
2023-08-21,126119.77724918007,1
2023-08-22,125557.91354737477,1
2023-08-23,131473.90676525276,1
2023-08-24,122814.74794292249,1
2023-08-25,125723.18518522396,1
2023-08-28,128532.46465063175,1
2023-08-29,136728.89151897127,1
2023-08-30,139009.35119851195,1
2023-08-31,140265.28029495443,1
2023-09-01,139769.5174395651,1
2023-09-05,140133.10463120168,1
2023-09-06,136431.43120282976,1
2023-09-07,133456.91914319145,1
2023-09-08,133853.55025076625,1
2023-09-11,138414.49563892672,1
2023-09-12,133985.75194359812,1
2023-09-13,135307.76887191698,1
2023-09-14,138480.57045626355,1
2023-09-15,131374.74898835903,1
2023-09-18,131672.20930450057,1
2023-09-19,130878.99914750924,1
2023-09-20,125204.19137672328,1
2023-09-21,118073.34294924843,1
2023-09-22,118172.83910417065,1
2023-09-25,119731.7076379086,1
2023-09-26,114391.8680862708,1
2023-09-27,115088.34117072621,1
2023-09-28,117874.36365394355,1
2023-09-29,118139.69107191594,1
2023-10-02,120958.86158738792,1
2023-10-03,114557.72537840008,1
2023-10-04,119201.00074380553,1
2023-10-05,117940.69876207152,1
2023-10-06,123877.502228703,1
2023-10-09,125701.69818041337,1
2023-10-10,127758.02145968327,1
