date,equity
2023-05-24,999200.0
2023-05-25,1006037.1312067315
2023-05-26,1021932.8141306732
2023-05-30,1022756.7878818859
2023-05-31,1018237.6693394724
2023-06-01,1029617.5541198951
2023-06-02,1033663.9102074503
2023-06-05,1035143.9431167669
2023-06-06,1039176.4619160827
2023-06-07,1027547.9907914256
2023-06-08,1038864.0857415423
2023-06-09,1040924.797523984
2023-06-12,1054013.9531692413
2023-06-13,1057445.5254988596
2023-06-14,1060564.2578202435
2023-06-15,1071765.8357308349
2023-06-16,1066514.7580240003
2023-06-20,1062868.4662074181
2023-06-21,1052556.6781596146
2023-06-22,1057801.733382906
2023-06-23,1051776.0179539223
2023-06-26,1044146.1012365363
2023-06-27,1058407.5681042674
2023-06-28,1060284.41460918
2023-06-29,1059356.3848782487
2023-06-30,1071480.0794692584
2023-07-03,1075099.2931106514
2023-07-05,1074156.3807245332
2023-07-06,1064964.4670755034
2023-07-07,1063784.7063425034
2023-07-10,1068378.2525665767
2023-07-11,1079007.6123424293
2023-07-12,1087257.431807209
2023-07-13,1097696.146752096
2023-07-14,1094560.2969845873
2023-07-17,1099197.135146452
2023-07-18,1106876.4135647828
2023-07-19,1107806.014452759
2023-07-20,1088517.696599871
2023-07-21,1084420.5879643937
2023-07-24,1087773.7354428575
2023-07-25,1090792.5061499132
2023-07-26,1093180.3689219174
2023-07-27,1089531.2432563216
2023-07-28,1104921.154426168
2023-07-31,1107658.7191612953
2023-08-01,1105485.0354092182
2023-08-02,1085607.218418251
2023-08-03,1082746.7057080916
2023-08-04,1080803.3142526087
2023-08-07,1091880.56956278
2023-08-08,1085606.000084194
2023-08-09,1075833.7912171527
2023-08-10,1076701.077727874
2023-08-11,1073011.3886574316
2023-08-14,1080034.1037570036
2023-08-15,1067835.3492101235
2023-08-16,1057297.824499687
2023-08-17,1045028.9362072309
2023-08-18,1043750.5797431676
2023-08-21,1053198.8069955464
2023-08-22,1052667.2827631007
2023-08-23,1066462.774975741
2023-08-24,1046744.874017312
2023-08-25,1054805.8470851132
2023-08-28,1063392.0832006207
2023-08-29,1083272.360527327
2023-08-30,1087736.5642526639
2023-08-31,1088963.2112255974
2023-09-01,1086575.420411175
2023-09-05,1089136.1966191512
2023-09-06,1083103.0211235997
2023-09-07,1079198.1891473539
2023-09-08,1083198.9056033252
2023-09-11,1092325.1410528356
2023-09-12,1088485.962946724
2023-09-13,1090121.8918447637
2023-09-14,1101798.5853430135
2023-09-15,1084176.1293803474
2023-09-18,1084965.722367374
2023-09-19,1081071.0477192912
2023-09-20,1067964.483664689
2023-09-21,1049651.868805876
2023-09-22,1047753.365196618
2023-09-25,1054189.7264293516
2023-09-26,1040333.227091185
2023-09-27,1047189.1967608994
2023-09-28,1055031.3910144125
2023-09-29,1050146.9810231414
2023-10-02,1049618.1270221558
2023-10-03,1035070.0241844575
2023-10-04,1037562.5429174294
2023-10-05,1034680.4456958587
2023-10-06,1047715.5151725333
2023-10-09,1060701.9046353179
2023-10-10,1065855.1188923162
2023-10-11,1068372.415867826
2023-10-12,1062805.2336969448
2023-10-13,1057762.7337341143
2023-10-16,1070581.6482768985
2023-10-17,1073687.1037134498
2023-10-18,1062513.3668763216
2023-10-19,1053660.809192757
2023-10-20,1038277.6275516589
2023-10-23,1035937.4632406508
2023-10-24,1039801.074931567
2023-10-25,1019551.0061976943
2023-10-26,1003167.015404144
2023-10-27,1000089.6851286736
2023-10-30,1011054.3661073741
2023-10-31,1016888.5508555801
2023-11-01,1027938.107912858
2023-11-02,1043551.2753080123
2023-11-03,1047601.0281221585
2023-11-06,1045698.1754415369
2023-11-07,1044323.0627752964
2023-11-08,1041445.2501473741
2023-11-09,1039490.6436654293
2023-11-10,1053485.3740689794
2023-11-13,1053126.5802285203
2023-11-14,1065256.4021786777
2023-11-15,1066513.032566102
2023-11-16,1064247.8886223964
2023-11-17,1068943.0300467496
2023-11-20,1076472.384118261
2023-11-21,1072736.5085707777
2023-11-22,1076258.9263730068
2023-11-24,1075852.6970994275
2023-11-27,1073235.8844910753
2023-11-28,1074556.191409823
2023-11-29,1070897.9914529747
2023-11-30,1071514.3988614457
2023-12-01,1073439.6700531498
2023-12-04,1061380.1828733063
2023-12-05,1059413.4192004427
2023-12-06,1056093.4182001473
2023-12-07,1066532.3830239912
2023-12-08,1067986.38178933
2023-12-11,1067036.965563878
2023-12-12,1071749.9550482472
2023-12-13,1086871.2886599768
2023-12-14,1091667.0790430335
2023-12-15,1088312.1079251403
2023-12-18,1094620.7117208277
2023-12-19,1102369.2161255388
2023-12-20,1089553.8955601996
2023-12-21,1099922.3311654846
2023-12-22,1102094.9337078994
2023-12-26,1107480.101633205
2023-12-27,1109616.1153985835
2023-12-28,1109974.0361525437
2023-12-29,1106109.4389442708
2024-01-02,1096903.5201155758
2024-01-03,1077946.5574651095
2024-01-04,1075844.001744615
2024-01-05,1075606.5792228407
2024-01-08,1092568.0481389696
2024-01-09,1086941.2604781776
2024-01-10,1090293.3215810014
