date,equity
2023-05-24,999200.0000000001
2023-05-25,996687.1775788005
2023-05-26,1000574.8779451711
2023-05-30,1005624.4597457038
2023-05-31,1009673.7399723077
2023-06-01,1009131.799826198
2023-06-02,996922.9098941938
2023-06-05,998838.1150039197
2023-06-06,1000192.5882363988
2023-06-07,991112.7787984163
2023-06-08,1000293.2922173843
2023-06-09,999585.6751943557
2023-06-12,1002320.0548616746
2023-06-13,996461.65265476
2023-06-14,999827.2893985198
2023-06-15,998452.5694221803
2023-06-16,994262.6548121728
2023-06-20,992921.054507537
2023-06-21,989703.3005844611
2023-06-22,986352.2432497586
2023-06-23,986805.617385925
2023-06-26,986007.5938808362
2023-06-27,987721.0861925273
2023-06-28,988406.075612115
2023-06-29,984218.7417808825
2023-06-30,990382.7313874839
2023-07-03,990395.2336997059
2023-07-05,993740.1343507598
2023-07-06,998514.7119252941
2023-07-07,996636.081700009
2023-07-10,993925.2867244288
2023-07-11,994902.979491804
2023-07-12,984046.3737248873
2023-07-13,976582.7817701319
2023-07-14,980547.3184062209
2023-07-17,979636.860674597
2023-07-18,978278.6941540971
2023-07-19,973849.998194813
2023-07-20,977804.2334860602
2023-07-21,980305.4221887639
2023-07-24,981846.1357257756
2023-07-25,982755.0477258667
2023-07-26,982283.61957751
2023-07-27,989626.7915905936
2023-07-28,987781.2042422228
2023-07-31,989545.0396371909
2023-08-01,993776.4268237678
2023-08-02,985135.6941417896
2023-08-03,994789.7786237253
2023-08-04,989020.5174908843
2023-08-07,989675.2605835448
2023-08-08,986554.1525794305
2023-08-09,991110.4398032685
2023-08-10,991426.1159102865
2023-08-11,996203.1441970973
2023-08-14,997121.1206025798
2023-08-15,996484.491155389
2023-08-16,993952.1750845285
2023-08-17,996087.1639825408
2023-08-18,997035.174471742
2023-08-21,998299.178159964
2023-08-22,997729.2508288568
2023-08-23,984676.1433205192
2023-08-24,988387.9693535464
2023-08-25,997628.0914104271
2023-08-28,995044.3313741297
2023-08-29,994433.1716394331
2023-08-30,991506.7585189859
2023-08-31,992155.3678666702
2023-09-01,1002008.7032168107
2023-09-05,1010981.940893977
2023-09-06,1012009.06416488
2023-09-07,1012248.6066336962
2023-09-08,1015073.148188293
2023-09-11,1016435.7677311299
2023-09-12,1018432.0959262722
2023-09-13,1018779.3381885402
2023-09-14,1024732.869842988
2023-09-15,1023058.9206064926
2023-09-18,1024051.5440121188
2023-09-19,1025294.5857975746
2023-09-20,1020602.4668514095
2023-09-21,1022523.1321862962
2023-09-22,1021788.4051675762
2023-09-25,1022674.8605966386
2023-09-26,1023455.4307086107
2023-09-27,1029604.2767721117
2023-09-28,1026936.5474049672
2023-09-29,1022901.765660122
2023-10-02,1024027.0393212993
2023-10-03,1026892.0479922176
2023-10-04,1014097.6725987177
2023-10-05,1004394.7364776327
2023-10-06,1006688.8596467413
2023-10-09,1000171.4074406626
2023-10-10,999329.9396377846
2023-10-11,993037.02676955
2023-10-12,1003127.8952411076
2023-10-13,999351.5985170876
2023-10-16,1003570.8347447845
2023-10-17,1014483.6868329614
2023-10-18,1016033.3078621613
2023-10-19,1018971.7927832078
2023-10-20,1014699.419829644
2023-10-23,1006228.6550878414
2023-10-24,1003262.7146337292
2023-10-25,1012711.7732711112
2023-10-26,1003403.7335470631
2023-10-27,1005685.8717733703
2023-10-30,1002192.506550002
2023-10-31,1003271.0820603084
2023-11-01,1000042.4354289323
2023-11-02,995926.6741569324
2023-11-03,987476.6869403955
2023-11-06,990951.1089888271
2023-11-07,991875.9966680496
2023-11-08,991438.1829235705
2023-11-09,999430.8711900343
2023-11-10,998925.9526795049
2023-11-13,997768.8009419588
2023-11-14,970605.966624972
2023-11-15,977290.3854467191
2023-11-16,976580.7442667431
2023-11-17,973358.9115170222
2023-11-20,971556.4384306238
2023-11-21,972131.7901172945
2023-11-22,977311.7505118093
2023-11-24,977904.0712294586
2023-11-27,974504.7920726447
2023-11-28,965011.1319005312
2023-11-29,959573.6519381576
2023-11-30,965773.4082164061
2023-12-01,956924.59217713
