symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
NXPI,2016-05-24,91.58,4.3678,2016-06-24,80.07,-50.27,-12.57,22
AMD,2016-05-24,4.2,95.2381,2016-09-09,5.9,161.9,40.48,75
AXON,2016-07-01,24.89,16.5365,2016-10-03,24.29,-9.92,-2.41,64
MELI,2016-05-24,134.6,2.9718,2016-11-10,162.81,83.83,20.96,119
STX,2016-09-12,36.55,13.0606,2017-01-12,36.75,2.61,0.55,85
NXPI,2016-10-03,102.76,4.8266,2017-01-23,96.0,-32.63,-6.58,76
NVDA,2016-05-24,1.134,352.7337,2017-04-04,2.5195,488.71,122.18,217
ADP,2017-01-12,103.8,5.2534,2017-05-03,97.51,-33.04,-6.06,76
CSX,2016-11-10,11.51,40.7401,2017-07-24,16.94,221.22,47.18,174
LITE,2017-07-24,67.95,9.9274,2017-08-10,53.05,-147.92,-21.93,13
XEL,2017-08-10,48.64,12.7583,2017-09-22,47.41,-15.69,-2.53,30
TSLA,2017-01-23,16.5947,34.036,2017-09-26,23.0167,218.58,38.7,171
VRTX,2017-04-04,112.29,5.206,2017-10-26,143.76,163.83,28.03,143
LRCX,2017-05-03,15.008,40.1198,2017-12-04,18.074,123.01,20.43,149
KLAC,2017-10-26,108.85,6.2173,2018-02-05,101.2,-47.56,-7.03,68
PYPL,2017-09-22,65.08,9.8341,2018-02-08,72.32,71.2,11.12,95
ROST,2017-12-04,78.01,8.4246,2018-03-22,75.04,-25.02,-3.81,74
LITE,2018-02-09,57.2,11.5638,2018-04-16,58.475,14.74,2.23,44
ODFL,2017-09-26,35.85,17.4101,2018-04-26,44.31,147.29,23.6,146
KDP,2018-04-16,121.04,5.9428,2018-07-10,22.19,-587.44,-81.67,59
BKR,2018-04-26,35.98,19.4418,2018-07-16,32.33,-70.96,-10.14,55
AXON,2018-07-16,69.02,9.456,2018-08-08,59.78,-87.37,-13.39,17
AMD,2018-08-08,19.58,36.0957,2018-10-10,25.0,195.64,27.68,44
FTNT,2018-02-06,9.308,73.2571,2018-11-02,14.512,381.23,55.91,188
DXCM,2018-03-23,17.2,41.5954,2018-11-19,30.3275,546.04,76.32,167
WMT,2018-11-07,34.7733,23.4226,2018-11-20,31.3867,-79.32,-9.74,9
CCEP,2018-11-07,47.26,17.2341,2019-01-02,44.94,-39.98,-4.91,36
PANW,2019-02-15,37.795,19.8006,2019-05-15,36.625,-23.17,-3.1,61
INSM,2019-02-15,27.07,27.6455,2019-05-21,26.41,-18.25,-2.44,65
WDAY,2019-02-15,190.79,3.9225,2019-07-31,199.98,36.05,4.82,114
TRI,2019-05-15,67.2378,11.6651,2019-09-27,68.8474,18.78,2.39,94
SBUX,2018-10-16,57.81,13.7059,2019-10-01,86.51,393.36,49.65,240
DXCM,2019-07-31,39.2175,21.2607,2019-10-22,37.7225,-31.78,-3.81,58
COST,2019-05-21,249.93,3.088,2020-01-02,291.49,128.34,16.63,156
