date,action,symbol,price,shares,value
2016-05-24,BUY,AMD,4.2,95.2381,400.0
2016-05-24,BUY,NVDA,1.134,352.7337,400.0
2016-05-24,BUY,MELI,134.6,2.9718,400.0
2016-05-24,BUY,NXPI,91.58,4.3678,400.0
2016-06-24,SELL,NXPI,80.07,4.3678,349.73
2016-07-01,BUY,AXON,24.89,16.5365,411.59
2016-09-09,SELL,AMD,5.9,95.2381,561.9
2016-09-12,BUY,STX,36.55,13.0606,477.37
2016-10-03,SELL,AXON,24.29,16.5365,401.67
2016-10-03,BUY,NXPI,102.76,4.8266,495.98
2016-11-10,SELL,MELI,162.81,2.9718,483.83
2016-11-10,BUY,CSX,11.51,40.7401,468.92
2017-01-12,SELL,STX,36.75,13.0606,479.98
2017-01-12,BUY,ADP,103.8,5.2534,545.3
2017-01-23,SELL,NXPI,96.0,4.8266,463.36
2017-01-23,BUY,TSLA,16.5947,34.036,564.82
2017-04-04,SELL,NVDA,2.5195,352.7337,888.71
2017-04-04,BUY,VRTX,112.29,5.206,584.58
2017-05-03,SELL,ADP,97.51,5.2534,512.26
2017-05-03,BUY,LRCX,15.008,40.1198,602.12
2017-07-24,SELL,CSX,16.94,40.7401,690.14
2017-07-24,BUY,LITE,67.95,9.9274,674.57
2017-08-10,SELL,LITE,53.05,9.9274,526.65
2017-08-10,BUY,XEL,48.64,12.7583,620.57
2017-09-22,SELL,XEL,47.41,12.7583,604.87
2017-09-22,BUY,PYPL,65.08,9.8341,640.0
2017-09-26,SELL,TSLA,23.0167,34.036,783.39
2017-09-26,BUY,ODFL,35.85,17.4101,624.15
2017-10-26,SELL,VRTX,143.76,5.206,748.42
2017-10-26,BUY,KLAC,108.85,6.2173,676.76
2017-12-04,SELL,LRCX,18.074,40.1198,725.13
2017-12-04,BUY,ROST,78.01,8.4246,657.2
2018-02-05,SELL,KLAC,101.2,6.2173,629.2
2018-02-06,BUY,FTNT,9.308,73.2571,681.88
2018-02-08,SELL,PYPL,72.32,9.8341,711.2
2018-02-09,BUY,LITE,57.2,11.5638,661.45
2018-03-22,SELL,ROST,75.04,8.4246,632.18
2018-03-23,BUY,DXCM,17.2,41.5954,715.44
2018-04-16,SELL,LITE,58.475,11.5638,676.19
2018-04-16,BUY,KDP,121.04,5.9428,719.31
2018-04-26,SELL,ODFL,44.31,17.4101,771.44
2018-04-26,BUY,BKR,35.98,19.4418,699.52
2018-07-10,SELL,KDP,22.19,5.9428,131.87
2018-07-16,SELL,BKR,32.33,19.4418,628.55
2018-07-16,BUY,AXON,69.02,9.456,652.65
2018-08-08,SELL,AXON,59.78,9.456,565.28
2018-08-08,BUY,AMD,19.58,36.0957,706.75
2018-10-10,SELL,AMD,25.0,36.0957,902.39
2018-10-16,BUY,SBUX,57.81,13.7059,792.34
