symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
AXON,2016-05-24,21.86,34.3092,2016-06-01,22.32,15.78,2.1,5
AMD,2016-05-24,4.2,3.3247,2016-06-01,4.43,0.76,5.48,5
AMAT,2016-06-01,24.38,31.8434,2016-07-01,23.89,-15.6,-2.01,22
AMD,2016-05-24,4.2,16.0194,2016-07-01,5.07,13.94,20.71,27
AMD,2016-05-24,4.2,9.468,2016-08-01,6.64,23.1,58.1,47
AXON,2016-07-01,24.89,34.1016,2016-09-01,26.85,66.84,7.87,43
AMD,2016-05-24,4.2,8.1178,2016-09-01,7.35,25.57,75.0,70
NVDA,2016-05-24,1.134,41.7236,2016-09-01,1.5788,18.56,39.22,70
SHOP,2016-09-01,4.067,255.9787,2016-10-03,4.303,60.41,5.8,21
NVDA,2016-05-24,1.134,33.6321,2016-10-03,1.7112,19.41,50.9,91
LITE,2016-10-03,41.45,25.8356,2016-11-01,35.8,-145.97,-13.63,21
AMD,2016-05-24,4.2,8.537,2016-11-01,7.09,24.67,68.81,112
NVDA,2016-05-24,1.134,28.0041,2016-11-01,1.7263,16.59,52.23,112
MU,2016-11-01,16.98,60.7733,2016-12-01,18.48,91.16,8.83,21
AMD,2016-05-24,4.2,0.4408,2016-12-01,8.39,1.85,99.76,133
NVDA,2016-05-24,1.134,42.1306,2016-12-01,2.191,44.53,93.21,133
ODFL,2016-12-01,29.7867,40.8721,2017-01-03,28.9267,-35.15,-2.89,21
AMD,2016-05-24,4.2,20.9894,2017-01-03,11.43,151.75,172.14,154
MU,2017-01-03,22.55,62.9117,2017-02-01,24.75,138.41,9.76,20
NVDA,2016-05-24,1.134,13.7809,2017-02-01,2.8488,23.63,151.21,174
AMD,2016-05-24,4.2,18.44,2017-03-01,14.96,198.41,256.19,193
NVDA,2016-05-24,1.134,542.5016,2017-03-01,2.5698,778.9,126.61,193
SHOP,2017-03-01,5.965,31.3926,2017-04-03,6.923,30.07,16.06,23
CSX,2017-02-01,15.6967,100.0538,2017-04-03,15.5333,-16.34,-1.04,42
TSLA,2017-04-03,19.9013,84.7918,2017-05-01,21.522,137.42,8.14,19
SHOP,2017-03-01,5.965,16.1551,2017-05-01,7.726,28.45,29.52,42
SHOP,2017-03-01,5.965,35.3723,2017-06-01,9.344,119.52,56.65,64
AMD,2016-05-24,4.2,129.1032,2017-06-01,10.93,868.86,160.24,257
VRTX,2017-05-01,120.62,14.5779,2017-06-01,127.16,95.34,5.42,22
MELI,2017-06-01,280.4,6.4055,2017-07-03,250.68,-190.37,-10.6,22
NVDA,2017-06-01,3.609,497.6758,2017-07-03,3.4832,-62.58,-3.48,22
SHOP,2017-03-01,5.965,12.5464,2017-08-01,10.408,55.74,74.48,106
VRTX,2017-07-03,128.23,12.9627,2017-08-01,153.2,323.68,19.47,20
LITE,2017-08-01,63.7,29.5302,2017-09-01,57.25,-190.47,-10.13,23
SHOP,2017-03-01,5.965,7.789,2017-09-01,11.086,39.89,85.85,129
ALNY,2017-07-03,81.7,1.6161,2017-09-01,88.91,11.65,8.82,43
ALNY,2017-07-03,81.7,3.8729,2017-10-02,122.31,157.28,49.71,63
VRTX,2017-09-01,162.24,11.8174,2017-10-02,152.23,-118.29,-6.17,20
SHOP,2017-03-01,5.965,181.8329,2017-11-01,9.62,664.6,61.27,171
ALNY,2017-07-03,81.7,1.8809,2017-11-01,121.09,74.09,48.21,85
INSM,2017-10-02,31.73,3.9293,2017-12-01,30.98,-2.95,-2.36,43
ALNY,2017-07-03,81.7,0.8224,2017-12-01,137.31,45.73,68.07,106
NVDA,2017-11-01,5.18,369.5882,2017-12-01,4.942,-87.96,-4.59,21
CPRT,2017-12-01,10.7525,191.3966,2018-01-02,10.9,28.23,1.37,20
ALNY,2017-07-03,81.7,14.9879,2018-01-02,131.85,751.64,61.38,126
INSM,2017-10-02,31.73,2.6035,2018-01-02,32.46,1.9,2.3,63
TTWO,2018-01-02,112.88,18.354,2018-02-01,124.64,215.84,10.42,21
FANG,2018-01-02,127.88,16.2011,2018-02-01,126.64,-20.09,-0.97,21
INSM,2017-10-02,31.73,63.8262,2018-02-01,26.37,-342.11,-16.89,84
NFLX,2018-02-01,26.507,4.2917,2018-03-01,29.039,10.87,9.55,19
MELI,2018-02-01,378.76,5.2943,2018-03-01,385.38,35.05,1.75,19
NFLX,2018-02-01,26.507,71.3589,2018-04-02,28.029,108.61,5.74,40
STX,2018-02-01,54.44,1.5291,2018-04-02,57.75,5.06,6.08,40
AXON,2018-03-01,37.69,1.0846,2018-04-02,39.48,1.94,4.75,21
STX,2018-02-01,54.44,36.8448,2018-05-01,54.21,-8.47,-0.42,61
AXON,2018-03-01,37.69,3.0932,2018-05-01,41.51,11.82,10.14,42
AXON,2018-03-01,37.69,7.995,2018-06-01,65.3,220.74,73.26,64
NFLX,2018-05-01,31.33,3.7061,2018-07-02,39.818,31.46,27.09,43
DXCM,2018-04-02,18.6325,121.2713,2018-07-02,24.6125,725.2,32.09,64
NFLX,2018-05-01,31.33,73.9564,2018-08-01,33.838,185.48,8.01,64
AXON,2018-03-01,37.69,0.8141,2018-08-01,68.42,25.02,81.53,106
AMD,2018-07-02,15.16,28.0431,2018-08-01,18.48,93.1,21.9,21
DXCM,2018-08-01,23.86,14.6538,2018-09-04,36.515,185.44,53.04,23
AXON,2018-03-01,37.69,44.8913,2018-09-04,69.88,1445.05,85.41,129
AMD,2018-07-02,15.16,17.7572,2018-09-04,28.06,229.07,85.09,44
FTNT,2018-09-04,17.216,8.2961,2018-10-01,18.458,10.3,7.21,19
AMD,2018-07-02,15.16,11.1842,2018-10-01,31.42,181.86,107.26,63
FTNT,2018-09-04,17.216,233.6552,2018-11-01,16.738,-111.69,-2.78,42
AMD,2018-07-02,15.16,137.2632,2018-11-01,20.22,694.55,33.38,86
DXCM,2018-08-01,23.86,128.9619,2018-11-01,34.0025,1308.0,42.51,65
PDD,2019-03-01,29.99,122.9493,2019-04-01,24.67,-654.09,-17.74,21
SHOP,2019-03-01,19.152,192.5256,2019-04-01,20.604,279.55,7.58,21
MELI,2019-04-01,518.11,6.7268,2019-05-01,484.73,-224.54,-6.44,21
CDNS,2019-04-01,64.8,53.7842,2019-05-01,68.54,201.15,5.77,21
INSM,2019-03-01,30.96,119.808,2019-05-01,29.15,-216.85,-5.85,42
QCOM,2019-05-01,86.37,40.2464,2019-06-03,66.66,-793.26,-22.82,22
MRVL,2019-05-01,24.68,140.8462,2019-06-03,22.35,-328.17,-9.44,22
SHOP,2019-05-01,24.516,141.7884,2019-06-03,26.5,281.31,8.09,22
SHOP,2019-07-01,30.468,8.5535,2019-08-01,34.139,31.4,12.05,22
AMD,2019-07-01,31.2,102.177,2019-08-01,29.86,-136.92,-4.29,22
SBUX,2019-08-01,95.38,34.389,2019-09-03,96.77,47.8,1.46,22
MELI,2019-07-01,619.31,5.2359,2019-09-03,581.0,-200.59,-6.19,44
SHOP,2019-07-01,30.468,8.7917,2019-09-03,38.391,69.66,26.0,44
PDD,2019-09-03,33.25,3.4618,2019-10-01,32.75,-1.73,-1.5,20
KLAC,2019-09-03,149.93,2.215,2019-10-01,158.29,18.52,5.58,20
SHOP,2019-07-01,30.468,87.2867,2019-10-01,31.322,74.54,2.8,64
LRCX,2019-10-01,23.039,2.3299,2019-11-01,27.826,11.15,20.78,23
PDD,2019-09-03,33.25,6.102,2019-11-01,41.49,50.28,24.78,43
KLAC,2019-09-03,149.93,20.1356,2019-11-01,172.42,452.85,15.0,43
LRCX,2019-10-01,23.039,136.012,2019-12-02,26.294,442.72,14.13,43
PDD,2019-09-03,33.25,91.2188,2019-12-02,36.04,254.5,8.39,63
TSLA,2019-11-01,20.8873,18.4019,2019-12-02,22.3247,26.45,6.88,20
DXCM,2019-12-02,55.98,64.9212,2020-01-02,54.845,-73.69,-2.03,21
TSLA,2019-11-01,20.8873,26.1068,2020-01-02,28.684,203.55,37.33,41
ALNY,2019-12-02,118.58,30.6484,2020-01-02,115.62,-90.72,-2.5,21
PDD,2020-01-02,41.23,95.0932,2020-02-03,35.79,-517.31,-13.19,21
TSLA,2019-11-01,20.8873,44.8079,2020-02-03,52.0,1394.09,148.95,62
AMD,2020-01-02,49.1,79.8512,2020-02-03,48.02,-86.24,-2.2,21
DXCM,2020-02-03,59.2725,12.4049,2020-03-02,71.4325,150.84,20.52,19
INSM,2020-02-03,28.88,165.4311,2020-03-02,26.1,-459.9,-9.63,19
REGN,2020-03-02,464.75,10.4824,2020-04-01,496.65,334.39,6.86,22
DXCM,2020-02-03,59.2725,68.1999,2020-04-01,63.7025,302.13,7.47,41
TSLA,2019-11-01,20.8873,98.2697,2020-04-01,32.104,1102.26,53.7,103
DXCM,2020-05-01,85.38,49.5313,2020-06-01,94.675,460.39,10.89,20
TSLA,2020-05-01,46.7547,5.1668,2020-06-01,59.8733,67.78,28.06,20
SHOP,2020-05-01,61.364,1.552,2020-06-01,75.8,22.4,23.53,20
PDD,2020-06-01,65.76,77.6494,2020-07-01,85.45,1528.92,29.94,22
SHOP,2020-05-01,61.364,2.3094,2020-07-01,101.664,93.07,65.67,42
TSLA,2020-05-01,46.7547,11.549,2020-08-03,99.0,603.38,111.74,64
SHOP,2020-05-01,61.364,65.055,2020-08-03,108.305,3053.75,76.5,64
TSLA,2020-05-01,46.7547,21.7244,2020-09-01,158.35,2424.35,238.68,85
DDOG,2020-07-01,89.38,79.7394,2020-09-01,85.77,-287.86,-4.04,43
CRWD,2020-09-01,143.69,60.9781,2020-10-01,142.87,-50.0,-0.57,21
PDD,2020-08-03,96.03,95.9057,2020-10-01,74.43,-2071.56,-22.49,42
TSLA,2020-05-01,46.7547,1.5579,2020-10-01,149.3867,159.89,219.51,106
TSLA,2020-05-01,46.7547,1.393,2020-11-02,133.5033,120.84,185.54,128
SHOP,2020-10-01,105.443,76.1857,2020-11-02,91.499,-1062.33,-13.22,22
DDOG,2020-10-01,103.51,77.6085,2020-11-02,88.33,-1178.1,-14.67,22
PDD,2020-11-02,91.62,4.6475,2020-12-01,136.54,208.77,49.03,20
TSLA,2020-05-01,46.7547,2.1704,2020-12-01,194.92,321.58,316.9,148
MELI,2020-11-02,1215.86,5.7516,2020-12-01,1521.66,1758.84,25.15,20
MSTR,2020-12-01,32.4,12.0425,2021-01-04,42.522,121.89,31.24,22
PDD,2020-11-02,91.62,73.9463,2021-02-01,173.96,6088.74,89.87,61
MSTR,2020-12-01,32.4,51.2341,2021-02-01,63.456,1591.13,95.85,41
MSTR,2020-12-01,32.4,14.9142,2021-03-01,78.244,683.73,141.49,60
TSLA,2020-05-01,46.7547,54.1308,2021-03-01,239.4767,10432.2,412.2,208
WBD,2021-02-01,42.12,58.6693,2021-03-01,58.18,942.23,38.13,19
WDC,2021-03-01,54.5805,320.9499,2021-04-01,53.9456,-203.78,-1.16,23
MSTR,2020-12-01,32.4,5.5768,2021-04-01,70.356,211.67,117.15,83
WBD,2021-02-01,42.12,301.0932,2021-04-01,43.31,358.3,2.83,42
FANG,2021-04-01,81.22,13.8802,2021-05-03,83.92,37.48,3.32,21
AMAT,2021-04-01,141.52,110.6888,2021-06-01,138.21,-366.38,-2.34,41
MSTR,2020-12-01,32.4,231.3489,2021-06-01,47.776,3557.22,47.46,124
