date,action,symbol,price,shares,value
2016-05-24,BUY,AMD,4.2,178.5714,750.0
2016-05-24,BUY,AXON,21.86,34.3092,750.0
2016-05-24,BUY,NVDA,1.134,661.3757,750.0
2016-06-01,BUY,AMAT,24.38,31.8434,776.34
2016-06-01,SELL,AXON,22.32,34.3092,765.78
2016-06-01,SELL,AMD,4.43,3.3247,14.73
2016-06-01,BUY,NVDA,1.1703,2.0234,2.37
2016-07-01,SELL,AMAT,23.89,31.8434,760.74
2016-07-01,BUY,AXON,24.89,32.434,807.28
2016-07-01,SELL,AMD,5.07,16.0194,81.22
2016-07-01,BUY,NVDA,1.1665,28.6564,33.43
2016-08-01,BUY,AXON,29.16,1.6676,48.63
2016-08-01,SELL,AMD,6.64,9.468,62.87
2016-08-01,BUY,NVDA,1.4182,9.092,12.89
2016-09-01,SELL,AXON,26.85,34.1016,915.63
2016-09-01,BUY,SHOP,4.067,255.9787,1041.07
2016-09-01,SELL,AMD,7.35,8.1178,59.67
2016-09-01,SELL,NVDA,1.5788,41.7236,65.87
2016-10-03,BUY,LITE,41.45,25.8356,1070.89
2016-10-03,SELL,SHOP,4.303,255.9787,1101.48
2016-10-03,BUY,AMD,6.95,12.4428,86.48
2016-10-03,SELL,NVDA,1.7112,33.6321,57.55
2016-11-01,BUY,MU,16.98,60.7733,1031.93
2016-11-01,SELL,LITE,35.8,25.8356,924.91
2016-11-01,SELL,AMD,7.09,8.537,60.53
2016-11-01,SELL,NVDA,1.7263,28.0041,48.34
2016-12-01,SELL,MU,18.48,60.7733,1123.09
2016-12-01,BUY,ODFL,29.7867,40.8721,1217.44
2016-12-01,SELL,AMD,8.39,0.4408,3.7
2016-12-01,SELL,NVDA,2.191,42.1306,92.31
2017-01-03,BUY,MU,22.55,62.9117,1418.66
2017-01-03,SELL,ODFL,28.9267,40.8721,1182.29
2017-01-03,SELL,AMD,11.43,20.9894,239.91
2017-01-03,BUY,NVDA,2.5503,0.6254,1.6
2017-02-01,SELL,MU,24.75,62.9117,1557.07
2017-02-01,BUY,AMD,12.06,4.0297,48.6
2017-02-01,BUY,CSX,15.6967,98.4573,1545.45
2017-02-01,SELL,NVDA,2.8488,13.7809,39.26
2017-03-01,BUY,SHOP,5.965,275.1409,1641.22
2017-03-01,SELL,AMD,14.96,18.44,275.86
2017-03-01,BUY,CSX,16.4033,1.5965,26.19
2017-03-01,SELL,NVDA,2.5698,542.5016,1394.09
2017-04-03,BUY,TSLA,19.9013,84.7918,1687.47
2017-04-03,SELL,SHOP,6.923,31.3926,217.33
2017-04-03,BUY,AMD,14.64,5.5574,81.36
2017-04-03,SELL,CSX,15.5333,100.0538,1554.17
2017-05-01,SELL,TSLA,21.522,84.7918,1824.89
2017-05-01,SELL,SHOP,7.726,16.1551,124.81
2017-05-01,BUY,AMD,13.62,13.8389,188.49
2017-05-01,BUY,VRTX,120.62,14.5779,1758.39
2017-06-01,BUY,MELI,280.4,6.4055,1796.11
2017-06-01,SELL,SHOP,9.344,35.3723,330.52
2017-06-01,SELL,AMD,10.93,129.1032,1411.1
2017-06-01,SELL,VRTX,127.16,14.5779,1853.72
2017-06-01,BUY,NVDA,3.609,497.6758,1796.11
2017-07-03,SELL,MELI,250.68,6.4055,1605.74
2017-07-03,BUY,SHOP,8.6,1.0589,9.11
2017-07-03,BUY,ALNY,81.7,20.3452,1662.21
2017-07-03,BUY,VRTX,128.23,12.9627,1662.21
2017-07-03,SELL,NVDA,3.4832,497.6758,1733.53
2017-08-01,BUY,LITE,63.7,29.5302,1881.07
2017-08-01,SELL,SHOP,10.408,12.5464,130.58
2017-08-01,BUY,ALNY,81.15,2.835,230.06
2017-08-01,SELL,VRTX,153.2,12.9627,1985.88
2017-09-01,SELL,LITE,57.25,29.5302,1690.6
2017-09-01,SELL,SHOP,11.086,7.789,86.35
2017-09-01,SELL,ALNY,88.91,1.6161,143.69
2017-09-01,BUY,VRTX,162.24,11.8174,1917.26
2017-10-02,BUY,SHOP,11.9,8.8886,105.77
2017-10-02,SELL,ALNY,122.31,3.8729,473.69
2017-10-02,SELL,VRTX,152.23,11.8174,1798.97
2017-10-02,BUY,INSM,31.73,68.1945,2163.81
2017-11-01,BUY,NVDA,5.18,369.5882,1914.47
2017-11-01,SELL,SHOP,9.62,181.8329,1749.23
2017-11-01,SELL,ALNY,121.09,1.8809,227.76
2017-11-01,BUY,INSM,27.21,2.1644,58.89
2017-12-01,SELL,INSM,30.98,3.9293,121.73
2017-12-01,BUY,CPRT,10.7525,191.3966,2057.99
2017-12-01,SELL,ALNY,137.31,0.8224,112.92
2017-12-01,SELL,NVDA,4.942,369.5882,1826.5
2018-01-02,BUY,TTWO,112.88,18.354,2071.8
2018-01-02,SELL,CPRT,10.9,191.3966,2086.22
2018-01-02,SELL,ALNY,131.85,14.9879,1976.16
2018-01-02,BUY,FANG,127.88,16.2011,2071.8
2018-01-02,SELL,INSM,32.46,2.6035,84.51
2018-02-01,SELL,TTWO,124.64,18.354,2287.64
2018-02-01,BUY,NFLX,26.507,75.6506,2005.27
2018-02-01,BUY,STX,54.44,36.8345,2005.27
2018-02-01,BUY,MELI,378.76,5.2943,2005.27
2018-02-01,SELL,FANG,126.64,16.2011,2051.71
2018-02-01,SELL,INSM,26.37,63.8262,1683.1
2018-03-01,SELL,NFLX,29.039,4.2917,124.63
2018-03-01,BUY,STX,54.0,1.5394,83.13
2018-03-01,BUY,AXON,37.69,54.9798,2072.19
2018-03-01,SELL,MELI,385.38,5.2943,2040.32
2018-04-02,SELL,NFLX,28.029,71.3589,2000.12
2018-04-02,SELL,STX,57.75,1.5291,88.31
2018-04-02,SELL,AXON,39.48,1.0846,42.82
2018-04-02,BUY,DXCM,18.6325,114.1975,2127.79
2018-05-01,BUY,NFLX,31.33,67.3091,2108.79
2018-05-01,BUY,DXCM,18.3475,0.7387,13.55
2018-05-01,SELL,STX,54.21,36.8448,1997.36
2018-05-01,SELL,AXON,41.51,3.0932,128.4
2018-06-01,BUY,NFLX,35.993,10.3534,372.65
2018-06-01,BUY,DXCM,23.05,6.3351,146.02
2018-06-01,SELL,AXON,65.3,7.995,522.07
2018-07-02,SELL,NFLX,39.818,3.7061,147.57
2018-07-02,SELL,DXCM,24.6125,121.2713,2984.79
2018-07-02,BUY,AXON,64.43,2.8982,186.73
2018-07-02,BUY,AMD,15.16,194.2477,2944.79
2018-08-01,SELL,NFLX,33.838,73.9564,2502.54
2018-08-01,BUY,DXCM,23.86,128.7284,3071.46
2018-08-01,SELL,AXON,68.42,0.8141,55.7
2018-08-01,SELL,AMD,18.48,28.0431,518.24
2018-09-04,SELL,DXCM,36.515,14.6538,535.08
2018-09-04,SELL,AXON,69.88,44.8913,3137.0
2018-09-04,BUY,FTNT,17.216,241.9513,4165.43
2018-09-04,SELL,AMD,28.06,17.7572,498.27
2018-10-01,SELL,FTNT,18.458,8.2961,153.13
2018-10-01,BUY,DXCM,33.4425,14.8873,497.87
2018-10-01,SELL,AMD,31.42,11.1842,351.41
2018-11-01,SELL,FTNT,16.738,233.6552,3910.92
2018-11-01,SELL,AMD,20.22,137.2632,2775.46
2018-11-01,SELL,DXCM,34.0025,128.9619,4385.03
