symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,open
TQQQ,2016-05-25,2.1144,362.0715,2016-06-20,2.0042,-39.91,-5.21,17,False
TQQQ,2016-06-24,1.8392,339.535,2016-06-27,1.7321,-36.37,-5.82,1,False
TQQQ,2016-07-05,1.9981,306.4909,2016-07-06,2.0452,14.44,2.36,1,False
TQQQ,2016-07-07,2.0646,298.9585,2018-10-12,7.2537,1551.34,251.34,572,False
TQQQ,2018-10-15,6.98,275.2229,2018-10-25,6.7425,-65.37,-3.4,8,False
TQQQ,2018-11-08,7.0613,233.8992,2018-11-12,6.1137,-221.63,-13.42,2,False
TQQQ,2019-02-19,6.2913,250.2834,2019-02-22,6.35,14.69,0.93,3,False
TQQQ,2019-02-25,6.42,244.5728,2019-03-08,6.1438,-67.56,-4.3,9,False
TQQQ,2019-03-12,6.6337,231.1385,2019-06-03,5.8762,-175.08,-11.42,57,False
TQQQ,2019-06-05,6.4925,228.1291,2020-03-10,8.845,536.67,36.23,192,False
TQQQ,2020-03-11,7.7075,197.1368,2020-03-12,5.595,-416.45,-27.41,1,False
TQQQ,2020-04-09,6.8337,222.8025,2022-01-21,28.335,4790.54,314.64,450,False
TQQQ,2022-02-03,28.37,213.387,2022-02-04,29.35,209.12,3.45,1,False
TQQQ,2022-02-10,29.41,191.8655,2022-02-11,26.64,-531.47,-9.42,1,False
TQQQ,2022-03-30,30.345,180.0735,2022-03-31,29.09,-225.99,-4.14,1,False
TQQQ,2022-04-05,28.74,177.2634,2022-04-06,26.85,-335.03,-6.58,1,False
TQQQ,2023-01-27,11.665,448.5463,2023-01-31,11.455,-94.19,-1.8,2,False
TQQQ,2023-02-01,12.195,428.6935,2023-03-13,10.665,-655.9,-12.55,27,False
TQQQ,2023-03-14,11.39,418.9994,2025-03-07,33.705,9349.97,195.92,497,False
TQQQ,2025-05-13,34.57,430.9808,2026-03-23,44.57,4309.81,28.93,215,False
TQQQ,2026-04-09,48.96,388.2509,2026-05-22,77.84,11212.68,58.99,31,True
