date,action,symbol,price,shares,value
2016-05-25,BUY_TQQQ,TQQQ,2.1144,362.0715,765.55
2016-06-20,SELL_TQQQ,TQQQ,2.0042,355.3885,712.26
2016-06-24,BUY_TQQQ,TQQQ,1.8392,339.535,624.46
2016-06-27,SELL_TQQQ,TQQQ,1.7321,360.2379,623.96
2016-07-05,BUY_TQQQ,TQQQ,1.9981,306.4909,612.41
2016-07-06,SELL_TQQQ,TQQQ,2.0452,299.1956,611.92
2016-07-07,BUY_TQQQ,TQQQ,2.0646,298.9585,617.22
2018-10-12,SELL_TQQQ,TQQQ,7.2537,275.4519,1998.06
2018-10-15,BUY_TQQQ,TQQQ,6.98,275.2229,1921.06
2018-10-25,SELL_TQQQ,TQQQ,6.7425,249.4092,1681.64
2018-11-08,BUY_TQQQ,TQQQ,7.0613,233.8992,1651.62
2018-11-12,SELL_TQQQ,TQQQ,6.1137,256.2184,1566.46
2019-02-19,BUY_TQQQ,TQQQ,6.2913,250.2834,1574.6
2019-02-22,SELL_TQQQ,TQQQ,6.35,244.7665,1554.27
2019-02-25,BUY_TQQQ,TQQQ,6.42,244.5728,1570.16
2019-03-08,SELL_TQQQ,TQQQ,6.1438,245.7693,1509.95
2019-03-12,BUY_TQQQ,TQQQ,6.6337,231.1385,1533.31
2019-06-03,SELL_TQQQ,TQQQ,5.8762,246.8114,1450.33
2019-06-05,BUY_TQQQ,TQQQ,6.4925,228.1291,1481.13
2020-03-10,SELL_TQQQ,TQQQ,8.845,197.3179,1745.28
2020-03-11,BUY_TQQQ,TQQQ,7.7075,197.1368,1519.43
2020-03-12,SELL_TQQQ,TQQQ,5.595,271.3523,1518.22
2020-04-09,BUY_TQQQ,TQQQ,6.8337,222.8025,1522.58
2022-01-21,SELL_TQQQ,TQQQ,28.335,243.0914,6887.99
2022-02-03,BUY_TQQQ,TQQQ,28.37,213.387,6053.79
2022-02-04,SELL_TQQQ,TQQQ,29.35,206.097,6048.95
2022-02-10,BUY_TQQQ,TQQQ,29.41,191.8655,5642.77
2022-02-11,SELL_TQQQ,TQQQ,26.64,211.6461,5638.25
2022-03-30,BUY_TQQQ,TQQQ,30.345,180.0735,5464.33
2022-03-31,SELL_TQQQ,TQQQ,29.09,187.692,5459.96
2022-04-05,BUY_TQQQ,TQQQ,28.74,177.2634,5094.55
2022-04-06,SELL_TQQQ,TQQQ,26.85,189.5894,5090.47
2023-01-27,BUY_TQQQ,TQQQ,11.665,448.5463,5232.29
2023-01-31,SELL_TQQQ,TQQQ,11.455,429.0158,4914.38
2023-02-01,BUY_TQQQ,TQQQ,12.195,428.6935,5227.92
2023-03-13,SELL_TQQQ,TQQQ,10.665,419.3136,4471.98
2023-03-14,BUY_TQQQ,TQQQ,11.39,418.9994,4772.4
2025-03-07,SELL_TQQQ,TQQQ,33.705,422.9929,14256.98
2025-05-13,BUY_TQQQ,TQQQ,34.57,430.9808,14899.01
2026-03-23,SELL_TQQQ,TQQQ,44.57,418.458,18650.67
2026-04-09,BUY_TQQQ,TQQQ,48.96,388.2509,19008.76
