symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
AMD,2023-05-24,108.27,3.6945,2023-08-17,104.44,-14.15,-3.54,58
FER,2023-05-24,31.22,12.8123,2023-08-22,30.0,-15.63,-3.91,61
CSCO,2023-08-17,54.73,7.5023,2023-10-20,52.93,-13.5,-3.29,45
META,2023-05-24,249.21,1.6051,2023-10-26,288.35,62.82,15.71,107
APP,2023-08-23,40.18,10.2639,2023-11-30,37.48,-27.71,-6.72,69
MSTR,2023-10-24,42.487,10.0176,2024-01-11,53.618,111.51,26.2,54
PDD,2023-11-30,147.44,3.1407,2024-02-05,121.14,-82.6,-17.84,44
SHOP,2024-01-11,81.3,6.2128,2024-04-03,75.64,-35.16,-6.96,56
TMUS,2023-10-31,143.86,2.85,2024-04-12,160.05,46.14,11.25,112
CRWD,2023-05-24,149.2,2.681,2024-04-19,282.64,357.75,89.44,227
KHC,2024-04-19,37.78,12.6356,2024-05-01,36.28,-18.95,-3.97,8
PEP,2024-04-22,176.46,2.7456,2024-05-30,170.48,-16.42,-3.39,27
APP,2024-04-03,72.86,7.2268,2024-07-25,76.17,23.92,4.54,78
NVDA,2024-02-05,69.332,7.1491,2024-07-30,103.73,245.92,49.61,121
CHTR,2024-07-30,383.07,1.4777,2024-10-21,315.41,-99.98,-17.66,58
INSM,2024-05-30,56.98,9.5062,2024-10-24,71.71,140.03,25.85,102
AEP,2024-05-01,88.15,5.5209,2024-11-06,96.25,44.72,9.19,131
APP,2024-10-21,158.85,3.5214,2024-12-10,321.06,571.2,102.12,35
TSLA,2024-12-10,400.99,1.9254,2025-01-02,379.28,-41.8,-5.41,15
PLTR,2024-10-24,43.56,12.881,2025-01-13,64.98,275.91,49.17,53
LITE,2024-11-06,71.97,8.3285,2025-01-27,74.17,18.32,3.06,53
GOOGL,2025-01-06,196.87,3.9647,2025-02-21,179.66,-68.23,-8.74,31
PDD,2025-02-21,131.34,5.6642,2025-03-03,112.6,-106.15,-14.27,6
BKR,2025-01-14,45.07,16.3546,2025-03-05,42.32,-44.98,-6.1,34
ISRG,2025-01-15,580.11,1.2953,2025-03-06,538.57,-53.81,-7.16,34
AMGN,2025-03-05,316.57,2.242,2025-04-08,280.26,-81.41,-11.47,24
GILD,2024-07-25,76.51,7.5373,2025-05-06,97.88,161.07,27.93,195
EXC,2025-03-03,44.55,16.1293,2025-05-14,42.25,-37.1,-5.16,51
MNST,2025-05-12,61.36,10.7518,2025-07-10,59.17,-23.55,-3.57,40
CHTR,2025-05-14,413.86,1.5836,2025-07-16,379.62,-54.22,-8.27,42
MELI,2025-05-12,2504.6101,0.2634,2025-08-06,2317.22,-49.36,-7.48,59
INTU,2025-05-12,662.3,0.9961,2025-08-19,701.03,38.58,5.85,68
MCHP,2025-07-10,75.08,8.7609,2025-09-15,63.17,-104.34,-15.86,46
ALNY,2025-08-06,428.14,1.5186,2025-11-25,429.8,2.52,0.39,78
INTC,2025-08-19,25.31,25.7326,2026-01-26,42.49,442.09,67.88,109
LITE,2025-07-16,99.63,6.5261,2026-03-06,558.44,2994.23,460.51,161
STX,2026-01-26,358.29,3.1593,2026-03-06,352.8,-17.34,-1.53,28
SBUX,2026-03-09,99.77,14.4086,2026-03-27,86.81,-186.74,-12.99,14
WBD,2025-09-15,19.46,36.6294,2026-04-10,27.44,292.3,41.01,143
