date,action,symbol,price,shares,value
2023-05-24,BUY,META,249.21,1.6051,400.0
2023-05-24,BUY,AMD,108.27,3.6945,400.0
2023-05-24,BUY,CRWD,149.2,2.681,400.0
2023-05-24,BUY,FER,31.22,12.8123,400.0
2023-08-17,SELL,AMD,104.44,3.6945,385.85
2023-08-17,BUY,CSCO,54.73,7.5023,410.6
2023-08-22,SELL,FER,30.0,12.8123,384.37
2023-08-23,BUY,APP,40.18,10.2639,412.4
2023-10-20,SELL,CSCO,52.93,7.5023,397.1
2023-10-24,BUY,MSTR,42.487,10.0176,425.62
2023-10-26,SELL,META,288.35,1.6051,462.82
2023-10-31,BUY,TMUS,143.86,2.85,410.0
2023-11-30,SELL,APP,37.48,10.2639,384.69
2023-11-30,BUY,PDD,147.44,3.1407,463.06
2024-01-11,SELL,MSTR,53.618,10.0176,537.12
2024-01-11,BUY,SHOP,81.3,6.2128,505.1
2024-02-05,SELL,PDD,121.14,3.1407,380.46
2024-02-05,BUY,NVDA,69.332,7.1491,495.66
2024-04-03,SELL,SHOP,75.64,6.2128,469.94
2024-04-03,BUY,APP,72.86,7.2268,526.54
2024-04-12,SELL,TMUS,160.05,2.85,456.14
2024-04-19,SELL,CRWD,282.64,2.681,757.75
2024-04-19,BUY,KHC,37.78,12.6356,477.37
2024-04-22,BUY,PEP,176.46,2.7456,484.49
2024-05-01,SELL,KHC,36.28,12.6356,458.42
2024-05-01,BUY,AEP,88.15,5.5209,486.67
2024-05-30,SELL,PEP,170.48,2.7456,468.08
2024-05-30,BUY,INSM,56.98,9.5062,541.67
2024-07-25,SELL,APP,76.17,7.2268,550.47
2024-07-25,BUY,GILD,76.51,7.5373,576.68
2024-07-30,SELL,NVDA,103.73,7.1491,741.58
2024-07-30,BUY,CHTR,383.07,1.4777,566.08
2024-10-21,SELL,CHTR,315.41,1.4777,466.09
2024-10-21,BUY,APP,158.85,3.5214,559.37
2024-10-24,SELL,INSM,71.71,9.5062,681.69
2024-10-24,BUY,PLTR,43.56,12.881,561.1
2024-11-06,SELL,AEP,96.25,5.5209,531.39
2024-11-06,BUY,LITE,71.97,8.3285,599.41
2024-12-10,SELL,APP,321.06,3.5214,1130.57
2024-12-10,BUY,TSLA,400.99,1.9254,772.07
2025-01-02,SELL,TSLA,379.28,1.9254,730.27
2025-01-06,BUY,GOOGL,196.87,3.9647,780.54
2025-01-13,SELL,PLTR,64.98,12.881,837.01
2025-01-14,BUY,BKR,45.07,16.3546,737.1
2025-01-15,BUY,ISRG,580.11,1.2953,751.39
2025-01-27,SELL,LITE,74.17,8.3285,617.73
2025-02-21,SELL,GOOGL,179.66,3.9647,712.31
2025-02-21,BUY,PDD,131.34,5.6642,743.94
2025-03-03,SELL,PDD,112.6,5.6642,637.79
2025-03-03,BUY,EXC,44.55,16.1293,718.56
2025-03-05,SELL,BKR,42.32,16.3546,692.13
2025-03-05,BUY,AMGN,316.57,2.242,709.75
2025-03-06,SELL,ISRG,538.57,1.2953,697.59
2025-04-08,SELL,AMGN,280.26,2.242,628.34
2025-05-06,SELL,GILD,97.88,7.5373,737.75
2025-05-12,BUY,MNST,61.36,10.7518,659.73
2025-05-12,BUY,MELI,2504.6101,0.2634,659.73
2025-05-12,BUY,INTU,662.3,0.9961,659.73
2025-05-14,SELL,EXC,42.25,16.1293,681.46
2025-05-14,BUY,CHTR,413.86,1.5836,655.39
2025-07-10,SELL,MNST,59.17,10.7518,636.19
2025-07-10,BUY,MCHP,75.08,8.7609,657.77
2025-07-16,SELL,CHTR,379.62,1.5836,601.16
2025-07-16,BUY,LITE,99.63,6.5261,650.19
2025-08-06,SELL,MELI,2317.22,0.2634,610.37
2025-08-06,BUY,ALNY,428.14,1.5186,650.16
2025-08-19,SELL,INTU,701.03,0.9961,698.31
2025-08-19,BUY,INTC,25.31,25.7326,651.29
2025-09-15,SELL,MCHP,63.17,8.7609,553.42
2025-09-15,BUY,WBD,19.46,36.6294,712.81
2025-11-25,SELL,ALNY,429.8,1.5186,652.68
2025-11-25,BUY,AMAT,242.46,3.8997,945.52
2026-01-26,SELL,INTC,42.49,25.7326,1093.38
2026-01-26,BUY,STX,358.29,3.1593,1131.96
2026-03-06,SELL,LITE,558.44,6.5261,3644.43
2026-03-06,SELL,STX,352.8,3.1593,1114.61
2026-03-06,BUY,FANG,180.54,7.8902,1424.51
2026-03-09,BUY,SBUX,99.77,14.4086,1437.55
2026-03-09,BUY,MRVL,92.65,15.5159,1437.55
2026-03-27,SELL,SBUX,86.81,14.4086,1250.81
2026-04-08,BUY,LITE,896.02,1.6829,1507.91
2026-04-10,SELL,WBD,27.44,36.6294,1005.11
