date,action,symbol,price,shares,value
2023-05-24,BUY,META,249.21,3.0095,750.0
2023-05-24,BUY,APP,24.43,30.7,750.0
2023-05-24,BUY,PLTR,12.23,61.3246,750.0
2023-06-01,SELL,APP,24.83,30.7,762.28
2023-06-01,SELL,PLTR,14.54,4.6405,67.47
2023-06-01,BUY,META,272.61,0.0138,3.76
2023-06-01,BUY,NVDA,39.77,20.7238,824.19
2023-07-03,SELL,PLTR,15.52,0.3675,5.7
2023-07-03,SELL,META,286.02,3.0233,864.73
2023-07-03,SELL,NVDA,42.413,0.1162,4.93
2023-07-03,BUY,MSTR,37.784,23.1324,874.03
2023-08-01,BUY,APP,31.43,32.7605,1029.66
2023-08-01,SELL,PLTR,19.99,4.8078,96.11
2023-08-01,BUY,NVDA,46.507,1.5322,71.26
2023-08-01,SELL,MSTR,43.498,23.1324,1006.21
2023-09-01,SELL,APP,43.19,7.5305,325.24
2023-09-01,SELL,PLTR,15.18,51.5088,781.9
2023-09-01,BUY,NVDA,48.509,0.3236,15.7
2023-09-01,BUY,ADBE,563.21,1.9348,1089.68
2023-10-02,BUY,INSM,25.37,39.9731,1014.12
2023-10-02,SELL,APP,40.82,0.3864,15.77
2023-10-02,BUY,PLTR,15.88,63.8612,1014.12
2023-10-02,SELL,NVDA,44.782,22.4635,1005.96
2023-10-02,SELL,ADBE,521.13,1.9348,1008.27
2023-11-01,SELL,INSM,24.99,39.9731,998.93
2023-11-01,BUY,APP,36.7,1.135,41.66
2023-11-01,SELL,PLTR,14.92,63.8612,952.81
2023-11-01,BUY,MSTR,42.667,22.3455,953.42
2023-11-01,BUY,ZS,156.65,6.0863,953.42
2023-12-01,SELL,APP,38.25,25.9787,993.68
2023-12-01,BUY,PDD,145.27,7.7441,1124.99
2023-12-01,BUY,CRWD,235.03,4.7866,1124.99
2023-12-01,SELL,MSTR,52.768,1.026,54.14
2023-12-01,SELL,ZS,198.03,6.0863,1205.27
2024-01-02,BUY,PDD,145.64,0.8769,127.72
2024-01-02,BUY,CRWD,246.89,0.299,73.81
2024-01-02,SELL,MSTR,68.515,2.994,205.13
2024-02-01,BUY,AMD,170.48,6.9141,1178.71
2024-02-01,SELL,PDD,126.59,8.6211,1091.34
2024-02-01,SELL,CRWD,299.37,1.1482,343.75
2024-02-01,BUY,NVDA,63.027,18.7016,1178.71
2024-02-01,SELL,MSTR,50.348,18.3255,922.65
2024-03-01,SELL,AMD,202.64,0.0468,9.49
2024-03-01,SELL,CRWD,314.6,3.9373,1238.67
2024-03-01,SELL,NVDA,82.279,1.7888,147.18
2024-03-01,BUY,MSTR,107.939,12.8922,1391.57
2024-04-01,SELL,AMD,183.34,6.8672,1259.04
2024-04-01,BUY,NVDA,90.363,1.1448,103.44
2024-04-01,SELL,MSTR,163.674,2.9228,478.38
2024-04-01,BUY,ARM,126.91,12.8575,1631.74
2024-05-01,BUY,APP,69.74,17.9097,1249.02
2024-05-01,SELL,NVDA,83.041,3.0166,250.5
2024-05-01,BUY,MSTR,102.827,2.1774,223.89
2024-05-01,SELL,ARM,95.29,12.8575,1225.19
2024-06-03,BUY,INSM,55.94,30.8978,1728.42
2024-06-03,SELL,APP,82.7,17.9097,1481.13
2024-06-03,SELL,NVDA,115.0,0.0112,1.29
2024-06-03,SELL,MSTR,162.741,1.5261,248.36
2024-07-01,SELL,INSM,66.34,3.9359,261.11
2024-07-01,SELL,NVDA,124.3,0.64,79.55
2024-07-01,SELL,MSTR,136.597,10.6207,1450.76
2024-07-01,BUY,ARM,158.83,11.2614,1788.65
2024-08-01,SELL,INSM,75.33,4.9783,375.02
2024-08-01,SELL,NVDA,109.21,14.3898,1571.51
2024-08-01,BUY,MSTR,151.181,10.9539,1656.02
2024-08-01,SELL,ARM,121.51,11.2614,1368.37
2024-08-01,BUY,ALNY,268.61,6.1651,1656.02
2024-09-03,SELL,INSM,73.31,1.4735,108.02
2024-09-03,BUY,PLTR,30.51,49.282,1503.59
2024-09-03,SELL,MSTR,122.32,10.9539,1339.88
2024-09-03,SELL,ALNY,253.78,0.2404,61.0
2024-10-01,BUY,INSM,72.88,2.0145,146.82
2024-10-01,BUY,APP,130.65,12.5648,1641.59
2024-10-01,SELL,PLTR,36.46,4.2575,155.23
2024-10-01,SELL,ALNY,276.06,5.9248,1635.6
2024-11-01,SELL,INSM,68.32,22.5246,1538.88
2024-11-01,SELL,APP,163.53,1.3983,228.67
2024-11-01,SELL,PLTR,41.92,1.464,61.37
2024-11-01,BUY,MSTR,229.71,7.9494,1826.06
2024-12-02,SELL,APP,340.59,1.6581,564.73
2024-12-02,BUY,PLTR,66.39,5.219,346.49
2024-12-02,BUY,MSTR,380.3,0.5662,215.31
2025-01-02,SELL,APP,341.78,0.2711,92.66
2025-01-02,SELL,PLTR,75.19,6.7909,510.61
2025-01-02,BUY,MSTR,300.01,2.0078,602.37
2025-02-03,BUY,APP,365.44,0.3798,138.79
2025-02-03,SELL,PLTR,83.74,0.0198,1.66
2025-02-03,SELL,MSTR,347.09,0.3979,138.1
2025-03-03,SELL,APP,337.34,0.4416,148.98
2025-03-03,SELL,PLTR,83.42,4.8644,405.79
2025-03-03,SELL,MSTR,250.92,10.1255,2540.7
2025-03-03,BUY,GILD,115.99,26.6855,3095.25
2025-04-01,SELL,GILD,111.28,26.6855,2969.56
2025-04-01,SELL,APP,282.7,9.1755,2593.9
2025-04-01,SELL,PLTR,84.68,37.1044,3142.0
2025-06-02,BUY,ZS,293.18,9.8842,2897.85
2025-06-02,BUY,AVGO,248.71,11.6515,2897.85
2025-06-02,BUY,PLTR,132.04,21.9467,2897.85
2025-07-01,SELL,PLTR,130.68,21.9467,2868.0
2025-07-01,BUY,STX,145.04,20.6455,2994.42
2025-07-01,SELL,ZS,307.32,0.1405,43.18
2025-07-01,BUY,WDC,63.84,46.9051,2994.42
2025-07-01,SELL,AVGO,264.74,11.6515,3084.62
2025-08-01,BUY,AMD,171.7,18.4585,3169.33
2025-08-01,BUY,PLTR,154.27,20.544,3169.33
2025-08-01,SELL,STX,154.81,20.6455,3196.13
2025-08-01,SELL,ZS,280.27,9.7437,2730.86
2025-08-01,SELL,WDC,76.55,5.5031,421.26
2025-09-02,BUY,INSM,145.3,22.0338,3201.52
2025-09-02,SELL,AMD,162.32,18.4585,2996.19
2025-09-02,SELL,PLTR,157.09,20.544,3227.26
2025-09-02,BUY,LITE,132.555,24.1524,3201.52
2025-09-02,SELL,WDC,81.91,41.4021,3391.25
2025-09-02,BUY,ALNY,447.0,7.1622,3201.52
2025-10-01,SELL,INSM,147.28,22.0338,3245.14
2025-10-01,BUY,SNDK,121.12,29.3614,3556.25
2025-10-01,BUY,STX,256.84,13.8462,3556.25
2025-10-01,SELL,LITE,171.4,24.1524,4139.71
2025-10-01,BUY,WDC,130.59,27.2322,3556.25
2025-10-01,SELL,ALNY,460.65,7.1622,3299.28
2025-11-03,BUY,MU,234.7,19.9419,4680.37
2025-11-03,SELL,SNDK,207.01,6.752,1397.74
2025-11-03,SELL,STX,265.55,13.8462,3676.85
2025-11-03,BUY,WDC,158.02,2.3866,377.14
2025-12-01,SELL,MU,240.46,19.9419,4795.24
2025-12-01,BUY,SNDK,210.17,0.202,42.45
2025-12-01,BUY,LITE,317.93,15.0796,4794.27
2025-12-01,SELL,WDC,163.54,0.3033,49.6
2026-01-02,BUY,MU,315.42,18.5951,5865.27
2026-01-02,SELL,SNDK,275.24,1.5018,413.34
2026-01-02,BUY,LITE,386.11,0.111,42.87
2026-01-02,SELL,WDC,187.7,29.3156,5502.54
2026-02-02,BUY,MU,437.8,3.2867,1438.91
2026-02-02,SELL,SNDK,665.24,6.9091,4596.18
2026-02-02,BUY,LITE,423.42,7.4343,3147.81
2026-03-02,BUY,MU,412.67,6.9215,2856.28
2026-03-02,BUY,SNDK,619.08,4.7992,2971.12
2026-03-02,SELL,LITE,783.25,7.4494,5834.74
2026-04-01,SELL,MU,367.85,28.8032,10595.27
2026-04-01,SELL,SNDK,692.73,19.1998,13300.3
2026-04-01,SELL,LITE,764.65,15.1755,11603.97
2026-05-01,BUY,SNDK,1187.0,9.9584,11820.6
2026-05-01,BUY,LITE,949.93,12.4437,11820.6
2026-05-01,BUY,INTC,99.62,118.6569,11820.6
