date,equity
2016-05-24,999200.0000000001
2016-05-25,997436.3763076923
2016-05-26,1015675.6560446938
2016-05-27,1036439.154502884
2016-05-31,1046336.0070354629
2016-06-01,1034569.4311203987
2016-06-02,1024184.6665680283
2016-06-03,1011248.8597636716
2016-06-06,1030511.344716077
2016-06-07,1034290.2620244317
2016-06-08,1030139.3712651203
2016-06-09,1046346.9340282669
2016-06-10,1017118.1339567064
2016-06-13,1025858.2419532484
2016-06-14,1022912.2330681253
2016-06-15,1028220.8989531784
2016-06-16,1055182.7264306918
2016-06-17,1085107.613880718
2016-06-20,1081667.8453286395
2016-06-21,1109621.36929483
2016-06-22,1077816.2931511502
2016-06-23,1109686.4569787665
2016-06-24,1045382.4570977269
2016-06-27,1016005.1609391344
2016-06-28,1061224.2721815656
2016-06-29,1076306.0959448142
2016-06-30,1085541.1448660414
2016-07-01,1075778.6477489686
2016-07-05,1076327.1568168695
2016-07-06,1083574.626948407
2016-07-07,1102073.1697144718
2016-07-08,1144861.134195034
2016-07-11,1152678.24398384
2016-07-12,1158361.863756516
2016-07-13,1154813.8372896328
2016-07-14,1173853.2416023547
2016-07-15,1160475.9304767074
2016-07-18,1200124.101963338
2016-07-19,1199150.536105805
2016-07-20,1206551.2742659547
2016-07-21,1184551.0075661112
2016-07-22,1243613.0114503661
2016-07-25,1312527.9155758498
2016-07-26,1341954.357143553
2016-07-27,1330101.342594074
2016-07-28,1324720.6794489627
2016-07-29,1341400.8268578453
2016-08-01,1325825.5885482368
2016-08-02,1290307.4698408875
2016-08-03,1292319.66105234
2016-08-04,1315222.9065268452
2016-08-05,1336796.5459615074
2016-08-08,1337781.320546908
2016-08-09,1332867.3142927221
2016-08-10,1322433.7601893812
2016-08-11,1344363.6338959937
2016-08-12,1380367.9698422793
2016-08-15,1399242.0950011
2016-08-16,1385269.728005429
2016-08-17,1365801.7971946052
2016-08-18,1398376.830856144
2016-08-19,1433377.9388061056
2016-08-22,1431680.1572633043
2016-08-23,1439041.6534516755
2016-08-24,1408993.283070635
2016-08-25,1411341.2601042313
2016-08-26,1425820.372052341
2016-08-29,1423973.028556892
2016-08-30,1424364.022440481
2016-08-31,1380800.3034004748
2016-09-01,1387346.894812896
2016-09-02,1412785.9636129567
2016-09-06,1415167.1655988316
2016-09-07,1372212.7336131982
2016-09-08,1342001.3130711452
2016-09-09,1273679.4840553799
2016-09-12,1291921.9882103067
2016-09-13,1260824.4868455296
2016-09-14,1287347.6654199937
2016-09-15,1312765.142797182
2016-09-16,1312567.2410160657
2016-09-19,1342183.4488915622
2016-09-20,1332988.6768264624
2016-09-21,1376720.2955259632
2016-09-22,1375647.595986175
2016-09-23,1380663.8590119404
2016-09-26,1360009.0145557234
2016-09-27,1397600.1001267
2016-09-28,1389764.1276800204
2016-09-29,1401732.0743489324
2016-09-30,1424591.59589438
2016-10-03,1427024.6106648408
2016-10-04,1435044.5212335978
2016-10-05,1435899.3764247287
2016-10-06,1454783.3201612895
2016-10-07,1434239.2310204888
2016-10-10,1445126.3616847354
2016-10-11,1371808.8319647745
2016-10-12,1384868.4609822505
2016-10-13,1365700.4633875075
2016-10-14,1384970.4357096357
2016-10-17,1374323.4842514608
2016-10-18,1386993.1738464586
2016-10-19,1391629.622441455
2016-10-20,1417995.2885017963
2016-10-21,1379193.3590295042
2016-10-24,1446273.7878635204
2016-10-25,1481580.2510992764
2016-10-26,1466919.0390020134
2016-10-27,1424207.1228658133
2016-10-28,1412886.4869178017
2016-10-31,1374905.2703811636
2016-11-01,1375173.4910077166
2016-11-02,1343797.2338871981
2016-11-03,1332981.672676555
2016-11-04,1322955.5916591377
2016-11-07,1392313.6203036106
2016-11-08,1394980.8483142813
2016-11-09,1377456.9102962404
2016-11-10,1315838.4134124953
2016-11-11,1493603.7920993294
2016-11-14,1472392.743797001
2016-11-15,1511507.9254640772
2016-11-16,1596703.708089677
2016-11-17,1678244.7659705675
2016-11-18,1701669.8061662891
2016-11-21,1721586.8749799908
2016-11-22,1716617.6942259802
2016-11-23,1730450.6509544498
2016-11-25,1735714.2979563696
2016-11-28,1735481.980484592
2016-11-29,1720842.6552871151
2016-11-30,1715545.8688747406
2016-12-01,1622393.1131604747
2016-12-02,1629035.5853817852
2016-12-05,1658796.1570120743
2016-12-06,1723408.7881508518
2016-12-07,1754075.4056246264
2016-12-08,1796984.4338108755
2016-12-09,1772566.6663417544
2016-12-12,1778122.245845637
2016-12-13,1773640.8190441683
2016-12-14,1803977.8902058464
2016-12-15,1840527.1520504814
2016-12-16,1836550.223363135
2016-12-19,1863572.2375827131
2016-12-20,1927053.7071435146
2016-12-21,1922554.27581058
2016-12-22,1934905.1056315354
2016-12-23,1949796.8986715511
2016-12-27,2029887.3089494884
2016-12-28,1937323.8395974908
2016-12-29,1956693.0657031878
2016-12-30,1908949.9382278512
2017-01-03,1890535.30057789
2017-01-04,1899933.3692493413
2017-01-05,1866082.6905558126
2017-01-06,1876944.582270659
2017-01-09,1920546.7248928205
2017-01-10,1916696.5414890957
2017-01-11,1904028.2316192526
2017-01-12,1855704.0677221722
2017-01-13,1842078.0243691632
2017-01-17,1773511.4832565158
2017-01-18,1804411.4293611732
2017-01-19,1794947.2192066635
2017-01-20,1793726.082348596
2017-01-23,1807270.3172733693
2017-01-24,1877194.4127401707
2017-01-25,1894925.1412008358
2017-01-26,1914680.9821584218
2017-01-27,1948641.2907643763
2017-01-30,1940386.649342934
2017-01-31,1919998.3029364427
2017-02-01,2059467.636214229
2017-02-02,2069300.2293335462
2017-02-03,2067935.4029024101
2017-02-06,2171618.682733312
2017-02-07,2169351.100638446
2017-02-08,2185678.4474850725
2017-02-09,2161199.7253527967
2017-02-10,2153967.428671713
2017-02-13,2119297.9821091807
2017-02-14,2109922.417064214
2017-02-15,2103899.710019098
2017-02-16,2079661.4407230762
2017-02-17,2101051.8414879907
2017-02-21,2179145.649190624
2017-02-22,2185639.2835571123
2017-02-23,2119010.6022920604
2017-02-24,2121780.9019368966
2017-02-27,2204428.294567922
2017-02-28,2142432.7763328003
2017-03-01,2187100.7851200905
2017-03-02,2126026.3357633026
2017-03-03,2104824.9566425076
2017-03-06,2098045.993636613
2017-03-07,2088427.940293505
2017-03-08,2094545.0980273106
2017-03-09,2116969.0549144093
2017-03-10,2170032.235472965
2017-03-13,2201761.525262162
2017-03-14,2175827.929748616
2017-03-15,2184106.392575139
2017-03-16,2164662.3671149192
2017-03-17,2170645.5465252744
2017-03-20,2237883.194101071
2017-03-21,2170504.8767760694
2017-03-22,2190590.537551335
2017-03-23,2181074.3899107426
2017-03-24,2196918.738647923
2017-03-27,2212652.6961408164
2017-03-28,2253004.9767602924
2017-03-29,2257370.777830543
2017-03-30,2229959.571669382
2017-03-31,2230889.563352002
2017-04-03,2248700.6027877205
2017-04-04,2229541.6419502813
2017-04-05,2201263.2050082856
2017-04-06,2171278.14034619
2017-04-07,2195790.9276984767
2017-04-10,2205196.572679232
2017-04-11,2193567.8517799308
2017-04-12,2148386.8351195864
2017-04-13,2158272.2908980814
2017-04-17,2188021.9807275836
2017-04-18,2191928.8155574244
2017-04-19,2211017.028154177
2017-04-20,2254336.3023895454
2017-04-21,2259930.961053537
2017-04-24,2266737.442359655
2017-04-25,2308534.051075591
2017-04-26,2267932.9564617295
2017-04-27,2263663.6619515065
2017-04-28,2291920.8211438465
2017-05-01,2343128.2415899783
2017-05-02,2197706.216380932
2017-05-03,2192735.40328491
2017-05-04,2155118.495609924
2017-05-05,2192521.796910474
2017-05-08,2197984.410393982
2017-05-09,2240162.7475261926
2017-05-10,2306421.4665954015
2017-05-11,2312032.5548063144
2017-05-12,2333790.341336907
2017-05-15,2360207.973456086
2017-05-16,2455552.8536262475
2017-05-17,2291091.1523610214
2017-05-18,2341643.827787872
2017-05-19,2316912.75940152
2017-05-22,2309027.372204542
2017-05-23,2289443.067092495
2017-05-24,2305273.8755683573
2017-05-25,2309653.1754021635
2017-05-26,2324613.083376159
2017-05-30,2332824.1336475313
2017-05-31,2370687.0941268546
2017-06-01,2392260.56596414
2017-06-02,2423135.30325232
2017-06-05,2442659.6622164985
2017-06-06,2451882.4500651183
2017-06-07,2462717.813692633
2017-06-08,2546524.937025453
2017-06-09,2389061.5849978123
2017-06-12,2356881.501737601
2017-06-13,2354506.9084895337
2017-06-14,2320088.4501846917
2017-06-15,2319868.2179250047
2017-06-16,2328535.50928892
2017-06-19,2422012.487198998
2017-06-20,2398217.6182101415
2017-06-21,2447397.347918935
2017-06-22,2438809.7134876773
2017-06-23,2438793.5889525274
2017-06-26,2388075.2307501594
2017-06-27,2280196.7001221254
2017-06-28,2348135.635334594
2017-06-29,2265317.8917123443
2017-06-30,2253453.7096212823
2017-07-03,2213902.443422151
2017-07-05,2272723.657571214
