date,equity
2016-05-24,999360.0
2016-05-25,997516.1065857972
2016-05-26,1007844.7586279515
2016-05-27,1022681.1103577777
2016-05-31,1032153.806703242
2016-06-01,1025318.6294349318
2016-06-02,1016872.2687076062
2016-06-03,1005172.3666960555
2016-06-06,1018667.6933123478
2016-06-07,1022006.4967686187
2016-06-08,1016564.0106537313
2016-06-09,1024937.054645353
2016-06-10,1001438.1344323466
2016-06-13,1004232.6592068573
2016-06-14,1005677.6894917719
2016-06-15,1005243.0596829003
2016-06-16,1024597.1266179988
2016-06-17,1040243.3989538851
2016-06-20,1039039.80883308
2016-06-21,1056663.0114036882
2016-06-22,1037070.602101168
2016-06-23,1058667.0078336895
2016-06-24,1004277.2491692326
2016-06-27,986845.3962077473
2016-06-28,1017406.3429586107
2016-06-29,1030535.6376851901
2016-06-30,1035139.9781434395
2016-07-01,1028820.936073427
2016-07-05,1028376.3904323728
2016-07-06,1032887.1821456748
2016-07-07,1048169.6110979749
2016-07-08,1078174.9690033335
2016-07-11,1086229.6399591083
2016-07-12,1093448.2688715553
2016-07-13,1088342.6459891114
2016-07-14,1099750.5003833394
2016-07-15,1090753.1187264002
2016-07-18,1116584.9241920982
2016-07-19,1115204.0685751352
2016-07-20,1124871.4947550567
2016-07-21,1112463.9460800556
2016-07-22,1151929.462357809
2016-07-25,1193488.5484871354
2016-07-26,1212140.3885773635
2016-07-27,1204413.9973611308
2016-07-28,1201993.4271843599
2016-07-29,1213460.3123889714
2016-08-01,1202813.194597376
2016-08-02,1176875.2853622935
2016-08-03,1178122.320285072
2016-08-04,1194146.1041560906
2016-08-05,1238455.2164651668
2016-08-08,1240969.5442233654
2016-08-09,1232192.541935501
2016-08-10,1224349.3009740736
2016-08-11,1237950.8721902159
2016-08-12,1258230.487074295
2016-08-15,1272892.352762122
2016-08-16,1260612.4378887885
2016-08-17,1246609.5633219806
2016-08-18,1268855.2102516792
2016-08-19,1295351.1122420402
2016-08-22,1292795.5257847023
2016-08-23,1297698.1621289202
2016-08-24,1277382.332654447
2016-08-25,1279941.8517612892
2016-08-26,1290657.4502477401
2016-08-29,1288174.0005792214
2016-08-30,1287689.476671476
2016-08-31,1270438.0659614766
2016-09-01,1276632.2917850479
2016-09-02,1297746.3860204432
2016-09-06,1291122.7840042636
2016-09-07,1254440.5114450708
2016-09-08,1226995.4699609785
2016-09-09,1185793.2861422224
2016-09-12,1193222.5545776673
2016-09-13,1179659.8483412922
2016-09-14,1175522.2388928754
2016-09-15,1195038.1919484206
2016-09-16,1198477.340489263
2016-09-19,1206452.098089306
2016-09-20,1204964.5311961144
2016-09-21,1240996.5530614275
2016-09-22,1252034.457851764
2016-09-23,1244778.784560606
2016-09-26,1248218.679524168
2016-09-27,1267761.133963971
2016-09-28,1271056.3011308163
2016-09-29,1266151.5304236172
2016-09-30,1275234.6335112988
2016-10-03,1239761.3984571258
2016-10-04,1236731.873930586
2016-10-05,1239443.7875944136
2016-10-06,1232844.4943329915
2016-10-07,1235259.786481776
