date,action,symbol,price,shares,value
2016-05-24,BUY,AMD,4.2,47619.0498,200000.0
2016-05-24,BUY,NVDA,1.134,176366.8518,200000.0
2016-05-24,BUY,MELI,134.6,1485.884,200000.0
2016-05-24,BUY,NXPI,91.58,2183.8829,200000.0
2016-06-24,SELL,NXPI,80.07,2183.8829,174863.5
2016-07-01,BUY,AXON,24.89,8268.2652,205797.11
2016-09-09,SELL,AMD,5.9,47619.0498,280952.4
2016-09-12,BUY,STX,36.55,6530.3066,238682.7
2016-10-03,SELL,AXON,24.29,8268.2652,200836.17
2016-10-03,BUY,NXPI,102.76,2413.3121,247991.96
2016-11-10,SELL,MELI,162.81,1485.884,241916.78
2016-11-10,BUY,CSX,11.51,20370.0563,234459.35
2017-01-12,SELL,STX,36.75,6530.3066,239988.77
2017-01-12,BUY,ADP,103.8,2626.6825,272649.65
2017-01-23,SELL,NXPI,96.0,2413.3121,231677.96
2017-01-23,BUY,TSLA,16.5947,17017.9807,282407.73
2017-04-04,SELL,NVDA,2.5195,176366.8518,444356.29
2017-04-04,BUY,VRTX,112.29,2603.0108,292292.08
2017-05-03,SELL,ADP,97.51,2626.6825,256127.82
2017-05-03,BUY,LRCX,15.008,20059.9066,301059.09
2017-07-24,SELL,CSX,16.94,20370.0563,345068.76
2017-07-24,BUY,LITE,67.95,4963.7239,337285.02
2017-08-10,SELL,LITE,53.05,4963.7239,263325.55
2017-08-10,BUY,XEL,48.64,6379.1737,310283.01
2017-09-22,SELL,XEL,47.41,6379.1737,302436.63
2017-09-22,BUY,PYPL,65.08,4917.063,320002.47
2017-09-26,SELL,TSLA,23.0167,17017.9807,391697.19
2017-09-26,BUY,ODFL,35.85,8705.0642,312076.54
2017-10-26,SELL,VRTX,143.76,2603.0108,374208.81
2017-10-26,BUY,KLAC,108.85,3108.6722,338378.97
2017-12-04,SELL,LRCX,18.074,20059.9066,362562.74
2017-12-04,BUY,ROST,78.01,4212.2789,328599.89
2018-02-05,SELL,KLAC,101.2,3108.6722,314597.62
2018-02-06,BUY,FTNT,9.308,36628.5632,340938.65
2018-02-08,SELL,PYPL,72.32,4917.063,355601.99
2018-02-09,BUY,LITE,57.2,5781.8811,330723.6
2018-03-22,SELL,ROST,75.04,4212.2789,316089.41
2018-03-23,BUY,DXCM,17.2,20797.7134,357720.69
2018-04-16,SELL,LITE,58.475,5781.8811,338095.49
2018-04-16,BUY,KDP,121.04,2971.3776,359655.55
2018-04-26,SELL,ODFL,44.31,8705.0642,385721.41
2018-04-26,BUY,BKR,35.98,9720.9198,349758.69
2018-07-10,SELL,KDP,22.19,2971.3776,65934.87
2018-07-16,SELL,BKR,32.33,9720.9198,314277.36
2018-07-16,BUY,AXON,69.02,4727.9949,326326.19
2018-08-08,SELL,AXON,59.78,4727.9949,282639.53
