date,equity,held
2016-05-24,100000.0,0
2016-05-25,102073.9679712163,1
2016-05-26,102928.8233064188,1
2016-05-27,104477.71123761272,1
2016-05-31,105101.2586009285,1
2016-06-01,105141.54277708168,1
2016-06-02,105734.87700828256,1
2016-06-03,104286.59083714022,1
2016-06-06,105402.99142752902,1
2016-06-07,104658.76059404695,1
2016-06-08,105121.38861341271,1
2016-06-09,104658.76059404692,1
2016-06-10,101138.61673726172,1
2016-06-13,98543.759108189,1
2016-06-14,98594.07810160334,1
2016-06-15,97708.96736971269,1
2016-06-16,98413.02874516911,1
2016-06-17,95043.73922609181,1
2016-06-20,94967.70423471094,0
2016-06-21,94967.70423471094,0
2016-06-22,94967.70423471094,0
2016-06-23,94967.70423471094,0
2016-06-24,83261.51534199134,1
2016-06-27,83194.90612971775,0
2016-06-28,83194.90612971775,0
2016-06-29,83194.90612971775,0
2016-06-30,83194.90612971775,0
2016-07-01,83194.90612971775,0
2016-07-05,81654.27553842911,1
2016-07-06,81588.95211799837,0
2016-07-07,82296.60299514541,1
2016-07-08,86100.03636357136,1
2016-07-11,87569.93504021392,1
2016-07-12,88948.42245485043,1
2016-07-13,88325.59349624753,1
2016-07-14,90119.35007005624,1
2016-07-15,89612.79926781404,1
2016-07-18,91398.25025902558,1
2016-07-19,90451.56340325656,1
2016-07-20,93549.06711901443,1
2016-07-21,92992.71273325125,1
2016-07-22,94072.2390571384,1
2016-07-25,94155.29488311033,1
2016-07-26,94470.87710974146,1
2016-07-27,96314.46717913332,1
2016-07-28,97360.80108469389,1
2016-07-29,98000.27112055333,1
2016-08-01,99536.55463384908,1
2016-08-02,97294.36639460373,1
2016-08-03,98216.14647326859,1
2016-08-04,99096.45846307183,1
2016-08-05,101961.45571954527,1
2016-08-08,101637.60779306652,1
2016-08-09,102310.24033519038,1
2016-08-10,101521.30969533105,1
2016-08-11,102833.44218537651,1
2016-08-12,103024.42073167497,1
2016-08-15,104319.8922030891,1
2016-08-16,102675.58626259287,1
2016-08-17,103157.31005323002,1
2016-08-18,103256.94713233413,1
2016-08-19,103115.76219886927,1
2016-08-22,103215.43916072295,1
2016-08-23,103829.96253672865,1
2016-08-24,101828.57636867753,1
2016-08-25,101346.92237285212,1
2016-08-26,101836.88195127471,1
2016-08-29,102119.24184751706,1
2016-08-30,101197.44182747744,1
2016-08-31,100931.70306711685,1
2016-09-01,101380.1147911787,1
2016-09-02,102567.69345432847,1
2016-09-06,104469.36277777635,1
2016-09-07,104660.38120682437,1
2016-09-08,102866.63460370305,1
2016-09-09,95068.79929124008,1
2016-09-12,99943.50823973664,1
2016-09-13,97585.03187344321,1
2016-09-14,98838.9754318714,1
2016-09-15,103423.008930841,1
2016-09-16,103306.77065722986,1
2016-09-19,101953.13019557319,1
2016-09-20,102517.83004668311,1
2016-09-21,105499.14534226681,1
2016-09-22,107965.53445819938,1
2016-09-23,106022.32725107817,1
2016-09-26,103389.80654182697,1
2016-09-27,106321.28834182753,1
2016-09-28,106902.54950469489,1
2016-09-29,104635.49437109492,1
2016-09-30,106786.27134833418,1
2016-10-03,106545.49918920214,1
2016-10-04,105939.24151304406,1
2016-10-05,107043.76435022191,1
2016-10-06,106877.65269827806,1
2016-10-07,106180.08346698784,1
2016-10-10,108081.78270249789,1
2016-10-11,103614.02735988896,1
2016-10-12,103398.11212442414,1
2016-10-13,102185.68650829452,1
2016-10-14,102418.18299689154,1
2016-10-17,101712.3380950663,1
2016-10-18,104319.89220308897,1
2016-10-19,104361.44005744971,1
2016-10-20,103921.26412117331,1
2016-10-21,105050.70370614274,1
2016-10-24,108878.9989835796,1
2016-10-25,107791.17704778265,1
2016-10-26,105723.34621895399,1
2016-10-27,104245.13198902684,1
2016-10-28,102443.10971537049,1
2016-10-31,101861.82861112835,1
2016-11-01,99769.1009758829,1
2016-11-02,97169.80259702046,1
2016-11-03,94371.23005994977,1
2016-11-04,93299.94949453545,1
2016-11-07,99984.98629928553,1
2016-11-08,101944.82461297594,1
2016-11-09,103373.18540594516,1
2016-11-10,98456.96848583742,1
2016-11-11,98373.95254261508,1
2016-11-14,95052.14824329605,1
2016-11-15,99453.50877856438,1
2016-11-16,101072.89797126902,1
2016-11-17,103414.72328961849,1
2016-11-18,102252.11122769724,1
2016-11-21,105324.75801978789,1
2016-11-22,106271.45484624432,1
2016-11-23,104992.55465727499,1
2016-11-25,106005.68617382155,1
2016-11-28,105416.06957492005,1
2016-11-29,106429.21106215402,1
2016-11-30,102982.90278937625,1
2016-12-01,97327.59869567973,1
2016-12-02,97717.891282936,1
2016-12-05,99976.71062875052,1
2016-12-06,100699.17666645754,1
2016-12-07,104436.17035944964,1
2016-12-08,105075.62045393429,1
2016-12-09,107533.67407520748,1
2016-12-12,106038.89853352291,1
2016-12-13,110182.82589102785,1
2016-12-14,109377.31399803632,1
2016-12-15,110041.6309868756,1
2016-12-16,108704.61166110073,1
2016-12-19,110033.3353749658,1
2016-12-20,111362.01920608133,1
2016-12-21,110971.70667745026,1
2016-12-22,110008.43856854903,1
2016-12-23,110348.86774816,1
2016-12-27,111959.94138758005,1
2016-12-28,109368.98847406438,1
2016-12-29,108837.5109533432,1
2016-12-30,105656.92149955123,1
2017-01-03,108214.68199474031,1
2017-01-04,110058.26209344478,1
2017-01-05,112009.77488316318,1
2017-01-06,114849.86536253244,1
2017-01-09,116012.51730720323,1
2017-01-10,116676.82432535513,1
2017-01-11,117573.73750966536,1
2017-01-12,116975.78541610447,1
2017-01-13,118321.12029516396,1
2017-01-17,117208.36167020065,1
2017-01-18,118005.56798059502,1
2017-01-19,117689.97578327652,1
2017-01-20,118454.01958740645,1
2017-01-23,118719.72843570483,1
2017-01-24,121194.46301698418,1
2017-01-25,124732.13269833106,1
2017-01-26,125246.97911248305,1
2017-01-27,125844.91126466915,1
2017-01-30,122988.1896787307,1
2017-01-31,122307.21167126008,1
2017-02-01,124632.49561922693,1
2017-02-02,124316.89345122101,1
2017-02-03,125396.45965785773,1
2017-02-06,125861.53240055093,1
2017-02-07,127157.00387196506,1
2017-02-08,127871.19423913708,1
2017-02-09,129199.89801162737,1
2017-02-10,130478.74834715974,1
2017-02-13,132770.76011130083,1
2017-02-14,134016.4180285066,1
2017-02-15,136325.06089921686,1
2017-02-16,136208.79271354355,1
2017-02-17,137919.48349069298,1
2017-02-21,140111.88808779212,1
2017-02-22,140128.4793116117,1
2017-02-23,138617.09260473275,1
2017-02-24,139364.48536091874,1
2017-02-27,139779.69469596664,1
2017-02-28,138683.53726551033,1
2017-03-01,143167.90377331362,1
2017-03-02,140909.10436887393,1
2017-03-03,141639.84607711594,1
2017-03-06,140659.97677370772,1
2017-03-07,139962.3975717301,1
2017-03-08,140676.59790958947,1
2017-03-09,141108.38849776954,1
2017-03-10,142653.02744709948,1
2017-03-13,143483.45608788257,1
2017-03-14,142420.51101712766,1
2017-03-15,144911.8168808518,1
2017-03-16,144828.75108419248,1
2017-03-17,144479.95649786,1
2017-03-20,144911.8168808518,1
2017-03-21,138450.96101141415,1
2017-03-22,141174.84312923448,1
2017-03-23,140045.4434270146,1
2017-03-24,140809.4373777076,1
2017-03-27,141556.82016320617,1
2017-03-28,144214.25762024894,1
2017-03-29,146124.23252629398,1
2017-03-30,146855.05400003513,1
2017-03-31,146506.26938439003,1
2017-04-03,146190.6871577589,1
2017-04-04,146855.05400003513,1
2017-04-05,145177.52572915016,1
2017-04-06,145293.81385619825,1
2017-04-07,145127.7121749418,1
2017-04-10,145293.81385619825,1
2017-04-11,143466.88480543773,1
2017-04-12,141573.4811818375,1
2017-04-13,139895.94294026511,1
2017-04-17,143217.72729820933,1
2017-04-18,142802.50799247407,1
2017-04-19,143300.75321211907,1
2017-04-20,146771.96826200103,1
2017-04-21,146705.58342534784,1
2017-04-24,152036.98973912862,1
2017-04-25,155408.57768059382,1
2017-04-26,154727.62958518538,1
2017-04-27,157434.86065506173,1
2017-04-28,158331.723985935,1
2017-05-01,162317.8452740933,1
2017-05-02,163281.1632364315,1
2017-05-03,161670.08959701142,1
2017-05-04,161836.20124895527,1
2017-05-05,163596.72552168785,1
2017-05-08,164576.64467853305,1
2017-05-09,166387.00244684875,1
2017-05-10,166652.70132445978,1
2017-05-11,166254.1131252937,1
2017-05-12,167333.73915605474,1
2017-05-15,168894.9095050799,1
