symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,open
TQQQ,2016-05-25,2.1144,48276.1868,2016-06-20,2.0042,-5321.63,-5.21,17,False
TQQQ,2016-06-24,1.8392,45271.3187,2016-06-27,1.7321,-4849.33,-5.82,1,False
TQQQ,2016-07-05,1.9981,40865.45,2016-07-06,2.0452,1925.09,2.36,1,False
TQQQ,2016-07-07,2.0646,39861.1247,2018-10-12,7.2537,206845.35,251.34,572,False
TQQQ,2018-10-15,6.98,36696.385,2018-10-25,6.7425,-8715.4,-3.4,8,False
TQQQ,2018-11-08,7.0613,31186.5403,2018-11-12,6.1137,-29550.81,-13.42,2,False
TQQQ,2019-02-19,6.2913,33371.091,2019-02-22,6.35,1958.88,0.93,3,False
TQQQ,2019-02-25,6.42,32609.6698,2019-03-08,6.1438,-9008.42,-4.3,9,False
TQQQ,2019-03-12,6.6337,30818.4445,2019-06-03,5.8762,-23343.44,-11.42,57,False
TQQQ,2019-06-05,6.4925,30417.2057,2020-03-10,8.845,71556.48,36.23,192,False
TQQQ,2020-03-11,7.7075,26284.8965,2020-03-12,5.595,-55526.85,-27.41,1,False
TQQQ,2020-04-09,6.8337,29706.9827,2022-01-21,28.335,638738.72,314.64,450,False
TQQQ,2022-02-03,28.37,28451.5788,2022-02-04,29.35,27882.56,3.45,1,False
TQQQ,2022-02-10,29.41,25582.0496,2022-02-11,26.64,-70862.29,-9.42,1,False
TQQQ,2022-03-30,30.345,24009.7843,2022-03-31,29.09,-30132.28,-4.14,1,False
TQQQ,2022-04-05,28.74,23635.1097,2022-04-06,26.85,-44670.35,-6.58,1,False
TQQQ,2023-01-27,11.665,59806.1576,2023-01-31,11.455,-12559.3,-1.8,2,False
TQQQ,2023-02-01,12.195,57159.0978,2023-03-13,10.665,-87453.42,-12.55,27,False
TQQQ,2023-03-14,11.39,55866.56,2025-03-07,33.705,1246662.39,195.92,497,False
TQQQ,2025-05-13,34.57,57464.07,2026-03-23,44.57,574640.68,28.93,215,False
TQQQ,2026-04-09,48.96,51766.7566,2026-05-22,77.84,1495023.74,58.99,31,True
