date,action,symbol,price,shares,value
2016-05-25,BUY_TQQQ,TQQQ,2.1144,48276.1868,102073.97
2016-06-20,SELL_TQQQ,TQQQ,2.0042,47385.1233,94967.7
2016-06-24,BUY_TQQQ,TQQQ,1.8392,45271.3187,83261.52
2016-06-27,SELL_TQQQ,TQQQ,1.7321,48031.7097,83194.91
2016-07-05,BUY_TQQQ,TQQQ,1.9981,40865.45,81654.28
2016-07-06,SELL_TQQQ,TQQQ,2.0452,39892.741,81588.95
2016-07-07,BUY_TQQQ,TQQQ,2.0646,39861.1247,82296.6
2018-10-12,SELL_TQQQ,TQQQ,7.2537,36726.9089,266407.81
2018-10-15,BUY_TQQQ,TQQQ,6.98,36696.385,256140.77
2018-10-25,SELL_TQQQ,TQQQ,6.7425,33254.5549,224218.83
2018-11-08,BUY_TQQQ,TQQQ,7.0613,31186.5403,220215.96
2018-11-12,SELL_TQQQ,TQQQ,6.1137,34162.4324,208860.57
2019-02-19,BUY_TQQQ,TQQQ,6.2913,33371.091,209945.88
2019-02-22,SELL_TQQQ,TQQQ,6.35,32635.4973,207235.4
2019-02-25,BUY_TQQQ,TQQQ,6.42,32609.6698,209354.08
2019-03-08,SELL_TQQQ,TQQQ,6.1438,32769.2127,201325.86
2019-03-12,BUY_TQQQ,TQQQ,6.6337,30818.4445,204441.86
2019-06-03,SELL_TQQQ,TQQQ,5.8762,32908.1671,193376.61
2019-06-05,BUY_TQQQ,TQQQ,6.4925,30417.2057,197483.7
2020-03-10,SELL_TQQQ,TQQQ,8.845,26309.0469,232703.53
2020-03-11,BUY_TQQQ,TQQQ,7.7075,26284.8965,202590.84
2020-03-12,SELL_TQQQ,TQQQ,5.595,36180.2992,202428.77
2020-04-09,BUY_TQQQ,TQQQ,6.8337,29706.9827,203010.09
2022-01-21,SELL_TQQQ,TQQQ,28.335,32412.1634,918398.62
2022-02-03,BUY_TQQQ,TQQQ,28.37,28451.5788,807171.31
2022-02-04,SELL_TQQQ,TQQQ,29.35,27479.5763,806525.58
2022-02-10,BUY_TQQQ,TQQQ,29.41,25582.0496,752368.07
2022-02-11,SELL_TQQQ,TQQQ,26.64,28219.4518,751766.18
2022-03-30,BUY_TQQQ,TQQQ,30.345,24009.7843,728576.89
2022-03-31,SELL_TQQQ,TQQQ,29.09,25025.5765,727994.03
2022-04-05,BUY_TQQQ,TQQQ,28.74,23635.1097,679273.05
2022-04-06,SELL_TQQQ,TQQQ,26.85,25278.5705,678729.63
2023-01-27,BUY_TQQQ,TQQQ,11.665,59806.1576,697638.83
2023-01-31,SELL_TQQQ,TQQQ,11.455,57202.0834,655249.86
2023-02-01,BUY_TQQQ,TQQQ,12.195,57159.0978,697055.18
2023-03-13,SELL_TQQQ,TQQQ,10.665,55908.4338,596263.44
2023-03-14,BUY_TQQQ,TQQQ,11.39,55866.56,636320.14
2025-03-07,SELL_TQQQ,TQQQ,33.705,56399.0199,1900929.07
2025-05-13,BUY_TQQQ,TQQQ,34.57,57464.07,1986532.88
2026-03-23,SELL_TQQQ,TQQQ,44.57,55794.3623,2486754.71
2026-04-09,BUY_TQQQ,TQQQ,48.96,51766.7566,2534500.35
