date,equity
2023-05-24,999200.0000000001
2023-05-25,1015295.6074051458
2023-05-26,1049878.647897414
2023-05-30,1081867.3698581466
2023-05-31,1095452.6798695214
2023-06-01,1098327.1825687452
2023-06-02,1093743.033310481
2023-06-05,1108805.8323557507
2023-06-06,1109223.564791169
2023-06-07,1068861.0803550938
2023-06-08,1092307.3232176057
2023-06-09,1090916.5215752053
2023-06-12,1121542.5143848446
2023-06-13,1144907.2131537776
2023-06-14,1163558.503417967
2023-06-15,1189167.7257295647
2023-06-16,1180853.7865688815
2023-06-20,1182758.8996032346
2023-06-21,1143144.811886296
2023-06-22,1132450.3538001576
2023-06-23,1129603.8629711948
2023-06-26,1099025.0257268683
2023-06-27,1138891.1983309304
2023-06-28,1146414.7633445247
2023-06-29,1136629.865942309
2023-06-30,1160859.806333104
2023-07-03,1164756.8711748335
2023-07-05,1168660.5456818768
2023-07-06,1150829.779294517
2023-07-07,1164057.3593819747
2023-07-10,1212855.4429465244
2023-07-11,1224390.8420217908
2023-07-12,1241828.2559043856
2023-07-13,1314286.2171631001
2023-07-14,1298069.944949236
2023-07-17,1322952.8136280968
2023-07-18,1345239.5461945292
2023-07-19,1348174.5194048053
2023-07-20,1298271.8796676507
2023-07-21,1265362.1608888477
2023-07-24,1259513.5933286557
2023-07-25,1281088.2704119
2023-07-26,1282832.2848026163
2023-07-27,1262130.7069906455
2023-07-28,1320162.7240543207
2023-07-31,1374142.4243086616
2023-08-01,1372098.7103917943
2023-08-02,1322794.92912368
2023-08-03,1310964.093626241
2023-08-04,1312123.7674601432
2023-08-07,1306123.3849004684
2023-08-08,1266336.7844678308
2023-08-09,1195277.7633231964
2023-08-10,1310731.2105734046
2023-08-11,1320253.2638924813
2023-08-14,1368388.0480813305
2023-08-15,1360468.4212991958
2023-08-16,1349387.5659985463
2023-08-17,1300320.5939497314
2023-08-18,1311570.662905537
2023-08-21,1361309.8911431776
2023-08-22,1359262.8717296398
2023-08-23,1398125.7958514465
2023-08-24,1359365.2179088462
2023-08-25,1363578.7215452911
2023-08-28,1387094.8064885268
2023-08-29,1431970.752884339
2023-08-30,1483610.2001740905
2023-08-31,1457094.799157483
2023-09-01,1452125.2402872744
