symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
PLTR,2023-05-24,12.23,2062.4314,2023-06-01,14.54,4764.22,18.89,5
APP,2023-05-24,24.43,13644.4261,2023-06-01,24.83,5457.77,1.64,5
PLTR,2023-05-24,12.23,163.3382,2023-07-03,15.52,537.38,26.9,26
META,2023-05-24,249.21,1343.6981,2023-07-03,286.02,49461.5,14.77,26
NVDA,2023-06-01,39.77,51.6232,2023-07-03,42.413,136.44,6.65,21
MSTR,2023-07-03,37.784,10281.0613,2023-08-01,43.498,58745.99,15.12,20
PLTR,2023-05-24,12.23,2136.7996,2023-08-01,19.99,16581.57,63.45,46
PLTR,2023-05-24,12.23,22892.8148,2023-09-01,15.18,67533.82,24.12,69
APP,2023-08-01,31.43,3346.8725,2023-09-01,43.19,39359.21,37.42,23
APP,2023-08-01,31.43,171.7267,2023-10-02,40.82,1612.51,29.88,43
NVDA,2023-06-01,39.77,9983.7965,2023-10-02,44.782,50038.8,12.6,84
ADBE,2023-09-01,563.21,859.8994,2023-10-02,521.13,-36184.58,-7.47,20
PLTR,2023-10-02,15.88,28382.7765,2023-11-01,14.92,-27247.47,-6.05,22
INSM,2023-10-02,25.37,17765.8052,2023-11-01,24.99,-6751.02,-1.5,22
MSTR,2023-11-01,42.667,62.0245,2023-12-01,52.768,626.51,23.67,21
PDD,2023-11-01,102.93,531.8449,2023-12-01,145.27,22518.31,41.13,21
APP,2023-08-01,31.43,11546.0728,2023-12-01,38.25,78744.21,21.7,86
MSTR,2023-11-01,42.667,1381.9494,2024-01-02,68.515,35720.63,60.58,41
MSTR,2023-11-01,42.667,8487.3755,2024-02-01,50.348,65191.53,18.0,62
PDD,2023-11-01,102.93,3992.8078,2024-02-01,126.59,94469.82,22.99,62
CRWD,2023-12-01,235.03,531.8074,2024-02-01,299.37,34216.49,27.38,41
NVDA,2024-02-01,63.027,828.4699,2024-03-01,82.279,15949.7,30.55,20
CRWD,2023-12-01,235.03,1823.5432,2024-03-01,314.6,145099.35,33.86,61
AMD,2024-02-01,170.48,21.694,2024-03-01,202.64,697.68,18.86,20
MSTR,2024-03-01,107.939,1353.6636,2024-04-01,163.674,75446.43,51.64,20
AMD,2024-02-01,170.48,3180.5241,2024-04-01,183.34,40901.54,7.54,40
