symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
SHOP,2023-01-26,48.33,4138.2163,2023-02-21,41.42,-28595.09,-14.3,17
PDD,2023-01-26,104.66,1910.9497,2023-02-22,83.42,-40588.58,-20.29,18
ASML,2023-01-26,683.9,292.4404,2023-04-19,623.6,-17634.17,-8.82,57
PANW,2023-02-22,93.875,1964.1313,2023-08-08,105.74,23304.41,12.64,115
FER,2023-01-31,29.99,6542.6116,2023-08-22,30.0,65.43,0.03,140
NVDA,2023-01-26,19.802,10099.9899,2023-09-21,41.017,214271.27,107.14,164
CPRT,2023-04-19,39.04,5122.2304,2023-09-21,43.14,21001.14,10.5,107
PCAR,2023-10-04,86.67,2687.2243,2023-10-19,82.55,-11071.35,-4.75,11
CSCO,2023-08-22,55.46,4412.1915,2023-10-20,52.93,-11162.84,-4.56,42
COST,2023-09-28,568.63,412.4688,2023-10-26,547.6,-8674.23,-3.7,20
MSFT,2023-10-25,340.67,680.8746,2023-10-26,327.89,-8701.58,-3.75,1
CEG,2023-08-08,104.81,2349.5976,2023-12-07,110.53,13439.7,5.46,85
MSTR,2023-10-24,42.487,5467.1532,2024-01-11,53.618,60854.89,26.2,54
SHOP,2024-01-11,81.3,3204.4926,2024-04-03,75.64,-18137.44,-6.96,56
TMUS,2023-10-31,143.86,1593.5666,2024-04-12,160.05,25799.85,11.25,112
MSFT,2023-11-01,346.07,667.0866,2024-04-19,399.12,35388.94,15.33,116
CRWD,2023-12-07,240.17,1047.0314,2024-04-19,282.64,44467.44,17.68,91
KHC,2024-04-19,37.78,6697.3597,2024-05-01,36.28,-10046.04,-3.97,8
PEP,2024-04-22,176.46,1440.8805,2024-05-30,170.48,-8616.48,-3.39,27
KDP,2024-04-22,31.76,8005.5977,2024-07-09,31.95,1521.07,0.6,53
APP,2024-04-03,72.86,3697.2525,2024-07-25,76.17,12237.9,4.54,78
TSLA,2024-07-09,262.33,1046.6612,2024-08-02,207.67,-57210.49,-20.84,18
INSM,2024-05-30,56.98,4634.8621,2024-10-24,71.71,68271.52,25.85,102
AEP,2024-05-01,88.15,2894.8672,2024-11-06,96.25,23448.42,9.19,131
ALNY,2024-08-02,272.05,979.3059,2024-11-13,264.6,-7295.81,-2.74,72
PLTR,2024-10-24,43.56,6370.3909,2025-01-13,64.98,136453.79,49.17,53
LITE,2024-11-06,71.97,4013.1472,2025-01-27,74.17,8828.91,3.06,53
AMZN,2025-01-27,235.42,1261.988,2025-02-24,212.71,-28659.74,-9.65,19
SHOP,2024-11-13,115.09,2669.6599,2025-03-04,101.73,-35666.64,-11.61,73
BKR,2025-01-14,45.07,6697.5301,2025-03-05,42.32,-18418.21,-6.1,34
DXCM,2025-02-24,90.75,3394.1337,2025-03-07,77.84,-43818.28,-14.23,9
FER,2025-03-05,46.22,6373.4244,2025-04-04,42.66,-22689.4,-7.7,22
AMGN,2025-03-05,316.57,930.5357,2025-04-08,280.26,-33787.75,-11.47,24
GILD,2024-07-25,76.51,3502.7804,2025-05-06,97.88,74854.4,27.93,195
MNST,2025-05-12,61.36,4366.1847,2025-07-10,59.17,-9561.96,-3.57,40
MELI,2025-05-12,2504.6101,106.9664,2025-08-06,2317.22,-20044.45,-7.48,59
MSTR,2025-05-13,421.61,632.074,2025-08-14,372.94,-30763.03,-11.54,64
INTU,2025-05-12,662.3,404.5132,2025-08-19,701.03,15666.81,5.85,68
ALNY,2025-08-06,428.14,650.256,2025-11-25,429.8,1079.41,0.39,78
INSM,2025-08-14,127.75,2164.0176,2025-12-18,166.55,83963.89,30.37,88
INTC,2025-08-19,25.31,10887.4677,2026-01-26,42.49,187046.72,67.88,109
IDXX,2025-05-12,509.53,525.7965,2026-01-29,676.71,87902.67,32.81,180
ABNB,2025-12-18,133.99,2403.5454,2026-02-03,122.075,-28638.26,-8.89,30
SNDK,2026-01-29,539.3,694.3662,2026-02-10,541.64,1624.84,0.43,8
STX,2026-01-26,358.29,987.854,2026-03-06,352.8,-5423.34,-1.53,28
LITE,2026-02-03,435.1,883.8215,2026-03-06,558.44,109010.54,28.35,22
SBUX,2026-03-09,99.77,3727.777,2026-03-27,86.81,-48311.99,-12.99,14
