date,action,symbol,price,shares,value
2023-02-01,BUY,PDD,102.98,3236.8744,333333.33
2023-02-01,BUY,AXON,198.39,1680.1922,333333.33
2023-02-01,BUY,SHOP,50.26,6632.1796,333333.33
2023-03-01,SELL,PDD,91.04,3236.8744,294685.05
2023-03-01,BUY,NVDA,22.698,13676.0761,310419.57
2023-03-01,BUY,META,173.42,1789.9872,310419.57
2023-03-01,SELL,AXON,221.06,275.96,61003.71
2023-03-01,SELL,SHOP,40.1,6632.1796,265950.39
2023-04-03,SELL,NVDA,27.965,777.1139,21731.99
2023-04-03,BUY,MSTR,29.739,12129.5092,360719.48
2023-04-03,SELL,META,213.07,97.0249,20673.1
2023-04-03,SELL,AXON,227.39,1404.2322,319308.37
2023-05-01,BUY,NVDA,28.91,440.962,12748.21
2023-05-01,SELL,MSTR,30.747,12129.5092,372946.02
2023-05-01,BUY,ISRG,303.02,1272.7121,385657.2
2023-05-01,SELL,META,243.18,107.0703,26037.34
2023-06-01,SELL,NVDA,39.77,1962.4295,78045.82
2023-06-01,SELL,ISRG,310.54,1272.7121,395228.02
2023-06-01,BUY,PLTR,14.54,31119.8739,452482.97
2023-06-01,BUY,META,272.61,73.926,20152.97
2023-07-03,SELL,NVDA,42.413,63.9934,2714.15
2023-07-03,BUY,MSTR,37.784,12699.5422,479839.51
2023-07-03,SELL,PLTR,15.52,202.3809,3140.95
2023-07-03,SELL,META,286.02,1659.818,474741.13
2023-08-01,BUY,NVDA,46.507,841.1854,39121.01
2023-08-01,SELL,MSTR,43.498,12699.5422,552404.7
2023-08-01,BUY,APP,31.43,17985.3008,565278.01
2023-08-01,SELL,PLTR,19.99,2639.4532,52762.67
2023-09-01,BUY,NVDA,48.509,177.663,8618.25
2023-09-01,BUY,ADBE,563.21,1062.1791,598229.93
2023-09-01,SELL,APP,43.19,4134.179,178555.18
2023-09-01,SELL,PLTR,15.18,28278.0398,429260.65
2023-10-02,SELL,NVDA,44.782,12332.3496,552267.3
2023-10-02,SELL,ADBE,521.13,1062.1791,553533.42
2023-10-02,SELL,APP,40.82,212.1231,8658.86
2023-10-02,BUY,PLTR,15.88,35059.4408,556743.92
2023-10-02,BUY,INSM,25.37,21944.9706,556743.92
2023-11-01,BUY,PDD,102.93,5085.2054,523420.19
2023-11-01,BUY,MSTR,42.667,12267.565,523420.19
2023-11-01,BUY,APP,36.7,623.1316,22868.93
2023-11-01,SELL,PLTR,14.92,35059.4408,523086.86
2023-11-01,SELL,INSM,24.99,21944.9706,548404.81
2023-12-01,SELL,PDD,145.27,656.9542,95435.74
2023-12-01,SELL,MSTR,52.768,76.6149,4042.81
2023-12-01,SELL,APP,38.25,14262.1303,545526.48
2023-12-01,BUY,CRWD,235.03,2737.0637,643292.07
2024-01-02,BUY,PDD,145.64,503.8106,73374.98
2024-01-02,SELL,MSTR,68.515,1707.0343,116957.45
2024-01-02,BUY,CRWD,246.89,172.3514,42551.83
2024-02-01,SELL,PDD,126.59,4932.0618,624349.69
2024-02-01,SELL,MSTR,50.348,10483.9158,527844.19
2024-02-01,BUY,NVDA,63.027,10699.1138,674333.05
2024-02-01,SELL,CRWD,299.37,656.9079,196658.53
2024-02-01,BUY,AMD,170.48,3955.4966,674333.05
2024-03-01,SELL,NVDA,82.279,1023.3562,84200.72
2024-03-01,BUY,MSTR,107.939,7375.5698,796111.65
2024-03-01,SELL,CRWD,314.6,2252.5071,708638.76
2024-03-01,SELL,AMD,202.64,26.7972,5430.18
2024-04-01,BUY,NVDA,90.363,654.9151,59180.09
2024-04-01,SELL,MSTR,163.674,1672.0947,273678.42
2024-04-01,BUY,ARM,126.91,7355.6893,933510.56
2024-04-01,SELL,AMD,183.34,3928.6994,720287.74
2024-05-01,SELL,NVDA,83.041,1725.7869,143311.07
2024-05-01,BUY,MSTR,102.827,1245.6559,128087.07
2024-05-01,SELL,ARM,95.29,7355.6893,700923.64
2024-05-01,BUY,APP,69.74,10246.033,714558.32
2024-06-03,SELL,NVDA,115.0,6.4284,739.27
2024-06-03,SELL,MSTR,162.741,873.0801,142085.92
2024-06-03,SELL,APP,82.7,10246.033,847346.9
2024-06-03,BUY,INSM,55.94,17676.4858,988822.59
2024-07-01,SELL,NVDA,124.3,366.1341,45510.47
2024-07-01,SELL,MSTR,136.597,6076.051,829970.33
2024-07-01,BUY,ARM,158.83,6442.5977,1023277.8
2024-07-01,SELL,INSM,66.34,2251.7366,149380.2
2024-08-01,SELL,NVDA,109.21,8232.3232,899052.01
2024-08-01,BUY,MSTR,151.181,6266.6604,947399.98
2024-08-01,SELL,ARM,121.51,6442.5977,782840.06
2024-08-01,SELL,INSM,75.33,2848.087,214546.4
2024-08-01,BUY,ALNY,268.61,3527.0468,947399.98
2024-09-03,SELL,MSTR,122.32,6266.6604,766537.9
2024-09-03,BUY,PLTR,30.51,28193.9679,860197.97
2024-09-03,SELL,INSM,73.31,842.956,61797.1
2024-09-03,SELL,ALNY,253.78,137.5048,34895.96
2024-10-01,BUY,APP,130.65,7188.2711,939147.58
2024-10-01,SELL,PLTR,36.46,2435.6684,88804.47
2024-10-01,BUY,INSM,72.88,1152.5125,83995.11
2024-10-01,SELL,ALNY,276.06,3389.542,935716.96
2024-11-01,BUY,MSTR,229.71,4547.8126,1044678.05
2024-11-01,SELL,APP,163.53,799.975,130819.91
2024-11-01,SELL,PLTR,41.92,837.5434,35109.82
2024-11-01,SELL,INSM,68.32,12886.2186,880386.45
2024-12-02,BUY,MSTR,380.3,323.902,123179.94
2024-12-02,SELL,APP,340.59,948.5797,323076.75
2024-12-02,BUY,PLTR,66.39,2985.7511,198224.01
2025-01-02,BUY,MSTR,300.01,1148.667,344611.58
2025-01-02,SELL,APP,341.78,155.1043,53011.55
2025-01-02,SELL,PLTR,75.19,3885.0327,292115.62
2025-02-03,SELL,MSTR,347.09,227.6195,79004.44
2025-02-03,BUY,APP,365.44,217.2753,79401.1
2025-02-03,SELL,PLTR,83.74,11.3262,948.45
2025-03-03,SELL,MSTR,250.92,5792.7621,1453519.85
2025-03-03,BUY,GILD,115.99,15266.6198,1770775.2
2025-03-03,SELL,APP,337.34,252.6576,85231.5
2025-03-03,SELL,PLTR,83.42,2782.9218,232151.33
2025-04-01,SELL,APP,282.7,5249.2299,1483957.36
2025-04-01,SELL,PLTR,84.68,21227.2265,1797521.55
2025-04-01,SELL,GILD,111.28,15266.6198,1698869.43
2025-06-02,BUY,AVGO,248.71,6665.7695,1657843.57
2025-06-02,BUY,PLTR,132.04,12555.6169,1657843.57
2025-06-02,BUY,AXON,758.57,2185.4853,1657843.57
2025-07-01,SELL,AVGO,264.74,6665.7695,1764695.75
2025-07-01,BUY,STX,145.04,11711.8649,1698688.81
2025-07-01,BUY,WDC,63.84,26608.5339,1698688.81
2025-07-01,BUY,PLTR,130.68,443.2269,57920.88
2025-07-01,SELL,AXON,775.38,2185.4853,1694581.57
2025-08-01,SELL,STX,154.81,11711.8649,1813113.78
2025-08-01,SELL,WDC,76.55,1135.8715,86950.97
2025-08-01,SELL,PLTR,154.27,359.1061,55399.3
2025-08-01,BUY,AMD,171.7,11356.6244,1949932.38
2025-09-02,SELL,WDC,81.91,25472.6624,2086465.87
2025-09-02,BUY,LITE,132.555,14867.6036,1970775.09
2025-09-02,SELL,PLTR,157.09,12639.7377,1985576.34
2025-09-02,BUY,INSM,145.3,13563.4896,1970775.09
2025-09-02,BUY,ALNY,447.0,4408.8928,1970775.09
2025-09-02,SELL,AMD,162.32,11356.6244,1843407.36
2025-10-01,BUY,STX,256.84,8523.3767,2189144.04
2025-10-01,BUY,WDC,130.59,16763.4896,2189144.04
2025-10-01,SELL,LITE,171.4,14867.6036,2548307.17
2025-10-01,BUY,SNDK,121.12,18074.1743,2189144.04
