date,equity,held
2016-05-24,100000.0,0
2016-05-25,102073.9926619519,1
2016-05-26,102928.83612834057,1
2016-05-27,104477.72443419596,1
2016-05-31,105101.28402393727,1
2016-06-01,105141.56820983482,1
2016-06-02,105734.8905089624,1
2016-06-03,104286.62813868381,1
2016-06-06,105403.01692352413,1
2016-06-07,104658.79798561489,1
2016-06-08,105121.41404129076,1
2016-06-09,104658.7979856149,1
2016-06-10,101138.62912614933,1
2016-06-13,98543.78898279782,1
2016-06-14,98594.08987499092,1
2016-06-15,97708.99704239322,1
2016-06-16,98413.06462595315,1
2016-06-17,95043.75014068572,1
2016-06-20,94967.71514057316,0
2016-06-21,94967.71514057316,0
2016-06-22,94967.71514057316,0
2016-06-23,94967.71514057316,0
2016-06-24,83261.53276770943,1
2016-06-27,83194.92354149527,0
2016-06-28,83194.92354149527,0
2016-06-29,83194.92354149527,0
2016-06-30,83194.92354149527,0
2016-07-01,83194.92354149527,0
2016-07-05,81654.29262776961,1
2016-07-06,81588.96919366739,0
2016-07-07,82296.6301029833,1
2016-07-08,86100.03389055083,1
2016-07-11,87569.94266588172,1
2016-07-12,88948.45014193465,1
2016-07-13,88325.61115840702,1
2016-07-14,90119.36788841763,1
2016-07-15,89612.80707137627,1
2016-07-18,91398.28813013123,1
2016-07-19,90451.58125054736,1
2016-07-20,93549.09520672687,1
2016-07-21,92992.73080182761,1
2016-07-22,94072.28713178565,1
2016-07-25,94155.32302361363,1
2016-07-26,94470.89530703766,1
2016-07-27,96314.45562490622,1
2016-07-28,97360.8295043355,1
2016-07-29,98000.25971312753,1
2016-08-01,99536.54336020422,1
2016-08-02,97294.39480846014,1
2016-08-03,98216.16499670615,1
2016-08-04,99096.46709247948,1
2016-08-05,101961.47456912769,1
2016-08-08,101637.60667307147,1
2016-08-09,102310.23927376876,1
2016-08-10,101521.30856520864,1
2016-08-11,102833.41125745102,1
2016-08-12,103024.37984969179,1
2016-08-15,104319.9112580463,1
2016-08-16,102675.62511573898,1
2016-08-17,103157.31903626029,1
2016-08-18,103256.9561240409,1
2016-08-19,103115.76120759324,1
2016-08-22,103215.4182367504,1
2016-08-23,103829.96160764586,1
2016-08-24,101828.54535324748,1
2016-08-25,101346.91125685573,1
2016-08-26,101836.9107606975,1
2016-08-29,102119.24076946321,1
2016-08-30,101197.4705812172,1
2016-08-31,100931.70188565108,1
2016-09-01,101380.11364876103,1
2016-09-02,102567.67247394969,1
2016-09-06,104469.3918164379,1
2016-09-07,104660.3604086787,1
2016-09-08,102866.6236200446,1
2016-09-09,95068.79759922746,1
2016-09-12,99943.506972218,1
2016-09-13,97585.0204298581,1
2016-09-14,98838.99400954557,1
2016-09-15,103423.03787838513,1
2016-09-16,103306.78962396362,1
2016-09-19,101953.13907374248,1
2016-09-20,102517.86888609176,1
2016-09-21,105499.16449991452,1
2016-09-22,107965.55383062245,1
2016-09-23,106022.3265129085,1
2016-09-26,103389.81554510331,1
2016-09-27,106321.30757106817,1
2016-09-28,106902.57875524052,1
2016-09-29,104635.48354147033,1
2016-09-30,106786.3005887542,1
2016-10-03,106545.49849659072,1
2016-10-04,105939.27067970397,1
2016-10-05,107043.75373031161,1
2016-10-06,106877.68194665566,1
2016-10-07,106180.11265462049,1
2016-10-10,108081.77217297914,1
2016-10-11,103614.01644131412,1
2016-10-12,103398.09121635894,1
2016-10-13,102185.68543602675,1
2016-10-14,102418.21185693456,1
2016-10-17,101712.34695226721,1
2016-10-18,104319.91125804627,1
2016-10-19,104361.42920396026,1
2016-10-20,103921.27317072947,1
2016-10-21,105050.71285405153,1
2016-10-24,108879.00846485974,1
2016-10-25,107791.15652226952,1
2016-10-26,105723.34545474884,1
2016-10-27,104245.16100816226,1
2016-10-28,102443.10866551944,1
2016-10-31,101861.80756928232,1
2016-11-01,99769.10966386505,1
2016-11-02,97169.79111727688,1
2016-11-03,94371.24824856878,1
2016-11-04,93299.98753124294,1
2016-11-07,99985.00497675546,1
2016-11-08,101944.8434611103,1
2016-11-09,103373.20437846244,1
2016-11-10,98457.01694231095,1
2016-11-11,98373.98105048297,1
2016-11-14,95052.17646189829,1
2016-11-15,99453.52740975276,1
2016-11-16,101072.8768607222,1
2016-11-17,103414.71235368817,1
2016-11-18,102252.12013190216,1
2016-11-21,105324.7771622499,1
2016-11-22,106271.4840418338,1
2016-11-23,104992.57377080843,1
2016-11-25,106005.7053755794,1
2016-11-28,105416.06878395705,1
2016-11-29,106429.21035941626,1
2016-11-30,102982.91175721916,1
2016-12-01,97327.63708311852,1
2016-12-02,97717.89979229704,1
2016-12-05,99976.69939343503,1
2016-12-06,100699.19540611982,1
2016-12-07,104436.1595124679,1
2016-12-08,105075.62960401298,1
2016-12-09,107533.69341002395,1
2016-12-12,106038.91773817298,1
2016-12-13,110182.82551515829,1
2016-12-14,109377.28363995727,1
2016-12-15,110041.63059871063,1
2016-12-16,108704.61115650691,1
2016-12-19,110033.36489814322,1
2016-12-20,111362.03887427345,1
2016-12-21,110971.73628234187,1
2016-12-22,110008.43817749362,1
2016-12-23,110348.87735743773,1
2016-12-27,111959.94116646324,1
2016-12-28,109368.98802732506,1
2016-12-29,108837.51046032237,1
