date,action,symbol,price,shares,value
2016-05-25,BUY_TQQQ,TQQQ,2.1144,48276.1985,102073.99
2016-06-20,SELL_TQQQ,TQQQ,2.0042,47385.1288,94967.72
2016-06-24,BUY_TQQQ,TQQQ,1.8392,45271.3282,83261.53
2016-06-27,SELL_TQQQ,TQQQ,1.7321,48031.7198,83194.92
2016-07-05,BUY_TQQQ,TQQQ,1.9981,40865.4586,81654.29
2016-07-06,SELL_TQQQ,TQQQ,2.0452,39892.7493,81588.97
2016-07-07,BUY_TQQQ,TQQQ,2.0646,39861.1379,82296.63
2018-10-12,SELL_TQQQ,TQQQ,7.2537,36726.9175,266407.87
2018-10-15,BUY_TQQQ,TQQQ,6.98,36696.3886,256140.79
2018-10-25,SELL_TQQQ,TQQQ,6.7425,33254.5659,224218.9
2018-11-08,BUY_TQQQ,TQQQ,7.0613,31186.5572,220216.08
2018-11-12,SELL_TQQQ,TQQQ,6.1137,34162.4536,208860.7
2019-02-19,BUY_TQQQ,TQQQ,6.2913,33371.1223,209946.08
2019-02-22,SELL_TQQQ,TQQQ,6.35,32635.528,207235.6
2019-02-25,BUY_TQQQ,TQQQ,6.42,32609.7106,209354.34
2019-03-08,SELL_TQQQ,TQQQ,6.1438,32769.2435,201326.05
2019-03-12,BUY_TQQQ,TQQQ,6.6337,30818.4641,204441.98
2019-06-03,SELL_TQQQ,TQQQ,5.8762,32908.1879,193376.73
2019-06-05,BUY_TQQQ,TQQQ,6.4925,30417.2084,197483.72
2020-03-10,SELL_TQQQ,TQQQ,8.845,26309.0577,232703.62
2020-03-11,BUY_TQQQ,TQQQ,7.7075,26284.905,202590.91
2020-03-12,SELL_TQQQ,TQQQ,5.595,36180.311,202428.83
2020-04-09,BUY_TQQQ,TQQQ,6.8337,29706.9946,203010.17
2022-01-21,SELL_TQQQ,TQQQ,28.335,32412.185,918399.23
2022-02-03,BUY_TQQQ,TQQQ,28.37,28451.6008,807171.94
2022-02-04,SELL_TQQQ,TQQQ,29.35,27479.5976,806526.2
2022-02-10,BUY_TQQQ,TQQQ,29.41,25582.071,752368.7
2022-02-11,SELL_TQQQ,TQQQ,26.64,28219.4754,751766.81
2022-03-30,BUY_TQQQ,TQQQ,30.345,24009.8045,728577.5
2022-03-31,SELL_TQQQ,TQQQ,29.09,25025.5976,727994.64
2022-04-05,BUY_TQQQ,TQQQ,28.74,23635.1215,679273.39
2022-04-06,SELL_TQQQ,TQQQ,26.85,25278.5831,678729.97
2023-01-27,BUY_TQQQ,TQQQ,11.665,59806.1771,697639.05
2023-01-31,SELL_TQQQ,TQQQ,11.455,57202.1069,655250.13
2023-02-01,BUY_TQQQ,TQQQ,12.195,57159.1271,697055.54
2023-03-13,SELL_TQQQ,TQQQ,10.665,55908.4761,596263.9
2023-03-14,BUY_TQQQ,TQQQ,11.39,55866.587,636320.44
2025-03-07,SELL_TQQQ,TQQQ,33.705,56399.0521,1900930.15
2025-05-13,BUY_TQQQ,TQQQ,34.57,57464.1092,1986534.24
2026-03-23,SELL_TQQQ,TQQQ,44.57,55794.3942,2486756.13
2026-04-09,BUY_TQQQ,TQQQ,48.96,51766.7861,2534501.8
