date,action,symbol,price,shares,value
2023-05-24,BUY,SMCI,16.762,11931.751,200000.0
2023-05-24,BUY,META,249.21,802.536,200000.0
2023-05-24,BUY,AMD,108.27,1847.2338,200000.0
2023-05-24,BUY,CRWD,149.2,1340.4826,200000.0
2023-08-09,SELL,SMCI,26.613,11931.751,317539.7
2023-08-09,BUY,HAL,40.46,5737.2132,232127.64
2023-08-09,BUY,SLB,59.51,3900.6494,232127.64
2023-08-17,SELL,AMD,104.44,1847.2338,192925.11
2023-08-17,BUY,TPL,212.0533,1054.6711,223646.51
2023-10-26,SELL,META,288.35,802.536,231411.26
2023-10-26,SELL,SLB,55.87,3900.6494,217929.28
2023-11-02,BUY,NRG,45.13,5134.2144,231707.1
2023-11-02,BUY,MSTR,45.363,5107.8435,231707.1
2023-11-07,SELL,HAL,37.95,5737.2132,217727.25
2023-11-08,SELL,TPL,183.3944,1054.6711,193420.81
2023-11-08,BUY,DELL,72.48,3183.5082,230740.69
2024-01-11,SELL,MSTR,53.618,5107.8435,273872.35
2024-01-11,BUY,SHOP,81.3,3331.3363,270837.65
2024-04-03,SELL,SHOP,75.64,3331.3363,251982.28
2024-04-03,BUY,APP,72.86,4525.0954,329698.46
2024-04-19,SELL,CRWD,282.64,1340.4826,378874.02
2024-04-19,BUY,AXP,231.04,1312.543,303249.92
2024-05-31,SELL,DELL,139.56,3183.5082,444290.4
2024-05-31,BUY,NEE,80.02,4321.5987,345814.31
2024-06-13,SELL,AXP,222.19,1312.543,291633.93
2024-06-13,BUY,MU,143.14,2292.7578,328185.35
2024-07-17,SELL,NRG,72.54,5134.2144,372435.91
2024-07-17,SELL,MU,119.5,2292.7578,273984.55
2024-07-17,BUY,SATS,20.33,15361.7211,312303.79
2024-07-17,BUY,EXR,167.81,1861.0559,312303.79
2024-07-25,SELL,APP,76.17,4525.0954,344676.51
2024-07-25,BUY,INCY,68.57,4462.5534,305997.28
2024-08-05,BUY,DASH,121.3,2450.9876,297304.81
2024-08-09,SELL,SATS,16.76,15361.7211,257462.45
2024-10-21,SELL,EXR,164.8,1861.0559,306702.02
2024-10-21,BUY,APP,158.85,2015.2575,320123.67
2024-11-01,SELL,NEE,77.35,4321.5987,334275.65
2024-11-01,BUY,UAL,80.46,4066.3946,327182.11
2024-12-10,SELL,APP,321.06,2015.2575,647018.58
2024-12-10,BUY,TSLA,400.99,1020.6536,409271.87
2024-12-10,BUY,WBD,10.89,37582.3561,409271.87
2024-12-18,SELL,INCY,67.55,4462.5534,301445.49
2025-01-02,SELL,TSLA,379.28,1020.6536,387113.49
2025-01-02,BUY,EQT,47.35,8362.8818,395982.44
2025-01-10,SELL,WBD,9.7,37582.3561,364548.85
2025-01-10,BUY,VST,166.73,2402.9509,400643.99
2025-01-27,SELL,VST,137.08,2402.9509,329396.51
2025-01-27,BUY,TKO,153.45,2548.9243,391132.42
2025-02-27,SELL,UAL,92.17,4066.3946,374799.58
2025-02-27,BUY,SATS,30.41,12529.0076,381007.12
2025-03-10,SELL,SATS,25.18,12529.0076,315480.41
2025-03-13,SELL,TKO,140.85,2548.9243,359016.0
2025-03-24,BUY,VRSN,245.36,1535.7728,376817.23
2025-03-24,BUY,ALNY,290.7,1296.2408,376817.23
2025-04-03,SELL,DASH,173.99,2450.9876,426447.35
2025-04-04,SELL,EQT,46.11,8362.8818,385612.48
2025-04-04,SELL,ALNY,235.74,1296.2408,305575.82
2025-05-12,BUY,NRG,150.61,2306.2,347336.78
2025-05-12,BUY,MOS,32.95,10541.3286,347336.78
2025-05-12,BUY,MNST,61.36,5660.6385,347336.78
2025-07-10,SELL,MNST,59.17,5660.6385,334939.97
2025-07-10,BUY,HOOD,98.7,3576.8748,353037.53
2025-07-30,SELL,VRSN,266.98,1535.7728,410020.65
2025-07-30,BUY,AMD,179.51,2006.6922,360221.3
2025-08-06,SELL,MOS,30.93,10541.3286,326043.3
2025-08-06,BUY,ORCL,256.43,1301.4144,333721.68
2025-10-30,SELL,ORCL,256.89,1301.4144,334320.36
2025-10-30,BUY,STX,268.34,1509.5589,405075.04
2025-11-13,SELL,HOOD,121.53,3576.8748,434697.59
2025-11-13,BUY,ALB,114.57,3363.6907,385378.04
2025-11-20,SELL,AMD,206.02,2006.6922,413418.73
2025-11-20,BUY,CAH,207.9,1733.4202,360378.04
2025-11-21,SELL,NRG,159.2,2306.2,367147.03
2025-11-21,BUY,LLY,1059.7,339.3306,359588.57
2026-03-05,SELL,LLY,983.26,339.3306,333650.17
2026-03-05,BUY,LYB,65.88,6488.3613,427453.22
2026-03-06,SELL,STX,352.8,1509.5589,532572.37
2026-03-06,BUY,CF,115.78,3662.2287,424012.83
2026-03-20,SELL,CAH,207.83,1733.4202,360256.71
2026-04-08,BUY,LITE,896.02,499.3851,447459.07
2026-05-19,SELL,ALB,169.0,3363.6907,568463.73
2026-05-19,BUY,DDOG,215.15,2048.5255,440740.25
