date,equity
2023-05-24,999200.0000000001
2023-05-25,1076703.4918222008
2023-05-26,1113709.51698081
2023-05-30,1146477.819543492
2023-05-31,1139878.5962391328
2023-06-01,1160795.3345124193
2023-06-02,1142096.484251539
2023-06-05,1147490.565259022
2023-06-06,1163869.61921574
2023-06-07,1172859.798387666
2023-06-08,1423893.9178289508
2023-06-09,1305121.5480651765
2023-06-12,1370546.883774726
2023-06-13,1410869.960307889
2023-06-14,1411694.2829976305
2023-06-15,1496676.9394090227
2023-06-16,1440650.2154842203
2023-06-20,1368902.1478831414
2023-06-21,1350026.3652002634
2023-06-22,1378877.2223212814
2023-06-23,1259657.972408798
2023-06-26,1245740.3398316007
2023-06-27,1362910.1681682973
2023-06-28,1488582.8914609211
2023-06-29,1430294.3848270364
2023-06-30,1460503.6824118805
2023-07-03,1461647.0778346376
2023-07-05,1480366.686939441
2023-07-06,1433711.8552717466
2023-07-07,1553821.7678149457
2023-07-10,1670991.7393379114
2023-07-11,1687266.6810478256
2023-07-12,1743647.7088567724
2023-07-13,1742758.1765950348
2023-07-14,1732367.36889001
2023-07-17,1735649.936309432
2023-07-18,1843309.9984407015
2023-07-19,2114255.99057858
2023-07-20,1928605.6036697484
2023-07-21,1913936.3725312909
2023-07-24,1937048.7695512336
2023-07-25,1909952.0417362447
2023-07-26,1900486.4346722427
2023-07-27,1872499.3221540658
2023-07-28,1960718.2168360548
2023-07-31,1997911.450289458
2023-08-01,2048897.2534351114
2023-08-02,2015817.9218358304
2023-08-03,2009334.07013589
2023-08-04,1937714.0981874268
2023-08-07,1952539.4611604405
2023-08-08,1897009.4563618388
2023-08-09,1635539.627567385
2023-08-10,1635706.016918505
2023-08-11,1612593.1648239067
2023-08-14,1653477.239116994
2023-08-15,1606276.3767226923
2023-08-16,1570243.248762684
2023-08-17,1494818.2937279465
2023-08-18,1529743.5491648214
2023-08-21,1567286.8284324945
2023-08-22,1556719.2746818215
2023-08-23,1644347.5817071968
2023-08-24,1539041.219973591
2023-08-25,1582950.9932746892
2023-08-28,1647164.1709729682
2023-08-29,1714488.1948779118
2023-08-30,1791155.3800108407
2023-08-31,1768406.317021779
2023-09-01,1794615.7416902962
2023-09-05,1762594.1572445445
2023-09-06,1755822.4640979185
2023-09-07,1742795.0507428255
2023-09-08,1723905.2155052405
2023-09-11,1773127.7475311374
2023-09-12,1739572.7298670085
2023-09-13,1699881.4232841274
2023-09-14,1823957.8617444653
2023-09-15,1779850.1898225714
2023-09-18,1787848.4524422938
2023-09-19,1680003.7385654869
2023-09-20,1615705.2180114058
2023-09-21,1581809.99240046
2023-09-22,1563617.3676535604
2023-09-25,1554033.1223463565
2023-09-26,1532186.4807458832
2023-09-27,1570858.7320345324
2023-09-28,1590499.2578861567
2023-09-29,1605268.3255369463
2023-10-02,1603099.2749413627
2023-10-03,1544970.5092871499
2023-10-04,1571566.4448539098
2023-10-05,1537446.345817381
2023-10-06,1594476.2013414158
2023-10-09,1622248.8628927646
2023-10-10,1626635.0659458358
2023-10-11,1623432.1966075562
2023-10-12,1562359.4587595358
2023-10-13,1509337.3583773419
2023-10-16,1545822.1710664723
2023-10-17,1561520.204210075
2023-10-18,1490899.4697246444
2023-10-19,1455181.8532259923
2023-10-20,1426072.868936263
2023-10-23,1443769.0505334586
2023-10-24,1477891.0672805144
2023-10-25,1394610.502074358
2023-10-26,1357252.6143100576
2023-10-27,1369913.38815695
2023-10-30,1388036.3501169118
2023-10-31,1390933.7783070295
2023-11-01,1392827.470521313
2023-11-02,1392827.470521313
2023-11-03,1392827.470521313
2023-11-06,1392827.470521313
2023-11-07,1392827.470521313
2023-11-08,1392827.470521313
2023-11-09,1392827.470521313
2023-11-10,1392827.470521313
2023-11-13,1392827.470521313
2023-11-14,1392827.470521313
2023-11-15,1392827.470521313
2023-11-16,1392827.470521313
2023-11-17,1392827.470521313
2023-11-20,1392827.470521313
2023-11-21,1392827.470521313
2023-11-22,1392827.470521313
2023-11-24,1392827.470521313
2023-11-27,1392827.470521313
2023-11-28,1392827.470521313
2023-11-29,1392827.470521313
2023-11-30,1392827.470521313
2023-12-01,1391713.208544896
2023-12-04,1411620.0019129238
2023-12-05,1408384.4214205241
2023-12-06,1374170.7331336502
2023-12-07,1384231.8017490434
2023-12-08,1436753.819565195
2023-12-11,1424886.9290337227
2023-12-12,1462280.9740813735
2023-12-13,1482120.36437393
2023-12-14,1485923.6686361919
2023-12-15,1477274.9192459616
2023-12-18,1497381.046511782
2023-12-19,1544185.857502092
2023-12-20,1514656.3880082893
2023-12-21,1550678.45958134
2023-12-22,1571435.1830822674
2023-12-26,1564054.7617334102
2023-12-27,1606758.7309609465
2023-12-28,1613831.1210822046
2023-12-29,1564155.1559248697
2024-01-02,1476709.256516263
2024-01-03,1401252.0217695725
2024-01-04,1428597.8010376345
2024-01-05,1408546.686596948
2024-01-08,1416571.1289783914
2024-01-09,1366534.2614062575
2024-01-10,1351743.434350533
2024-01-11,1291657.5129047835
2024-01-12,1189755.1091006182
2024-01-16,1192113.4574952596
2024-01-17,1203369.762474351
2024-01-18,1170901.4981053898
2024-01-19,1189134.694059972
2024-01-22,1226813.1642667947
2024-01-23,1171468.606779839
2024-01-24,1127700.29366298
2024-01-25,1121161.5403074028
2024-01-26,1168798.027870137
2024-01-29,1238079.7861706053
2024-01-30,1228032.3714556522
2024-01-31,1195751.6878166636
