date,action,symbol,price,shares,value
2023-05-24,BUY,APP,24.43,13644.4261,333333.33
2023-05-24,BUY,META,249.21,1337.56,333333.33
2023-05-24,BUY,SMCI,16.762,19886.2517,333333.33
2023-06-01,SELL,META,272.61,1337.56,364632.21
2023-06-01,BUY,PLTR,14.54,26639.9698,387345.16
2023-06-01,SELL,SMCI,23.102,3119.5141,72067.01
2023-06-01,SELL,APP,24.83,13644.4261,338791.1
2023-06-01,BUY,CVNA,3.16,122577.5788,387345.16
2023-07-03,SELL,PLTR,15.52,26639.9698,413452.34
2023-07-03,BUY,CCL,18.96,25712.7226,487513.2
2023-07-03,BUY,SMCI,24.92,2796.3922,69686.09
2023-07-03,SELL,CVNA,5.16,28098.2744,144987.09
2023-08-01,SELL,CCL,17.99,25712.7226,462571.87
2023-08-01,BUY,PLTR,19.99,34184.227,683342.69
2023-08-01,BUY,SMCI,33.756,680.4618,22969.67
2023-08-01,SELL,CVNA,9.822,24906.6389,244633.0
2023-09-01,BUY,VRT,39.87,15019.9231,598844.32
2023-09-01,SELL,PLTR,15.18,34184.227,518916.58
2023-09-01,SELL,SMCI,28.216,20243.5916,571193.17
2023-09-01,BUY,APP,43.19,13865.347,598844.32
2023-09-01,SELL,CVNA,10.17,10689.2524,108709.7
2023-10-02,SELL,VRT,38.41,1106.7382,42509.81
2023-10-02,SELL,APP,40.82,773.5922,31578.03
2023-10-02,BUY,CVNA,7.85,9193.7122,72170.64
2023-11-01,SELL,VRT,40.23,13913.1848,559727.42
2023-11-01,SELL,APP,36.7,13091.7548,480467.41
2023-11-01,SELL,CVNA,5.198,68077.1253,353864.89
2023-12-01,BUY,VRT,45.14,10285.2421,464275.82
2023-12-01,BUY,PDD,145.27,3195.9511,464275.82
2023-12-01,BUY,COIN,133.76,3470.9617,464275.82
2024-01-02,BUY,MSTR,68.515,7192.0358,492762.33
2024-01-02,SELL,VRT,45.64,10285.2421,469418.44
2024-01-02,BUY,CVNA,9.774,50415.6252,492762.33
2024-01-02,SELL,COIN,156.88,329.9475,51762.17
2024-01-02,SELL,PDD,145.64,3195.9511,465458.31
2024-02-01,SELL,MSTR,50.348,7192.0358,362104.62
2024-02-01,BUY,VRT,59.46,6695.7953,398131.98
2024-02-01,BUY,SMCI,58.35,6823.1704,398131.98
2024-02-01,SELL,COIN,128.95,3141.0142,405033.78
2024-02-01,BUY,CRWD,299.37,1329.8994,398131.98
2024-02-01,SELL,CVNA,8.506,50415.6252,428835.29
