date,equity
2020-06-01,999200.0000000001
2020-06-02,994143.7519851276
2020-06-03,978354.0281781274
2020-06-04,976369.2770396265
2020-06-05,962928.2298610992
2020-06-08,970001.1711048615
2020-06-09,980190.3707708906
2020-06-10,994488.267412408
2020-06-11,1000249.7618123096
2020-06-12,996084.2901860742
2020-06-15,995475.614796968
2020-06-16,987559.2580170028
2020-06-17,990539.8695637552
2020-06-18,994800.1083877337
2020-06-19,1000669.2996014484
2020-06-22,1003969.348239573
2020-06-23,1004795.9384074957
2020-06-24,1008354.2467779535
2020-06-25,1009496.8814712871
2020-06-26,1017149.5513877828
2020-06-29,1015822.3648279571
2020-06-30,1015618.2345505306
2020-07-01,1011751.1331396602
2020-07-02,1013370.3780239313
2020-07-06,1014332.4697528139
2020-07-07,1024639.6242670077
2020-07-08,1025784.4697844437
2020-07-09,1032498.2560034997
2020-07-10,1028562.0910641482
2020-07-13,1030902.2217198547
2020-07-14,1034043.6861750545
2020-07-15,1032084.545618382
2020-07-16,1029641.9210678702
2020-07-17,1032778.6538440748
2020-07-20,1036537.4862902266
2020-07-21,1043101.4081368262
2020-07-22,1052634.194531579
2020-07-23,1063407.4734315514
2020-07-24,1067991.4453734471
2020-07-27,1076758.7110410286
2020-07-28,1084995.4309975845
2020-07-29,1088287.5930627582
2020-07-30,1087595.1029112102
2020-07-31,1092324.8981215681
2020-08-03,1088840.3735473407
2020-08-04,1100283.7783336435
2020-08-05,1104942.3191560134
2020-08-06,1114464.368919766
2020-08-07,1100388.1047196495
2020-08-10,1101251.1335539087
2020-08-11,1074293.9435565593
2020-08-12,1076127.9127010237
2020-08-13,1083144.6173289893
2020-08-14,1080959.337425881
2020-08-17,1096388.3039306025
2020-08-18,1101553.364501296
2020-08-19,1089953.8492462263
2020-08-20,1093559.6389384554
2020-08-21,1087097.995909335
2020-08-24,1088004.6896630526
2020-08-25,1091169.6573203574
2020-08-26,1093925.5580621758
2020-08-27,1084902.2137735705
2020-08-28,1093395.7910261326
2020-08-31,1095150.570379769
2020-09-01,1099337.2848196737
2020-09-02,1091224.7355583494
2020-09-03,1084682.545460896
2020-09-04,1075780.7754953038
2020-09-08,1063508.9622807635
2020-09-09,1070131.6208089306
2020-09-10,1065119.5406836213
2020-09-11,1069251.6962375792
2020-09-14,1072347.829880406
2020-09-15,1073792.3170415233
2020-09-16,1082657.4943563112
2020-09-17,1087929.3887861297
2020-09-18,1089996.6258402257
2020-09-21,1072291.2052435505
2020-09-22,1068889.8528517976
2020-09-23,1057688.9952604794
2020-09-24,1062084.4097323418
2020-09-25,1060956.0476804948
2020-09-28,1067518.5718017141
2020-09-29,1063152.5588011225
2020-09-30,1065232.3247583385
2020-10-01,1060593.685867277
2020-10-02,1050908.9595670195
2020-10-05,1071378.9770749046
2020-10-06,1069360.303951908
2020-10-07,1071883.7067904368
2020-10-08,1080103.0957717153
2020-10-09,1089427.707707581
2020-10-12,1080365.3283532464
2020-10-13,1076091.362892414
2020-10-14,1081744.8496473432
2020-10-15,1085176.6786220856
2020-10-16,1080171.217251355
2020-10-19,1079836.9584641817
2020-10-20,1089059.8722318392
2020-10-21,1087142.8405515277
2020-10-22,1084998.560729518
2020-10-23,1078472.5349300604
2020-10-26,1068890.3658814991
2020-10-27,1074385.5155542428
2020-10-28,1050155.8018732704
2020-10-29,1040129.4343501313
2020-10-30,1041974.9334066682
2020-11-02,1057170.1094196136
2020-11-03,1063456.9701379081
2020-11-04,1070497.7702563647
2020-11-05,1081853.2471903842
2020-11-06,1079689.2933974229
2020-11-09,1071673.917099196
2020-11-10,1086491.068384555
2020-11-11,1084974.3261369942
2020-11-12,1080917.991710689
2020-11-13,1080080.140192329
2020-11-16,1086751.9903993844
2020-11-17,1087345.490333656
2020-11-18,1086678.7265799285
2020-11-19,1086025.0845905782
2020-11-20,1090825.430747598
2020-11-23,1086377.452962442
2020-11-24,1097472.8629372474
2020-11-25,1103350.575340899
2020-11-27,1098467.475016872
2020-11-30,1091700.5313651594
2020-12-01,1095400.7687434896
2020-12-02,1098005.595903165
2020-12-03,1101709.1376535222
2020-12-04,1104973.6695729361
2020-12-07,1103962.9343719888
2020-12-08,1104508.443205366
2020-12-09,1104120.8009506378
2020-12-10,1118892.7384721262
2020-12-11,1114911.2549647081
2020-12-14,1117052.7029626651
2020-12-15,1127089.0035499774
2020-12-16,1133494.0658811475
2020-12-17,1144603.8351655577
2020-12-18,1146951.061518438
2020-12-21,1133961.34997274
2020-12-22,1122609.6602459685
2020-12-23,1135420.8764582018
2020-12-24,1135579.2646840725
2020-12-28,1132311.8665262016
2020-12-29,1134837.4471831333
2020-12-30,1142951.961466574
2020-12-31,1144298.2778586152
2021-01-04,1141041.9301519599
2021-01-05,1165181.7023803815
2021-01-06,1159756.6547061661
2021-01-07,1160554.620436782
2021-01-08,1158758.2239571167
2021-01-11,1149470.5230435156
2021-01-12,1164469.4109636173
2021-01-13,1160484.1377676115
2021-01-14,1167919.298068875
2021-01-15,1150649.3428265136
2021-01-19,1158002.6916218507
2021-01-20,1166917.5407969118
2021-01-21,1167285.952468793
2021-01-22,1152872.5038599442
2021-01-25,1159646.757536468
2021-01-26,1158407.2724138447
2021-01-27,1150466.7756755208
2021-01-28,1150272.511891495
2021-01-29,1146317.1559015969
2021-02-01,1163215.7566210837
2021-02-02,1171372.3707228592
2021-02-03,1180497.269575804
2021-02-04,1183908.3814037754
2021-02-05,1192849.818204368
2021-02-08,1206953.0714111542
2021-02-09,1212638.93342211
2021-02-10,1211675.6953619816
2021-02-11,1211233.1882101642
2021-02-12,1225113.6510139927
2021-02-16,1239201.0748172158
2021-02-17,1240477.5608618404
2021-02-18,1234595.275430007
2021-02-19,1236022.9884702503
2021-02-22,1257390.3548387997
2021-02-23,1262723.7696627472
2021-02-24,1277514.3151710848
2021-02-25,1269543.7746301554
2021-02-26,1238973.0170619492
2021-03-01,1236695.7497557
2021-03-02,1237586.5380535459
2021-03-03,1246007.6376382264
2021-03-04,1260066.3914874801
2021-03-05,1281905.7407906589
2021-03-08,1265510.0243817077
2021-03-09,1267169.112853007
2021-03-10,1273940.2607155943
2021-03-11,1293229.6056818995
2021-03-12,1292436.6315569684
2021-03-15,1288817.5509673369
2021-03-16,1284949.3024201528
2021-03-17,1288200.8915738491
2021-03-18,1239335.1947867095
2021-03-19,1258144.3472546672
