symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
GLD,2020-06-01,163.66,18.9973,2020-07-01,166.62,56.23,1.81,22
GLD,2020-06-01,163.66,1568.6097,2020-08-03,185.64,34478.03,13.43,44
TLT,2020-06-01,162.28,1492.579,2020-08-03,169.95,11448.08,4.73,44
DBC,2020-08-03,13.07,575.2818,2020-09-01,13.56,281.89,3.75,21
PDBC,2020-08-03,13.7,598.1934,2020-09-01,14.25,329.01,4.01,21
TLT,2020-06-01,162.28,1677.2896,2020-10-01,163.36,1811.48,0.67,86
DBC,2020-08-03,13.07,57.354,2020-11-02,12.88,-10.9,-1.45,64
DBC,2020-08-03,13.07,1076.8744,2020-12-01,13.9,893.81,6.35,84
GLD,2020-06-01,163.66,1980.7223,2020-12-01,170.18,12914.29,3.98,128
PDBC,2020-08-03,13.7,919.7646,2020-12-01,14.44,680.63,5.4,84
DBC,2020-08-03,13.07,6763.1449,2021-01-04,14.62,10482.88,11.86,106
DBMF,2020-12-01,25.071,3423.8678,2021-01-04,25.599,1807.81,2.11,22
PDBC,2020-08-03,13.7,6537.4427,2021-01-04,15.21,9871.54,11.02,106
GLD,2021-01-04,182.33,1565.1552,2021-02-01,174.23,-12677.77,-4.44,19
DBC,2020-08-03,13.07,208.6617,2021-03-01,16.59,734.49,26.93,144
PDBC,2020-08-03,13.7,212.8234,2021-03-01,17.22,749.14,25.69,144
DBC,2020-08-03,13.07,6215.5491,2021-04-01,16.89,23743.4,29.23,167
DBMF,2020-12-01,25.071,3813.4131,2021-04-01,27.48,9186.51,9.61,83
PDBC,2020-08-03,13.7,5986.7276,2021-04-01,17.53,22929.17,27.96,167
UUP,2021-04-01,25.01,12583.3463,2021-05-03,24.47,-6795.02,-2.16,21
DBC,2020-08-03,13.07,6197.3846,2021-06-01,18.93,36316.68,44.84,208
DBMF,2020-12-01,25.071,3628.0596,2021-06-01,28.576,12716.35,13.98,124
PDBC,2020-08-03,13.7,5951.0419,2021-06-01,19.7,35706.26,43.8,208
DBC,2020-08-03,13.07,429.4449,2021-07-01,19.32,2684.03,47.82,230
GLD,2021-06-01,177.9,1898.4554,2021-07-01,166.2,-22211.92,-6.58,22
DBMF,2020-12-01,25.071,99.7533,2021-07-01,28.705,362.5,14.49,146
PDBC,2020-08-03,13.7,507.1021,2021-07-01,20.22,3306.31,47.59,230
DBC,2020-08-03,13.07,98.2281,2021-08-02,19.29,610.98,47.59,251
DBMF,2020-12-01,25.071,65.9384,2021-08-02,28.66,236.65,14.32,167
KMLM,2021-07-01,29.163,11535.041,2021-08-02,28.65,-5917.48,-1.76,21
PDBC,2020-08-03,13.7,12.6621,2021-08-02,20.09,80.91,46.64,251
DBMF,2020-12-01,25.071,79.193,2021-09-01,28.616,280.74,14.14,189
PDBC,2020-08-03,13.7,5.9745,2021-09-01,19.93,37.22,45.47,273
DBC,2020-08-03,13.07,778.2933,2021-10-01,20.45,5743.81,56.47,294
DBMF,2020-12-01,25.071,11573.956,2021-10-01,27.83,31932.55,11.0,210
TLT,2021-08-02,150.67,2224.4631,2021-10-01,145.35,-11834.13,-3.53,43
PDBC,2020-08-03,13.7,767.8778,2021-10-01,21.38,5897.3,56.06,294
DBC,2020-08-03,13.07,348.7556,2021-11-01,21.51,2943.5,64.58,315
KMLM,2021-10-01,28.965,32.4028,2021-11-01,29.908,30.56,3.26,21
PDBC,2020-08-03,13.7,174.512,2021-11-01,22.26,1493.82,62.48,315
UUP,2021-10-01,25.26,13415.6543,2021-11-01,25.17,-1207.41,-0.36,21
DBC,2020-08-03,13.07,16222.3651,2021-12-01,19.31,101227.55,47.74,336
KMLM,2021-10-01,28.965,11667.215,2021-12-01,28.249,-8353.72,-2.47,42
DBMF,2021-11-01,29.115,11984.9933,2021-12-01,27.525,-19056.14,-5.46,21
PDBC,2020-08-03,13.7,15675.7895,2021-12-01,20.07,99854.78,46.5,336
TLT,2021-12-01,152.34,4223.3882,2022-01-03,144.3,-33956.01,-5.28,22
UUP,2021-12-01,25.77,8794.1698,2022-01-03,25.79,175.89,0.08,22
GLD,2022-01-03,168.33,2477.8033,2022-02-01,168.23,-247.8,-0.06,20
DBC,2022-01-03,20.86,14849.6073,2022-03-01,24.83,58952.93,19.03,39
UUP,2021-12-01,25.77,11869.9778,2022-03-01,26.08,3679.69,1.2,61
DBC,2022-01-03,20.86,338.9386,2022-04-01,26.23,1820.1,25.74,62
KMLM,2022-03-01,29.539,417.8977,2022-04-01,31.58,852.93,6.91,23
UUP,2021-12-01,25.77,12991.1598,2022-04-01,26.34,7404.96,2.21,84
GLD,2022-03-01,181.62,1944.414,2022-05-02,173.63,-15535.85,-4.4,43
DBMF,2022-04-01,28.85,565.1538,2022-05-02,32.31,1955.43,11.99,20
KMLM,2022-03-01,29.539,510.5119,2022-05-02,35.348,2965.56,19.67,43
DBC,2022-01-03,20.86,354.2377,2022-06-01,28.94,2862.24,38.73,103
KMLM,2022-03-01,29.539,150.6285,2022-06-01,36.144,994.9,22.36,64
UUP,2022-05-02,27.71,13447.1562,2022-06-01,27.42,-3899.66,-1.05,21
DBMF,2022-04-01,28.85,626.2309,2022-07-01,32.16,2072.82,11.47,62
KMLM,2022-03-01,29.539,145.9779,2022-07-01,35.05,804.48,18.66,85
DBC,2022-01-03,20.86,23.1896,2022-08-01,25.58,109.45,22.63,144
DBMF,2022-04-01,28.85,69.709,2022-08-01,30.87,140.81,7.0,82
PDBC,2022-06-01,19.64,19838.854,2022-08-01,17.25,-47414.85,-12.17,41
DBC,2022-01-03,20.86,13390.4548,2022-09-01,25.17,57712.85,20.66,167
KMLM,2022-03-01,29.539,3163.0633,2022-10-03,37.56,25370.94,27.15,149
DBMF,2022-04-01,28.85,3757.4556,2022-10-03,33.54,17622.47,16.26,126
UUP,2022-08-01,28.18,4086.9765,2022-10-03,30.01,7479.17,6.49,44
DBMF,2022-04-01,28.85,102.9797,2022-11-01,34.06,536.52,18.06,147
CTA,2022-10-03,29.06,11.7529,2022-11-01,29.26,2.35,0.69,21
KMLM,2022-03-01,29.539,9801.4498,2022-12-01,33.2,35883.12,12.39,191
CTA,2022-10-03,29.06,12615.263,2022-12-01,26.87,-27627.41,-7.54,42
DBMF,2022-04-01,28.85,10837.4217,2022-12-01,30.91,22325.08,7.14,168
UUP,2022-08-01,28.18,12295.8891,2022-12-01,28.26,983.67,0.28,86
GLD,2022-12-01,167.84,12.5976,2023-01-03,171.06,40.56,1.92,21
GLD,2022-12-01,167.84,4005.9829,2023-02-01,181.67,55402.75,8.24,41
TLT,2023-02-01,108.18,6727.3542,2023-03-01,100.37,-52540.62,-7.22,19
GLD,2022-12-01,167.84,29.2805,2023-03-01,170.76,85.5,1.74,60
