date,action,symbol,price,shares
2020-06-01,BUY,TLT,162.28,3081.0944
2020-06-01,BUY,GLD,163.66,3055.1142
2020-07-01,BUY,TLT,163.42,14.474
2020-07-01,SELL,GLD,166.62,18.9973
2020-08-03,BUY,DBC,13.07,20843.7676
2020-08-03,SELL,GLD,185.64,1568.6097
2020-08-03,SELL,TLT,169.95,1492.579
2020-08-03,BUY,PDBC,13.7,19885.2584
2020-09-01,SELL,DBC,13.56,575.2818
2020-09-01,BUY,GLD,185.05,17.7166
2020-09-01,BUY,TLT,163.86,74.3003
2020-09-01,SELL,PDBC,14.25,598.1934
2020-10-01,BUY,DBC,12.9,7148.3643
2020-10-01,BUY,GLD,178.7,493.9444
2020-10-01,SELL,TLT,163.36,1677.2896
2020-10-01,BUY,PDBC,13.49,6930.6786
2020-11-02,SELL,DBC,12.88,57.354
2020-11-02,BUY,GLD,177.91,1.5541
2020-11-02,BUY,PDBC,13.44,1.7745
2020-12-01,SELL,DBC,13.9,1076.8744
2020-12-01,SELL,GLD,170.18,1980.7223
2020-12-01,BUY,DBMF,25.071,14571.754
2020-12-01,SELL,PDBC,14.44,919.7646
2021-01-04,SELL,DBC,14.62,6763.1449
2021-01-04,BUY,GLD,182.33,1565.1552
2021-01-04,SELL,DBMF,25.599,3423.8678
2021-01-04,SELL,PDBC,15.21,6537.4427
2021-02-01,BUY,DBC,15.48,5537.6235
2021-02-01,SELL,GLD,174.23,1565.1552
2021-02-01,BUY,DBMF,25.828,3870.0755
2021-02-01,BUY,PDBC,16.06,5389.8631
2021-03-01,SELL,DBC,16.59,208.6617
2021-03-01,BUY,DBMF,27.004,247.7621
2021-03-01,SELL,PDBC,17.22,212.8234
2021-04-01,SELL,DBC,16.89,6215.5491
2021-04-01,SELL,DBMF,27.48,3813.4131
2021-04-01,SELL,PDBC,17.53,5986.7276
2021-04-01,BUY,UUP,25.01,12583.3463
2021-05-03,BUY,DBC,18.11,5405.7624
2021-05-03,BUY,DBMF,28.183,3994.5896
2021-05-03,BUY,PDBC,18.85,5142.3368
2021-05-03,SELL,UUP,24.47,12583.3463
2021-06-01,SELL,DBC,18.93,6197.3846
2021-06-01,BUY,GLD,177.9,1898.4554
2021-06-01,SELL,DBMF,28.576,3628.0596
2021-06-01,SELL,PDBC,19.7,5951.0419
2021-07-01,SELL,DBC,19.32,429.4449
2021-07-01,SELL,GLD,166.2,1898.4554
2021-07-01,SELL,DBMF,28.705,99.7533
2021-07-01,BUY,KMLM,29.163,11535.041
2021-07-01,SELL,PDBC,20.22,507.1021
2021-08-02,SELL,DBC,19.29,98.2281
2021-08-02,SELL,DBMF,28.66,65.9384
2021-08-02,BUY,TLT,150.67,2216.6274
2021-08-02,SELL,KMLM,28.65,11535.041
2021-08-02,SELL,PDBC,20.09,12.6621
2021-09-01,BUY,DBC,19.09,35.8198
2021-09-01,SELL,DBMF,28.616,79.193
2021-09-01,BUY,TLT,148.89,7.8357
2021-09-01,SELL,PDBC,19.93,5.9745
2021-10-01,SELL,DBC,20.45,778.2933
2021-10-01,SELL,DBMF,27.83,11573.956
2021-10-01,SELL,TLT,145.35,2224.4631
2021-10-01,BUY,KMLM,28.965,11699.6178
2021-10-01,SELL,PDBC,21.38,767.8778
2021-10-01,BUY,UUP,25.26,13415.6543
2021-11-01,SELL,DBC,21.51,348.7556
2021-11-01,BUY,DBMF,29.115,11984.9933
2021-11-01,SELL,KMLM,29.908,32.4028
2021-11-01,SELL,PDBC,22.26,174.512
2021-11-01,SELL,UUP,25.17,13415.6543
2021-12-01,SELL,DBC,19.31,16222.3651
2021-12-01,SELL,KMLM,28.249,11667.215
2021-12-01,SELL,DBMF,27.525,11984.9933
2021-12-01,BUY,TLT,152.34,4223.3882
2021-12-01,SELL,PDBC,20.07,15675.7895
2021-12-01,BUY,UUP,25.77,24966.6638
2022-01-03,BUY,DBC,20.86,19994.6608
2022-01-03,BUY,GLD,168.33,2477.8033
2022-01-03,SELL,TLT,144.3,4223.3882
2022-01-03,SELL,UUP,25.79,8794.1698
2022-02-01,BUY,DBC,22.51,8500.1115
2022-02-01,SELL,GLD,168.23,2477.8033
2022-02-01,BUY,UUP,25.8,8688.6436
2022-03-01,SELL,DBC,24.83,14849.6073
2022-03-01,BUY,KMLM,29.539,11469.9026
2022-03-01,BUY,GLD,181.62,1865.4854
2022-03-01,SELL,UUP,26.08,11869.9778
2022-04-01,SELL,DBC,26.23,338.9386
2022-04-01,BUY,GLD,179.5,78.9286
2022-04-01,BUY,DBMF,28.85,12097.8269
2022-04-01,SELL,KMLM,31.58,417.8977
2022-04-01,SELL,UUP,26.34,12991.1598
2022-05-02,BUY,DBC,27.95,25.4615
2022-05-02,SELL,GLD,173.63,1944.414
2022-05-02,SELL,DBMF,32.31,565.1538
2022-05-02,SELL,KMLM,35.348,510.5119
2022-05-02,BUY,UUP,27.71,13447.1562
2022-06-01,SELL,DBC,28.94,354.2377
2022-06-01,BUY,DBMF,31.85,259.0822
2022-06-01,SELL,KMLM,36.144,150.6285
2022-06-01,BUY,PDBC,19.64,19122.5777
2022-06-01,SELL,UUP,27.42,13447.1562
2022-07-01,BUY,DBC,26.77,436.1942
2022-07-01,SELL,DBMF,32.16,626.2309
2022-07-01,SELL,KMLM,35.05,145.9779
2022-07-01,BUY,PDBC,18.1,716.2764
2022-08-01,SELL,DBC,25.58,23.1896
2022-08-01,SELL,DBMF,30.87,69.709
2022-08-01,BUY,KMLM,33.2,72.2166
2022-08-01,SELL,PDBC,17.25,19838.854
2022-08-01,BUY,UUP,28.18,12154.9974
2022-09-01,SELL,DBC,25.17,13390.4548
2022-09-01,BUY,KMLM,37.05,2615.4239
2022-09-01,BUY,DBMF,32.6,3602.0416
2022-09-01,BUY,UUP,29.37,4159.2723
2022-10-03,SELL,KMLM,37.56,3163.0633
2022-10-03,BUY,CTA,29.06,12627.0158
2022-10-03,SELL,DBMF,33.54,3757.4556
2022-10-03,SELL,UUP,30.01,4086.9765
2022-11-01,SELL,DBMF,34.06,102.9797
2022-11-01,BUY,KMLM,37.66,31.986
2022-11-01,SELL,CTA,29.26,11.7529
2022-11-01,BUY,UUP,30.02,68.5959
2022-12-01,SELL,KMLM,33.2,9801.4498
2022-12-01,SELL,CTA,26.87,12615.263
2022-12-01,BUY,GLD,167.84,8024.5539
2022-12-01,SELL,DBMF,30.91,10837.4217
2022-12-01,SELL,UUP,28.26,12295.8891
2023-01-03,SELL,GLD,171.06,12.5976
2023-02-01,BUY,TLT,108.18,6727.3542
2023-02-01,SELL,GLD,181.67,4005.9829
2023-03-01,SELL,TLT,100.37,6727.3542
2023-03-01,SELL,GLD,170.76,29.2805
2023-03-01,BUY,CTA,27.42,24765.1373
2023-04-03,SELL,CTA,23.37,24765.1373
2023-04-03,SELL,GLD,184.54,423.174
2023-04-03,BUY,TLT,106.6,6151.6546
2023-05-01,BUY,TLT,103.13,88.5808
2023-05-01,SELL,GLD,183.97,55.3646
2023-06-01,SELL,TLT,103.12,3.3346
2023-06-01,BUY,GLD,183.76,1.7871
2023-07-03,BUY,KMLM,30.71,10267.8029
2023-07-03,BUY,CTA,25.53,12351.1246
2023-07-03,SELL,GLD,178.47,3499.9415
2023-07-03,BUY,DBMF,27.67,11395.8879
2023-07-03,SELL,TLT,102.08,6236.9008
2023-07-03,BUY,UUP,28.41,11099.0574
2023-08-01,BUY,DBC,24.55,12867.4284
2023-08-01,SELL,DBMF,27.72,11395.8879
2023-08-01,SELL,KMLM,30.97,67.7589
2023-08-01,SELL,CTA,25.67,45.1115
