date,equity
2016-05-24,999200.0000000001
2016-05-25,1001244.9579339939
2016-05-26,1016950.2371817732
2016-05-27,1045951.797407159
2016-05-31,1049538.983551208
2016-06-01,1036544.0104556007
2016-06-02,1024402.6934239692
2016-06-03,1011764.112257903
2016-06-06,1034306.5014319012
2016-06-07,1039669.1337188357
2016-06-08,1039139.4027850276
2016-06-09,1048546.7514348342
2016-06-10,1021183.1703635498
2016-06-13,1024602.1970675415
2016-06-14,1019935.3283583422
2016-06-15,1022479.6560960698
2016-06-16,1048089.7149855823
2016-06-17,1082450.4549070464
2016-06-20,1076652.5780528833
2016-06-21,1105680.5099363762
2016-06-22,1073059.6739422313
2016-06-23,1099887.487843523
2016-06-24,1043307.3928052399
2016-06-27,1009228.4993102807
2016-06-28,1051550.6226218727
2016-06-29,1070647.2957888655
2016-06-30,1083684.6084136718
2016-07-01,1078247.1559282069
2016-07-05,1069462.8529891705
2016-07-06,1078272.0805971278
2016-07-07,1079670.5757705588
2016-07-08,1109730.088283786
2016-07-11,1110693.0527120966
2016-07-12,1119359.061864905
2016-07-13,1112299.3128669239
2016-07-14,1131957.1755409788
2016-07-15,1118157.0477516765
2016-07-18,1154403.9261833064
2016-07-19,1144616.4756351786
2016-07-20,1146878.705994734
2016-07-21,1127361.636962661
2016-07-22,1175607.0862468483
2016-07-25,1225482.3443805992
2016-07-26,1249811.7692130522
2016-07-27,1240214.6341386533
2016-07-28,1236158.6655480505
2016-07-29,1253182.949427914
2016-08-01,1232490.8034131522
2016-08-02,1181894.5767696104
2016-08-03,1183693.2011903855
2016-08-04,1204176.97612536
2016-08-05,1228240.8222357929
2016-08-08,1231328.0345837548
2016-08-09,1224149.8400193597
2016-08-10,1203130.0384157193
2016-08-11,1219593.6667174115
2016-08-12,1226344.4295157264
2016-08-15,1250037.1536226668
2016-08-16,1245625.728401673
2016-08-17,1229406.5842036135
2016-08-18,1256495.8664891855
2016-08-19,1291185.508173706
2016-08-22,1281892.0599382562
2016-08-23,1289081.6419862239
2016-08-24,1261318.4863934782
2016-08-25,1272430.2380230706
2016-08-26,1298497.9403566574
2016-08-29,1302139.5926802894
2016-08-30,1307519.917245653
2016-08-31,1266822.5126323984
2016-09-01,1258760.1691751487
2016-09-02,1316159.796919547
2016-09-06,1314711.5051719344
2016-09-07,1271528.1809640825
2016-09-08,1243987.0940426276
2016-09-09,1193139.8375188173
2016-09-12,1202268.902527831
2016-09-13,1173603.888706976
2016-09-14,1182209.275192426
2016-09-15,1196363.704330026
2016-09-16,1201450.1055438407
2016-09-19,1226950.5723710386
2016-09-20,1223283.633709152
2016-09-21,1269348.531300962
2016-09-22,1278193.515079001
2016-09-23,1273152.1443693677
2016-09-26,1257878.6218907866
2016-09-27,1278942.7282943702
2016-09-28,1270184.514362123
2016-09-29,1267880.2162470527
2016-09-30,1284157.1682084368
2016-10-03,1289123.3461383926
2016-10-04,1299013.203061503
2016-10-05,1297799.5116125746
2016-10-06,1321188.8645339822
2016-10-07,1302788.1394638647
2016-10-10,1308388.2961661387
2016-10-11,1232688.354109333
2016-10-12,1240665.782610774
2016-10-13,1231826.7327923104
2016-10-14,1252015.2546054875
2016-10-17,1241383.4155994388
2016-10-18,1256740.7059820206
2016-10-19,1257201.1854277644
2016-10-20,1272627.7802423728
2016-10-21,1232442.4890031135
2016-10-24,1276062.0107424203
2016-10-25,1312329.7284339922
2016-10-26,1299681.9660760495
2016-10-27,1267709.3992064763
2016-10-28,1250224.6115925522
2016-10-31,1211154.134309561
2016-11-01,1220301.3531855573
2016-11-02,1190999.2455071993
2016-11-03,1185456.8007404534
2016-11-04,1178495.4635687182
2016-11-07,1226651.3743502721
2016-11-08,1228874.3576756194
2016-11-09,1213300.1939797383
2016-11-10,1149182.9319471037
2016-11-11,1185756.0143288919
2016-11-14,1187833.9318503928
2016-11-15,1208207.2841345798
2016-11-16,1257025.9246611726
2016-11-17,1324376.2450848995
2016-11-18,1340040.0503446492
2016-11-21,1369030.9094082834
2016-11-22,1360936.4457849218
2016-11-23,1370170.146428403
2016-11-25,1372796.9188330169
2016-11-28,1371301.0952089517
2016-11-29,1365293.8233305435
2016-11-30,1365098.8799546892
2016-12-01,1309410.0914096422
2016-12-02,1309065.2173476834
2016-12-05,1316593.4629793144
2016-12-06,1355513.8256732873
2016-12-07,1384787.9867931693
2016-12-08,1428438.6656052675
2016-12-09,1417593.5217072116
2016-12-12,1430214.7187150004
2016-12-13,1418957.3252046406
2016-12-14,1410449.3648007796
2016-12-15,1430963.1098511764
2016-12-16,1411759.2559011192
2016-12-19,1429764.5993859353
2016-12-20,1468031.3146362589
2016-12-21,1459675.6730292202
2016-12-22,1465534.597950025
2016-12-23,1463771.2740197252
2016-12-27,1493359.924542101
2016-12-28,1454790.2694267305
2016-12-29,1456102.5403882265
2016-12-30,1437352.0736682094
2017-01-03,1444858.5947905248
2017-01-04,1448504.3177694073
2017-01-05,1435214.1095485573
2017-01-06,1435911.487532793
2017-01-09,1459773.8882373755
2017-01-10,1453575.044994977
2017-01-11,1454315.467418938
2017-01-12,1420631.9800483193
2017-01-13,1411995.880986962
2017-01-17,1374835.8365370238
2017-01-18,1401017.0747526598
2017-01-19,1372432.5629681456
2017-01-20,1383600.4969692891
2017-01-23,1388991.7375700914
2017-01-24,1455205.8216023631
2017-01-25,1494435.9344559838
2017-01-26,1489988.093541468
2017-01-27,1513227.9689945418
2017-01-30,1513103.775959873
2017-01-31,1505025.1144494363
2017-02-01,1585158.1743236724
2017-02-02,1586899.7931841174
2017-02-03,1586476.6921905898
2017-02-06,1647133.5476530474
2017-02-07,1642497.9781934973
2017-02-08,1649146.9232436134
2017-02-09,1645778.6346885227
2017-02-10,1644472.7948442344
2017-02-13,1638895.108020232
2017-02-14,1613161.5707068038
2017-02-15,1605369.1557453717
2017-02-16,1593977.8178199087
2017-02-17,1618438.2573062428
2017-02-21,1669702.292504442
2017-02-22,1675711.4653755669
2017-02-23,1666308.6226301943
2017-02-24,1658813.942137856
2017-02-27,1719848.1893349364
2017-02-28,1678888.994461019
2017-03-01,1730851.680951625
2017-03-02,1682517.2211704333
2017-03-03,1665738.4009401696
2017-03-06,1660373.5140158115
2017-03-07,1652761.764464538
2017-03-08,1657602.8971734485
2017-03-09,1675349.2682616753
2017-03-10,1717343.5914783538
2017-03-13,1742454.2244411265
2017-03-14,1721930.3172666463
2017-03-15,1728481.9118000846
2017-03-16,1713093.8653012747
2017-03-17,1717828.967256661
2017-03-20,1771040.9962927136
2017-03-21,1717717.640893395
2017-03-22,1733613.4790572277
2017-03-23,1726082.3779134569
2017-03-24,1738621.631969152
2017-03-27,1751073.5221400568
2017-03-28,1783008.4098913562
2017-03-29,1786463.5149060567
2017-03-30,1764770.2232643967
2017-03-31,1765506.2208223576
2017-04-03,1779601.9250668404
2017-04-04,1764439.6915146806
2017-04-05,1742060.3845657003
2017-04-06,1718330.467408875
2017-04-07,1737729.6723033022
2017-04-10,1745173.2172385901
2017-04-11,1735970.3495212798
2017-04-12,1700214.4892457332
2017-04-13,1708037.7522376482
2017-04-17,1731581.3958165715
2017-04-18,1734673.230631746
2017-04-19,1749779.4746468007
2017-04-20,1784061.968297666
2017-04-21,1788489.5320902853
2017-04-24,1793876.1216922696
2017-04-25,1826953.591207257
2017-04-26,1794822.241066089
2017-04-27,1791443.5588392084
2017-04-28,1813806.0267637512
2017-05-01,1854331.1301361595
2017-05-02,1739245.4154208861
2017-05-03,1735311.557554106
2017-05-04,1705541.8668973367
2017-05-05,1735142.51134371
2017-05-08,1739465.575721744
2017-05-09,1772845.1416257694
2017-05-10,1825281.7104965216
2017-05-11,1829722.2764710023
2017-05-12,1846941.1978131854
2017-05-15,1867847.8800654125
2017-05-16,1943302.9816090167
2017-05-17,1813149.4343303964
2017-05-18,1853156.3780784637
2017-05-19,1833584.427565299
2017-05-22,1827344.0013295459
2017-05-23,1811845.1541103444
2017-05-24,1824373.5170274896
2017-05-25,1827839.2564889062
2017-05-26,1839678.3963907678
2017-05-30,1846176.549526
