date,action,symbol,price,shares,value
2023-05-24,BUY,META,249.21,802.536,200000.0
2023-05-24,BUY,AMD,108.27,1847.2338,200000.0
2023-05-24,BUY,CRWD,149.2,1340.4826,200000.0
2023-05-24,BUY,FER,31.22,6406.15,200000.0
2023-08-17,SELL,AMD,104.44,1847.2338,192925.11
2023-08-17,BUY,CSCO,54.73,3751.1719,205301.64
2023-08-22,SELL,FER,30.0,6406.15,192184.5
2023-08-23,BUY,APP,40.18,5131.9265,206200.81
2023-10-20,SELL,CSCO,52.93,3751.1719,198549.53
2023-10-24,BUY,MSTR,42.487,5008.8048,212809.09
2023-10-26,SELL,META,288.35,802.536,231411.26
2023-10-31,BUY,TMUS,143.86,1424.996,204999.93
2023-11-30,SELL,APP,37.48,5131.9265,192344.6
2023-11-30,BUY,PDD,147.44,1570.3398,231530.91
2024-01-11,SELL,MSTR,53.618,5008.8048,268562.1
2024-01-11,BUY,SHOP,81.3,3106.3972,252550.1
2024-02-05,SELL,PDD,121.14,1570.3398,190230.96
2024-02-05,BUY,ASML,898.54,275.8161,247831.76
2024-04-03,SELL,SHOP,75.64,3106.3972,234967.88
2024-04-03,BUY,APP,72.86,3482.6487,253745.78
2024-04-12,SELL,TMUS,160.05,1424.996,228070.62
2024-04-19,SELL,CRWD,282.64,1340.4826,378874.02
2024-04-19,BUY,KHC,37.78,6135.1403,231785.59
2024-04-22,BUY,PEP,176.46,1323.9485,233623.96
2024-04-30,SELL,ASML,872.47,275.8161,240641.24
2024-04-30,BUY,PYPL,67.92,3472.9771,235884.6
2024-05-01,SELL,KHC,36.28,6135.1403,222582.88
2024-05-01,BUY,AEP,88.15,2619.8131,230936.53
2024-05-22,SELL,PYPL,62.19,3472.9771,215984.44
2024-05-22,BUY,QCOM,202.93,1177.0079,238850.2
2024-05-30,SELL,PEP,170.48,1323.9485,225706.73
2024-05-30,BUY,INSM,56.98,4144.325,236143.63
2024-07-24,SELL,QCOM,181.07,1177.0079,213120.83
2024-07-24,BUY,STX,109.53,2244.8919,245883.01
2024-07-25,SELL,APP,76.17,3482.6487,265273.34
2024-07-25,BUY,GILD,76.51,3163.5052,242039.79
2024-08-02,SELL,STX,94.57,2244.8919,212299.42
2024-08-02,BUY,ALNY,272.05,877.7932,238803.62
2024-10-24,SELL,INSM,71.71,4144.325,297189.54
2024-10-24,BUY,PLTR,43.56,5711.0947,248775.29
2024-11-06,SELL,AEP,96.25,2619.8131,252157.01
2024-11-06,BUY,LITE,71.97,3597.7889,258932.87
2024-11-13,SELL,ALNY,264.6,877.7932,232264.07
2024-11-13,BUY,SHOP,115.09,2393.3924,275455.52
2025-01-13,SELL,PLTR,64.98,5711.0947,371106.96
2025-01-14,BUY,BKR,45.07,6004.2736,270612.61
2025-01-27,SELL,LITE,74.17,3597.7889,266848.0
2025-01-27,BUY,AMZN,235.42,1131.4466,266365.16
2025-02-24,SELL,AMZN,212.71,1131.4466,240670.02
2025-02-24,BUY,DXCM,90.75,3043.8344,276227.97
2025-03-04,SELL,SHOP,101.73,2393.3924,243479.82
2025-03-05,SELL,BKR,42.32,6004.2736,254100.86
2025-03-05,BUY,AMGN,316.57,834.569,264199.52
2025-03-05,BUY,FER,46.22,5716.1297,264199.52
2025-03-07,SELL,DXCM,77.84,3043.8344,236932.06
2025-04-04,SELL,FER,42.66,5716.1297,243850.09
2025-04-08,SELL,AMGN,280.26,834.569,233896.32
2025-05-06,SELL,GILD,97.88,3163.5052,309643.88
2025-05-12,BUY,MNST,61.36,3914.6382,240202.2
2025-05-12,BUY,MELI,2504.6101,95.904,240202.2
2025-05-12,BUY,INTU,662.3,362.6789,240202.2
2025-05-12,BUY,ZS,241.48,994.7085,240202.2
2025-07-10,SELL,MNST,59.17,3914.6382,231629.14
2025-07-10,BUY,MCHP,75.08,3375.3562,253421.75
2025-08-06,SELL,MELI,2317.22,95.904,222230.74
2025-08-06,BUY,ALNY,428.14,576.045,246627.9
2025-08-19,SELL,INTU,701.03,362.6789,254248.77
2025-08-19,BUY,INTC,25.31,9501.3869,240480.1
2025-09-04,SELL,ZS,268.25,994.7085,266830.56
2025-09-04,BUY,LITE,141.91,1670.1196,237006.68
2025-09-15,SELL,MCHP,63.17,3375.3562,213221.25
2025-09-15,BUY,WBD,19.46,12653.4215,246235.57
2025-11-25,SELL,ALNY,429.8,576.045,247584.12
2025-11-25,BUY,AMAT,242.46,1292.3298,313338.3
2026-01-26,SELL,INTC,42.49,9501.3869,403713.94
2026-01-26,BUY,STX,358.29,1040.7726,372898.42
2026-03-06,SELL,LITE,558.44,1670.1196,932661.61
2026-03-06,SELL,STX,352.8,1040.7726,367184.56
2026-03-06,BUY,FANG,180.54,2479.2561,447604.88
2026-03-09,BUY,SBUX,99.77,4528.8938,451847.72
2026-03-09,BUY,MRVL,92.65,4876.9316,451847.72
2026-03-27,SELL,SBUX,86.81,4528.8938,393153.26
2026-04-08,BUY,LITE,896.02,529.6083,474539.67
2026-04-10,SELL,WBD,27.44,12653.4215,347209.89
