date,action,symbol,price,shares,value
2023-05-24,BUY,PLTR,12.23,27255.384,333333.33
2023-05-24,BUY,APP,24.43,13644.4261,333333.33
2023-05-24,BUY,META,249.21,1337.56,333333.33
2023-06-01,SELL,PLTR,14.54,2062.4314,29987.75
2023-06-01,BUY,APP,24.83,1108.1124,27514.43
2023-06-01,BUY,META,272.61,6.1382,1673.32
2023-07-03,SELL,PLTR,15.52,329.1728,5108.76
2023-07-03,BUY,APP,25.92,135.0337,3500.07
2023-07-03,BUY,MSTR,37.784,10212.9438,385885.87
2023-07-03,SELL,META,286.02,1343.6981,384324.53
2023-08-01,SELL,PLTR,19.99,1375.9866,27505.97
2023-08-01,BUY,META,322.71,1454.9316,469520.98
2023-08-01,BUY,APP,31.43,51.0525,1604.58
2023-08-01,SELL,MSTR,43.498,10212.9438,444242.64
2023-09-01,SELL,PLTR,15.18,23487.7931,356544.71
2023-09-01,BUY,ADBE,563.21,847.6425,477400.75
2023-09-01,SELL,APP,43.19,3885.1225,167798.44
2023-09-01,SELL,META,296.38,1454.9316,431212.65
2023-09-01,BUY,SHOP,66.71,7156.3597,477400.75
2023-10-02,BUY,PLTR,15.88,26823.0692,425950.34
2023-10-02,SELL,ADBE,521.13,847.6425,441731.94
2023-10-02,SELL,APP,40.82,618.6579,25253.61
2023-10-02,SELL,SHOP,54.0,7156.3597,386443.42
2023-10-02,BUY,INSM,25.37,16789.5281,425950.34
2023-11-01,SELL,PLTR,14.92,26823.0692,400200.2
2023-11-01,BUY,ZS,156.65,2556.3679,400455.01
2023-11-01,BUY,APP,36.7,476.7361,17496.22
2023-11-01,BUY,MSTR,42.667,9385.591,400455.01
2023-11-01,SELL,INSM,24.99,16789.5281,419570.3
2023-12-01,BUY,PDD,145.27,3252.6876,472517.94
2023-12-01,SELL,ZS,198.03,2556.3679,506237.52
2023-12-01,BUY,CRWD,235.03,2010.458,472517.94
2023-12-01,SELL,APP,38.25,10911.5804,417367.95
2023-12-01,SELL,MSTR,52.768,430.9608,22740.94
2024-01-02,BUY,PDD,145.64,368.334,53644.17
2024-01-02,BUY,CRWD,246.89,125.5766,31003.62
2024-01-02,SELL,MSTR,68.515,1257.5479,86160.89
2024-02-01,SELL,PDD,126.59,3621.0216,458385.11
2024-02-01,BUY,ZS,238.06,2079.652,495081.95
2024-02-01,SELL,CRWD,299.37,482.2886,144382.73
2024-02-01,SELL,MSTR,50.348,7697.0823,387532.7
2024-02-01,BUY,AMD,170.48,2904.0472,495081.95
2024-03-01,SELL,ZS,219.23,2079.652,455922.1
2024-03-01,SELL,CRWD,314.6,1653.746,520268.52
2024-03-01,BUY,APP,62.26,8368.5748,521027.45
2024-03-01,SELL,AMD,202.64,332.8497,67448.66
2024-03-01,BUY,MSTR,107.939,4827.0545,521027.45
2024-04-01,SELL,APP,69.14,8368.5748,578603.26
2024-04-01,BUY,ARM,126.91,4828.6221,612800.44
2024-04-01,BUY,MU,124.3,4930.0115,612800.44
2024-04-01,SELL,AMD,183.34,2571.1975,471403.33
2024-04-01,SELL,MSTR,163.674,1083.0239,177262.86
2024-05-01,BUY,CEG,184.56,2499.5788,461322.27
2024-05-01,BUY,APP,69.74,6614.8879,461322.27
2024-05-01,BUY,MSTR,102.827,742.3616,76334.82
2024-05-01,SELL,ARM,95.29,4828.6221,460119.4
2024-05-01,SELL,MU,109.7,4930.0115,540822.25
2024-06-03,SELL,CEG,208.26,2499.5788,520562.28
2024-06-03,BUY,APP,82.7,624.667,51659.96
2024-06-03,SELL,MSTR,162.741,807.4719,131408.78
2024-06-03,BUY,INSM,55.94,10702.7382,598711.16
2024-07-01,SELL,APP,84.82,7239.5548,614059.04
2024-07-01,BUY,ALNY,243.32,2500.9127,608522.09
2024-07-01,SELL,MSTR,136.597,3678.9203,502529.48
2024-07-01,BUY,ARM,158.83,3831.2792,608522.09
2024-07-01,SELL,INSM,66.34,1529.9598,101497.53
2024-08-01,SELL,ALNY,268.61,234.4963,62988.06
2024-08-01,BUY,MSTR,151.181,4026.8424,608782.06
2024-08-01,SELL,ARM,121.51,3831.2792,465538.75
2024-08-01,SELL,INSM,75.33,1091.2433,82203.36
2024-09-03,BUY,PLTR,30.51,18127.5668,553072.07
2024-09-03,SELL,ALNY,253.78,87.0796,22099.07
2024-09-03,SELL,MSTR,122.32,4026.8424,492563.36
2024-09-03,SELL,INSM,73.31,537.2426,39385.25
2024-10-01,SELL,PLTR,36.46,1566.0279,57097.38
2024-10-01,SELL,ALNY,276.06,2179.3367,601627.69
2024-10-01,BUY,APP,130.65,4621.7659,603833.69
2024-10-01,BUY,INSM,72.88,741.0219,54005.67
2024-11-01,SELL,PLTR,41.92,538.5063,22574.18
2024-11-01,SELL,APP,163.53,514.3514,84111.88
2024-11-01,BUY,MSTR,229.71,2924.0585,671685.5
2024-11-01,SELL,INSM,68.32,8285.3144,566052.68
2024-12-02,BUY,PLTR,66.39,1919.7165,127449.98
2024-12-02,SELL,APP,340.59,609.8981,207725.21
2024-12-02,BUY,MSTR,380.3,208.2558,79199.69
2025-01-02,SELL,PLTR,75.19,2497.918,187818.46
2025-01-02,SELL,APP,341.78,99.7258,34084.27
2025-01-02,BUY,MSTR,300.01,738.5461,221571.23
