symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
RIOT,2021-03-01,53.6,18656.7169,2021-03-15,63.43,183395.56,18.34,10
PSKY,2021-03-15,96.33,12276.5031,2021-04-01,44.64,-634572.47,-53.66,13
MARA,2021-04-01,48.85,11179.7403,2021-04-15,42.14,-75016.05,-13.74,9
BNTX,2021-04-15,140.72,3.605,2021-05-03,208.9,245.79,48.45,12
BNTX,2021-04-15,140.72,3338.0588,2021-05-17,198.3,192205.43,40.92,22
CROX,2021-05-17,103.88,6372.1263,2021-06-01,103.13,-4779.09,-0.72,10
PLUG,2021-06-01,30.89,21239.8277,2021-06-15,29.2,-35895.28,-5.47,10
BIIB,2021-06-15,396.08,1563.2004,2021-07-01,348.92,-73720.49,-11.91,12
TTD,2021-07-01,76.68,7100.1618,2021-07-15,71.99,-33299.78,-6.12,9
MRNA,2021-07-15,259.675,2.3575,2021-08-02,346.61,204.95,33.48,12
MRNA,2021-07-15,259.675,1962.671,2021-08-16,373.86,224107.58,43.97,22
TEAM,2021-08-16,334.02,2196.7652,2021-09-01,371.7,82774.16,11.28,12
AFRM,2021-09-01,96.48,11.8954,2021-09-15,109.75,157.85,13.75,9
AFRM,2021-09-01,96.48,8439.2198,2021-10-01,117.85,180346.09,22.15,21
CAR,2021-10-01,121.89,8159.4962,2021-10-15,150.97,237278.17,23.86,10
XENE,2021-10-15,33.66,36549.2533,2021-11-01,33.31,-12792.18,-1.04,11
PLUG,2021-11-01,41.65,29183.3364,2021-11-15,41.82,4961.11,0.41,10
CAR,2021-11-15,273.91,4448.5442,2021-12-01,253.27,-91817.95,-7.54,11
BNTX,2021-12-01,334.48,3362.6274,2021-12-15,287.05,-159489.5,-14.18,10
Z,2021-12-15,61.31,15714.2556,2022-01-03,63.44,33471.32,3.47,12
INCY,2022-01-03,73.97,13456.393,2022-01-18,75.01,13994.66,1.41,10
APA,2022-01-18,32.97,46.4911,2022-02-01,34.71,80.89,5.28,10
APA,2022-01-18,32.97,30519.7874,2022-02-15,32.23,-22584.69,-2.24,20
RIOT,2022-02-15,19.73,49855.6242,2022-03-01,17.5,-111178.02,-11.3,9
STLD,2022-03-01,72.17,12067.3355,2022-03-15,73.11,11343.32,1.3,10
CAR,2022-03-15,231.63,3802.8243,2022-04-01,260.58,110091.69,12.5,13
GDS,2022-04-01,41.77,23689.9549,2022-04-18,34.27,-177674.66,-17.96,10
LULU,2022-04-18,387.56,2090.6967,2022-05-02,360.84,-55863.42,-6.89,10
UAL,2022-05-02,50.19,15005.1662,2022-05-16,43.54,-99784.32,-13.25,10
PTC,2022-05-16,108.98,5983.8403,2022-06-01,116.42,44519.74,6.83,11
SOFI,2022-06-01,7.05,98665.8589,2022-06-15,5.94,-109519.12,-15.74,10
LI,2022-06-15,32.49,24.8496,2022-07-01,37.7,129.47,16.04,11
LI,2022-06-15,32.49,17979.5023,2022-07-15,38.45,107157.82,18.34,20
AXSM,2022-07-15,43.69,15823.0979,2022-08-01,36.06,-120730.19,-17.46,11
MARA,2022-08-01,12.27,46411.9652,2022-08-15,17.65,249696.33,43.85,10
PLUG,2022-08-15,29.96,27311.7206,2022-09-01,26.94,-82481.36,-10.08,13
AXSM,2022-09-01,62.59,11734.5873,2022-09-15,61.69,-10561.15,-1.44,9
RIVN,2022-09-15,39.69,18209.3853,2022-10-03,31.89,-142033.19,-19.65,12
BIIB,2022-10-03,264.3,3.4435,2022-10-17,269.55,18.08,1.99,10
BIIB,2022-10-03,264.3,2189.2921,2022-11-01,280.04,34459.5,5.96,21
MEDP,2022-11-01,222.31,2757.8095,2022-11-15,226.57,11748.3,1.92,10
BILI,2022-11-15,16.28,58.693,2022-12-01,17.02,43.43,4.55,11
BILI,2022-11-15,16.28,0.0355,2022-12-15,22.5,0.22,38.21,21
BILI,2022-11-15,16.28,38261.6617,2023-01-03,27.0,410164.99,65.85,32
MDGL,2023-01-03,285.42,3619.4549,2023-01-17,295.32,35832.58,3.47,9
MARA,2023-01-17,8.37,127508.3105,2023-02-01,7.52,-108382.05,-10.16,11
AFRM,2023-02-01,17.72,54015.4411,2023-02-15,14.7,-163126.61,-17.04,10
MBLY,2023-02-15,47.02,16854.4056,2023-03-01,38.22,-148318.76,-18.72,9
SMCI,2023-03-01,10.2,63030.0195,2023-03-15,9.175,-64605.75,-10.05,10
FSLR,2023-03-15,203.22,2840.6199,2023-04-03,208.49,14970.08,2.59,13
FCNCA,2023-04-03,950.79,0.9488,2023-04-17,997.99,44.78,4.96,9
FCNCA,2023-04-03,950.79,620.9724,2023-05-01,1015.06,39909.91,6.76,19
TGTX,2023-05-01,30.64,32.3762,2023-05-15,31.15,16.51,1.66,10
TGTX,2023-05-01,30.64,20539.5395,2023-06-01,27.415,-66239.98,-10.53,22
SMCI,2023-06-01,23.102,24374.1107,2023-06-15,24.392,31442.63,5.58,10
SOFI,2023-06-15,9.55,62160.456,2023-07-03,8.52,-64025.25,-10.79,11
MARA,2023-07-03,15.32,34507.6104,2023-07-17,17.26,66944.78,12.66,9
BBIO,2023-07-17,32.04,27.7877,2023-08-01,34.27,61.97,6.96,11
BBIO,2023-07-17,32.04,18535.0942,2023-08-15,30.46,-29285.48,-4.93,21
ERIE,2023-08-15,285.37,1978.4077,2023-09-01,282.3,-6073.73,-1.08,13
VFS,2023-09-01,29.495,18904.9372,2023-09-15,17.53,-226197.58,-40.57,9
AFRM,2023-09-15,24.37,13562.1939,2023-10-02,20.45,-53163.8,-16.09,11
IMVT,2023-10-02,34.64,11.7439,2023-10-16,37.75,36.52,8.98,10
IMVT,2023-10-02,34.64,7979.5191,2023-11-01,33.47,-9336.02,-3.38,22
MARA,2023-11-01,8.92,29941.049,2023-11-15,10.24,39522.18,14.8,10
AFRM,2023-11-15,25.98,13.0133,2023-12-01,37.67,152.13,45.0,11
AFRM,2023-11-15,25.98,0.0089,2023-12-15,43.97,0.16,69.25,21
AFRM,2023-11-15,25.98,11771.7746,2024-01-02,46.6,242733.98,79.37,31
CYTK,2024-01-02,84.12,10.8105,2024-01-16,81.19,-31.67,-3.48,9
CYTK,2024-01-02,84.12,6510.4051,2024-02-01,81.25,-18684.88,-3.41,21
SMCI,2024-02-01,58.35,8.4298,2024-02-15,100.4,354.47,72.07,10
SMCI,2024-02-01,58.35,9057.0326,2024-03-01,90.548,291618.32,55.18,20
COIN,2024-03-01,205.77,5.4141,2024-03-15,242.36,198.1,17.78,10
COIN,2024-03-01,205.77,3980.0817,2024-04-01,252.11,184436.97,22.52,20
CROX,2024-04-01,145.75,6884.5101,2024-04-15,123.36,-154144.18,-15.36,10
SMTC,2024-04-15,32.39,36.0668,2024-05-01,37.64,189.35,16.21,12
SMTC,2024-04-15,32.39,26134.5944,2024-05-15,39.96,197838.87,23.37,22
PLUG,2024-05-15,3.41,484.3306,2024-06-03,3.45,19.37,1.17,12
PLUG,2024-05-15,3.41,305772.9293,2024-06-17,2.72,-210983.34,-20.23,22
ASTS,2024-06-17,11.75,70783.0672,2024-07-01,10.84,-64412.58,-7.74,9
CORZ,2024-07-01,9.85,77762.2038,2024-07-15,11.01,90204.14,11.78,9
RIVN,2024-07-15,17.5,48853.4448,2024-08-01,15.24,-110408.8,-12.91,13
ASTS,2024-08-01,20.44,37.9511,2024-08-15,31.36,414.43,53.42,10
ASTS,2024-08-01,20.44,0.0324,2024-09-03,29.41,0.29,43.88,22
ASTS,2024-08-01,20.44,36320.02,2024-09-16,29.84,341408.17,45.99,31
SMMT,2024-09-16,29.48,36763.5487,2024-10-01,20.1,-344842.06,-31.82,11
FUTU,2024-10-01,107.54,12.2745,2024-10-15,96.21,-139.07,-10.54,10
FUTU,2024-10-01,107.54,6842.9726,2024-11-01,95.08,-85263.43,-11.59,23
MDGL,2024-11-01,319.58,2035.8875,2024-11-15,288.58,-63112.51,-9.7,10
RKLB,2024-11-15,19.0,38.8819,2024-12-02,24.155,200.44,27.13,10
RKLB,2024-11-15,19.0,30828.2436,2024-12-16,25.9,212714.87,36.32,20
RGTI,2024-12-16,8.43,63.8761,2025-01-02,20.0,739.05,137.25,11
RGTI,2024-12-16,8.43,94651.5114,2025-01-15,10.94,237575.23,29.77,19
LUNR,2025-01-15,19.18,53987.8236,2025-02-03,21.7,136049.34,13.14,12
TEM,2025-02-03,61.54,19010.0588,2025-02-18,81.95,387995.22,33.17,10
SMCI,2025-02-18,55.8,27885.3252,2025-03-03,36.07,-550177.45,-35.36,9
GDS,2025-03-03,31.84,31511.7012,2025-03-17,35.45,113757.26,11.34,10
OKTA,2025-03-17,115.64,9646.1649,2025-04-01,104.69,-105625.48,-9.47,11
CORT,2025-04-01,91.93,23.1979,2025-04-15,69.59,-518.24,-24.3,10
CORT,2025-04-01,91.93,10942.4387,2025-05-01,71.48,-223772.84,-22.25,21
FIVE,2025-05-01,75.36,10379.0373,2025-05-15,105.61,313965.88,40.14,10
CRWV,2025-05-15,65.77,14.5824,2025-06-02,120.2,793.72,82.76,11
CRWV,2025-05-15,65.77,16632.5019,2025-06-16,158.5,1542331.95,140.99,21
ASTS,2025-06-16,41.91,62902.6521,2025-07-01,45.11,201288.53,7.64,10
IREN,2025-07-01,15.23,186035.5062,2025-07-15,16.88,306958.51,10.83,9
CIFR,2025-07-15,5.97,525250.0187,2025-08-01,4.93,-546260.0,-17.42,13
ABVX,2025-08-01,71.945,35922.7423,2025-08-15,70.44,-54063.63,-2.09,10
WULF,2025-08-15,8.97,420.0753,2025-09-02,9.63,277.25,7.36,11
WULF,2025-08-15,8.97,281214.1304,2025-09-15,10.49,427445.34,16.95,20
SATS,2025-09-15,71.94,41005.4605,2025-10-01,79.5,310001.18,10.51,12
PLUG,2025-10-01,2.93,1110994.5867,2025-10-15,3.85,1022114.84,31.4,10
NVTS,2025-10-15,15.16,281801.9114,2025-11-03,12.25,-820043.52,-19.2,13
PRAX,2025-11-03,181.99,18930.896,2025-11-17,197.58,295132.6,8.57,10
GH,2025-11-17,96.48,38711.1161,2025-12-01,105.22,338335.07,9.06,9
JAZZ,2025-12-01,172.12,23630.0466,2025-12-15,169.53,-61201.73,-1.5,10
ARWR,2025-12-15,68.45,58429.3593,2026-01-02,67.79,-38563.15,-0.96,12
RKLB,2026-01-02,75.99,52040.0321,2026-01-15,90.76,768631.5,19.44,9
FTAI,2026-01-15,266.85,17675.9264,2026-02-02,274.39,133276.64,2.83,11
IBRX,2026-02-02,6.13,789974.8177,2026-02-17,6.02,-86897.34,-1.79,10
SLAB,2026-02-17,205.69,23082.7664,2026-03-02,204.91,-18004.53,-0.38,9
AAOI,2026-03-02,102.51,80.3842,2026-03-16,94.07,-678.44,-8.23,10
AAOI,2026-03-02,102.51,45986.2123,2026-04-01,86.35,-743137.36,-15.76,22
TSEM,2026-04-01,187.07,21226.8304,2026-04-15,215.63,606238.22,15.27,9
CAR,2026-04-15,395.77,11549.1023,2026-05-01,185.55,-2427852.12,-53.12,12
MXL,2026-05-01,77.18,27670.6092,2026-05-15,92.34,419486.32,19.64,10
