date,action,symbol,price,shares
2021-03-01,BUY,RIOT,53.6,18656.7169
2021-03-15,BUY,PSKY,96.33,12276.5031
2021-03-15,SELL,RIOT,63.43,18656.7169
2021-04-01,SELL,PSKY,44.64,12276.5031
2021-04-01,BUY,MARA,48.85,11179.7403
2021-04-15,SELL,MARA,42.14,11179.7403
2021-04-15,BUY,BNTX,140.72,3341.6637
2021-05-03,SELL,BNTX,208.9,3.605
2021-05-17,BUY,CROX,103.88,6372.1263
2021-05-17,SELL,BNTX,198.3,3338.0588
2021-06-01,SELL,CROX,103.13,6372.1263
2021-06-01,BUY,PLUG,30.89,21239.8277
2021-06-15,SELL,PLUG,29.2,21239.8277
2021-06-15,BUY,BIIB,396.08,1563.2004
2021-07-01,BUY,TTD,76.68,7100.1618
2021-07-01,SELL,BIIB,348.92,1563.2004
2021-07-15,BUY,MRNA,259.675,1965.0284
2021-07-15,SELL,TTD,71.99,7100.1618
2021-08-02,SELL,MRNA,346.61,2.3575
2021-08-16,BUY,TEAM,334.02,2196.7652
2021-08-16,SELL,MRNA,373.86,1962.671
2021-09-01,SELL,TEAM,371.7,2196.7652
2021-09-01,BUY,AFRM,96.48,8451.1152
2021-09-15,SELL,AFRM,109.75,11.8954
2021-10-01,BUY,CAR,121.89,8159.4962
2021-10-01,SELL,AFRM,117.85,8439.2198
2021-10-15,SELL,CAR,150.97,8159.4962
2021-10-15,BUY,XENE,33.66,36549.2533
2021-11-01,BUY,PLUG,41.65,29183.3364
2021-11-01,SELL,XENE,33.31,36549.2533
2021-11-15,SELL,PLUG,41.82,29183.3364
2021-11-15,BUY,CAR,273.91,4448.5442
2021-12-01,SELL,CAR,253.27,4448.5442
2021-12-01,BUY,BNTX,334.48,3362.6274
2021-12-15,BUY,Z,61.31,15714.2556
2021-12-15,SELL,BNTX,287.05,3362.6274
2022-01-03,BUY,INCY,73.97,13456.393
2022-01-03,SELL,Z,63.44,15714.2556
2022-01-18,SELL,INCY,75.01,13456.393
2022-01-18,BUY,APA,32.97,30566.2785
2022-02-01,SELL,APA,34.71,46.4911
2022-02-15,BUY,RIOT,19.73,49855.6242
2022-02-15,SELL,APA,32.23,30519.7874
2022-03-01,BUY,STLD,72.17,12067.3355
2022-03-01,SELL,RIOT,17.5,49855.6242
2022-03-15,SELL,STLD,73.11,12067.3355
2022-03-15,BUY,CAR,231.63,3802.8243
2022-04-01,SELL,CAR,260.58,3802.8243
2022-04-01,BUY,GDS,41.77,23689.9549
2022-04-18,BUY,LULU,387.56,2090.6967
2022-04-18,SELL,GDS,34.27,23689.9549
2022-05-02,SELL,LULU,360.84,2090.6967
2022-05-02,BUY,UAL,50.19,15005.1662
2022-05-16,BUY,PTC,108.98,5983.8403
2022-05-16,SELL,UAL,43.54,15005.1662
2022-06-01,SELL,PTC,116.42,5983.8403
2022-06-01,BUY,SOFI,7.05,98665.8589
2022-06-15,BUY,LI,32.49,18004.3518
2022-06-15,SELL,SOFI,5.94,98665.8589
2022-07-01,SELL,LI,37.7,24.8496
2022-07-15,BUY,AXSM,43.69,15823.0979
2022-07-15,SELL,LI,38.45,17979.5023
2022-08-01,SELL,AXSM,36.06,15823.0979
2022-08-01,BUY,MARA,12.27,46411.9652
2022-08-15,BUY,PLUG,29.96,27311.7206
2022-08-15,SELL,MARA,17.65,46411.9652
2022-09-01,BUY,AXSM,62.59,11734.5873
2022-09-01,SELL,PLUG,26.94,27311.7206
2022-09-15,SELL,AXSM,61.69,11734.5873
2022-09-15,BUY,RIVN,39.69,18209.3853
2022-10-03,BUY,BIIB,264.3,2192.7355
2022-10-03,SELL,RIVN,31.89,18209.3853
2022-10-17,SELL,BIIB,269.55,3.4435
2022-11-01,BUY,MEDP,222.31,2757.8095
2022-11-01,SELL,BIIB,280.04,2189.2921
2022-11-15,BUY,BILI,16.28,38320.3902
2022-11-15,SELL,MEDP,226.57,2757.8095
2022-12-01,SELL,BILI,17.02,58.693
2022-12-15,SELL,BILI,22.5,0.0355
2023-01-03,SELL,BILI,27.0,38261.6617
2023-01-03,BUY,MDGL,285.42,3619.4549
2023-01-17,SELL,MDGL,295.32,3619.4549
2023-01-17,BUY,MARA,8.37,127508.3105
