symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
MARA,2021-03-01,38.5,1533.8904,2021-04-01,48.85,15875.76,26.88,23
RIOT,2021-03-01,53.6,191.355,2021-05-03,39.99,-2604.34,-25.39,44
RIOT,2021-03-01,53.6,254.4107,2021-06-01,29.23,-6199.99,-45.47,64
RIOT,2021-03-01,53.6,10307.3581,2021-07-01,36.21,-179244.95,-32.44,86
MARA,2021-03-01,38.5,12058.3005,2021-08-02,28.23,-123838.75,-26.68,107
FUTU,2021-07-01,161.09,2297.2826,2021-08-02,111.29,-114404.66,-30.91,21
MRNA,2021-08-02,346.61,16.957,2021-09-01,389.94,734.75,12.5,22
FTNT,2021-08-02,56.924,5322.15,2021-10-01,59.6,14242.07,4.7,43
MRNA,2021-08-02,346.61,885.9853,2021-11-01,337.17,-8363.68,-2.72,64
BNTX,2021-10-01,254.79,1186.0776,2021-11-01,274.32,23164.11,7.67,21
DDOG,2021-11-01,165.2,1887.3638,2021-12-01,164.53,-1264.53,-0.41,21
AFRM,2021-11-01,152.66,2042.398,2021-12-01,116.57,-73710.15,-23.64,21
CAR,2021-12-01,253.27,104.3061,2022-01-03,202.22,-5324.83,-20.16,22
MARA,2021-12-01,50.79,5390.9445,2022-01-03,32.89,-96497.91,-35.24,22
CAR,2021-12-01,253.27,976.7776,2022-02-01,178.99,-72555.04,-29.33,42
APA,2022-02-01,34.71,174.3877,2022-03-01,37.29,449.92,7.43,19
ON,2022-01-03,70.17,2974.6389,2022-04-01,59.63,-31352.69,-15.02,62
APA,2022-02-01,34.71,278.6372,2022-04-01,42.22,2092.57,21.64,42
CAR,2022-04-01,260.58,39.2369,2022-05-02,280.56,783.95,7.67,20
CAR,2022-04-01,260.58,686.5733,2022-06-01,187.4,-50243.43,-28.08,41
APA,2022-02-01,34.71,1020.8841,2022-06-01,47.62,13179.61,37.19,83
BKR,2022-06-01,37.41,4738.3309,2022-07-01,29.09,-39422.91,-22.24,21
VRTX,2022-07-01,287.32,468.3653,2022-08-01,273.83,-6318.26,-4.7,20
APA,2022-02-01,34.71,3806.81,2022-08-01,36.01,4948.85,3.75,124
LI,2022-08-01,34.1,3887.3224,2022-09-01,27.9,-24101.39,-18.18,23
TMUS,2022-08-01,143.79,921.884,2022-09-01,143.92,119.85,0.09,23
FSLR,2022-09-01,127.84,24.2392,2022-10-03,136.62,212.82,6.87,21
FSLR,2022-09-01,127.84,17.9671,2022-11-01,148.57,372.46,16.22,42
FSLR,2022-09-01,127.84,34.0709,2022-12-01,168.54,1386.69,31.84,63
ENPH,2022-09-01,281.86,464.3819,2023-01-03,253.31,-13258.1,-10.13,84
FSLR,2022-09-01,127.84,29.6001,2023-01-03,145.94,535.76,14.16,84
FSLR,2022-09-01,127.84,2.9508,2023-02-01,180.15,154.36,40.92,104
FSLR,2022-09-01,127.84,84.4036,2023-03-01,195.68,5725.94,53.07,123
NFLX,2023-01-03,29.495,4143.6642,2023-03-01,31.348,7678.2,6.28,39
FSLR,2022-09-01,127.84,748.2165,2023-04-03,208.49,60343.66,63.09,146
NVDA,2023-04-03,27.965,40.4472,2023-05-01,28.91,38.22,3.38,19
NVDA,2023-04-03,27.965,1059.6053,2023-06-01,39.77,12508.64,42.21,41
WYNN,2023-03-01,112.22,1347.4998,2023-06-01,96.48,-21209.64,-14.03,64
RIOT,2023-06-01,12.41,70.2015,2023-07-03,13.35,65.99,7.57,21
RIOT,2023-06-01,12.41,1359.4854,2023-08-01,18.23,7912.2,46.9,41
RIOT,2023-06-01,12.41,12441.8371,2023-09-01,11.04,-17045.32,-11.04,64
NVDA,2023-04-03,27.965,1023.1113,2023-09-01,48.509,21018.8,73.46,105
VFS,2023-09-01,29.495,6338.3057,2023-10-02,9.8,-124832.93,-66.77,20
NVDA,2023-04-03,27.965,3853.8897,2023-10-02,44.782,64810.87,60.14,125
PLTR,2023-10-02,15.88,272.6524,2023-11-01,14.92,-261.75,-6.05,22
PLTR,2023-10-02,15.88,7107.7362,2023-12-01,20.27,31202.96,27.64,43
SMCI,2023-10-02,28.886,4203.7272,2023-12-01,26.963,-8083.77,-6.66,43
MSTR,2023-12-01,52.768,280.9059,2024-01-02,68.515,4423.42,29.84,20
PDD,2023-12-01,145.27,1015.3019,2024-02-01,126.59,-18965.85,-12.86,41
MSTR,2023-12-01,52.768,2158.1926,2024-02-01,50.348,-5222.83,-4.59,41
CYTK,2024-02-01,81.25,1459.4294,2024-03-01,73.98,-10610.05,-8.95,20
AFRM,2024-02-01,39.67,2989.1263,2024-03-01,38.01,-4961.95,-4.18,20
CRWD,2024-03-01,314.6,351.5667,2024-04-01,319.59,1754.31,1.59,20
SMCI,2024-03-01,90.548,70.7863,2024-04-01,103.715,932.04,14.54,20
SMCI,2024-03-01,90.548,68.8735,2024-05-01,73.83,-1151.43,-18.46,42
MSTR,2024-04-01,163.674,132.2748,2024-06-03,162.741,-123.41,-0.57,44
MSTR,2024-04-01,163.674,644.477,2024-07-01,136.597,-17450.5,-16.54,63
