date,action,symbol,price,shares
2021-03-01,BUY,MARA,38.5,12987.013
2021-03-01,BUY,RIOT,53.6,9328.3585
2021-04-01,SELL,MARA,48.85,1533.8904
2021-04-01,BUY,RIOT,52.03,1424.7654
2021-05-03,BUY,MARA,36.22,207.9801
2021-05-03,SELL,RIOT,39.99,191.355
2021-06-01,BUY,MARA,25.2,294.6141
2021-06-01,SELL,RIOT,29.23,254.4107
2021-07-01,BUY,MARA,30.69,102.5836
2021-07-01,SELL,RIOT,36.21,10307.3581
2021-07-01,BUY,FUTU,161.09,2297.2826
2021-08-02,BUY,FTNT,56.924,5230.4234
2021-08-02,BUY,MRNA,346.61,858.9961
2021-08-02,SELL,MARA,28.23,12058.3005
2021-08-02,SELL,FUTU,111.29,2297.2826
2021-09-01,BUY,FTNT,61.694,91.7266
2021-09-01,SELL,MRNA,389.94,16.957
2021-10-01,SELL,FTNT,59.6,5322.15
2021-10-01,BUY,MRNA,341.09,43.9462
2021-10-01,BUY,BNTX,254.79,1186.0776
2021-11-01,BUY,DDOG,165.2,1887.3638
2021-11-01,SELL,MRNA,337.17,885.9853
2021-11-01,BUY,AFRM,152.66,2042.398
2021-11-01,SELL,BNTX,274.32,1186.0776
2021-12-01,SELL,DDOG,164.53,1887.3638
2021-12-01,BUY,CAR,253.27,1081.0837
2021-12-01,BUY,MARA,50.79,5390.9445
2021-12-01,SELL,AFRM,116.57,2042.398
2022-01-03,BUY,ON,70.17,2814.9348
2022-01-03,SELL,CAR,202.22,104.3061
2022-01-03,SELL,MARA,32.89,5390.9445
2022-02-01,BUY,ON,59.65,55.3715
2022-02-01,SELL,CAR,178.99,976.7776
2022-02-01,BUY,APA,34.71,4932.6931
2022-03-01,BUY,ON,59.65,104.3326
2022-03-01,SELL,APA,37.29,174.3877
2022-04-01,SELL,ON,59.63,2974.6389
2022-04-01,BUY,CAR,260.58,725.8102
2022-04-01,SELL,APA,42.22,278.6372
2022-05-02,SELL,CAR,280.56,39.2369
2022-05-02,BUY,APA,40.61,263.6216
2022-06-01,SELL,CAR,187.4,686.5733
2022-06-01,BUY,BKR,37.41,4738.3309
2022-06-01,SELL,APA,47.62,1020.8841
2022-07-01,BUY,VRTX,287.32,468.3653
2022-07-01,SELL,BKR,29.09,4738.3309
2022-07-01,BUY,APA,35.35,84.4042
2022-08-01,BUY,LI,34.1,3887.3224
2022-08-01,SELL,VRTX,273.83,468.3653
2022-08-01,BUY,TMUS,143.79,921.884
2022-08-01,SELL,APA,36.01,3806.81
2022-09-01,BUY,FSLR,127.84,941.4482
2022-09-01,BUY,ENPH,281.86,427.0018
