date,action,symbol,price,shares
2021-03-01,BUY,MSTR,78.244,12780.5322
2021-03-08,SELL,MSTR,62.419,12.8166
2021-03-15,SELL,MSTR,76.901,0.0083
2021-03-22,BUY,WBD,74.65,12392.458
2021-03-22,SELL,MSTR,72.456,12767.7072
2021-03-29,SELL,WBD,41.23,12392.458
2021-03-29,BUY,AMAT,125.71,4052.6679
2021-04-05,SELL,AMAT,143.05,5.7065
2021-04-12,SELL,AMAT,135.0,0.0048
2021-04-19,SELL,AMAT,130.89,4046.9566
2021-04-19,BUY,GOOG,115.12,4601.3388
2021-04-26,BUY,AMAT,137.3,3892.6322
2021-04-26,SELL,GOOG,116.337,4601.3388
2021-05-03,SELL,AMAT,132.85,6.4419
2021-05-10,SELL,AMAT,124.69,0.0055
2021-05-17,BUY,META,315.46,1522.2718
2021-05-17,SELL,AMAT,123.57,3886.1848
2021-05-24,SELL,META,324.63,2.3668
2021-06-01,SELL,META,329.13,0.0019
2021-06-07,SELL,META,336.58,1519.9031
2021-06-07,BUY,NVDA,17.619,29035.075
2021-06-14,SELL,NVDA,18.0187,45.4255
2021-06-21,SELL,NVDA,18.4272,0.0355
2021-06-28,SELL,NVDA,19.985,0.0
2021-07-19,BUY,SHOP,147.201,3698.4648
2021-07-19,SELL,NVDA,18.7798,28989.6139
2021-07-26,SELL,SHOP,158.228,5.5051
2021-08-02,BUY,AMD,108.63,5230.8198
2021-08-02,SELL,SHOP,153.867,3692.9596
2021-08-09,SELL,AMD,107.58,5230.8198
2021-08-09,BUY,SHOP,154.999,3624.6845
2021-08-16,BUY,AMD,107.48,5013.173
2021-08-16,SELL,SHOP,148.9,3624.6845
2021-08-23,SELL,AMD,108.77,5013.173
2021-08-23,BUY,MSTR,71.851,7577.0692
2021-08-30,SELL,MSTR,70.299,12.4008
2021-09-07,BUY,MELI,1953.83,250.8905
2021-09-07,SELL,MSTR,64.801,7564.6684
2021-09-13,SELL,MELI,1852.61,250.8905
2021-09-13,BUY,DASH,208.64,2224.0124
2021-09-20,SELL,DASH,220.32,2224.0124
2021-09-20,BUY,PANW,79.065,6187.9639
2021-09-27,SELL,PANW,81.0067,9.6708
2021-10-04,SELL,PANW,78.2567,0.008
2021-10-11,SELL,PANW,83.3017,0.0
2021-10-18,BUY,AMD,116.43,4556.1955
2021-10-18,SELL,PANW,85.8617,6178.2851
2021-10-25,BUY,TSLA,341.62,1629.4342
2021-10-25,SELL,AMD,122.36,4556.1955
2021-11-01,SELL,TSLA,402.8633,2.2124
2021-11-08,SELL,TSLA,387.6467,0.0018
2021-11-15,SELL,TSLA,337.7967,1627.2199
2021-11-15,BUY,NVDA,30.025,18307.0599
2021-11-22,BUY,TSLA,385.6233,1514.7967
2021-11-22,SELL,NVDA,31.956,18307.0599
2021-11-29,SELL,TSLA,378.9967,2.4679
2021-12-06,BUY,MRVL,85.43,5954.0076
2021-12-06,SELL,TSLA,336.3367,1512.3288
2021-12-13,SELL,MRVL,86.59,9.3988
2021-12-20,SELL,MRVL,84.17,0.0077
2021-12-27,SELL,MRVL,90.81,0.0
2022-01-10,SELL,MRVL,82.21,5944.6011
2022-01-10,BUY,QCOM,179.68,2719.8668
2022-01-18,BUY,MU,92.87,5229.8205
2022-01-18,SELL,QCOM,178.86,2719.8668
2022-01-24,SELL,MU,82.95,5229.8205
2022-01-24,BUY,QCOM,170.07,2546.2212
2022-01-31,SELL,QCOM,175.76,3.9456
2022-02-07,BUY,AAPL,171.66,2593.0704
2022-02-07,SELL,QCOM,175.09,2542.2756
2022-02-14,BUY,MU,89.86,4865.4077
2022-02-14,SELL,AAPL,168.88,2593.0704
2022-02-22,SELL,MU,90.57,7.7299
2022-02-28,SELL,MU,88.86,4857.6778
2022-02-28,BUY,AMGN,226.48,1905.9197
2022-03-07,SELL,AMGN,234.36,2.9469
2022-03-14,SELL,AMGN,229.21,0.0024
2022-03-21,BUY,PANW,96.2,4674.74
2022-03-21,SELL,AMGN,236.32,1902.9704
2022-03-28,SELL,PANW,104.2083,6.9048
2022-04-04,SELL,PANW,104.6833,4667.8352
2022-04-04,BUY,TMUS,132.59,3685.3759
2022-04-11,SELL,TMUS,130.42,5.9947
2022-04-18,SELL,TMUS,130.76,3679.3812
2022-04-18,BUY,CRWD,224.99,2138.3849
2022-04-25,SELL,CRWD,214.58,3.5874
2022-05-02,BUY,TMUS,126.4,3439.4848
2022-05-02,SELL,CRWD,203.65,2134.7975
2022-05-09,BUY,WMT,50.4367,8287.4804
2022-05-09,SELL,TMUS,121.73,3439.4848
2022-05-16,SELL,WMT,49.4033,13.5486
2022-05-23,SELL,WMT,40.8667,8273.9318
2022-05-23,BUY,AMGN,249.04,1357.7237
2022-05-31,SELL,AMGN,256.74,1357.7237
2022-05-31,BUY,LIN,324.68,1071.9507
2022-06-06,BUY,PDD,53.75,6680.7982
2022-06-06,SELL,LIN,335.51,1071.9507
2022-06-13,SELL,PDD,54.41,10.5678
2022-06-21,SELL,PDD,63.05,0.0073
2022-06-27,SELL,PDD,64.74,0.0
2022-08-01,BUY,KLAC,385.64,824.8701
2022-08-01,SELL,PDD,47.69,6670.2231
2022-08-08,SELL,KLAC,387.68,824.8701
2022-08-08,BUY,NFLX,23.349,13674.1047
2022-08-15,BUY,MELI,1082.66,314.1562
2022-08-15,SELL,NFLX,24.911,13674.1047
2022-08-22,SELL,MELI,878.09,314.1562
2022-08-22,BUY,TSLA,289.9133,949.6384
2022-08-29,SELL,TSLA,284.82,949.6384
2022-08-29,BUY,PDD,66.04,4088.9622
2022-09-06,SELL,PDD,66.62,6.4907
2022-09-12,BUY,MELI,1002.01,291.5553
2022-09-12,SELL,PDD,71.56,4082.4715
2022-09-19,SELL,MELI,933.1,0.5009
2022-09-26,SELL,MELI,799.58,291.0543
2022-09-26,BUY,NFLX,22.407,10386.0786
2022-10-03,SELL,NFLX,23.904,15.577
2022-10-10,BUY,MELI,872.6,273.3217
2022-10-10,SELL,NFLX,22.998,10370.5015
2022-10-17,SELL,MELI,850.66,273.3217
2022-10-17,BUY,REGN,735.96,315.4006
2022-10-24,SELL,REGN,737.15,315.4006
2022-10-24,BUY,NFLX,28.245,8218.2981
2022-10-31,SELL,NFLX,29.188,12.7346
2022-11-07,BUY,GILD,81.46,2604.9052
2022-11-07,SELL,NFLX,25.86,8205.5634
2022-11-14,SELL,GILD,82.85,2604.9052
2022-11-14,BUY,PDD,65.39,3295.2574
2022-11-21,SELL,PDD,67.62,5.1026
2022-11-28,BUY,GILD,85.21,2859.2384
2022-11-28,SELL,PDD,74.05,3290.1549
2022-12-05,SELL,GILD,87.98,2859.2384
2022-12-05,BUY,NFLX,31.259,8034.9973
2022-12-12,SELL,NFLX,31.518,12.7602
2022-12-19,BUY,GILD,86.42,2676.2414
2022-12-19,SELL,NFLX,28.83,8022.2371
2022-12-27,SELL,GILD,85.01,2676.2414
2022-12-27,BUY,ISRG,263.97,860.4661
2023-01-03,SELL,ISRG,265.63,1.3693
2023-01-09,BUY,PDD,95.52,2382.7495
2023-01-09,SELL,ISRG,264.93,859.0968
2023-01-17,SELL,PDD,94.85,3.8393
2023-01-23,SELL,PDD,95.3,0.0031
2023-01-30,SELL,PDD,97.15,0.0
2023-02-06,BUY,META,186.06,1199.4264
2023-02-06,SELL,PDD,93.81,2378.9071
2023-02-13,SELL,META,179.43,1.99
2023-02-21,SELL,META,172.08,0.0017
2023-02-27,SELL,META,169.54,0.0
2023-04-03,SELL,META,213.07,1197.4347
2023-04-03,BUY,NVDA,27.965,9123.4553
2023-04-10,SELL,NVDA,27.579,14.8018
2023-04-17,SELL,NVDA,27.002,0.0121
2023-04-24,BUY,META,212.79,1157.5539
2023-04-24,SELL,NVDA,27.042,9108.6413
2023-05-01,SELL,META,243.18,1.6206
2023-05-08,SELL,META,233.27,1155.9332
2023-05-08,BUY,NVDA,29.151,9249.9139
2023-05-15,BUY,META,238.86,1119.406
2023-05-15,SELL,NVDA,28.953,9249.9139
2023-05-22,SELL,META,248.32,1119.406
2023-05-22,BUY,NVDA,31.176,8902.4489
2023-05-30,BUY,PLTR,14.71,24244.8482
2023-05-30,SELL,NVDA,40.111,8902.4489
2023-06-05,SELL,PLTR,15.24,37.466
2023-06-12,SELL,PLTR,15.65,0.0292
