date,equity
2023-05-24,999200.0000000001
2023-05-25,1101712.6235375092
2023-05-26,1146839.899625786
2023-05-30,1189016.0248921108
2023-05-31,1169837.1603589198
2023-06-01,1196299.9825831137
2023-06-02,1191383.512749577
2023-06-05,1207375.8282288627
2023-06-06,1207473.2936767975
2023-06-07,1163872.8769213296
2023-06-08,1189164.6860749791
2023-06-09,1187895.4125521898
2023-06-12,1220884.356241744
2023-06-13,1246264.9539415825
2023-06-14,1267330.037272453
2023-06-15,1294459.2424645897
2023-06-16,1285813.80801376
2023-06-20,1289019.7573431088
2023-06-21,1246176.5006341585
2023-06-22,1234821.339471614
2023-06-23,1232091.634695638
2023-06-26,1198635.5859427874
2023-06-27,1242383.2523190747
2023-06-28,1251598.2760487925
2023-06-29,1241009.3890559485
2023-06-30,1267108.9986480603
2023-07-03,1271579.16215196
2023-07-05,1279569.281385431
2023-07-06,1252851.4790422907
2023-07-07,1259391.5050006092
2023-07-10,1275057.0019901658
2023-07-11,1282562.3620982699
2023-07-12,1303722.7423911619
2023-07-13,1337859.8285510936
2023-07-14,1329361.3854513818
2023-07-17,1379607.6575375109
2023-07-18,1412492.168231323
2023-07-19,1404277.710050113
2023-07-20,1319637.6402866673
2023-07-21,1284589.3837925857
2023-07-24,1298984.1646459694
2023-07-25,1309359.505229128
2023-07-26,1302475.8251592475
2023-07-27,1285490.7712182354
2023-07-28,1355051.4055691268
2023-07-31,1409521.733403599
2023-08-01,1416906.9156853112
2023-08-02,1357829.5307343616
2023-08-03,1352491.1430817575
2023-08-04,1338437.1252448878
2023-08-07,1349439.4909748398
2023-08-08,1312657.3251496872
2023-08-09,1236443.6315815581
2023-08-10,1239553.2957094903
2023-08-11,1218543.9253257848
2023-08-14,1261419.5877497618
2023-08-15,1248031.9974548449
2023-08-16,1235289.322581928
2023-08-17,1186517.1883383489
2023-08-18,1190244.9949220517
2023-08-21,1236620.6760310873
2023-08-22,1221157.0424170368
2023-08-23,1252218.03185759
2023-08-24,1227489.291495631
2023-08-25,1225664.6643913314
2023-08-28,1242793.3029230621
2023-08-29,1289889.0776419025
2023-08-30,1324213.7750406729
2023-08-31,1297732.6996523482
2023-09-01,1298935.0468803174
2023-09-05,1300734.4723893162
2023-09-06,1285321.0397469145
2023-09-07,1270000.5513472268
2023-09-08,1252276.2873010216
2023-09-11,1261453.0758663083
