date,equity
2023-05-24,1000000.0
2023-05-25,1000000.0
2023-05-26,1000000.0
2023-05-30,1000000.0
2023-05-31,1000000.0
2023-06-01,999200.0
2023-06-02,1036082.0863129238
2023-06-05,1022474.0821398709
2023-06-06,1035553.7458041955
2023-06-07,998381.5969185021
2023-06-08,1013783.7897226408
2023-06-09,1017651.3223399182
2023-06-12,1031095.5759263167
2023-06-13,1037552.2886445469
2023-06-14,1040930.7948155182
2023-06-15,1046429.1017682634
2023-06-16,1040884.1934096995
2023-06-20,1056388.5572282097
2023-06-21,1040846.7710522655
2023-06-22,1039314.8727789815
2023-06-23,1041581.9480526194
2023-06-26,1005870.4825578714
2023-06-27,1036194.0058729714
2023-06-28,1041090.8262235373
2023-06-29,1049788.4707364952
2023-06-30,1071056.4744321022
2023-07-03,1094440.958544295
2023-07-05,1102985.3532408827
2023-07-06,1085966.304282245
2023-07-07,1121041.19174875
2023-07-10,1172773.9120126716
2023-07-11,1187653.1013748469
2023-07-12,1200537.1844533547
2023-07-13,1290600.4955264416
2023-07-14,1264169.8845168774
2023-07-17,1276652.6037262324
2023-07-18,1303845.376448555
2023-07-19,1305625.3331718957
2023-07-20,1267116.1606740768
2023-07-21,1249297.123250219
2023-07-24,1238469.3335110655
2023-07-25,1268217.964287403
2023-07-26,1266815.2710011
2023-07-27,1252082.0665620526
2023-07-28,1298832.7888795643
2023-07-31,1328243.0635013718
2023-08-01,1328800.6328686727
2023-08-02,1275996.1690031877
2023-08-03,1279233.8806842007
2023-08-04,1257262.4445951506
2023-08-07,1240860.4509915663
2023-08-08,1245074.66320894
2023-08-09,1130000.7877492793
2023-08-10,1105698.5540291239
2023-08-11,1087880.3747602054
2023-08-14,1109429.8147831135
2023-08-15,1071044.6278758417
2023-08-16,1052037.7861048575
2023-08-17,996518.363820179
2023-08-18,976809.7399630953
2023-08-21,997447.8812922053
2023-08-22,984287.519067291
2023-08-23,1030393.9468186105
2023-08-24,977283.049713885
2023-08-25,974156.4314535129
2023-08-28,986170.3192744232
2023-08-29,1084866.8895794903
2023-08-30,1100414.9709524554
2023-08-31,1069007.8532696967
2023-09-01,1064139.5194218766
2023-09-05,1035712.6665492656
2023-09-06,1018700.4248492769
2023-09-07,970801.1653265015
2023-09-08,967526.6171581545
2023-09-11,964650.9804274987
2023-09-12,960619.2035341
2023-09-13,967068.1908814823
2023-09-14,966792.0244751221
2023-09-15,939704.9775025286
2023-09-18,933876.3457621001
2023-09-19,933867.932679516
2023-09-20,906479.5603761168
2023-09-21,867705.2169676577
2023-09-22,873183.0488532726
2023-09-25,859559.3743957295
2023-09-26,845362.1747350958
2023-09-27,846418.3712449775
2023-09-28,863824.5076057925
2023-09-29,873002.9057244023
2023-10-02,873529.1160392568
2023-10-03,814027.0639479184
2023-10-04,833121.3186271628
2023-10-05,798716.3654839457
2023-10-06,825620.9018520684
2023-10-09,845834.9555144642
2023-10-10,880474.1035016013
2023-10-11,881933.4447885406
2023-10-12,852580.1130936985
2023-10-13,841697.4933273969
2023-10-16,855269.0117475829
2023-10-17,877410.7486269996
2023-10-18,844292.819871216
2023-10-19,821612.2900091772
2023-10-20,791400.9982028026
2023-10-23,802976.5130135926
2023-10-24,832652.0512805037
2023-10-25,791368.4046770146
2023-10-26,775615.6554664599
2023-10-27,770652.1471087781
2023-10-30,759321.6103118497
2023-10-31,756834.3552340853
2023-11-01,768057.7521745317
2023-11-02,830552.88504758
2023-11-03,863165.2054832744
