symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
FCNCA,2023-06-01,1269.83,131.2512,2023-07-03,1290.61,2727.4,1.64,21
MDB,2023-06-01,293.96,123.251,2023-07-03,411.42,14477.06,39.96,21
META,2023-06-01,272.61,611.374,2023-07-03,286.02,8198.53,4.92,21
AMD,2023-06-01,119.47,1395.0503,2023-07-03,115.82,-5091.94,-3.06,21
SMCI,2023-07-03,24.92,761.1616,2023-08-01,33.756,6725.62,35.46,20
RIOT,2023-06-01,12.41,1519.2594,2023-08-01,18.23,8842.09,46.9,41
MDB,2023-06-01,293.96,443.7196,2023-08-01,424.57,57954.23,44.43,41
PLTR,2023-07-03,15.52,677.4907,2023-08-01,19.99,3028.38,28.8,20
MSTR,2023-07-03,37.784,4831.5459,2023-08-01,43.498,27607.46,15.12,20
SMCI,2023-07-03,24.92,272.0959,2023-09-01,28.216,896.83,13.23,43
RIOT,2023-06-01,12.41,12155.2819,2023-09-01,11.04,-16652.73,-11.04,64
RIVN,2023-08-01,27.3,8116.8787,2023-09-01,23.31,-32386.34,-14.62,23
NVDA,2023-06-01,39.77,1104.6113,2023-09-01,48.509,9653.2,21.97,64
PLTR,2023-07-03,15.52,11085.0818,2023-09-01,15.18,-3768.93,-2.19,43
MARA,2023-08-01,16.83,13166.4162,2023-09-01,12.0,-63593.79,-28.7,23
SMCI,2023-07-03,24.92,1246.9076,2023-10-02,28.886,4945.24,15.91,63
CELH,2023-09-01,64.74,229.6238,2023-10-02,58.0,-1547.66,-10.41,20
NVDA,2023-06-01,39.77,3660.0646,2023-10-02,44.782,18344.25,12.6,84
LI,2023-09-01,42.33,4194.3317,2023-10-02,35.19,-29947.54,-16.87,20
ADBE,2023-09-01,563.21,315.2395,2023-10-02,521.13,-13265.29,-7.47,20
VFS,2023-09-01,29.495,6019.5309,2023-10-02,9.8,-118554.66,-66.77,20
SMCI,2023-07-03,24.92,5045.4822,2023-11-01,25.227,1548.96,1.23,85
RIVN,2023-10-02,23.66,6159.9239,2023-11-01,16.13,-46384.23,-31.83,22
PDD,2023-10-02,99.67,217.6027,2023-11-01,102.93,709.39,3.27,22
CELH,2023-09-01,64.74,2512.8241,2023-11-01,51.7433,-32658.34,-20.08,42
PLTR,2023-10-02,15.88,591.1631,2023-11-01,14.92,-567.52,-6.05,22
AFRM,2023-10-02,20.45,2330.6784,2023-12-01,37.67,40134.28,84.21,43
PLTR,2023-10-02,15.88,8586.6579,2023-12-01,20.27,37695.43,27.64,43
ZS,2023-11-01,156.65,817.8292,2023-12-01,198.03,33841.78,26.42,21
ROKU,2023-12-01,103.54,1798.8504,2024-01-02,89.0,-26155.29,-14.04,20
DKNG,2023-12-01,39.0,4775.7173,2024-01-02,33.58,-25884.38,-13.9,20
AFRM,2023-10-02,20.45,744.0171,2024-01-02,46.6,19456.04,127.87,63
MSTR,2023-11-01,42.667,672.8427,2024-01-02,68.515,17391.64,60.58,41
COIN,2024-01-02,156.88,1247.6712,2024-02-01,128.95,-34847.47,-17.8,21
PDD,2023-10-02,99.67,1343.9623,2024-02-01,126.59,36179.46,27.01,84
CRWD,2023-11-01,178.35,215.5037,2024-02-01,299.37,26080.25,67.86,62
MARA,2024-01-02,22.93,8536.1824,2024-02-01,18.6,-36961.67,-18.88,21
MSTR,2023-11-01,42.667,2856.8148,2024-02-01,50.348,21943.19,18.0,62
CRWD,2023-11-01,178.35,577.2974,2024-03-01,314.6,78656.78,76.39,82
NVDA,2024-02-01,63.027,526.7464,2024-03-01,82.279,10140.92,30.55,20
AFRM,2023-10-02,20.45,4356.5803,2024-03-01,38.01,76501.54,85.87,104
AMD,2024-02-01,170.48,114.2518,2024-03-01,202.64,3674.34,18.86,20
CYTK,2024-02-01,81.25,2127.0835,2024-03-01,73.98,-15463.89,-8.95,20
ZS,2024-02-01,238.06,725.9747,2024-03-01,219.23,-13670.1,-7.91,20
SMCI,2024-03-01,90.548,189.8556,2024-04-01,103.715,2499.83,14.54,20
APP,2024-03-01,62.26,2927.6587,2024-04-01,69.14,20142.29,11.05,20
HOOD,2024-03-01,16.58,10993.7288,2024-04-01,19.41,31112.25,17.07,20
NVDA,2024-02-01,63.027,122.7725,2024-04-01,90.363,3356.11,43.37,40
AMD,2024-02-01,170.48,899.5066,2024-04-01,183.34,11567.66,7.54,40
MARA,2024-03-01,27.0,6750.9638,2024-04-01,21.63,-36252.68,-19.89,20
COIN,2024-04-01,252.11,42.0893,2024-05-01,210.09,-1768.59,-16.67,22
MU,2024-04-01,124.3,1521.2449,2024-05-01,109.7,-22210.18,-11.75,22
ARM,2024-04-01,126.91,1489.9593,2024-05-01,95.29,-47112.52,-24.92,22
NVDA,2024-02-01,63.027,301.5032,2024-05-01,83.041,6034.28,31.75,62
SMCI,2024-03-01,90.548,2014.5176,2024-06-03,77.059,-27173.82,-14.9,64
COIN,2024-04-01,252.11,707.9434,2024-06-03,231.39,-14668.59,-8.22,44
CEG,2024-05-01,184.56,805.8726,2024-06-03,208.26,19099.18,12.84,22
NVDA,2024-02-01,63.027,190.9664,2024-06-03,115.0,9925.1,82.46,84
MSTR,2024-04-01,163.674,315.7272,2024-06-03,162.741,-294.57,-0.57,44
APP,2024-05-01,69.74,195.5519,2024-07-01,84.82,2948.92,21.62,41
HOOD,2024-06-03,21.28,1093.7606,2024-07-01,22.79,1651.58,7.1,19
FSLR,2024-06-03,272.72,674.7263,2024-07-01,222.71,-33743.06,-18.34,19
NVDA,2024-02-01,63.027,215.2094,2024-07-01,124.3,13186.53,97.22,103
MSTR,2024-04-01,163.674,1130.7006,2024-07-01,136.597,-30615.98,-16.54,63
MRNA,2024-06-03,147.82,1244.8338,2024-07-01,115.95,-39672.87,-21.56,19
SMCI,2024-07-01,81.232,2119.1369,2024-08-01,67.224,-29684.88,-17.24,22
APP,2024-05-01,69.74,2029.4947,2024-08-01,75.09,10857.79,7.67,63
HOOD,2024-06-03,21.28,732.9958,2024-08-01,20.24,-762.32,-4.89,41
NVDA,2024-02-01,63.027,120.8589,2024-08-01,109.21,5581.63,73.27,125
CRWD,2024-07-01,392.15,438.9691,2024-08-01,224.22,-73716.08,-42.82,22
HOOD,2024-06-03,21.28,6820.3929,2024-09-03,19.37,-13026.95,-8.98,63
ARM,2024-07-01,158.83,1136.0773,2024-09-03,123.74,-39864.96,-22.09,44
FSLR,2024-08-01,218.5,631.7838,2024-09-03,212.74,-3639.07,-2.64,22
NVDA,2024-02-01,63.027,1264.0303,2024-09-03,108.0,56847.24,71.36,147
PLTR,2024-08-01,26.08,834.9081,2024-09-03,30.51,3698.64,16.99,22
MSTR,2024-08-01,151.181,913.1091,2024-09-03,122.32,-26353.24,-19.09,22
WMT,2024-09-03,77.17,1762.6054,2024-10-01,81.27,7226.68,5.31,20
APP,2024-09-03,88.13,394.4202,2024-10-01,130.65,16770.75,48.25,20
ALNY,2024-09-03,253.78,535.9771,2024-10-01,276.06,11941.57,8.78,20
PLTR,2024-08-01,26.08,340.9717,2024-10-01,36.46,3539.29,39.8,42
FTNT,2024-09-03,77.13,1763.5195,2024-10-01,76.49,-1128.65,-0.83,20
APP,2024-09-03,88.13,189.1808,2024-11-01,163.53,14264.23,85.56,43
CEG,2024-10-01,265.61,565.1701,2024-11-01,258.1,-4244.42,-2.83,23
SMMT,2024-10-01,20.1,7468.3991,2024-11-01,18.99,-8289.93,-5.52,23
TLN,2024-10-01,179.01,838.5835,2024-11-01,173.88,-4301.92,-2.87,23
PLTR,2024-08-01,26.08,373.0508,2024-11-01,41.92,5909.12,60.74,65
APP,2024-09-03,88.13,272.9337,2024-12-02,340.59,68904.85,286.46,63
UAL,2024-11-01,80.46,1950.742,2024-12-02,97.44,33123.61,21.1,20
