date,action,symbol,price,shares
2023-06-01,BUY,META,272.61,611.374
2023-06-01,BUY,RIOT,12.41,13430.0297
2023-06-01,BUY,FCNCA,1269.83,131.2512
2023-06-01,BUY,MDB,293.96,566.9706
2023-06-01,BUY,AMD,119.47,1395.0503
2023-06-01,BUY,NVDA,39.77,4190.7635
2023-07-03,BUY,SMCI,24.92,7325.6473
2023-07-03,BUY,RIOT,13.35,244.5115
2023-07-03,SELL,FCNCA,1290.61,131.2512
2023-07-03,SELL,MDB,411.42,123.251
2023-07-03,BUY,NVDA,42.413,113.4625
2023-07-03,BUY,PLTR,15.52,11762.5725
2023-07-03,SELL,META,286.02,611.374
2023-07-03,SELL,AMD,115.82,1395.0503
2023-07-03,BUY,MSTR,37.784,4831.5459
2023-08-01,SELL,SMCI,33.756,761.1616
2023-08-01,SELL,RIOT,18.23,1519.2594
2023-08-01,BUY,RIVN,27.3,8116.8787
2023-08-01,SELL,MDB,424.57,443.7196
2023-08-01,BUY,NVDA,46.507,460.4499
2023-08-01,SELL,PLTR,19.99,677.4907
2023-08-01,BUY,MARA,16.83,13166.4162
2023-08-01,SELL,MSTR,43.498,4831.5459
2023-09-01,SELL,SMCI,28.216,272.0959
2023-09-01,SELL,RIOT,11.04,12155.2819
2023-09-01,SELL,RIVN,23.31,8116.8787
2023-09-01,BUY,CELH,64.74,2742.4479
2023-09-01,SELL,NVDA,48.509,1104.6113
2023-09-01,SELL,PLTR,15.18,11085.0818
2023-09-01,BUY,LI,42.33,4194.3317
2023-09-01,SELL,MARA,12.0,13166.4162
2023-09-01,BUY,ADBE,563.21,315.2395
2023-09-01,BUY,VFS,29.495,6019.5309
2023-10-02,SELL,SMCI,28.886,1246.9076
2023-10-02,BUY,RIVN,23.66,6159.9239
2023-10-02,BUY,PDD,99.67,1462.2635
2023-10-02,SELL,CELH,58.0,229.6238
2023-10-02,SELL,NVDA,44.782,3660.0646
2023-10-02,BUY,AFRM,20.45,7126.8358
2023-10-02,BUY,PLTR,15.88,9177.8209
2023-10-02,SELL,LI,35.19,4194.3317
2023-10-02,SELL,ADBE,521.13,315.2395
2023-10-02,SELL,VFS,9.8,6019.5309
2023-11-01,SELL,SMCI,25.227,5045.4822
2023-11-01,SELL,RIVN,16.13,6159.9239
2023-11-01,SELL,PDD,102.93,217.6027
2023-11-01,SELL,CELH,51.7433,2512.8241
2023-11-01,BUY,AFRM,17.61,148.1745
2023-11-01,BUY,CRWD,178.35,718.3231
2023-11-01,SELL,PLTR,14.92,591.1631
2023-11-01,BUY,MSTR,42.667,3002.6235
2023-11-01,BUY,ZS,156.65,817.8292
2023-12-01,BUY,ROKU,103.54,1798.8504
2023-12-01,BUY,DKNG,39.0,4775.7173
2023-12-01,BUY,PDD,145.27,37.455
2023-12-01,BUY,CRWD,235.03,74.1415
2023-12-01,SELL,AFRM,37.67,2330.6784
2023-12-01,SELL,PLTR,20.27,8586.6579
2023-12-01,BUY,MSTR,52.768,527.034
