date,equity
2021-03-01,999200.0
2021-03-02,933775.0309837309
2021-03-03,893867.6670724263
2021-03-04,804068.6468711484
2021-03-05,788115.3870826357
2021-03-08,745143.0119647139
2021-03-09,913525.2117171015
2021-03-10,925371.5626709168
2021-03-11,1013899.82628202
2021-03-12,1002716.7545438083
2021-03-15,1014438.5076567013
2021-03-16,946374.1567099418
2021-03-17,962049.4415757675
2021-03-18,932929.3136833733
2021-03-19,949037.9414148998
2021-03-22,917956.1597109131
2021-03-23,849786.9927523955
2021-03-24,743690.5797141256
2021-03-25,756472.6692918541
2021-03-26,731043.0595428522
2021-03-29,741622.322673048
2021-03-30,807808.9334948411
2021-03-31,865069.6661872453
2021-04-01,853811.8849489151
2021-04-05,889983.3599369752
2021-04-06,872069.9363405498
2021-04-07,816674.8581689051
2021-04-08,851071.4686891563
2021-04-09,846989.3135785466
2021-04-12,842515.6822511244
2021-04-13,867316.1301364836
2021-04-14,819881.5830936513
2021-04-15,806389.481420568
2021-04-16,787322.6528901702
2021-04-19,783100.4251411064
2021-04-20,712459.5154634693
2021-04-21,731698.3247992566
2021-04-22,705648.5905972819
2021-04-23,740465.0833345533
2021-04-26,764786.3190785861
2021-04-27,763645.450431179
2021-04-28,800502.0669593862
2021-04-29,753442.0424365574
2021-04-30,767264.3040493461
2021-05-03,759164.5168857691
2021-05-04,702578.0074268735
2021-05-05,695387.6137088654
2021-05-06,662464.8235703511
2021-05-07,666028.8643623805
2021-05-10,641388.4248107579
2021-05-11,637833.1433125512
2021-05-12,573192.9101561853
2021-05-13,540496.5255115988
2021-05-14,606405.726899673
2021-05-17,605628.1538757583
2021-05-18,607012.6418316928
2021-05-19,589254.3075663624
2021-05-20,593720.0207320496
2021-05-21,576293.796268825
2021-05-24,606472.9254981028
2021-05-25,594834.2621234447
2021-05-26,628038.9901213518
2021-05-27,636310.90806021
2021-05-28,631938.0033805281
2021-06-01,652029.0779619783
2021-06-02,655003.5204368404
2021-06-03,638188.9182943291
2021-06-04,662583.3521294147
2021-06-07,666098.3051281718
2021-06-08,654680.0087753544
2021-06-09,683710.8283701047
2021-06-10,681957.9097294286
2021-06-11,690404.5462184948
2021-06-14,720553.6105512222
2021-06-15,718338.2716052197
2021-06-16,690930.9148588964
2021-06-17,696805.7488063537
2021-06-18,680056.9469679852
2021-06-21,679371.9349235815
2021-06-22,693273.3322864478
2021-06-23,704612.4793836077
2021-06-24,714436.651774232
2021-06-25,705039.3040326022
2021-06-28,730628.8324714077
2021-06-29,748245.3306547804
2021-06-30,740103.8151216403
2021-07-01,719977.5172659523
2021-07-02,718349.6781308155
2021-07-06,690929.8378510732
2021-07-07,671097.414938347
2021-07-08,670106.1915429201
2021-07-09,681149.9971026168
2021-07-12,681252.5248974408
2021-07-13,664235.9651005777
2021-07-14,663022.7015275905
2021-07-15,678664.8209679537
2021-07-16,689322.2261582705
2021-07-19,706484.4856764097
2021-07-20,722183.3945283709
2021-07-21,756814.3646855109
2021-07-22,775354.8126201356
2021-07-23,781519.7772219576
2021-07-26,771858.9326900191
2021-07-27,744314.7980379134
2021-07-28,791053.723249274
2021-07-29,795177.7140760593
2021-07-30,801595.0271688119
2021-08-02,820663.2110489917
2021-08-03,856596.9313942024
2021-08-04,883450.0765289112
2021-08-05,894634.9612943751
2021-08-06,882578.4990305812
2021-08-09,937176.3392762617
2021-08-10,917536.7411413896
2021-08-11,860441.1512754178
2021-08-12,881186.4115556083
2021-08-13,890393.1193613687
2021-08-16,865188.2007017855
2021-08-17,879746.2991112212
2021-08-18,883693.02405464
2021-08-19,848953.4820103263
2021-08-20,867947.57285302
2021-08-23,904675.9328376353
2021-08-24,893581.8917875671
2021-08-25,897404.4794130299
2021-08-26,888198.0267771524
2021-08-27,886090.1858540231
2021-08-30,876005.3351633293
2021-08-31,868944.6335554325
2021-09-01,884003.6649512759
2021-09-02,885910.8595744958
2021-09-03,908281.6971107222
2021-09-07,900908.1190304147
2021-09-08,883589.1970939335
2021-09-09,915276.8543553782
2021-09-10,901337.4364453853
2021-09-13,866077.2189557323
2021-09-14,890328.2187767745
2021-09-15,921563.931895295
2021-09-16,957707.6952674073
2021-09-17,939936.5745437067
2021-09-20,888028.0192556524
2021-09-21,894684.6960407468
2021-09-22,925994.6216581151
2021-09-23,966891.0789836119
2021-09-24,933213.4893360299
2021-09-27,914269.4740290261
2021-09-28,846390.1406963075
2021-09-29,839229.576884123
2021-09-30,864330.4105980223
2021-10-01,852232.4583277865
2021-10-04,812082.8948169235
2021-10-05,832307.3019801303
2021-10-06,845354.3289698885
2021-10-07,860755.9722813608
2021-10-08,876544.3309777227
2021-10-11,866059.3325066156
2021-10-12,890169.4819257603
2021-10-13,899810.9805826853
2021-10-14,907932.768606346
2021-10-15,899094.3378220554
2021-10-18,910783.3115395161
2021-10-19,913629.2490087638
2021-10-20,910938.2200494322
2021-10-21,912803.4598516203
2021-10-22,901130.2525711183
2021-10-25,963948.7786168053
2021-10-26,936430.8072737919
2021-10-27,904756.6293583207
2021-10-28,931823.6231164061
2021-10-29,961365.6835791254
2021-11-01,980356.2578200751
2021-11-02,1248735.6374365906
2021-11-03,1190666.4571235906
2021-11-04,1164456.336371979
2021-11-05,1187381.0079333489
2021-11-08,1239968.5470096832
2021-11-09,1179199.7879256548
2021-11-10,1086240.5113416794
2021-11-11,1137966.4883087287
2021-11-12,1163154.2671132716
2021-11-15,1089033.5173447565
2021-11-16,1101816.5106490098
2021-11-17,1074658.0689057624
2021-11-18,1052552.8422736581
2021-11-19,1081468.208989535
2021-11-22,1012987.7198465432
2021-11-23,1061420.0570712574
2021-11-24,1087196.8800719231
2021-11-26,1059151.8481270012
2021-11-29,1085588.3280158488
2021-11-30,1035723.5312660403
2021-12-01,1001721.4745048755
2021-12-02,976880.8822627668
2021-12-03,910579.3214142475
2021-12-06,915774.0461649989
2021-12-07,964170.3794810027
2021-12-08,974300.119164325
2021-12-09,914353.8633850081
2021-12-10,888960.5544134319
2021-12-13,839396.1720832491
2021-12-14,829357.313196668
2021-12-15,858426.0375475236
2021-12-16,809654.462279021
2021-12-17,815911.0468641305
2021-12-20,811584.2570841934
2021-12-21,841644.5626131801
2021-12-22,844907.8778407457
2021-12-23,858659.2294966667
2021-12-27,884448.1918408654
2021-12-28,864266.9837402664
2021-12-29,866484.0253697522
2021-12-30,861939.8643505892
2021-12-31,865655.8038988281
2022-01-03,869064.6893478648
2022-01-04,863943.0684665722
2022-01-05,828737.1356173403
2022-01-06,841087.2612381435
2022-01-07,820280.9518316711
2022-01-10,811636.5524899433
2022-01-11,821476.0499418632
2022-01-12,819944.6286515187
2022-01-13,802342.0862751156
2022-01-14,813004.477232943
2022-01-18,783946.410005874
2022-01-19,754384.1485578403
2022-01-20,731943.6653580944
2022-01-21,708396.4095742421
2022-01-24,718574.2890074318
2022-01-25,708966.2021596974
2022-01-26,721625.1745073312
2022-01-27,675720.3568694491
2022-01-28,679385.9187175309
2022-01-31,707232.4105317077
2022-02-01,721283.1585519607
2022-02-02,721283.1585519607
2022-02-03,721283.1585519607
2022-02-04,721283.1585519607
2022-02-07,721283.1585519607
2022-02-08,721283.1585519607
2022-02-09,721283.1585519607
2022-02-10,721283.1585519607
2022-02-11,721283.1585519607
2022-02-14,721283.1585519607
2022-02-15,721283.1585519607
2022-02-16,721283.1585519607
2022-02-17,721283.1585519607
2022-02-18,721283.1585519607
2022-02-22,721283.1585519607
2022-02-23,721283.1585519607
2022-02-24,721283.1585519607
2022-02-25,721283.1585519607
2022-02-28,721283.1585519607
2022-03-01,721283.1585519607
2022-03-02,721283.1585519607
2022-03-03,721283.1585519607
2022-03-04,721283.1585519607
2022-03-07,721283.1585519607
2022-03-08,721283.1585519607
2022-03-09,721283.1585519607
2022-03-10,721283.1585519607
2022-03-11,721283.1585519607
2022-03-14,721283.1585519607
2022-03-15,721283.1585519607
2022-03-16,721283.1585519607
2022-03-17,721283.1585519607
2022-03-18,721283.1585519607
2022-03-21,721283.1585519607
2022-03-22,721283.1585519607
2022-03-23,721283.1585519607
2022-03-24,721283.1585519607
2022-03-25,721283.1585519607
2022-03-28,721283.1585519607
2022-03-29,721283.1585519607
2022-03-30,721283.1585519607
2022-03-31,721283.1585519607
2022-04-01,721283.1585519607
2022-04-04,721283.1585519607
2022-04-05,721283.1585519607
2022-04-06,721283.1585519607
2022-04-07,721283.1585519607
2022-04-08,721283.1585519607
2022-04-11,721283.1585519607
2022-04-12,721283.1585519607
2022-04-13,721283.1585519607
2022-04-14,721283.1585519607
2022-04-18,721283.1585519607
2022-04-19,721283.1585519607
2022-04-20,721283.1585519607
2022-04-21,721283.1585519607
2022-04-22,721283.1585519607
2022-04-25,721283.1585519607
2022-04-26,721283.1585519607
2022-04-27,721283.1585519607
2022-04-28,721283.1585519607
2022-04-29,721283.1585519607
2022-05-02,721283.1585519607
2022-05-03,721283.1585519607
2022-05-04,721283.1585519607
2022-05-05,721283.1585519607
2022-05-06,721283.1585519607
2022-05-09,721283.1585519607
2022-05-10,721283.1585519607
2022-05-11,721283.1585519607
2022-05-12,721283.1585519607
2022-05-13,721283.1585519607
2022-05-16,721283.1585519607
2022-05-17,721283.1585519607
2022-05-18,721283.1585519607
2022-05-19,721283.1585519607
2022-05-20,721283.1585519607
2022-05-23,721283.1585519607
2022-05-24,721283.1585519607
2022-05-25,721283.1585519607
2022-05-26,721283.1585519607
2022-05-27,721283.1585519607
2022-05-31,721283.1585519607
2022-06-01,721283.1585519607
2022-06-02,721283.1585519607
2022-06-03,721283.1585519607
2022-06-06,721283.1585519607
2022-06-07,721283.1585519607
2022-06-08,721283.1585519607
2022-06-09,721283.1585519607
2022-06-10,721283.1585519607
2022-06-13,721283.1585519607
2022-06-14,721283.1585519607
2022-06-15,721283.1585519607
2022-06-16,721283.1585519607
2022-06-17,721283.1585519607
2022-06-21,721283.1585519607
2022-06-22,721283.1585519607
2022-06-23,721283.1585519607
2022-06-24,721283.1585519607
2022-06-27,721283.1585519607
2022-06-28,721283.1585519607
2022-06-29,721283.1585519607
2022-06-30,721283.1585519607
2022-07-01,721283.1585519607
2022-07-05,721283.1585519607
2022-07-06,721283.1585519607
2022-07-07,721283.1585519607
2022-07-08,721283.1585519607
2022-07-11,721283.1585519607
2022-07-12,721283.1585519607
2022-07-13,721283.1585519607
2022-07-14,721283.1585519607
2022-07-15,721283.1585519607
2022-07-18,721283.1585519607
2022-07-19,721283.1585519607
2022-07-20,721283.1585519607
2022-07-21,721283.1585519607
2022-07-22,721283.1585519607
2022-07-25,721283.1585519607
2022-07-26,721283.1585519607
2022-07-27,721283.1585519607
2022-07-28,721283.1585519607
2022-07-29,721283.1585519607
2022-08-01,721283.1585519607
2022-08-02,721283.1585519607
2022-08-03,721283.1585519607
2022-08-04,721283.1585519607
2022-08-05,721283.1585519607
2022-08-08,721283.1585519607
2022-08-09,721283.1585519607
2022-08-10,721283.1585519607
2022-08-11,721283.1585519607
2022-08-12,721283.1585519607
2022-08-15,721283.1585519607
2022-08-16,721283.1585519607
2022-08-17,721283.1585519607
2022-08-18,721283.1585519607
2022-08-19,721283.1585519607
2022-08-22,721283.1585519607
2022-08-23,721283.1585519607
2022-08-24,721283.1585519607
2022-08-25,721283.1585519607
2022-08-26,721283.1585519607
2022-08-29,721283.1585519607
2022-08-30,721283.1585519607
2022-08-31,721283.1585519607
2022-09-01,721283.1585519607
2022-09-02,721283.1585519607
2022-09-06,721283.1585519607
2022-09-07,721283.1585519607
2022-09-08,721283.1585519607
2022-09-09,721283.1585519607
2022-09-12,721283.1585519607
2022-09-13,721283.1585519607
2022-09-14,721283.1585519607
2022-09-15,721283.1585519607
2022-09-16,721283.1585519607
2022-09-19,721283.1585519607
2022-09-20,721283.1585519607
2022-09-21,721283.1585519607
2022-09-22,721283.1585519607
2022-09-23,721283.1585519607
2022-09-26,721283.1585519607
2022-09-27,721283.1585519607
2022-09-28,721283.1585519607
2022-09-29,721283.1585519607
2022-09-30,721283.1585519607
2022-10-03,721283.1585519607
2022-10-04,721283.1585519607
2022-10-05,721283.1585519607
2022-10-06,721283.1585519607
2022-10-07,721283.1585519607
2022-10-10,721283.1585519607
2022-10-11,721283.1585519607
2022-10-12,721283.1585519607
2022-10-13,721283.1585519607
2022-10-14,721283.1585519607
2022-10-17,721283.1585519607
2022-10-18,721283.1585519607
2022-10-19,721283.1585519607
2022-10-20,721283.1585519607
2022-10-21,721283.1585519607
2022-10-24,721283.1585519607
2022-10-25,721283.1585519607
2022-10-26,721283.1585519607
2022-10-27,721283.1585519607
2022-10-28,721283.1585519607
2022-10-31,721283.1585519607
2022-11-01,721283.1585519607
2022-11-02,721283.1585519607
2022-11-03,721283.1585519607
2022-11-04,721283.1585519607
2022-11-07,721283.1585519607
2022-11-08,721283.1585519607
2022-11-09,721283.1585519607
2022-11-10,721283.1585519607
2022-11-11,721283.1585519607
2022-11-14,721283.1585519607
2022-11-15,721283.1585519607
2022-11-16,721283.1585519607
2022-11-17,721283.1585519607
2022-11-18,721283.1585519607
2022-11-21,721283.1585519607
2022-11-22,721283.1585519607
2022-11-23,721283.1585519607
2022-11-25,721283.1585519607
2022-11-28,721283.1585519607
2022-11-29,721283.1585519607
2022-11-30,721283.1585519607
2022-12-01,721283.1585519607
2022-12-02,721283.1585519607
2022-12-05,721283.1585519607
2022-12-06,721283.1585519607
2022-12-07,721283.1585519607
2022-12-08,721283.1585519607
2022-12-09,721283.1585519607
2022-12-12,721283.1585519607
2022-12-13,721283.1585519607
2022-12-14,721283.1585519607
2022-12-15,721283.1585519607
2022-12-16,721283.1585519607
2022-12-19,721283.1585519607
2022-12-20,721283.1585519607
2022-12-21,721283.1585519607
2022-12-22,721283.1585519607
2022-12-23,721283.1585519607
2022-12-27,721283.1585519607
2022-12-28,721283.1585519607
2022-12-29,721283.1585519607
2022-12-30,721283.1585519607
2023-01-03,721283.1585519607
2023-01-04,721283.1585519607
2023-01-05,721283.1585519607
2023-01-06,721283.1585519607
2023-01-09,721283.1585519607
2023-01-10,721283.1585519607
2023-01-11,721283.1585519607
2023-01-12,721283.1585519607
2023-01-13,721283.1585519607
2023-01-17,721283.1585519607
2023-01-18,721283.1585519607
2023-01-19,721283.1585519607
2023-01-20,721283.1585519607
2023-01-23,721283.1585519607
2023-01-24,721283.1585519607
2023-01-25,721283.1585519607
2023-01-26,721283.1585519607
2023-01-27,721283.1585519607
2023-01-30,721283.1585519607
2023-01-31,721283.1585519607
2023-02-01,720706.1320251194
2023-02-02,713458.6130137495
2023-02-03,691180.5697356272
2023-02-06,680034.7404422527
2023-02-07,698390.4582027518
2023-02-08,674519.7188420743
2023-02-09,674378.5594138408
2023-02-10,661458.1319287543
2023-02-13,676942.0848803746
2023-02-14,689850.828393037
2023-02-15,703094.4108377721
2023-02-16,697181.5933965712
2023-02-17,683612.9187169363
2023-02-21,654010.5223999665
2023-02-22,657596.3366397275
2023-02-23,661205.3097530057
2023-02-24,649196.135994927
2023-02-27,657312.1918866375
2023-02-28,661878.387731038
2023-03-01,675547.337020196
2023-03-02,672098.8401561254
2023-03-03,683623.3264544175
2023-03-06,683086.7337564977
2023-03-07,677525.2841191881
2023-03-08,678340.11522574
2023-03-09,656855.5614920559
2023-03-10,632390.0507498416
2023-03-13,621649.2878837308
2023-03-14,637909.2410063685
2023-03-15,629717.8302919538
2023-03-16,646603.9687381098
2023-03-17,637500.7336443567
2023-03-20,646060.6762388615
2023-03-21,649961.0612299055
2023-03-22,628616.3752770204
2023-03-23,636012.2694320044
2023-03-24,631903.4683381377
2023-03-27,632174.7382731758
2023-03-28,633096.210960908
2023-03-29,643199.8309626507
2023-03-30,643494.4470970931
2023-03-31,663807.4541997263
2023-04-03,660018.961819669
2023-04-04,648197.1003787834
2023-04-05,627144.9873709352
2023-04-06,622503.3338606176
2023-04-10,668291.7257884215
2023-04-11,703139.5104539471
2023-04-12,704171.2921977337
2023-04-13,746356.0371520693
2023-04-14,754350.6101038806
2023-04-17,750280.9022548483
2023-04-18,767779.9366786524
2023-04-19,751018.2196381573
2023-04-20,727090.1791640322
2023-04-21,721707.7721970676
2023-04-24,708966.0171324364
2023-04-25,688027.7302532981
2023-04-26,696517.0966368231
2023-04-27,685730.4613388585
2023-04-28,701533.3271829678
2023-05-01,684326.6533990107
2023-05-02,693938.8525797252
2023-05-03,692518.0877023907
2023-05-04,692296.1155136228
2023-05-05,718899.0678741137
2023-05-08,700927.11911233
2023-05-09,707072.680580703
2023-05-10,723814.1066542952
2023-05-11,689291.2524586745
2023-05-12,672861.3965124808
2023-05-15,678671.9387069874
2023-05-16,680823.2235140728
2023-05-17,702372.6150266365
2023-05-18,702114.847953256
2023-05-19,697302.4780439534
2023-05-22,709914.240034665
2023-05-23,694081.8954797162
2023-05-24,700283.943058052
2023-05-25,724774.633494378
2023-05-26,737877.684039117
2023-05-30,756026.0163164998
2023-05-31,747520.2672868471
2023-06-01,760641.1537236604
2023-06-02,778811.0246128894
2023-06-05,773451.3494398538
2023-06-06,789592.1641671587
2023-06-07,782658.1697419955
2023-06-08,803765.7530821782
2023-06-09,795286.173616182
2023-06-12,789092.4374426719
2023-06-13,789662.4785675458
2023-06-14,777425.4343868304
2023-06-15,773177.3275240085
2023-06-16,752042.2299299617
2023-06-20,758851.0105157036
2023-06-21,759046.6039549746
2023-06-22,756398.2053873579
2023-06-23,751311.0309332667
2023-06-26,731104.3584788723
2023-06-27,760738.0664878059
2023-06-28,777789.9399643086
2023-06-29,784778.2560076511
2023-06-30,794131.0407460658
2023-07-03,821252.6600247546
2023-07-05,828760.3079178798
2023-07-06,812658.4433023274
2023-07-07,848698.1365897512
2023-07-10,881804.3919510165
2023-07-11,898132.52566598
2023-07-12,898330.7956576791
2023-07-13,974105.3676470026
2023-07-14,941134.9695170476
2023-07-17,936638.016643307
2023-07-18,940972.1537755076
2023-07-19,968119.0661537218
2023-07-20,941637.9516442255
2023-07-21,936006.74482754
2023-07-24,916529.4837008229
2023-07-25,920634.5337983321
2023-07-26,932920.7110516139
2023-07-27,907085.0202463074
2023-07-28,944441.8657176441
2023-07-31,960802.2984979451
2023-08-01,943951.6520007588
2023-08-02,905163.1786032226
2023-08-03,909931.0266561192
2023-08-04,890669.53726546
2023-08-07,874083.7504237838
2023-08-08,896872.1672063445
2023-08-09,821026.5109090434
2023-08-10,803444.8199228494
2023-08-11,787209.9546581054
2023-08-14,793524.1518667834
2023-08-15,756844.233986871
2023-08-16,736952.5644173063
2023-08-17,687877.7815253766
2023-08-18,675000.6269077508
2023-08-21,677169.0649276222
2023-08-22,678187.6263580617
2023-08-23,710094.6678882915
2023-08-24,675217.5473509541
2023-08-25,671911.2488709249
2023-08-28,676921.22866734
2023-08-29,741065.8037924491
2023-08-30,746117.6776203588
2023-08-31,735380.7137530816
2023-09-01,732061.1952796134
2023-09-05,712253.5663130868
2023-09-06,703184.2726806751
2023-09-07,672694.6642250777
2023-09-08,671392.4679969782
2023-09-11,672824.0505197167
2023-09-12,675069.7257807108
2023-09-13,677250.8875914474
2023-09-14,677102.5304185252
2023-09-15,674677.4064800335
2023-09-18,674323.2755869136
2023-09-19,657660.6426785053
2023-09-20,637245.4914702531
2023-09-21,600099.6535140055
2023-09-22,588360.3038025579
2023-09-25,599834.1153303805
2023-09-26,600089.7566910238
2023-09-27,610941.8030363568
2023-09-28,625920.2140893028
2023-09-29,636913.3902762019
2023-10-02,637265.3979195454
2023-10-03,604032.7975313406
2023-10-04,595347.2725805788
2023-10-05,602299.7140013499
2023-10-06,609116.180429802
2023-10-09,627770.7092321223
2023-10-10,650240.7151736824
2023-10-11,650600.8968606812
2023-10-12,624271.0552644666
2023-10-13,630096.0890874388
2023-10-16,642221.5527002864
2023-10-17,649919.9431841503
2023-10-18,635159.0799472994
2023-10-19,619467.4592061049
2023-10-20,597491.8173908169
2023-10-23,596798.9112104013
2023-10-24,611933.2643484091
2023-10-25,597986.9426293182
2023-10-26,584917.5876451839
2023-10-27,583723.7428261801
2023-10-30,579594.6113103416
2023-10-31,580166.5312745876
2023-11-01,593388.2196812301
2023-11-02,633818.1524584494
2023-11-03,659162.3727809222
2023-11-06,656052.0331195433
2023-11-07,652410.0845821314
2023-11-08,655049.1324042771
2023-11-09,685148.0088208448
2023-11-10,668718.5237829492
2023-11-13,660592.9414082911
2023-11-14,693660.9545938588
2023-11-15,697621.9643405662
2023-11-16,686318.4908909665
2023-11-17,702437.9728540867
2023-11-20,728111.703713879
2023-11-21,713931.4366476522
2023-11-22,724158.2787643701
2023-11-24,736478.2399783519
2023-11-27,774177.2995709351
2023-11-28,806368.8905282381
2023-11-29,813772.7857893612
2023-11-30,800029.5556160326
2023-12-01,830125.0035602521
2023-12-04,837558.2377597016
2023-12-05,831073.7968710162
2023-12-06,819425.1609873038
2023-12-07,826111.9676290875
2023-12-08,859381.7307740884
2023-12-11,844496.904424426
2023-12-12,837956.4663450206
2023-12-13,877528.1953419348
2023-12-14,882264.2244058787
2023-12-15,854850.0834562861
2023-12-18,884496.4073969624
2023-12-19,936099.3506096696
2023-12-20,916231.6106283102
2023-12-21,967022.2136522398
2023-12-22,1006696.4222066096
2023-12-26,1003842.7168002765
2023-12-27,1075036.221694968
2023-12-28,1041573.7424539148
2023-12-29,945819.7203324967
2024-01-02,896918.8878760996
2024-01-03,884693.9496074065
2024-01-04,919833.6627585641
2024-01-05,902836.3685445011
2024-01-08,976896.4700292043
2024-01-09,945415.6465580852
2024-01-10,938930.7113880158
2024-01-11,834950.6841179555
2024-01-12,777935.5911601452
2024-01-16,754179.9463069164
2024-01-17,759592.8218519888
2024-01-18,728504.9049341618
2024-01-19,732964.260689767
2024-01-22,765465.2234056728
2024-01-23,745578.9610120984
2024-01-24,726320.6094095208
2024-01-25,737224.3832120624
2024-01-26,755567.3452910358
2024-01-29,778156.6392840799
2024-01-30,765455.9762404993
2024-01-31,750685.8770401126
2024-02-01,767481.8473386997
2024-02-02,771100.711416855
2024-02-05,780214.1077330464
2024-02-06,790425.1936975132
2024-02-07,783495.8960610005
2024-02-08,813966.4651731296
2024-02-09,800236.5834207578
2024-02-12,817342.5796356859
2024-02-13,783523.258413123
2024-02-14,819105.9319353605
2024-02-15,862771.3527276996
2024-02-16,825124.2569442862
2024-02-20,798956.3983928591
2024-02-21,761790.9842936725
2024-02-22,823510.4260571157
2024-02-23,798749.8213650859
2024-02-26,867623.8022792619
2024-02-27,888421.438944571
2024-02-28,863880.8089041694
2024-02-29,840715.2683569558
2024-03-01,862359.0836861727
2024-03-04,891722.6441968038
2024-03-05,852238.4550387281
2024-03-06,885195.4126498579
2024-03-07,887206.8864143466
2024-03-08,912368.0980179834
2024-03-11,876144.2085344366
2024-03-12,886176.070329926
2024-03-13,892323.4860495361
2024-03-14,863951.9654435365
2024-03-15,870611.6989026484
2024-03-18,847964.4268043642
2024-03-19,821524.4537080654
2024-03-20,858509.8188355127
2024-03-21,876492.6897830431
2024-03-22,870976.0641542589
2024-03-25,909195.5867504122
2024-03-26,904670.4285123354
2024-03-27,890210.3405811301
2024-03-28,890822.6834024409
2024-04-01,885445.972664072
2024-04-02,867493.2423015393
2024-04-03,870394.6588271635
2024-04-04,846431.6782720141
2024-04-05,846165.4190587772
2024-04-08,851430.7113453224
2024-04-09,833461.114214204
2024-04-10,838436.020622371
2024-04-11,859582.7676572594
2024-04-12,822444.6301950312
2024-04-15,786297.331572737
2024-04-16,803339.0383158204
2024-04-17,794416.6707583388
2024-04-18,782572.7309276293
2024-04-19,726855.7176911661
2024-04-22,753785.039622581
