symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
GSAT,2021-03-01,26.1,7662.8351,2021-03-15,25.95,-1149.42,-0.57,10
MARA,2021-03-01,38.5,485.5547,2021-03-15,43.1,2233.55,11.95,10
RIOT,2021-03-01,53.6,531.4587,2021-03-15,63.43,5224.24,18.34,10
PLUG,2021-03-01,52.46,4368.6761,2021-04-01,35.26,-75141.23,-32.79,23
FUTU,2021-03-01,165.68,255.6266,2021-04-01,153.6,-3087.97,-7.29,23
PSKY,2021-03-15,96.33,2107.0143,2021-04-01,44.64,-108911.57,-53.66,13
MARA,2021-03-01,38.5,1211.3343,2021-04-01,48.85,12537.31,26.88,23
CAR,2021-04-01,74.21,238.9261,2021-04-15,78.18,948.54,5.35,9
FUTU,2021-03-01,165.68,22.3534,2021-04-15,148.0,-395.21,-10.67,32
BILI,2021-04-01,111.98,1525.926,2021-04-15,103.0,-13702.82,-8.02,9
LYFT,2021-04-15,64.44,2503.6489,2021-05-03,57.08,-18426.86,-11.42,12
CAR,2021-04-01,74.21,357.1829,2021-05-03,89.01,5286.31,19.94,21
FUTU,2021-03-01,165.68,57.6697,2021-05-03,147.12,-1070.35,-11.2,44
CAR,2021-04-01,74.21,330.3189,2021-05-17,88.06,4574.92,18.66,31
FUTU,2021-03-01,165.68,1032.4326,2021-05-17,121.7,-45406.38,-26.55,54
BNTX,2021-05-03,208.9,115.9947,2021-05-17,198.3,-1229.54,-5.07,10
RIOT,2021-03-01,53.6,521.9538,2021-06-01,29.23,-12720.01,-45.47,64
STLD,2021-05-17,64.54,1877.6334,2021-06-01,64.5,-75.11,-0.06,10
MARA,2021-03-01,38.5,242.9676,2021-06-01,25.2,-3231.47,-34.55,64
RIOT,2021-03-01,53.6,364.9087,2021-06-15,35.06,-6765.41,-34.59,74
MARA,2021-03-01,38.5,492.046,2021-06-15,30.67,-3852.72,-20.34,74
RIOT,2021-03-01,53.6,4098.0187,2021-07-01,36.21,-71264.54,-32.44,86
