date,action,symbol,price,shares
2021-03-01,BUY,GSAT,26.1,7662.8351
2021-03-01,BUY,FUTU,165.68,1207.1464
2021-03-01,BUY,MARA,38.5,5194.8052
2021-03-01,BUY,RIOT,53.6,3731.3434
2021-03-01,BUY,PLUG,52.46,3812.4286
2021-03-15,SELL,GSAT,25.95,7662.8351
2021-03-15,BUY,PLUG,46.46,556.2476
2021-03-15,BUY,FUTU,148.36,160.9359
2021-03-15,BUY,PSKY,96.33,2107.0143
2021-03-15,SELL,MARA,43.1,485.5547
2021-03-15,SELL,RIOT,63.43,531.4587
2021-04-01,SELL,PLUG,35.26,4368.6761
2021-04-01,BUY,CAR,74.21,2302.5631
2021-04-01,SELL,FUTU,153.6,255.6266
2021-04-01,SELL,PSKY,44.64,2107.0143
2021-04-01,SELL,MARA,48.85,1211.3343
2021-04-01,BUY,RIOT,52.03,84.2438
2021-04-01,BUY,BILI,111.98,1525.926
2021-04-15,BUY,LYFT,64.44,2503.6489
2021-04-15,SELL,CAR,78.18,238.9261
2021-04-15,SELL,FUTU,148.0,22.3534
2021-04-15,BUY,MARA,42.14,330.6348
2021-04-15,BUY,RIOT,48.11,69.3351
2021-04-15,SELL,BILI,103.0,1525.926
2021-05-03,BUY,BNTX,208.9,727.1014
2021-05-03,SELL,LYFT,57.08,2503.6489
2021-05-03,SELL,CAR,89.01,357.1829
2021-05-03,SELL,FUTU,147.12,57.6697
2021-05-03,BUY,MARA,36.22,365.0291
2021-05-03,BUY,RIOT,39.99,444.7727
2021-05-17,BUY,RIOT,24.31,1186.6449
2021-05-17,SELL,CAR,88.06,330.3189
2021-05-17,BUY,STLD,64.54,1877.6334
2021-05-17,SELL,FUTU,121.7,1032.4326
2021-05-17,BUY,MARA,22.36,1226.0288
2021-05-17,SELL,BNTX,198.3,115.9947
2021-06-01,SELL,RIOT,29.23,521.9538
2021-06-01,BUY,CAR,89.51,81.2591
2021-06-01,SELL,STLD,64.5,1877.6334
2021-06-01,BUY,FUTU,150.11,869.0385
2021-06-01,SELL,MARA,25.2,242.9676
2021-06-01,BUY,BNTX,206.14,21.7223
2021-06-15,SELL,RIOT,35.06,364.9087
2021-06-15,BUY,CAR,90.75,125.8183
2021-06-15,BUY,FUTU,153.1,69.4105
2021-06-15,SELL,MARA,30.67,492.046
2021-06-15,BUY,BNTX,218.17,25.7242
2021-07-01,SELL,RIOT,36.21,4098.0187
2021-07-01,BUY,CROX,117.0,1231.5199
2021-07-01,SELL,CAR,81.88,1583.2126
2021-07-01,SELL,FUTU,161.09,43.9935
2021-07-01,BUY,MRNA,235.11,612.8528
2021-07-01,BUY,MARA,30.69,10.3484
2021-07-01,SELL,BNTX,224.0,15.3039
2021-07-15,SELL,CROX,115.72,58.1587
2021-07-15,BUY,CAR,73.59,1845.1062
2021-07-15,BUY,FUTU,134.8,112.8246
2021-07-15,SELL,MRNA,259.675,89.9632
2021-07-15,SELL,MARA,24.48,4694.9438
2021-07-15,SELL,BNTX,221.08,29.0763
2021-08-02,BUY,CROX,136.64,28.2508
2021-08-02,BUY,CAR,85.94,65.3925
2021-08-02,SELL,FUTU,111.29,1007.2801
2021-08-02,SELL,MRNA,346.61,49.1922
2021-08-02,BUY,TEAM,322.58,508.9846
2021-08-02,SELL,BNTX,340.21,131.5644
2021-08-16,SELL,CROX,146.45,20.0411
2021-08-16,SELL,CAR,92.55,40.7954
2021-08-16,SELL,MRNA,373.86,10.8476
2021-08-16,BUY,TEAM,334.02,9.0713
2021-08-16,BUY,BNTX,343.1,21.7372
2021-09-01,BUY,CROX,143.36,52.1252
2021-09-01,SELL,CAR,93.17,1869.7032
2021-09-01,SELL,MRNA,389.94,9.2861
2021-09-01,SELL,TEAM,371.7,42.235
2021-09-01,BUY,MARA,41.18,4294.8678
2021-09-01,BUY,BNTX,332.5,27.572
2021-09-15,SELL,CROX,153.68,1233.696
2021-09-15,BUY,AFRM,109.75,1680.4635
2021-09-15,BUY,HUT,43.85,4205.9493
2021-09-15,SELL,MRNA,434.46,29.0578
2021-09-15,SELL,TEAM,394.53,8.3511
2021-09-15,SELL,MARA,37.05,4294.8678
2021-09-15,SELL,BNTX,355.25,12.7598
2021-10-01,SELL,AFRM,117.85,233.1661
2021-10-01,SELL,HUT,46.35,4205.9493
2021-10-01,BUY,CAR,121.89,1399.3272
2021-10-01,BUY,MRNA,341.09,75.5497
2021-10-01,BUY,RKLB,15.98,10673.5919
2021-10-01,SELL,TEAM,392.22,32.6017
2021-10-01,SELL,BNTX,254.79,519.158
2021-10-15,BUY,XENE,33.66,5347.3486
2021-10-15,SELL,AFRM,146.73,220.6105
2021-10-15,BUY,HUT,61.1,2945.8553
2021-10-15,SELL,CAR,150.97,207.092
2021-10-15,SELL,MRNA,324.21,500.0557
2021-10-15,SELL,RKLB,12.8,10673.5919
2021-10-15,SELL,TEAM,409.74,434.8682
2021-10-15,BUY,MARA,48.89,3681.5659
2021-11-01,BUY,XENE,33.31,539.1704
2021-11-01,BUY,AFRM,152.66,57.7358
2021-11-01,SELL,HUT,70.3,156.6668
2021-11-01,SELL,CAR,171.46,48.6452
2021-11-01,SELL,MARA,55.51,149.23
2021-11-15,SELL,XENE,31.68,5886.519
2021-11-15,BUY,AFRM,147.99,187.9531
2021-11-15,BUY,HUT,73.15,189.5795
2021-11-15,BUY,SITM,259.24,840.5219
2021-11-15,SELL,CAR,273.91,348.0847
2021-11-15,BUY,MARA,55.4,400.8207
2021-12-01,BUY,SYNA,286.95,698.4377
2021-12-01,SELL,AFRM,116.57,1472.3757
2021-12-01,SELL,SITM,302.44,177.8559
2021-12-01,BUY,HUT,58.9,423.8924
2021-12-01,SELL,CAR,253.27,4.189
2021-12-01,BUY,MARA,50.79,12.8307
2021-12-15,SELL,SYNA,280.87,86.7838
2021-12-15,BUY,DLTR,140.05,1226.6706
2021-12-15,SELL,SITM,278.02,44.742
2021-12-15,SELL,HUT,43.15,3402.6603
2021-12-15,SELL,CAR,226.56,33.0395
2021-12-15,SELL,MARA,38.73,3945.9873
2021-12-15,BUY,ON,65.28,2631.6669
2022-01-03,SELL,SYNA,288.57,9.1121
2022-01-03,BUY,TER,166.11,1046.7489
2022-01-03,BUY,DLTR,141.17,5.0038
2022-01-03,SELL,SITM,294.94,617.924
2022-01-03,BUY,CAR,202.22,101.5563
2022-01-03,SELL,ON,70.17,153.7495
2022-01-18,SELL,SYNA,233.94,602.5417
2022-01-18,SELL,TER,155.56,38.1994
2022-01-18,SELL,DLTR,129.04,1231.6743
2022-01-18,BUY,FITB,49.62,3161.8293
2022-01-18,SELL,CAR,192.89,46.4682
2022-01-18,BUY,ON,63.03,11.2142
2022-01-18,BUY,APA,32.97,4758.5672
2022-02-01,SELL,CAR,178.99,813.365
2022-02-01,SELL,ON,59.65,2489.1317
2022-02-01,SELL,TER,116.88,1008.5496
2022-02-01,SELL,FITB,45.94,3161.8293
2022-02-01,SELL,APA,34.71,4758.5672
2023-02-01,BUY,BIDU,152.25,947.4984
2023-02-01,BUY,MDGL,289.07,499.037
2023-02-01,BUY,CROX,125.24,1151.8415
2023-02-01,BUY,WYNN,104.32,1382.8281
2023-02-01,BUY,BILI,26.25,5495.4907
2023-02-15,SELL,MDGL,282.26,499.037
2023-02-15,SELL,CROX,125.67,32.1707
2023-02-15,SELL,BIDU,152.04,22.0246
2023-02-15,SELL,WYNN,108.46,85.4925
2023-02-15,BUY,LSCC,92.43,1522.3307
2023-02-15,BUY,ALGN,338.39,415.8191
2023-02-15,SELL,BILI,22.65,5495.4907
2023-03-01,BUY,SMCI,10.2,13254.7332
2023-03-01,BUY,MDGL,279.19,484.2519
2023-03-01,SELL,CROX,124.45,33.3046
2023-03-01,SELL,BIDU,143.66,925.4738
2023-03-01,SELL,WYNN,112.22,92.5747
2023-03-01,SELL,LSCC,85.57,1522.3307
2023-03-01,BUY,ALGN,308.53,22.3823
2023-03-15,SELL,SMCI,9.175,13254.7332
2023-03-15,BUY,MDGL,238.81,43.4799
2023-03-15,SELL,CROX,117.43,1086.3662
2023-03-15,BUY,FSLR,203.22,620.1536
2023-03-15,SELL,WYNN,104.86,2.8955
2023-03-15,BUY,LSCC,89.39,1409.8626
2023-03-15,SELL,ALGN,318.17,42.0999
2023-04-03,BUY,SMCI,11.272,11722.0507
2023-04-03,BUY,MDGL,248.87,3.1919
2023-04-03,SELL,FSLR,208.49,620.1536
2023-04-03,BUY,MARA,8.43,15673.8974
2023-04-03,SELL,WYNN,113.33,1201.8655
2023-04-03,SELL,LSCC,95.45,25.5675
2023-04-03,BUY,RIOT,9.67,13664.0081
2023-04-03,SELL,ALGN,327.35,396.1015
2023-04-17,BUY,SMCI,11.043,1876.2083
2023-04-17,SELL,MDGL,256.55,530.9236
2023-04-17,BUY,FCNCA,997.99,150.468
2023-04-17,SELL,MARA,11.45,15673.8974
2023-04-17,BUY,LSCC,93.67,218.8391
2023-04-17,SELL,RIOT,12.93,2050.2746
2023-04-17,BUY,ALGN,347.69,431.895
2023-05-01,SELL,SMCI,10.511,13598.2591
2023-05-01,BUY,MDGL,309.38,442.9685
2023-05-01,BUY,TGTX,30.64,4472.7675
2023-05-01,SELL,FCNCA,1015.06,150.468
2023-05-01,BUY,WYNN,115.6,1185.5155
2023-05-01,SELL,LSCC,81.64,1603.1342
2023-05-01,BUY,RIOT,10.52,1413.4137
2023-05-01,SELL,ALGN,317.33,431.895
2023-05-01,BUY,DKNG,22.6,6063.9643
2023-05-15,BUY,SMCI,13.784,9853.7268
2023-05-15,BUY,MDGL,290.29,24.9214
2023-05-15,SELL,TGTX,31.15,112.4537
2023-05-15,SELL,WYNN,105.71,1185.5155
2023-05-15,SELL,RIOT,11.08,768.6838
2023-05-15,BUY,FCNCA,1265.96,107.2892
2023-05-15,SELL,DKNG,23.49,6063.9643
2023-06-01,SELL,SMCI,23.102,3265.73
2023-06-01,BUY,MDGL,269.04,97.8099
2023-06-01,BUY,TGTX,27.415,1191.2416
2023-06-01,BUY,MDB,293.96,517.7436
2023-06-01,BUY,RIOT,12.41,5.5091
2023-06-01,SELL,FCNCA,1269.83,107.2892
2023-06-15,SELL,SMCI,24.392,243.9108
2023-06-15,SELL,MDGL,255.53,565.6999
2023-06-15,SELL,TGTX,26.48,5551.5555
2023-06-15,BUY,SOFI,9.55,16203.6591
