date,action,symbol,price,shares
2021-03-01,BUY,AMAT,122.25,2726.653
2021-03-01,BUY,MSTR,78.244,4260.1774
2021-03-01,BUY,MU,94.76,3517.6586
2021-03-08,SELL,AMAT,105.68,37.8896
2021-03-08,BUY,MSTR,62.419,292.0988
2021-03-08,SELL,MU,85.05,176.7001
2021-03-15,BUY,AMAT,114.88,84.4901
2021-03-15,SELL,MSTR,76.901,409.3996
2021-03-15,SELL,MU,88.85,3340.9584
2021-03-15,BUY,WBD,73.67,4324.574
2021-03-22,SELL,AMAT,119.33,110.015
2021-03-22,SELL,WBD,74.65,67.3168
2021-03-22,SELL,MSTR,72.456,4142.8766
2021-03-22,BUY,MU,91.28,3481.6418
2021-03-29,SELL,AMAT,125.71,512.0204
2021-03-29,BUY,WBD,41.23,2301.7927
2021-03-29,SELL,MU,86.59,358.5371
2021-04-05,BUY,PLTR,23.44,12421.6351
2021-04-05,SELL,AMAT,143.05,115.824
2021-04-05,SELL,WBD,41.64,6559.0499
2021-04-05,SELL,MU,93.75,3123.1047
2021-04-05,BUY,LRCX,66.08,4406.2216
2021-04-12,SELL,PLTR,23.34,12421.6351
2021-04-12,BUY,AMAT,135.0,64.0891
2021-04-12,BUY,MU,95.59,2965.0617
2021-04-12,SELL,LRCX,65.027,47.567
2021-04-19,BUY,PLTR,21.94,12267.7759
2021-04-19,SELL,AMAT,130.89,43.1381
2021-04-19,SELL,MU,88.41,2965.0617
2021-04-19,BUY,ASML,630.11,427.1556
2021-04-19,SELL,LRCX,62.173,4358.6546
2021-04-26,SELL,PLTR,24.11,327.6019
2021-04-26,BUY,AMAT,137.3,40.3599
2021-04-26,BUY,ASML,670.44,2.2305
2021-05-03,SELL,PLTR,22.3,11940.174
2021-05-03,SELL,AMAT,132.85,24.6832
2021-05-03,SELL,ASML,654.43,8.7634
2021-05-03,BUY,LRCX,61.724,4459.6609
2021-05-10,BUY,AMAT,124.69,21.9621
2021-05-10,SELL,ASML,627.26,4.3697
2021-05-10,BUY,CSCO,53.16,4911.5662
2021-05-10,SELL,LRCX,58.645,4459.6609
2021-05-17,BUY,AMAT,123.57,17.6822
2021-05-17,SELL,ASML,635.35,5.5525
2021-05-17,BUY,CSCO,52.94,17.3833
2021-05-24,SELL,AMAT,134.58,85.6829
2021-05-24,BUY,ASML,658.95,3.0741
2021-05-24,SELL,CSCO,53.39,4928.9495
