symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
RIOT,2021-03-01,53.6,18656.7169,2021-03-15,63.43,183395.56,18.34,10
PSKY,2021-03-15,96.33,12276.5031,2021-04-01,44.64,-634572.47,-53.66,13
MARA,2021-04-01,48.85,11179.7403,2021-04-15,42.14,-75016.05,-13.74,9
BNTX,2021-04-15,140.72,3.605,2021-05-03,208.9,245.79,48.45,12
BNTX,2021-04-15,140.72,3338.0588,2021-05-17,198.3,192205.43,40.92,22
CROX,2021-05-17,103.88,6372.1263,2021-06-01,103.13,-4779.09,-0.72,10
PLUG,2021-06-01,30.89,21239.8277,2021-06-15,29.2,-35895.28,-5.47,10
BIIB,2021-06-15,396.08,1563.2004,2021-07-01,348.92,-73720.49,-11.91,12
TTD,2021-07-01,76.68,7100.1618,2021-07-15,71.99,-33299.78,-6.12,9
MRNA,2021-07-15,259.675,2.3575,2021-08-02,346.61,204.95,33.48,12
MRNA,2021-07-15,259.675,1962.671,2021-08-16,373.86,224107.58,43.97,22
TEAM,2021-08-16,334.02,2196.7652,2021-09-01,371.7,82774.16,11.28,12
AFRM,2021-09-01,96.48,11.8954,2021-09-15,109.75,157.85,13.75,9
AFRM,2021-09-01,96.48,8439.2198,2021-10-01,117.85,180346.09,22.15,21
CAR,2021-10-01,121.89,8159.4962,2021-10-15,150.97,237278.17,23.86,10
XENE,2021-10-15,33.66,36549.2533,2021-11-01,33.31,-12792.18,-1.04,11
PLUG,2021-11-01,41.65,29183.3364,2021-11-15,41.82,4961.11,0.41,10
CAR,2021-11-15,273.91,4448.5442,2021-12-01,253.27,-91817.95,-7.54,11
BNTX,2021-12-01,334.48,3362.6274,2021-12-15,287.05,-159489.5,-14.18,10
Z,2021-12-15,61.31,15714.2556,2022-01-03,63.44,33471.32,3.47,12
INCY,2022-01-03,73.97,13456.393,2022-01-18,75.01,13994.66,1.41,10
APA,2022-01-18,32.97,30566.2785,2022-02-01,34.71,53185.26,5.28,10
AFRM,2023-02-01,17.72,59734.3718,2023-02-15,14.7,-180397.77,-17.04,10
MBLY,2023-02-15,47.02,18656.9216,2023-03-01,38.22,-164180.9,-18.72,9
SMCI,2023-03-01,10.2,69770.9121,2023-03-15,9.175,-71515.16,-10.05,10
FSLR,2023-03-15,203.22,3144.4166,2023-04-03,208.49,16571.09,2.59,13
FCNCA,2023-04-03,950.79,1.0502,2023-04-17,997.99,49.57,4.96,9
FCNCA,2023-04-03,950.79,687.3837,2023-05-01,1015.06,44178.17,6.76,19
TGTX,2023-05-01,30.64,35.8387,2023-05-15,31.15,18.28,1.66,10
TGTX,2023-05-01,30.64,22736.1885,2023-06-01,27.415,-73324.17,-10.53,22
SMCI,2023-06-01,23.102,26980.8568,2023-06-15,24.392,34805.33,5.58,10
SOFI,2023-06-15,9.55,68808.3511,2023-07-03,8.52,-70872.58,-10.79,11
MARA,2023-07-03,15.32,38198.1074,2023-07-17,17.26,74104.35,12.66,9
BBIO,2023-07-17,32.04,30.7595,2023-08-01,34.27,68.59,6.96,11
BBIO,2023-07-17,32.04,20517.3731,2023-08-15,30.46,-32417.49,-4.93,21
ERIE,2023-08-15,285.37,2189.9931,2023-09-01,282.3,-6723.29,-1.08,13
VFS,2023-09-01,29.495,20926.7698,2023-09-15,17.53,-250388.8,-40.57,9
AFRM,2023-09-15,24.37,15012.6344,2023-10-02,20.45,-58849.53,-16.09,11
IMVT,2023-10-02,34.64,12.9999,2023-10-16,37.75,40.43,8.98,10
IMVT,2023-10-02,34.64,8832.9074,2023-11-01,33.47,-10334.49,-3.38,22
MARA,2023-11-01,8.92,33143.1644,2023-11-15,10.24,43748.97,14.8,10
AFRM,2023-11-15,25.98,14.4051,2023-12-01,37.67,168.4,45.0,11
AFRM,2023-11-15,25.98,0.0099,2023-12-15,43.97,0.18,69.25,21
AFRM,2023-11-15,25.98,13030.7345,2024-01-02,46.6,268693.73,79.37,31
CYTK,2024-01-02,84.12,11.9666,2024-01-16,81.19,-35.06,-3.48,9
CYTK,2024-01-02,84.12,7206.6756,2024-02-01,81.25,-20683.18,-3.41,21
SMCI,2024-02-01,58.35,9.3313,2024-02-15,100.4,392.38,72.07,10
SMCI,2024-02-01,58.35,10025.6581,2024-03-01,90.548,322806.12,55.18,20
COIN,2024-03-01,205.77,5.9931,2024-03-15,242.36,219.29,17.78,10
COIN,2024-03-01,205.77,4405.7408,2024-04-01,252.11,204162.01,22.52,20
CROX,2024-04-01,145.75,7620.7901,2024-04-15,123.36,-170629.49,-15.36,10
SMTC,2024-04-15,32.39,39.924,2024-05-01,37.64,209.6,16.21,12
SMTC,2024-04-15,32.39,28929.6196,2024-05-15,39.96,218997.21,23.37,22
PLUG,2024-05-15,3.41,536.1284,2024-06-03,3.45,21.45,1.17,12
PLUG,2024-05-15,3.41,338474.5293,2024-06-17,2.72,-233547.44,-20.23,22
ASTS,2024-06-17,11.75,78353.1276,2024-07-01,10.84,-71301.33,-7.74,9
CORZ,2024-07-01,9.85,86078.6642,2024-07-15,11.01,99851.24,11.78,9
RIVN,2024-07-15,17.5,54078.1905,2024-08-01,15.24,-122216.72,-12.91,13
ASTS,2024-08-01,20.44,42.0099,2024-08-15,31.36,458.75,53.42,10
ASTS,2024-08-01,20.44,0.0358,2024-09-03,29.41,0.32,43.88,22
ASTS,2024-08-01,20.44,40204.3493,2024-09-16,29.84,377920.87,45.99,31
SMMT,2024-09-16,29.48,40695.3123,2024-10-01,20.1,-381722.0,-31.82,11
FUTU,2024-10-01,107.54,13.5872,2024-10-15,96.21,-153.94,-10.54,10
FUTU,2024-10-01,107.54,7574.8103,2024-11-01,95.08,-94382.13,-11.59,23
MDGL,2024-11-01,319.58,2253.6203,2024-11-15,288.58,-69862.23,-9.7,10
RKLB,2024-11-15,19.0,43.0403,2024-12-02,24.155,221.87,27.13,10
RKLB,2024-11-15,19.0,34125.2421,2024-12-16,25.9,235464.16,36.32,20
RGTI,2024-12-16,8.43,70.7075,2025-01-02,20.0,818.09,137.25,11
RGTI,2024-12-16,8.43,104774.2383,2025-01-15,10.94,262983.26,29.77,19
LUNR,2025-01-15,19.18,59761.6775,2025-02-03,21.7,150599.45,13.14,12
TEM,2025-02-03,61.54,21043.1339,2025-02-18,81.95,429490.28,33.17,10
SMCI,2025-02-18,55.8,30867.5864,2025-03-03,36.07,-609017.47,-35.36,9
GDS,2025-03-03,31.84,34881.7937,2025-03-17,35.45,125923.3,11.34,10
CRWV,2025-05-15,65.77,8.2116,2025-06-02,120.2,446.96,82.76,11
CRWV,2025-05-15,65.77,18750.9674,2025-06-16,158.5,1738777.27,140.99,21
ASTS,2025-06-16,41.91,70914.5206,2025-07-01,45.11,226926.52,7.64,10
IREN,2025-07-01,15.23,209730.7236,2025-07-15,16.88,346055.61,10.83,9
CIFR,2025-07-15,5.97,592150.7606,2025-08-01,4.93,-615836.77,-17.42,13
ABVX,2025-08-01,71.945,40498.1979,2025-08-15,70.44,-60949.68,-2.09,10
WULF,2025-08-15,8.97,473.5801,2025-09-02,9.63,312.56,7.36,11
WULF,2025-08-15,8.97,317032.1852,2025-09-15,10.49,481888.76,16.95,20
SATS,2025-09-15,71.94,46228.2984,2025-10-01,79.5,349485.82,10.51,12
PLUG,2025-10-01,2.93,1252501.2207,2025-10-15,3.85,1152300.92,31.4,10
NVTS,2025-10-15,15.16,317694.8315,2025-11-03,12.25,-924491.91,-19.2,13
PRAX,2025-11-03,181.99,21342.1114,2025-11-17,197.58,332723.44,8.57,10
GH,2025-11-17,96.48,43641.7249,2025-12-01,105.22,381428.58,9.06,9
JAZZ,2025-12-01,172.12,26639.7898,2025-12-15,169.53,-68996.96,-1.5,10
ARWR,2025-12-15,68.45,65871.4676,2026-01-02,67.79,-43474.91,-0.96,12
RKLB,2026-01-02,75.99,58668.336,2026-01-15,90.76,866531.57,19.44,9
FTAI,2026-01-15,266.85,19927.2973,2026-02-02,274.39,150251.99,2.83,11
IBRX,2026-02-02,6.13,890593.3794,2026-02-17,6.02,-97965.39,-1.79,10
SLAB,2026-02-17,205.69,26022.8028,2026-03-02,204.91,-20297.75,-0.38,9
AAOI,2026-03-02,102.51,90.6227,2026-03-16,94.07,-764.86,-8.23,10
AAOI,2026-03-02,102.51,51843.4453,2026-04-01,86.35,-837790.27,-15.76,22
CAR,2026-04-15,395.77,11302.2548,2026-05-01,185.55,-2375959.85,-53.12,12
MXL,2026-05-01,77.18,27125.6145,2026-05-15,92.34,411224.21,19.64,10
