date,action,symbol,price,shares
2021-03-01,BUY,RIOT,53.6,18656.7169
2021-03-15,BUY,PSKY,96.33,12276.5031
2021-03-15,SELL,RIOT,63.43,18656.7169
2021-04-01,BUY,MARA,48.85,11179.7403
2021-04-01,SELL,PSKY,44.64,12276.5031
2021-04-15,SELL,MARA,42.14,11179.7403
2021-04-15,BUY,BNTX,140.72,3341.6637
2021-05-03,SELL,BNTX,208.9,3.605
2021-05-17,SELL,BNTX,198.3,3338.0588
2021-05-17,BUY,CROX,103.88,6372.1263
2021-06-01,SELL,CROX,103.13,6372.1263
2021-06-01,BUY,PLUG,30.89,21239.8277
2021-06-15,BUY,BIIB,396.08,1563.2004
2021-06-15,SELL,PLUG,29.2,21239.8277
2021-07-01,BUY,TTD,76.68,7100.1618
2021-07-01,SELL,BIIB,348.92,1563.2004
2021-07-15,SELL,TTD,71.99,7100.1618
2021-07-15,BUY,MRNA,259.675,1965.0284
2021-08-02,SELL,MRNA,346.61,2.3575
2021-08-16,SELL,MRNA,373.86,1962.671
2021-08-16,BUY,TEAM,334.02,2196.7652
2021-09-01,BUY,AFRM,96.48,8451.1152
2021-09-01,SELL,TEAM,371.7,2196.7652
2021-09-15,SELL,AFRM,109.75,11.8954
2021-10-01,BUY,CAR,121.89,8159.4962
2021-10-01,SELL,AFRM,117.85,8439.2198
2021-10-15,SELL,CAR,150.97,8159.4962
2021-10-15,BUY,XENE,33.66,36549.2533
2021-11-01,SELL,XENE,33.31,36549.2533
2021-11-01,BUY,PLUG,41.65,29183.3364
2021-11-15,BUY,CAR,273.91,4448.5442
2021-11-15,SELL,PLUG,41.82,29183.3364
2021-12-01,SELL,CAR,253.27,4448.5442
2021-12-01,BUY,BNTX,334.48,3362.6274
2021-12-15,SELL,BNTX,287.05,3362.6274
2021-12-15,BUY,Z,61.31,15714.2556
2022-01-03,SELL,Z,63.44,15714.2556
2022-01-03,BUY,INCY,73.97,13456.393
2022-01-18,SELL,INCY,75.01,13456.393
2022-01-18,BUY,APA,32.97,30566.2785
2022-02-01,SELL,APA,34.71,30566.2785
2023-02-01,BUY,AFRM,17.72,59734.3718
2023-02-15,BUY,MBLY,47.02,18656.9216
2023-02-15,SELL,AFRM,14.7,59734.3718
2023-03-01,SELL,MBLY,38.22,18656.9216
2023-03-01,BUY,SMCI,10.2,69770.9121
2023-03-15,SELL,SMCI,9.175,69770.9121
2023-03-15,BUY,FSLR,203.22,3144.4166
2023-04-03,BUY,FCNCA,950.79,688.434
2023-04-03,SELL,FSLR,208.49,3144.4166
2023-04-17,SELL,FCNCA,997.99,1.0502
2023-05-01,BUY,TGTX,30.64,22772.0272
2023-05-01,SELL,FCNCA,1015.06,687.3837
2023-05-15,SELL,TGTX,31.15,35.8387
2023-06-01,SELL,TGTX,27.415,22736.1885
2023-06-01,BUY,SMCI,23.102,26980.8568
2023-06-15,BUY,SOFI,9.55,68808.3511
2023-06-15,SELL,SMCI,24.392,26980.8568
2023-07-03,SELL,SOFI,8.52,68808.3511
2023-07-03,BUY,MARA,15.32,38198.1074
2023-07-17,SELL,MARA,17.26,38198.1074
2023-07-17,BUY,BBIO,32.04,20548.1326
2023-08-01,SELL,BBIO,34.27,30.7595
2023-08-15,BUY,ERIE,285.37,2189.9931
2023-08-15,SELL,BBIO,30.46,20517.3731
2023-09-01,SELL,ERIE,282.3,2189.9931
2023-09-01,BUY,VFS,29.495,20926.7698
2023-09-15,SELL,VFS,17.53,20926.7698
2023-09-15,BUY,AFRM,24.37,15012.6344
2023-10-02,BUY,IMVT,34.64,8845.9073
2023-10-02,SELL,AFRM,20.45,15012.6344
2023-10-16,SELL,IMVT,37.75,12.9999
2023-11-01,BUY,MARA,8.92,33143.1644
2023-11-01,SELL,IMVT,33.47,8832.9074
2023-11-15,SELL,MARA,10.24,33143.1644
2023-11-15,BUY,AFRM,25.98,13045.1494
2023-12-01,SELL,AFRM,37.67,14.4051
2023-12-15,SELL,AFRM,43.97,0.0099
2024-01-02,BUY,CYTK,84.12,7218.6423
2024-01-02,SELL,AFRM,46.6,13030.7345
2024-01-16,SELL,CYTK,81.19,11.9666
2024-02-01,SELL,CYTK,81.25,7206.6756
