symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
MARA,2021-03-01,38.5,1533.8904,2021-04-01,48.85,15875.76,26.88,23
RIOT,2021-03-01,53.6,191.355,2021-05-03,39.99,-2604.34,-25.39,44
RIOT,2021-03-01,53.6,254.4107,2021-06-01,29.23,-6199.99,-45.47,64
RIOT,2021-03-01,53.6,10307.3581,2021-07-01,36.21,-179244.95,-32.44,86
MARA,2021-03-01,38.5,12058.3005,2021-08-02,28.23,-123838.75,-26.68,107
FUTU,2021-07-01,161.09,2297.2826,2021-08-02,111.29,-114404.66,-30.91,21
MRNA,2021-08-02,346.61,16.957,2021-09-01,389.94,734.75,12.5,22
FTNT,2021-08-02,56.924,5322.15,2021-10-01,59.6,14242.07,4.7,43
BNTX,2021-10-01,254.79,1186.0776,2021-11-01,274.32,23164.11,7.67,21
MRNA,2021-08-02,346.61,885.9853,2021-11-01,337.17,-8363.68,-2.72,64
DDOG,2021-11-01,165.2,1887.3638,2021-12-01,164.53,-1264.53,-0.41,21
AFRM,2021-11-01,152.66,2042.398,2021-12-01,116.57,-73710.15,-23.64,21
CAR,2021-12-01,253.27,104.3061,2022-01-03,202.22,-5324.83,-20.16,22
MARA,2021-12-01,50.79,5390.9445,2022-01-03,32.89,-96497.91,-35.24,22
CAR,2021-12-01,253.27,976.7776,2022-02-01,178.99,-72555.04,-29.33,42
ON,2022-01-03,70.17,2814.9348,2022-02-01,59.65,-29613.1,-14.99,20
PDD,2023-02-01,102.98,1661.2611,2023-03-01,91.04,-19835.46,-11.59,19
FSLR,2023-02-01,180.15,89.0664,2023-03-01,195.68,1383.2,8.62,19
FSLR,2023-02-01,180.15,860.5683,2023-04-03,208.49,24388.52,15.73,42
NVDA,2023-04-03,27.965,46.5207,2023-05-01,28.91,43.96,3.38,19
NVDA,2023-04-03,27.965,1218.7143,2023-06-01,39.77,14386.92,42.21,41
WYNN,2023-03-01,112.22,1549.8387,2023-06-01,96.48,-24394.46,-14.03,64
RIOT,2023-06-01,12.41,80.7429,2023-07-03,13.35,75.9,7.57,21
RIOT,2023-06-01,12.41,1563.6241,2023-08-01,18.23,9100.29,46.9,41
NVDA,2023-04-03,27.965,1176.7404,2023-09-01,48.509,24174.95,73.46,105
RIOT,2023-06-01,12.41,14310.0886,2023-09-01,11.04,-19604.82,-11.04,64
NVDA,2023-04-03,27.965,4432.5852,2023-10-02,44.782,74542.79,60.14,125
VFS,2023-09-01,29.495,7290.0582,2023-10-02,9.8,-143577.7,-66.77,20
PLTR,2023-10-02,15.88,313.5936,2023-11-01,14.92,-301.05,-6.05,22
PLTR,2023-10-02,15.88,8175.0254,2023-12-01,20.27,35888.36,27.64,43
SMCI,2023-10-02,28.886,4834.9539,2023-12-01,26.963,-9297.62,-6.66,43
MSTR,2023-12-01,52.768,323.0864,2024-01-02,68.515,5087.64,29.84,20
PDD,2023-12-01,145.27,1167.7584,2024-02-01,126.59,-21813.74,-12.86,41
MSTR,2023-12-01,52.768,2482.2642,2024-02-01,50.348,-6007.08,-4.59,41
CYTK,2024-02-01,81.25,1678.5755,2024-03-01,73.98,-12203.24,-8.95,20
AFRM,2024-02-01,39.67,3437.97,2024-03-01,38.01,-5707.03,-4.18,20
CRWD,2024-03-01,314.6,404.3576,2024-04-01,319.59,2017.74,1.59,20
SMCI,2024-03-01,90.548,81.4154,2024-04-01,103.715,1072.0,14.54,20
SMCI,2024-03-01,90.548,79.2154,2024-05-01,73.83,-1324.32,-18.46,42
MSTR,2024-04-01,163.674,152.1371,2024-06-03,162.741,-141.94,-0.57,44
SMCI,2024-03-01,90.548,159.7369,2024-07-01,81.232,-1488.11,-10.29,83
MSTR,2024-04-01,163.674,741.2509,2024-07-01,136.597,-20070.85,-16.54,63
NVDA,2024-07-01,124.3,27.5224,2024-08-01,109.21,-415.31,-12.14,22
SMCI,2024-03-01,90.548,1405.7118,2024-08-01,67.224,-32786.82,-25.76,105
NVDA,2024-07-01,124.3,891.1323,2024-09-03,108.0,-14525.46,-13.11,44
MSTR,2024-08-01,151.181,643.7354,2024-09-03,122.32,-18578.85,-19.09,22
ALNY,2024-09-03,253.78,344.4482,2024-10-01,276.06,7674.31,8.78,20
SMMT,2024-10-01,20.1,4140.666,2024-11-01,18.99,-4596.14,-5.52,23
ASTS,2024-09-03,29.41,81.0822,2024-11-01,23.85,-450.82,-18.91,43
APP,2024-11-01,163.53,131.1242,2024-12-02,340.59,23216.85,108.27,20
ASTS,2024-09-03,29.41,3371.6201,2024-12-02,23.22,-20870.33,-21.05,63
PLTR,2024-12-02,66.39,1849.9749,2025-01-02,75.19,16279.78,13.26,21
RKLB,2025-01-02,24.96,160.4737,2025-02-03,28.38,548.82,13.7,20
APP,2024-11-01,163.53,56.8886,2025-03-03,337.34,9887.81,106.29,80
APP,2024-11-01,163.53,338.475,2025-04-01,282.7,40336.07,72.87,101
RKLB,2025-01-02,24.96,6119.0327,2025-04-01,18.15,-41670.61,-27.28,60
PLTR,2025-06-02,132.04,782.154,2025-07-01,130.68,-1063.73,-1.03,20
