date,action,symbol,price,shares
2021-03-01,BUY,MARA,38.5,12987.013
2021-03-01,BUY,RIOT,53.6,9328.3585
2021-04-01,SELL,MARA,48.85,1533.8904
2021-04-01,BUY,RIOT,52.03,1424.7654
2021-05-03,BUY,MARA,36.22,207.9801
2021-05-03,SELL,RIOT,39.99,191.355
2021-06-01,BUY,MARA,25.2,294.6141
2021-06-01,SELL,RIOT,29.23,254.4107
2021-07-01,BUY,MARA,30.69,102.5836
2021-07-01,SELL,RIOT,36.21,10307.3581
2021-07-01,BUY,FUTU,161.09,2297.2826
2021-08-02,SELL,MARA,28.23,12058.3005
2021-08-02,BUY,MRNA,346.61,858.9961
2021-08-02,BUY,FTNT,56.924,5230.4234
2021-08-02,SELL,FUTU,111.29,2297.2826
2021-09-01,SELL,MRNA,389.94,16.957
2021-09-01,BUY,FTNT,61.694,91.7266
2021-10-01,BUY,BNTX,254.79,1186.0776
2021-10-01,BUY,MRNA,341.09,43.9462
2021-10-01,SELL,FTNT,59.6,5322.15
2021-11-01,SELL,BNTX,274.32,1186.0776
2021-11-01,BUY,DDOG,165.2,1887.3638
2021-11-01,SELL,MRNA,337.17,885.9853
2021-11-01,BUY,AFRM,152.66,2042.398
2021-12-01,SELL,DDOG,164.53,1887.3638
2021-12-01,SELL,AFRM,116.57,2042.398
2021-12-01,BUY,CAR,253.27,1081.0837
2021-12-01,BUY,MARA,50.79,5390.9445
2022-01-03,SELL,CAR,202.22,104.3061
2022-01-03,BUY,ON,70.17,2814.9348
2022-01-03,SELL,MARA,32.89,5390.9445
2022-02-01,SELL,CAR,178.99,976.7776
2022-02-01,SELL,ON,59.65,2814.9348
2023-02-01,BUY,PDD,102.98,1661.2611
2023-02-01,BUY,FSLR,180.15,949.6347
2023-03-01,BUY,WYNN,112.22,1500.5881
2023-03-01,SELL,PDD,91.04,1661.2611
2023-03-01,SELL,FSLR,195.68,89.0664
2023-04-03,BUY,NVDA,27.965,6243.7312
2023-04-03,BUY,WYNN,113.33,40.0979
2023-04-03,SELL,FSLR,208.49,860.5683
2023-05-01,SELL,NVDA,28.91,46.5207
2023-05-01,BUY,WYNN,115.6,9.1528
2023-06-01,SELL,NVDA,39.77,1218.7143
2023-06-01,SELL,WYNN,96.48,1549.8387
2023-06-01,BUY,RIOT,12.41,15954.4557
2023-07-03,BUY,NVDA,42.413,17.9456
2023-07-03,SELL,RIOT,13.35,80.7429
2023-08-01,BUY,NVDA,46.507,612.884
2023-08-01,SELL,RIOT,18.23,1563.6241
2023-09-01,SELL,NVDA,48.509,1176.7404
2023-09-01,BUY,VFS,29.495,7290.0582
