date,equity
2021-03-01,999200.0000000001
2021-03-02,955822.8122436157
2021-03-03,934185.3611656777
2021-03-04,824387.8632528305
2021-03-05,791899.7041030666
2021-03-08,796947.3801544562
2021-03-09,914155.0127415956
2021-03-10,965940.8638695374
2021-03-11,1026204.4968211736
2021-03-12,1000988.2781044451
2021-03-15,981849.4649789925
2021-03-16,924752.2767269358
2021-03-17,984377.4460718748
2021-03-18,934660.0299991018
2021-03-19,992101.9518010857
2021-03-22,923616.8550600103
2021-03-23,886811.2396061566
2021-03-24,766108.6776682629
2021-03-25,714184.2955731213
2021-03-26,517763.8548284668
2021-03-29,508644.561833726
2021-03-30,512899.8755413622
2021-03-31,540620.1403477811
2021-04-01,572717.263033611
2021-04-05,578917.1869816661
2021-04-06,564712.3129608257
2021-04-07,563093.5531031437
2021-04-08,563943.4421670515
2021-04-09,562162.769272563
2021-04-12,546339.1348715947
2021-04-13,546743.8552281047
2021-04-14,542858.7497612406
2021-04-15,543951.4453224924
2021-04-16,541199.4827518684
2021-04-19,528858.6111202671
2021-04-20,526840.9265625282
2021-04-21,526762.6765602803
2021-04-22,520925.90743791586
2021-04-23,531826.4592315467
2021-04-26,533602.6071002213
2021-04-27,531578.4217036868
2021-04-28,527335.4668160421
2021-04-29,526167.6652643163
2021-04-30,515735.4393684352
2021-05-03,516279.7208571318
2021-05-04,500229.7359291663
2021-05-05,506331.0238700203
2021-05-06,511927.1473944711
2021-05-07,516668.304308322
2021-05-10,484568.3932032298
2021-05-11,480138.1448889868
2021-05-12,446444.90003170824
2021-05-13,466031.2750443163
2021-05-14,485112.4567050325
2021-05-17,479447.51017026976
2021-05-18,471075.0151566073
2021-05-19,476600.8692985924
2021-05-20,484242.6571141575
2021-05-21,480619.689204054
2021-05-24,493406.1485301423
2021-05-25,498209.05385371123
2021-05-26,498011.45878404815
2021-05-27,505747.76959954976
2021-05-28,499637.76825177757
2021-06-01,500245.7204778943
2021-06-02,500276.1018421194
2021-06-03,495549.2254063131
2021-06-04,502100.00413839426
2021-06-07,510750.46053019277
2021-06-08,506046.8147138714
2021-06-09,503179.5700474925
2021-06-10,505117.6488968106
2021-06-11,516738.9779713578
2021-06-14,522356.5698536815
2021-06-15,515681.720309739
2021-06-16,516312.23058873514
2021-06-17,540866.4672470154
2021-06-18,540330.176867643
2021-06-21,534198.8606104768
2021-06-22,547519.5696451513
2021-06-23,552462.2930743097
2021-06-24,556760.0201525926
2021-06-25,551701.3466721878
2021-06-28,579357.4520994477
2021-06-29,580567.7671540172
2021-06-30,579864.7681315038
2021-07-01,585938.0736714466
2021-07-02,593910.2064437424
2021-07-06,600041.5146559062
2021-07-07,590569.1640545373
2021-07-08,576973.0391021338
2021-07-09,581248.980616135
2021-07-12,594649.4778713817
2021-07-13,587039.6820972399
2021-07-14,575197.4053432874
2021-07-15,549824.2497315173
2021-07-16,526480.3582479715
2021-07-19,543546.6577404987
2021-07-20,563063.4296445248
2021-07-21,579551.2144408869
2021-07-22,588697.4879962894
2021-07-23,606905.0453620803
2021-07-26,584328.9051624488
2021-07-27,574291.4323675171
2021-07-28,567976.5029843422
2021-07-29,563175.6442166663
2021-07-30,553917.3804905919
2021-08-02,567314.7773817969
2021-08-03,587871.9006376419
2021-08-04,620355.28656259
2021-08-05,586773.4332768547
2021-08-06,575056.4081871378
2021-08-09,560922.7973458524
2021-08-10,552205.4356500289
2021-08-11,537449.3483204729
2021-08-12,543962.9509798524
2021-08-13,542078.0995755865
2021-08-16,537953.0253035928
2021-08-17,538354.0500751473
2021-08-18,517699.8018123181
2021-08-19,519003.1992529508
2021-08-20,523765.7365471036
2021-08-23,543548.2225741767
2021-08-24,541267.5635862036
2021-08-25,549761.4170223256
2021-08-26,524719.2009375375
2021-08-27,534978.5822594876
2021-08-30,531787.9567442709
2021-08-31,525214.234934447
2021-09-01,531417.2607496044
2021-09-02,526280.8444124839
2021-09-03,538800.3614523448
2021-09-07,489413.08493078244
2021-09-08,477448.1310336842
2021-09-09,471745.394557793
2021-09-10,462713.3360650752
2021-09-13,463274.898305435
2021-09-14,451465.39766955096
2021-09-15,465965.96829165606
2021-09-16,491875.6996635501
2021-09-17,495011.5653509704
2021-09-20,488467.9846164804
2021-09-21,487065.3630983583
2021-09-22,490097.4521929861
2021-09-23,497502.40625281277
2021-09-24,505051.72977081576
2021-09-27,500482.31485368474
2021-09-28,490504.38463460613
2021-09-29,487126.9032641116
2021-09-30,493233.1244855255
2021-10-01,500966.2666942339
2021-10-04,483492.008223719
2021-10-05,489721.76649256074
2021-10-06,500574.96283498994
2021-10-07,508349.292386128
2021-10-08,507432.8630993114
2021-10-11,514661.44538727903
2021-10-12,520252.7858818926
2021-10-13,519480.50024149683
2021-10-14,517925.6531874138
2021-10-15,522940.37196334085
2021-10-18,529629.0756745305
2021-10-19,529173.4630795129
2021-10-20,529446.8236843209
2021-10-21,542842.0494961179
2021-10-22,545074.5755444132
2021-10-25,555756.0014975473
2021-10-26,552263.5681847599
2021-10-27,562816.8997682923
2021-10-28,584097.3069302721
2021-10-29,604171.9486690398
2021-11-01,655547.2951325795
2021-11-02,635700.5822710969
2021-11-03,658405.7588949498
2021-11-04,667111.405392941
2021-11-05,662869.7931789308
2021-11-08,630786.3897778521
2021-11-09,555153.1886878617
2021-11-10,579263.1874343331
2021-11-11,576854.8840331726
2021-11-12,560533.8699346592
2021-11-15,548789.994261246
2021-11-16,552048.6416985424
2021-11-17,534803.4016432026
2021-11-18,578996.636051792
2021-11-19,602978.9096133896
2021-11-22,583205.5933346826
2021-11-23,559049.6530679374
2021-11-24,562569.031275247
2021-11-26,545360.9633213022
2021-11-29,573166.8208409479
2021-11-30,577083.7467889762
2021-12-01,551999.2488466797
2021-12-02,546756.4968407385
2021-12-03,511655.3592623153
2021-12-06,507837.0284436314
2021-12-07,544037.4055074791
2021-12-08,542727.5165690775
2021-12-09,535225.4542835332
2021-12-10,529211.8938960864
2021-12-13,514743.00255596545
2021-12-14,507015.0383371223
2021-12-15,525324.4443049461
2021-12-16,496909.17617649783
2021-12-17,499524.8185586915
2021-12-20,500357.05964057316
2021-12-21,513019.08892034536
2021-12-22,524848.8323265965
2021-12-23,521222.6220529601
2021-12-27,539829.207036543
2021-12-28,523065.43388349155
2021-12-29,526334.9826036834
2021-12-30,519795.93051700643
2021-12-31,520093.1333573923
2022-01-03,531625.6739118436
2022-01-04,525324.4113096993
2022-01-05,500059.85683785565
2022-01-06,508441.72073752806
2022-01-07,494055.7970760973
2022-01-10,487923.7180230836
2022-01-11,503481.3594505435
2022-01-12,506255.63520908495
2022-01-13,499374.37552023237
2022-01-14,512429.74447009806
2022-01-18,484915.71376508614
2022-01-19,469906.11442295543
2022-01-20,444123.09751630056
2022-01-21,427701.46418187727
2022-01-24,432688.8127076208
2022-01-25,432688.8127076208
2022-01-26,432688.8127076208
2022-01-27,432688.8127076208
2022-01-28,432688.8127076208
2022-01-31,432688.8127076208
2022-02-01,432688.8127076208
2022-02-02,432688.8127076208
2022-02-03,432688.8127076208
2022-02-04,432688.8127076208
2022-02-07,432688.8127076208
2022-02-08,432688.8127076208
2022-02-09,432688.8127076208
2022-02-10,432688.8127076208
2022-02-11,432688.8127076208
2022-02-14,432688.8127076208
2022-02-15,432688.8127076208
2022-02-16,432688.8127076208
2022-02-17,432688.8127076208
2022-02-18,432688.8127076208
2022-02-22,432688.8127076208
2022-02-23,432688.8127076208
2022-02-24,432688.8127076208
2022-02-25,432688.8127076208
2022-02-28,432688.8127076208
2022-03-01,432688.8127076208
2022-03-02,432688.8127076208
2022-03-03,432688.8127076208
2022-03-04,432688.8127076208
2022-03-07,432688.8127076208
2022-03-08,432688.8127076208
2022-03-09,432688.8127076208
2022-03-10,432688.8127076208
2022-03-11,432688.8127076208
2022-03-14,432688.8127076208
2022-03-15,432688.8127076208
2022-03-16,432688.8127076208
2022-03-17,432688.8127076208
2022-03-18,432688.8127076208
2022-03-21,432688.8127076208
2022-03-22,432688.8127076208
2022-03-23,432688.8127076208
2022-03-24,432688.8127076208
2022-03-25,432688.8127076208
2022-03-28,432688.8127076208
2022-03-29,432688.8127076208
2022-03-30,432688.8127076208
2022-03-31,432688.8127076208
2022-04-01,432688.8127076208
2022-04-04,432342.66165745474
2022-04-05,430286.77908738394
2022-04-06,435997.65806130506
2022-04-07,434594.3876200726
2022-04-08,433158.50151087204
2022-04-11,424920.6918421778
2022-04-12,424920.6918421778
2022-04-13,424920.6918421778
2022-04-14,424920.6918421778
2022-04-18,424920.6918421778
2022-04-19,424920.6918421778
2022-04-20,424920.6918421778
2022-04-21,424920.6918421778
2022-04-22,424920.6918421778
2022-04-25,424920.6918421778
2022-04-26,424920.6918421778
2022-04-27,424920.6918421778
2022-04-28,424920.6918421778
2022-04-29,424920.6918421778
2022-05-02,424920.6918421778
2022-05-03,424920.6918421778
2022-05-04,424920.6918421778
2022-05-05,424920.6918421778
2022-05-06,424920.6918421778
2022-05-09,424920.6918421778
2022-05-10,424920.6918421778
2022-05-11,424920.6918421778
2022-05-12,424920.6918421778
2022-05-13,424920.6918421778
2022-05-16,424920.6918421778
2022-05-17,424920.6918421778
2022-05-18,424920.6918421778
2022-05-19,424920.6918421778
2022-05-20,424920.6918421778
2022-05-23,424920.6918421778
2022-05-24,424920.6918421778
2022-05-25,424920.6918421778
2022-05-26,424920.6918421778
2022-05-27,424920.6918421778
2022-05-31,424920.6918421778
2022-06-01,424920.6918421778
2022-06-02,424920.6918421778
2022-06-03,424920.6918421778
2022-06-06,424920.6918421778
2022-06-07,424920.6918421778
2022-06-08,424920.6918421778
2022-06-09,424920.6918421778
2022-06-10,424920.6918421778
2022-06-13,424920.6918421778
2022-06-14,424920.6918421778
2022-06-15,424920.6918421778
2022-06-16,424920.6918421778
2022-06-17,424920.6918421778
2022-06-21,424920.6918421778
2022-06-22,424920.6918421778
2022-06-23,424920.6918421778
2022-06-24,424920.6918421778
2022-06-27,424920.6918421778
2022-06-28,424920.6918421778
2022-06-29,424920.6918421778
2022-06-30,424920.6918421778
2022-07-01,424920.6918421778
2022-07-05,424920.6918421778
2022-07-06,424920.6918421778
2022-07-07,424920.6918421778
2022-07-08,424920.6918421778
2022-07-11,424920.6918421778
2022-07-12,424920.6918421778
2022-07-13,424920.6918421778
2022-07-14,424920.6918421778
2022-07-15,424920.6918421778
2022-07-18,424920.6918421778
2022-07-19,424920.6918421778
2022-07-20,424920.6918421778
2022-07-21,424920.6918421778
2022-07-22,424920.6918421778
2022-07-25,424920.6918421778
2022-07-26,424920.6918421778
2022-07-27,424920.6918421778
2022-07-28,424920.6918421778
2022-07-29,424920.6918421778
2022-08-01,424920.6918421778
2022-08-02,424920.6918421778
2022-08-03,424920.6918421778
2022-08-04,424920.6918421778
