symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
MSTR,2021-03-01,78.244,12.8166,2021-03-08,62.419,-202.82,-20.23,5
MSTR,2021-03-01,78.244,0.0083,2021-03-15,76.901,-0.01,-1.72,10
MSTR,2021-03-01,78.244,12767.7072,2021-03-22,72.456,-73899.52,-7.4,15
WBD,2021-03-22,74.65,12392.458,2021-03-29,41.23,-414155.97,-44.77,5
AMAT,2021-03-29,125.71,5.7065,2021-04-05,143.05,98.95,13.79,4
AMAT,2021-03-29,125.71,0.0048,2021-04-12,135.0,0.04,7.39,9
AMAT,2021-03-29,125.71,4046.9566,2021-04-19,130.89,20963.24,4.12,14
GOOG,2021-04-19,115.12,4601.3388,2021-04-26,116.337,5599.81,1.06,5
AMAT,2021-04-26,137.3,6.4419,2021-05-03,132.85,-28.67,-3.24,5
AMAT,2021-04-26,137.3,0.0055,2021-05-10,124.69,-0.07,-9.18,10
AMAT,2021-04-26,137.3,3886.1848,2021-05-17,123.57,-53357.33,-10.0,15
META,2021-05-17,315.46,2.3668,2021-05-24,324.63,21.7,2.91,5
META,2021-05-17,315.46,0.0019,2021-06-01,329.13,0.03,4.33,10
META,2021-05-17,315.46,1519.9031,2021-06-07,336.58,32100.35,6.69,14
NVDA,2021-06-07,17.619,45.4255,2021-06-14,18.0187,18.16,2.27,5
NVDA,2021-06-07,17.619,0.0355,2021-06-21,18.4272,0.03,4.59,10
NVDA,2021-06-07,17.619,0.0,2021-06-28,19.985,0.0,13.43,15
NVDA,2021-06-07,17.619,28989.6139,2021-07-19,18.7798,33649.73,6.59,29
SHOP,2021-07-19,147.201,5.5051,2021-07-26,158.228,60.71,7.49,5
SHOP,2021-07-19,147.201,3692.9596,2021-08-02,153.867,24617.27,4.53,10
AMD,2021-08-02,108.63,5230.8198,2021-08-09,107.58,-5492.34,-0.97,5
SHOP,2021-08-09,154.999,3624.6845,2021-08-16,148.9,-22106.95,-3.93,5
AMD,2021-08-16,107.48,5013.173,2021-08-23,108.77,6466.96,1.2,5
MSTR,2021-08-23,71.851,12.4008,2021-08-30,70.299,-19.25,-2.16,5
MSTR,2021-08-23,71.851,7564.6684,2021-09-07,64.801,-53330.88,-9.81,10
MELI,2021-09-07,1953.83,250.8905,2021-09-13,1852.61,-25395.13,-5.18,4
DASH,2021-09-13,208.64,2224.0124,2021-09-20,220.32,25976.48,5.6,5
PANW,2021-09-20,79.065,9.6708,2021-09-27,81.0067,18.78,2.46,5
PANW,2021-09-20,79.065,0.008,2021-10-04,78.2567,-0.01,-1.02,10
PANW,2021-09-20,79.065,0.0,2021-10-11,83.3017,0.0,5.36,15
PANW,2021-09-20,79.065,6178.2851,2021-10-18,85.8617,41991.71,8.6,20
AMD,2021-10-18,116.43,4556.1955,2021-10-25,122.36,27018.24,5.09,5
