date,action,symbol,price,shares
2021-03-01,BUY,MSTR,78.244,12780.5322
2021-03-08,SELL,MSTR,62.419,12.8166
2021-03-15,SELL,MSTR,76.901,0.0083
2021-03-22,BUY,WBD,74.65,12392.458
2021-03-22,SELL,MSTR,72.456,12767.7072
2021-03-29,BUY,AMAT,125.71,4052.6679
2021-03-29,SELL,WBD,41.23,12392.458
2021-04-05,SELL,AMAT,143.05,5.7065
2021-04-12,SELL,AMAT,135.0,0.0048
2021-04-19,SELL,AMAT,130.89,4046.9566
2021-04-19,BUY,GOOG,115.12,4601.3388
2021-04-26,BUY,AMAT,137.3,3892.6322
2021-04-26,SELL,GOOG,116.337,4601.3388
2021-05-03,SELL,AMAT,132.85,6.4419
2021-05-10,SELL,AMAT,124.69,0.0055
2021-05-17,SELL,AMAT,123.57,3886.1848
2021-05-17,BUY,META,315.46,1522.2718
2021-05-24,SELL,META,324.63,2.3668
2021-06-01,SELL,META,329.13,0.0019
2021-06-07,SELL,META,336.58,1519.9031
2021-06-07,BUY,NVDA,17.619,29035.075
2021-06-14,SELL,NVDA,18.0187,45.4255
2021-06-21,SELL,NVDA,18.4272,0.0355
2021-06-28,SELL,NVDA,19.985,0.0
2021-07-19,SELL,NVDA,18.7798,28989.6139
2021-07-19,BUY,SHOP,147.201,3698.4648
2021-07-26,SELL,SHOP,158.228,5.5051
2021-08-02,BUY,AMD,108.63,5230.8198
2021-08-02,SELL,SHOP,153.867,3692.9596
2021-08-09,SELL,AMD,107.58,5230.8198
2021-08-09,BUY,SHOP,154.999,3624.6845
2021-08-16,BUY,AMD,107.48,5013.173
2021-08-16,SELL,SHOP,148.9,3624.6845
2021-08-23,SELL,AMD,108.77,5013.173
2021-08-23,BUY,MSTR,71.851,7577.0692
2021-08-30,SELL,MSTR,70.299,12.4008
2021-09-07,BUY,MELI,1953.83,250.8905
2021-09-07,SELL,MSTR,64.801,7564.6684
2021-09-13,SELL,MELI,1852.61,250.8905
2021-09-13,BUY,DASH,208.64,2224.0124
2021-09-20,BUY,PANW,79.065,6187.9639
2021-09-20,SELL,DASH,220.32,2224.0124
2021-09-27,SELL,PANW,81.0067,9.6708
2021-10-04,SELL,PANW,78.2567,0.008
2021-10-11,SELL,PANW,83.3017,0.0
2021-10-18,SELL,PANW,85.8617,6178.2851
2021-10-18,BUY,AMD,116.43,4556.1955
2021-10-25,SELL,AMD,122.36,4556.1955
2021-10-25,BUY,TSLA,341.62,1629.4342
2021-11-01,SELL,TSLA,402.8633,2.2124
2021-11-08,SELL,TSLA,387.6467,0.0018
2021-11-15,BUY,NVDA,30.025,18307.0599
2021-11-15,SELL,TSLA,337.7967,1627.2199
2021-11-22,SELL,NVDA,31.956,18307.0599
2021-11-22,BUY,TSLA,385.6233,1514.7967
2021-11-29,SELL,TSLA,378.9967,2.4679
2021-12-06,BUY,MRVL,85.43,5954.0076
2021-12-06,SELL,TSLA,336.3367,1512.3288
2021-12-13,SELL,MRVL,86.59,9.3988
2021-12-20,SELL,MRVL,84.17,0.0077
2021-12-27,SELL,MRVL,90.81,0.0
2022-01-10,SELL,MRVL,82.21,5944.6011
2022-01-10,BUY,QCOM,179.68,2719.8668
2022-01-18,SELL,QCOM,178.86,2719.8668
2022-01-18,BUY,MU,92.87,5229.8205
2022-01-24,SELL,MU,82.95,5229.8205
2022-04-04,BUY,TMUS,132.59,3263.3594
2022-04-11,SELL,TMUS,130.42,3263.3594
2023-02-06,BUY,META,186.06,2283.7832
2023-02-13,SELL,META,179.43,1.8945
2023-02-21,SELL,META,172.08,0.0016
2023-02-27,SELL,META,169.54,0.0
2023-04-03,SELL,META,213.07,2281.8871
2023-04-03,BUY,NVDA,27.965,17386.0786
2023-04-10,SELL,NVDA,27.579,28.2071
2023-04-17,SELL,NVDA,27.002,0.023
2023-04-24,BUY,META,212.79,2205.8882
2023-04-24,SELL,NVDA,27.042,17357.8485
2023-05-01,SELL,META,243.18,3.0884
2023-05-08,SELL,META,233.27,2202.7999
2023-05-08,BUY,NVDA,29.151,17627.0641
2023-05-15,BUY,META,238.86,2133.1919
2023-05-15,SELL,NVDA,28.953,17627.0641
2023-05-22,SELL,META,248.32,2133.1919
2023-05-22,BUY,NVDA,31.176,16964.9187
2023-05-30,SELL,NVDA,40.111,16964.9187
2023-05-30,BUY,PLTR,14.71,46202.1048
2023-06-05,SELL,PLTR,15.24,71.397
2023-06-12,SELL,PLTR,15.65,0.0556
2023-06-20,SELL,PLTR,15.79,0.0
2023-08-21,BUY,NVDA,46.967,14241.7968
2023-08-21,SELL,PLTR,14.5,46130.6522
2023-08-28,SELL,NVDA,46.835,14241.7968
2023-08-28,BUY,ADBE,529.92,1256.6884
2023-09-05,BUY,PDD,101.06,7013.7721
2023-09-05,SELL,ADBE,564.88,1256.6884
2023-09-11,BUY,CHTR,435.84,1564.8093
2023-09-11,SELL,PDD,97.4,7013.7721
2023-09-18,SELL,CHTR,455.73,2.3964
2023-09-25,SELL,CHTR,440.02,1562.4129
2023-09-25,BUY,PDD,96.69,7110.2699
2023-10-02,SELL,PDD,99.67,11.0363
2023-10-09,SELL,PDD,106.96,0.0082
2023-10-16,SELL,PDD,105.32,0.0
2023-12-04,BUY,CRWD,237.39,4271.3778
2023-12-04,SELL,PDD,142.83,7099.2254
2023-12-11,SELL,CRWD,246.97,4271.3778
2023-12-11,BUY,MSTR,55.58,18950.6976
2023-12-18,BUY,CRWD,259.8,4165.1419
2023-12-18,SELL,MSTR,57.19,18950.6976
2023-12-26,SELL,CRWD,257.87,6.7193
2024-01-02,SELL,CRWD,246.89,4158.4226
2024-01-02,BUY,MSTR,68.515,14984.6249
2024-01-08,SELL,MSTR,59.801,27.469
2024-01-16,SELL,MSTR,48.214,14957.1559
2024-01-16,BUY,SHOP,81.32,8867.9662
2024-01-22,BUY,AMD,168.18,4225.1706
2024-01-22,SELL,SHOP,80.26,8867.9662
2024-01-29,SELL,AMD,177.83,6.3986
2024-02-05,BUY,CRWD,302.49,2429.9505
2024-02-05,SELL,AMD,174.23,4218.772
2024-02-12,BUY,ARM,148.97,5232.8842
2024-02-12,SELL,CRWD,321.29,2429.9505
2024-02-20,SELL,ARM,121.77,10.2505
2024-02-26,SELL,ARM,146.2,0.0068
2024-03-04,SELL,ARM,138.01,5222.6268
2024-03-04,BUY,MSTR,133.401,5403.0681
2024-03-11,SELL,MSTR,148.423,7.77
2024-03-18,SELL,MSTR,150.276,0.0061
2024-03-25,SELL,MSTR,185.6,0.0
2024-06-03,BUY,NVDA,115.0,7635.0888
2024-06-03,SELL,MSTR,162.741,5395.2921
2024-06-10,SELL,NVDA,121.79,7635.0888
2024-06-10,BUY,MU,134.82,6886.7569
2024-06-17,SELL,MU,147.83,10.0567
2024-06-24,SELL,MU,139.01,0.0086
2024-07-01,BUY,NVDA,124.3,7276.1262
2024-07-01,SELL,MU,131.52,6876.6916
2024-07-08,SELL,NVDA,128.2,7276.1262
2024-07-08,BUY,TSLA,252.94,3682.1075
2024-07-15,SELL,TSLA,252.64,5.903
2024-07-22,BUY,ARM,163.55,5653.323
2024-07-22,SELL,TSLA,251.51,3676.2046
2024-07-29,SELL,ARM,141.44,10.4593
2024-08-05,SELL,ARM,110.45,5642.8637
2024-08-05,BUY,ISRG,438.0,1422.9523
2024-08-12,BUY,PLTR,29.38,22512.9267
2024-08-12,SELL,ISRG,465.53,1422.9523
2024-08-19,SELL,PLTR,32.5,32.5872
2024-08-26,SELL,PLTR,30.85,0.0275
2024-09-03,SELL,PLTR,30.51,0.0
2024-10-07,SELL,PLTR,38.89,22480.3119
2024-10-07,BUY,MSTR,186.09,4698.0458
2024-10-14,BUY,PLTR,43.4,21798.5261
2024-10-14,SELL,MSTR,201.67,4698.0458
2024-10-21,SELL,PLTR,42.7,35.4756
2024-10-28,SELL,PLTR,44.97,0.0269
2024-11-04,SELL,PLTR,41.41,21763.0235
2024-11-04,BUY,MSTR,222.99,4041.4672
2024-11-11,BUY,APP,286.43,4792.2947
2024-11-11,SELL,MSTR,340.0,4041.4672
2024-11-18,SELL,APP,298.0,7.3738
2024-11-25,SELL,APP,319.59,0.0055
2024-12-02,SELL,APP,340.59,0.0
2024-12-09,SELL,APP,342.54,0.0
2024-12-16,SELL,APP,343.96,4784.9153
