date,equity,held
2010-02-11,100000.0,0
2010-02-12,100329.18741192778,1
2010-02-16,104215.57095144532,1
2010-02-17,105984.13151062536,1
2010-02-18,107993.37134411826,1
2010-02-19,107993.37134411826,1
2010-02-22,107235.20417172718,1
2010-02-23,103048.54960890982,1
2010-02-24,106164.76380614814,1
2010-02-25,106104.23991994529,1
2010-02-26,107427.88199235742,1
2010-03-01,112035.89870609967,1
2010-03-02,112709.49429729229,1
2010-03-03,113335.52921286564,1
2010-03-04,114586.62355157716,1
2010-03-05,119651.5825995851,1
2010-03-08,120289.5980074369,1
2010-03-09,122418.93902437984,1
2010-03-10,125414.62571184458,1
2010-03-11,126569.57985166294,1
2010-03-12,126858.35451596699,1
2010-03-15,126004.1121775118,1
2010-03-16,128386.68380476741,1
2010-03-17,129276.95433049666,1
2010-03-18,130588.13177734768,1
2010-03-19,128278.09343205292,1
2010-03-22,131743.15817586493,1
2010-03-23,134498.5268825113,1
2010-03-24,132585.33331160297,1
2010-03-25,131755.12421640358,1
2010-03-26,132441.20611076703,1
2010-03-29,134257.83315645868,1
2010-03-30,135665.5626767866,1
2010-03-31,133836.9117835971,1
2010-04-01,133572.22816950802,1
2010-04-05,137434.12323596663,1
2010-04-06,138480.99281396283,1
2010-04-07,137698.79239831594,1
2010-04-08,138192.2326013986,1
2010-04-09,140682.4407865431,1
2010-04-12,141247.92291243406,1
2010-04-13,143377.76251439945,1
2010-04-14,148430.6832631698,1
2010-04-15,150415.91875688647,1
2010-04-16,145061.7948476004,1
2010-04-19,144833.5440694992,1
2010-04-20,146974.94506328943,1
2010-04-21,149561.66196669155,1
2010-04-22,151775.6106941824,1
2010-04-23,153784.8649794151,1
2010-04-26,152641.8913318752,1
2010-04-27,143221.14901039278,1
2010-04-28,143557.9468059891,1
2010-04-29,150885.32571671336,1
2010-04-30,141994.0806890672,1
2010-05-03,147793.15921447062,1
2010-05-04,134727.21121280597,1
2010-05-05,132513.2913887947,1
2010-05-06,119531.43806091571,1
2010-05-07,110832.83472455032,1
2010-05-10,127363.78966306784,1
2010-05-11,127279.69498928217,1
2010-05-12,134137.71029539898,1
2010-05-13,128073.89034894732,1
2010-05-14,120193.04593395999,1
2010-05-17,121817.42871121483,1
2010-05-18,117161.38164031043,1
2010-05-19,114069.17900871825,1
2010-05-20,102531.09784018101,1
2010-05-21,102449.07296190887,0
2010-05-24,103214.1120055996,1
2010-05-25,102486.78113674372,1
2010-05-26,99316.13599449754,1
2010-05-27,99236.68308570195,0
2010-05-28,97770.6951413679,1
2010-06-01,95064.8912363639,1
2010-06-02,101754.75481897828,1
2010-06-03,104396.23447686328,1
2010-06-04,94087.61928299195,1
2010-06-07,88632.71804297493,1
