symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
MDLZ,2023-04-05,71.2829,2805.722,2023-07-11,70.8036,-1344.78,-0.67,64
MSFT,2023-04-06,291.0827,686.2872,2023-08-17,316.8641,17693.44,8.86,89
CSCO,2023-08-17,54.6779,4240.8104,2023-10-19,53.2201,-6182.25,-2.67,50
META,2023-04-06,215.7559,925.8904,2023-10-25,299.0907,77158.89,38.62,145
GOOGL,2023-04-06,108.2174,1845.9723,2023-10-25,125.3617,31647.9,15.84,145
GOOG,2023-04-06,108.6867,1838.0016,2023-10-25,126.4101,32575.64,16.31,145
GILD,2023-11-02,81.1082,2844.4119,2023-11-09,74.8775,-17722.68,-7.68,7
VRTX,2023-11-02,375.8853,613.7647,2023-11-15,348.5365,-16785.73,-7.28,13
WMT,2023-11-02,55.0718,4189.17,2023-11-16,51.9301,-13161.12,-5.7,14
MSTR,2023-11-09,49.3549,4573.4149,2024-01-11,53.5296,19092.64,8.46,63
PDD,2023-11-15,114.2584,1978.4731,2024-01-29,129.8949,30936.39,13.69,75
INTC,2023-11-16,43.3049,5081.9912,2024-01-30,42.8656,-2232.52,-1.01,75
TMUS,2023-10-31,143.6242,1600.6468,2024-03-18,160.8883,27633.73,12.02,139
FTNT,2024-01-30,66.6399,3575.699,2024-04-12,66.3603,-999.77,-0.42,73
CRWD,2024-01-11,284.0233,874.8434,2024-04-13,308.4966,21410.3,8.62,93
NVDA,2024-01-29,62.3823,3836.0851,2024-04-19,76.0558,52452.71,21.92,81
KHC,2024-04-19,37.7233,6577.9303,2024-05-01,36.2156,-9917.55,-4.0,12
PEP,2024-04-22,176.1953,1415.5392,2024-05-29,170.8833,-7519.34,-3.01,37
AEP,2024-05-01,88.0577,2831.3812,2024-06-25,86.7896,-3590.47,-1.44,55
APP,2024-03-18,68.0677,3844.4475,2024-07-24,78.572,40383.23,15.43,128
GOOG,2024-04-24,160.8384,1564.2398,2024-07-24,174.2083,20913.73,8.31,91
INSM,2024-05-29,53.4198,4908.1212,2024-09-23,71.7322,89879.48,34.28,117
AEP,2024-07-24,94.9174,2915.2738,2024-10-09,97.5535,7684.95,2.78,77
ALNY,2024-06-25,239.8297,1160.3626,2024-10-31,266.8391,31340.7,11.26,128
APP,2024-09-23,125.9109,2336.576,2024-12-10,320.0892,453712.35,154.22,78
TSLA,2024-12-10,400.3285,1079.9995,2025-01-02,377.9622,-24155.59,-5.59,23
BKNG,2024-10-31,186.9604,1669.1375,2025-01-07,191.565,7685.71,2.46,68
GILD,2024-07-24,73.4596,3766.8352,2025-01-08,89.0362,58674.49,21.2,168
WBD,2024-12-10,10.8836,39725.3265,2025-01-10,9.6954,-47201.63,-10.92,31
PLTR,2024-10-09,43.0653,6983.3872,2025-01-13,64.8725,152288.12,50.64,96
PYPL,2025-01-17,91.6323,4468.9569,2025-02-04,77.5834,-62783.93,-15.33,18
PLTR,2025-02-04,103.6443,3868.1818,2025-02-24,90.6238,-50365.66,-12.56,20
BKR,2025-01-14,45.0123,8881.1801,2025-02-26,43.4347,-14010.95,-3.5,43
DXCM,2025-01-03,80.9284,5347.8859,2025-03-04,82.2963,7315.37,1.69,60
ISRG,2025-01-15,578.9602,694.6885,2025-03-04,556.8634,-15350.39,-3.82,48
ROP,2025-03-05,592.9692,631.6463,2025-04-04,540.7376,-32991.9,-8.81,30
AMGN,2025-02-24,309.2853,1260.5331,2025-04-07,288.9559,-25625.88,-6.57,42
VRTX,2025-03-05,490.9824,762.8518,2025-05-06,452.2604,-29539.15,-7.89,62
EXC,2025-02-26,43.9939,8741.0169,2025-05-12,43.5445,-3928.21,-1.02,75
CPRT,2025-04-11,59.7502,6097.2658,2025-05-23,53.5695,-37685.37,-10.34,42
CRWD,2025-05-23,454.7168,781.3729,2025-07-30,462.1058,5773.56,1.62,68
ZS,2025-05-06,232.6505,1543.4886,2025-08-07,272.0912,60876.27,16.95,93
FAST,2025-04-11,40.2645,9047.9914,2025-10-09,46.6299,57594.08,15.81,181
CDNS,2025-05-12,311.3423,1156.3925,2025-10-10,326.1201,17088.94,4.75,151
DASH,2025-10-10,42.43,9221.0487,2025-10-16,41.89,-4979.37,-1.27,6
ALNY,2025-08-07,434.2975,873.8022,2025-11-03,433.2192,-942.22,-0.25,88
