date,action,symbol,price,shares,value
2023-04-05,BUY,MDLZ,71.2829,2805.722,200000.0
2023-04-06,BUY,META,215.7559,925.8904,199766.32
2023-04-06,BUY,MSFT,291.0827,686.2872,199766.32
2023-04-06,BUY,GOOGL,108.2174,1845.9723,199766.32
2023-04-06,BUY,GOOG,108.6867,1838.0016,199766.32
2023-07-11,SELL,MDLZ,70.8036,2805.722,198655.22
2023-08-17,SELL,MSFT,316.8641,686.2872,217459.77
2023-08-17,BUY,CSCO,54.6779,4240.8104,231878.61
2023-10-19,SELL,CSCO,53.2201,4240.8104,225696.35
2023-10-25,SELL,META,299.0907,925.8904,276925.22
2023-10-25,SELL,GOOGL,125.3617,1845.9723,231414.23
2023-10-25,SELL,GOOG,126.4101,1838.0016,232341.96
2023-10-31,BUY,TMUS,143.6242,1600.6468,229891.62
2023-11-02,BUY,VRTX,375.8853,613.7647,230705.13
2023-11-02,BUY,GILD,81.1082,2844.4119,230705.13
2023-11-02,BUY,WMT,55.0718,4189.17,230705.13
2023-11-09,SELL,GILD,74.8775,2844.4119,212982.45
2023-11-09,BUY,MSTR,49.3549,4573.4149,225720.44
2023-11-15,SELL,VRTX,348.5365,613.7647,213919.4
2023-11-15,BUY,PDD,114.2584,1978.4731,226057.17
2023-11-16,SELL,WMT,51.9301,4189.17,217544.02
2023-11-16,BUY,INTC,43.3049,5081.9912,220075.12
2024-01-11,SELL,MSTR,53.5296,4573.4149,244813.07
2024-01-11,BUY,CRWD,284.0233,874.8434,248475.91
2024-01-29,SELL,PDD,129.8949,1978.4731,256993.56
2024-01-29,BUY,NVDA,62.3823,3836.0851,239303.81
2024-01-30,SELL,INTC,42.8656,5081.9912,217842.6
2024-01-30,BUY,FTNT,66.6399,3575.699,238284.22
2024-03-18,SELL,TMUS,160.8883,1600.6468,257525.35
2024-03-18,BUY,APP,68.0677,3844.4475,261682.7
2024-04-12,SELL,FTNT,66.3603,3575.699,237284.46
2024-04-13,SELL,CRWD,308.4966,874.8434,269886.21
2024-04-19,SELL,NVDA,76.0558,3836.0851,291756.52
2024-04-19,BUY,KHC,37.7233,6577.9303,248141.24
2024-04-22,BUY,PEP,176.1953,1415.5392,249411.35
2024-04-24,BUY,GOOG,160.8384,1564.2398,251589.83
