symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
TLT,2022-08-01,119.912,4169.7245,2022-09-01,109.4814,-43492.73,-8.7,23
UUP,2022-08-01,28.1446,1117.6788,2022-09-01,29.3436,1340.1,4.26,23
PDBC,2022-09-01,17.03,28684.9085,2022-10-02,16.1557,-25079.22,-5.13,21
UUP,2022-08-01,28.1446,16020.0919,2022-11-01,29.955,29002.77,6.43,66
PDBC,2022-11-01,17.23,27808.5315,2022-12-01,17.0943,-3773.62,-0.79,21
UUP,2022-08-01,28.1446,15995.3596,2022-12-01,28.2176,1167.66,0.26,87
TLT,2022-12-01,105.6113,4383.7678,2023-01-03,101.2878,-18953.22,-4.09,21
GLD,2022-12-01,167.5583,2679.1831,2023-02-01,181.4075,37104.54,8.27,41
TLT,2023-02-01,107.9678,4494.9945,2023-03-01,100.2394,-34739.12,-7.16,19
GLD,2022-12-01,167.5583,2658.3869,2023-04-03,184.2632,44408.09,9.97,83
GLD,2022-12-01,167.5583,40.1008,2023-05-01,183.6741,646.26,9.62,102
TLT,2023-04-03,106.4201,1553.5151,2023-06-01,102.9254,-5429.07,-3.28,41
GLD,2022-12-01,167.5583,871.4025,2023-06-01,183.4444,13843.19,9.48,124
TLT,2023-04-03,106.4201,3106.5113,2023-07-03,101.9169,-13989.24,-4.23,61
UUP,2023-06-01,28.3574,5494.1574,2023-08-01,28.2975,-329.1,-0.21,39
GLD,2022-12-01,167.5583,897.7988,2023-08-01,180.1893,11340.1,7.54,163
PDBC,2023-08-01,14.6979,36.302,2023-09-01,14.8976,7.25,1.36,23
UUP,2023-06-01,28.3574,151.448,2023-09-01,29.0264,101.32,2.36,62
GLD,2022-12-01,167.5583,1782.4447,2023-10-02,169.4055,3292.53,1.1,206
PDBC,2023-08-01,14.6979,10561.6816,2023-11-01,14.668,-315.79,-0.2,62
UUP,2023-06-01,28.3574,5374.448,2023-11-01,29.985,8747.45,5.74,101
PDBC,2023-08-01,14.6979,21515.4381,2023-12-05,14.0189,-14608.98,-4.62,83
GLD,2023-11-01,183.2347,59.6392,2023-12-05,186.8793,217.36,1.99,21
UUP,2023-06-01,28.3574,10577.3871,2024-01-02,27.279,-11406.65,-3.8,139
TLT,2023-12-05,94.4281,3.9054,2024-02-01,98.0627,14.19,3.85,36
GLD,2023-11-01,183.2347,0.4118,2024-02-01,190.1244,2.84,3.76,57
GLD,2023-11-01,183.2347,61.5497,2024-03-01,192.6206,577.7,5.12,77
TLT,2023-12-05,94.4281,4847.2257,2024-04-01,92.3912,-9873.31,-2.16,76
GLD,2023-11-01,183.2347,107.7702,2024-04-01,207.4983,2614.89,13.24,97
GLD,2023-11-01,183.2347,16.0007,2024-05-01,213.4593,483.61,16.5,118
UUP,2024-04-01,28.4373,16626.2591,2024-06-03,28.4872,829.65,0.18,40
GLD,2023-11-01,183.2347,32.9341,2024-06-03,216.8542,1107.23,18.35,137
TLT,2024-06-03,91.4426,5257.6437,2024-07-01,89.8051,-8609.39,-1.79,19
GLD,2023-11-01,183.2347,748.0489,2024-07-01,215.2566,23953.95,17.48,156
PDBC,2024-07-01,14.1987,22270.2231,2024-08-01,13.4298,-17123.57,-5.42,22
GLD,2023-11-01,183.2347,75.5121,2024-08-01,225.4713,3189.37,23.05,178
UUP,2024-07-01,29.0863,10902.9705,2024-09-03,28.2675,-8927.35,-2.82,44
GLD,2023-11-01,183.2347,58.0827,2024-10-01,245.2616,3602.69,33.85,220
TLT,2024-08-01,95.2469,5006.8582,2024-11-01,90.7037,-22747.16,-4.77,62
GLD,2023-11-01,183.2347,103.2689,2024-11-01,252.1112,7112.8,37.59,240
UUP,2024-11-01,29.276,5794.1581,2024-12-02,29.9749,4049.54,2.39,18
GLD,2023-11-01,183.2347,596.6052,2024-12-02,243.0848,35706.88,32.66,258
TLT,2024-12-02,93.6992,3393.1634,2025-01-02,87.4186,-21311.1,-6.7,20
UUP,2024-11-01,29.276,4935.4442,2025-02-03,29.5955,1576.87,1.09,58
GLD,2023-11-01,183.2347,668.7916,2025-02-03,259.4603,50979.04,41.6,298
PDBC,2025-02-03,13.3998,23815.1027,2025-03-03,13.2401,-3803.27,-1.19,19
UUP,2024-11-01,29.276,10782.6397,2025-03-03,29.0763,-2153.29,-0.68,77
TLT,2025-03-03,92.471,5168.5235,2025-04-01,91.3228,-5934.5,-1.24,20
GLD,2023-11-01,183.2347,77.1434,2025-04-01,287.1387,8015.51,56.71,337
PDBC,2025-04-01,13.6195,36209.0507,2025-05-01,12.4512,-42303.03,-8.58,20
GLD,2023-11-01,183.2347,2.3161,2025-06-02,311.1725,296.32,69.82,378
GLD,2023-11-01,183.2347,2153.6101,2025-07-01,307.0587,266668.62,67.58,397
TLT,2025-07-01,88.0077,3756.9676,2025-08-01,87.6683,-1275.11,-0.39,21
GLD,2023-11-01,183.2347,24.0577,2025-09-02,325.0817,3412.52,77.41,439
PDBC,2025-07-01,13.0803,11519.3793,2025-10-01,13.3799,3451.21,2.29,63
GLD,2023-11-01,183.2347,575.3305,2025-10-01,355.416,99061.15,93.97,460
PDBC,2025-07-01,13.0803,6741.7487,2025-11-03,13.6894,4106.4,4.66,85
TLT,2025-10-01,89.1261,958.5731,2025-11-03,89.5954,449.86,0.53,22
GLD,2023-11-01,183.2347,263.372,2025-11-03,368.3068,48742.82,101.0,482
GLD,2023-11-01,183.2347,31.738,2025-12-01,389.1553,6535.51,112.38,500
PDBC,2025-07-01,13.0803,20233.7619,2026-01-02,13.27,3838.34,1.45,124
TLT,2025-10-01,89.1261,3134.0864,2026-01-02,86.9393,-6853.62,-2.45,61
UUP,2025-11-03,28.1776,9865.6988,2026-01-02,27.0693,-10934.15,-3.93,39
GLD,2023-11-01,183.2347,1374.5182,2026-02-02,427.1183,335222.46,133.1,541
PDBC,2026-02-02,13.949,13425.6663,2026-03-02,15.35,18809.36,10.04,17
GLD,2023-11-01,183.2347,476.3834,2026-03-02,489.9299,146104.5,167.38,558
PDBC,2026-02-02,13.949,3184.5541,2026-04-01,17.09,10002.68,22.52,39
TLT,2026-03-02,89.6,4894.4213,2026-04-01,86.27,-16298.42,-3.72,22
GLD,2023-11-01,183.2347,991.4001,2026-05-01,423.12,237822.31,130.92,600
UUP,2026-04-01,27.73,472.4971,2026-06-01,27.76,14.17,0.11,40
