date,equity
2022-06-17,1000000.0
2022-06-21,1000000.0
2022-06-22,1000000.0
2022-06-23,1000000.0
2022-06-24,1000000.0
2022-06-27,1000000.0
2022-06-28,1000000.0
2022-06-29,1000000.0
2022-06-30,1000000.0
2022-07-01,1000000.0
2022-07-05,1000000.0
2022-07-06,1000000.0
2022-07-07,1000000.0
2022-07-08,1000000.0
2022-07-11,1000000.0
2022-07-12,1000000.0
2022-07-13,1000000.0
2022-07-14,1000000.0
2022-07-15,1000000.0
2022-07-18,1000000.0
2022-07-19,1000000.0
2022-07-20,1000000.0
2022-07-21,1000000.0
2022-07-22,1000000.0
2022-07-25,1000000.0
2022-07-26,1000000.0
2022-07-27,1000000.0
2022-07-28,1000000.0
2022-07-29,1000000.0
2022-08-01,1000000.0
2022-08-02,1000000.0
2022-08-03,1000000.0
2022-08-04,1000000.0
2022-08-05,1000000.0
2022-08-08,1000000.0
2022-08-09,1000000.0
2022-08-10,1000000.0
2022-08-11,1000000.0
2022-08-12,1000000.0
2022-08-15,1000000.0
2022-08-16,1000000.0
2022-08-17,1000000.0
2022-08-18,1000000.0
2022-08-19,1000000.0
2022-08-22,1000000.0
2022-08-23,1000000.0
2022-08-24,1000000.0
2022-08-25,1000000.0
2022-08-26,1000000.0
2022-08-29,1000000.0
2022-08-30,1000000.0
2022-08-31,1000000.0
2022-09-01,1000000.0
2022-09-02,1000000.0
2022-09-06,1000000.0
2022-09-07,1000000.0
2022-09-08,1000000.0
2022-09-09,1000000.0
2022-09-12,1000000.0
2022-09-13,1000000.0
2022-09-14,1000000.0
2022-09-15,1000000.0
2022-09-16,1000000.0
2022-09-19,999200.0000000001
2022-09-20,970060.0792685042
2022-09-21,952327.3672185985
2022-09-22,913152.4528558769
2022-09-23,874599.3301486062
2022-09-26,853482.7351597854
2022-09-27,855050.259181724
2022-09-28,934680.4794962119
2022-09-29,913530.3748880044
2022-09-30,896811.393063765
2022-10-02,896811.393063765
2022-10-03,910516.5754609691
2022-10-04,918025.5823757106
2022-10-05,901480.5717155735
2022-10-06,915051.7560480118
2022-10-07,856617.4048309561
2022-10-10,874959.2946173743
2022-10-11,837197.5274616684
2022-10-12,823809.5427528991
2022-10-13,823507.9607815646
2022-10-14,759543.0890277005
2022-10-17,851089.9485351573
2022-10-18,836758.7866893178
2022-10-19,946038.6867552216
2022-10-20,930937.4819315239
2022-10-21,1006227.4758933276
2022-10-24,981452.6029821716
2022-10-25,1011091.1364253979
2022-10-26,1037145.7664351278
2022-10-27,1031415.0004594299
2022-10-28,1027382.2392172723
2022-10-31,1013867.7908332517
2022-11-01,996080.5145045642
2022-11-02,948205.8793311665
2022-11-03,934479.1960141336
2022-11-04,906062.0039608491
2022-11-07,897014.7828262876
2022-11-08,914192.9592992439
2022-11-09,859749.9632705516
2022-11-10,930496.4089722533
2022-11-11,947091.4342452451
2022-11-14,950437.5721140889
2022-11-15,1031106.7863113275
2022-11-16,981979.1664484224
2022-11-17,1026019.1975999329
2022-11-18,1018752.4614490655
2022-11-21,982705.5480082316
2022-11-22,969768.9677601961
2022-11-23,969479.2885130531
2022-11-25,954362.1077010975
2022-11-28,1074442.3621537457
2022-11-29,1073526.2265098426
2022-11-30,1167106.2243115504
2022-12-01,1211540.7196426198
2022-12-02,1224059.9623747864
2022-12-05,1194776.7431114549
2022-12-06,1168063.313912218
2022-12-07,1178723.4228561749
2022-12-08,1186329.037388183
2022-12-09,1222600.2016082671
2022-12-12,1204368.9262154074
2022-12-13,1224510.19339909
2022-12-14,1214611.8055357295
2022-12-15,1109622.2925024289
2022-12-16,1110234.7217592495
2022-12-19,1099951.5568432952
2022-12-20,1083480.9600367756
2022-12-21,1086395.4474310116
2022-12-22,1081327.766694147
2022-12-23,1062450.2118611294
2022-12-27,1077145.5833331002
2022-12-28,1029966.7317356076
2022-12-29,1041981.8592031787
2022-12-30,1031230.9486267659
2023-01-03,1068544.3470436577
2023-01-04,1152024.3544516317
2023-01-05,1206792.2353682152
2023-01-06,1213874.62746269
2023-01-09,1207931.0424667464
2023-01-10,1190223.1621240175
2023-01-11,1176689.218810353
2023-01-12,1182634.0705485623
2023-01-13,1226776.463159126
2023-01-17,1198823.1191772248
2023-01-18,1132292.2097072727
2023-01-19,1141525.5411199739
2023-01-20,1174538.2794855118
2023-01-23,1205274.670403029
2023-01-24,1217669.8066183235
2023-01-25,1220326.178682041
2023-01-26,1324549.1962854716
2023-01-27,1323790.413802798
2023-01-30,1228800.7276120684
2023-01-31,1239424.9491182182
2023-02-01,1302414.0291698808
2023-02-02,1259662.5266527655
2023-02-03,1209827.365299071
2023-02-06,1184150.2816128794
2023-02-07,1220357.8303746772
2023-02-08,1167257.8944095438
2023-02-09,1131305.0721214472
2023-02-10,1107847.2537012147
2023-02-13,1140738.0096902228
2023-02-14,1141947.0663360343
2023-02-15,1127246.5436498758
2023-02-16,1096953.842901971
2023-02-17,1100327.346764006
2023-02-21,1093292.9006443715
2023-02-22,1085746.191485595
2023-02-23,1076899.0262520695
2023-02-24,1036036.2580283221
2023-02-27,1042479.8719945117
2023-02-28,1075926.029587356
2023-03-01,1066070.8899923195
2023-03-02,1073277.1832290003
2023-03-03,1139060.3634001748
2023-03-06,1136903.0597600974
2023-03-07,1134320.3158666175
2023-03-08,1137640.986586806
2023-03-09,1117283.3224609988
2023-03-10,1103690.8088675286
2023-03-13,1112670.3547755142
2023-03-14,1193733.1823441244
2023-03-15,1215628.2703645632
2023-03-16,1260772.3372361653
2023-03-17,1204250.1668954375
2023-03-20,1216612.582259748
2023-03-21,1241828.9529510303
2023-03-22,1228298.052199274
2023-03-23,1256159.3761307823
2023-03-24,1267107.536096263
2023-03-27,1246810.8769861832
