symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
MELI,2022-09-19,931.3409,1073.7207,2022-09-26,796.9029,-144348.86,-14.43,5
NFLX,2022-09-26,22.3594,57.3725,2022-10-03,23.8512,85.59,6.67,6
NFLX,2022-09-26,22.3594,38174.9208,2022-10-10,22.9565,22794.25,2.67,11
MELI,2022-10-10,870.6021,1006.6154,2022-10-17,848.2457,-22504.3,-2.57,5
NFLX,2022-10-17,24.4652,48.3947,2022-10-24,28.2066,181.06,15.29,5
NFLX,2022-10-17,24.4652,0.0375,2022-10-31,29.1382,0.18,19.1,10
NFLX,2022-10-17,24.4652,34795.1415,2022-11-07,25.8212,47182.21,5.54,15
PDD,2022-11-07,61.6274,22.0169,2022-11-14,65.2919,80.68,5.95,5
PDD,2022-11-07,61.6274,0.017,2022-11-21,67.5086,0.1,9.54,10
PDD,2022-11-07,61.6274,14556.7461,2022-11-28,73.9289,179069.81,19.96,14
NFLX,2022-11-28,28.0748,55.163,2022-12-05,31.2141,173.17,11.18,5
NFLX,2022-11-28,28.0748,0.0438,2022-12-12,31.4647,0.15,12.07,10
NFLX,2022-11-28,28.0748,38276.8286,2022-12-19,28.7828,27099.99,2.52,15
PDD,2022-12-19,86.8296,20.7303,2022-12-27,85.0323,-37.26,-2.07,5
PDD,2022-12-19,86.8296,0.0167,2023-01-03,84.3533,-0.04,-2.85,9
PDD,2022-12-19,86.8296,0.0,2023-01-09,95.3568,0.0,9.82,13
PDD,2022-12-19,86.8296,12667.4872,2023-02-06,93.6293,86135.11,7.83,32
META,2023-02-06,185.7809,10.6027,2023-02-13,178.9811,-72.1,-3.66,5
META,2023-02-06,185.7809,6373.5195,2023-02-21,171.8119,-89031.69,-7.52,10
MSTR,2023-02-21,26.9455,40639.2523,2023-02-27,25.7363,-49140.98,-4.49,4
META,2023-02-27,169.2657,9.059,2023-03-06,184.5727,138.67,9.04,5
META,2023-02-27,169.2657,0.0074,2023-03-13,180.6386,0.08,6.72,10
META,2023-02-27,169.2657,0.0,2023-03-20,197.5133,0.0,16.69,15
META,2023-02-27,169.2657,6159.6489,2023-04-03,212.7704,267973.68,25.7,25
MSTR,2023-04-03,29.6934,67.2247,2023-04-10,31.1931,100.82,5.05,4
MSTR,2023-04-03,29.6934,44070.2255,2023-04-17,31.286,70186.24,5.36,9
META,2023-04-17,218.5117,10.3843,2023-04-24,212.4409,-63.04,-2.78,5
META,2023-04-17,218.5117,0.0073,2023-05-01,242.7254,0.18,11.08,10
META,2023-04-17,218.5117,6299.4738,2023-05-08,232.8502,90325.0,6.56,15
NVDA,2023-05-08,29.1063,50395.7467,2023-05-15,28.9126,-9761.66,-0.67,5
META,2023-05-15,238.3919,6102.2423,2023-05-22,247.9875,58554.68,4.03,5
NVDA,2023-05-22,31.1192,48553.6379,2023-05-30,40.0528,433758.78,28.71,5
PLTR,2023-05-30,14.6879,204.6166,2023-06-05,15.1972,104.21,3.47,4
PLTR,2023-05-30,14.6879,0.1593,2023-06-12,15.6165,0.15,6.32,9
PLTR,2023-05-30,14.6879,0.0001,2023-06-20,15.7663,0.0,7.34,14
PLTR,2023-05-30,14.6879,0.0,2023-06-26,13.9191,-0.0,-5.23,18
PLTR,2023-05-30,14.6879,132032.6279,2023-08-21,14.4683,-28994.37,-1.5,57
NVDA,2023-08-21,46.9055,40726.3044,2023-08-28,46.7448,-6544.72,-0.34,5
CHTR,2023-08-28,431.372,4406.1425,2023-09-05,408.3865,-101277.39,-5.33,5
PDD,2023-09-05,100.8984,17803.7071,2023-09-11,97.2239,-65419.72,-3.64,4
CHTR,2023-09-11,435.1663,6.079,2023-09-18,455.2062,121.82,4.61,5
CHTR,2023-09-11,435.1663,3964.9758,2023-09-25,439.4099,16825.77,0.98,10
PDD,2023-09-25,96.525,28.0243,2023-10-02,99.4706,82.55,3.05,7
PDD,2023-09-25,96.525,0.0209,2023-10-09,106.8095,0.21,10.65,14
PDD,2023-09-25,96.525,0.0,2023-10-16,105.1221,0.0,8.91,21
PDD,2023-09-25,96.525,0.0,2023-10-23,104.0437,0.0,7.79,28
PDD,2023-09-25,96.525,18021.6558,2023-11-13,109.1161,226912.47,13.04,49
PLTR,2023-11-13,19.6705,147.7286,2023-11-20,21.298,240.43,8.27,7
PLTR,2023-11-13,19.6705,99821.9108,2023-11-27,19.0414,-62797.96,-3.2,14
SHOP,2023-11-27,73.6893,25794.0626,2023-12-04,72.7108,-25239.49,-1.33,7
PDD,2023-12-04,147.2288,12718.0669,2023-12-11,142.7855,-56510.19,-3.02,7
SHOP,2023-12-11,72.6908,37.696,2023-12-18,77.0143,162.98,5.95,7
SHOP,2023-12-11,72.6908,0.0303,2023-12-25,76.6948,0.12,5.51,14
SHOP,2023-12-11,72.6908,0.0,2024-01-01,77.8031,0.0,7.03,21
SHOP,2023-12-11,72.6908,24902.9425,2024-01-08,77.5835,121842.63,6.73,28
CRWD,2024-01-08,260.8881,10.8839,2024-01-15,284.0233,251.8,8.87,7
CRWD,2024-01-08,260.8881,0.0083,2024-01-22,298.1921,0.31,14.3,14
CRWD,2024-01-08,260.8881,7394.8018,2024-01-29,300.1292,290180.16,15.04,21
AMD,2024-01-29,177.4734,12505.5131,2024-02-05,173.9487,-44078.18,-1.99,7
NVDA,2024-02-05,69.207,31380.7378,2024-02-12,72.1476,92278.2,4.25,7
ARM,2024-02-12,148.553,28.2551,2024-02-19,128.1076,-577.69,-13.76,7
ARM,2024-02-12,148.553,0.0198,2024-02-26,145.9607,-0.05,-1.75,14
ARM,2024-02-12,148.553,0.0,2024-03-04,137.8429,-0.0,-7.21,21
ARM,2024-02-12,148.553,0.0,2024-03-11,126.5798,-0.0,-14.79,28
ARM,2024-02-12,148.553,15188.9691,2024-03-18,129.5055,-289311.89,-12.82,35
MSTR,2024-03-18,149.8748,16.992,2024-03-25,185.2218,600.62,23.58,7
MSTR,2024-03-18,149.8748,0.0154,2024-04-01,163.4714,0.21,9.07,14
MSTR,2024-03-18,149.8748,0.0,2024-04-08,150.9632,0.0,0.73,21
MSTR,2024-03-18,149.8748,13107.6475,2024-04-15,133.4046,-215885.58,-10.99,28
MU,2024-04-15,121.2279,25.6805,2024-04-22,108.9463,-315.4,-10.13,7
MU,2024-04-15,121.2279,0.0196,2024-04-29,114.0886,-0.14,-5.89,14
MU,2024-04-15,121.2279,14398.5412,2024-05-06,119.9099,-18977.28,-1.09,21
GOOG,2024-05-06,169.5753,10181.4806,2024-05-13,170.6437,10877.89,0.63,7
APP,2024-05-13,86.2005,20123.3529,2024-05-20,84.4232,-35765.24,-2.06,7
MU,2024-05-20,128.7965,13168.8377,2024-05-27,126.0906,-35633.56,-2.1,7
PDD,2024-05-27,153.3896,10807.4515,2024-06-03,146.6397,-72949.22,-4.4,7
NVDA,2024-06-03,114.8175,20.8476,2024-06-10,121.5274,139.89,5.84,7
NVDA,2024-06-03,114.8175,0.0155,2024-06-17,130.8035,0.25,13.92,14
NVDA,2024-06-03,114.8175,13758.8035,2024-06-24,117.9628,43275.56,2.74,21
ARM,2024-06-24,150.7735,16.3641,2024-07-01,158.6916,129.57,5.25,7
ARM,2024-06-24,150.7735,0.0113,2024-07-08,184.373,0.38,22.28,14
ARM,2024-06-24,150.7735,0.0,2024-07-15,177.1738,0.0,17.51,21
ARM,2024-06-24,150.7735,0.0,2024-07-22,163.3546,0.0,8.34,28
ARM,2024-06-24,150.7735,10748.2947,2024-07-29,141.148,-103457.71,-6.38,35
CHTR,2024-07-29,377.3332,6.6878,2024-08-05,362.9548,-96.16,-3.81,7
CHTR,2024-07-29,377.3332,4013.8975,2024-08-12,350.0841,-109375.09,-7.22,14
PLTR,2024-08-12,29.306,47949.2168,2024-08-19,32.4213,149376.2,10.63,7
MELI,2024-08-19,2023.1907,767.2671,2024-08-26,2001.1238,-16931.21,-1.09,7
PLTR,2024-08-26,30.7937,49780.0164,2024-09-02,31.4128,30818.81,2.01,7
MELI,2024-09-02,2060.0553,757.8802,2024-09-09,2025.9565,-25842.8,-1.66,7
PLTR,2024-09-09,34.5481,44370.9566,2024-09-16,36.2356,74875.99,4.88,7
SBUX,2024-09-16,96.1655,16693.6536,2024-09-23,95.3268,-14000.97,-0.87,7
APP,2024-09-23,125.9109,19.487,2024-09-30,130.5539,90.48,3.69,7
APP,2024-09-23,125.9109,0.0146,2024-10-07,139.77,0.2,11.01,14
APP,2024-09-23,125.9109,0.0,2024-10-14,145.0621,0.0,15.21,21
APP,2024-09-23,125.9109,0.0,2024-10-21,158.5917,0.0,25.96,28
APP,2024-09-23,125.9109,12598.8027,2024-11-04,158.8513,415009.6,26.16,42
MSTR,2024-11-04,222.6954,8986.8771,2024-11-11,339.2903,1047824.03,52.36,7
APP,2024-11-11,285.8605,10655.4004,2024-11-18,297.6629,125759.3,4.13,7
MSTR,2024-11-18,384.5424,12.5642,2024-11-25,403.5937,239.37,4.95,7
MSTR,2024-11-18,384.5424,8222.7858,2024-12-02,379.5796,-40808.04,-1.29,14
APP,2024-12-02,339.9092,14.6065,2024-12-09,341.8962,29.02,0.58,7
APP,2024-12-02,339.9092,0.0116,2024-12-16,343.444,0.04,1.04,14
APP,2024-12-02,339.9092,0.0,2024-12-23,340.4885,0.0,0.17,21
APP,2024-12-02,339.9092,0.0,2024-12-30,334.9667,-0.0,-1.45,28
APP,2024-12-02,339.9092,9167.8273,2025-01-13,315.1167,-227293.36,-7.29,42
AVGO,2025-01-13,224.8422,19.5129,2025-01-20,236.8841,234.97,5.36,7
AVGO,2025-01-13,224.8422,0.0183,2025-01-27,201.9865,-0.42,-10.17,14
AVGO,2025-01-13,224.8422,0.0,2025-02-03,217.3634,-0.0,-3.33,21
AVGO,2025-01-13,224.8422,12829.1933,2025-02-10,234.6774,126177.68,4.37,28
PLTR,2025-02-10,116.5049,40.4901,2025-02-17,118.9712,99.86,2.12,7
PLTR,2025-02-10,116.5049,25801.5279,2025-02-24,90.6238,-667771.92,-22.21,14
MELI,2025-02-24,2220.2646,1053.1306,2025-03-03,2066.3258,-162117.67,-6.93,7
SBUX,2025-03-03,115.2368,18851.3549,2025-03-10,100.9483,-269357.59,-12.4,7
GILD,2025-03-10,116.9543,16241.6726,2025-03-17,112.0816,-79140.8,-4.17,7
PLTR,2025-03-17,87.2389,30.1216,2025-03-24,96.6148,282.42,10.75,7
PLTR,2025-03-17,87.2389,20801.762,2025-03-31,84.1835,-63557.7,-3.5,14
TMUS,2025-03-31,266.1702,6579.1092,2025-04-07,246.4597,-129677.53,-7.41,7
GILD,2025-04-07,105.3617,24.3782,2025-04-14,106.3302,23.61,0.92,7
GILD,2025-04-07,105.3617,0.0199,2025-04-21,104.1834,-0.02,-1.12,14
GILD,2025-04-07,105.3617,15338.7122,2025-04-28,106.1505,12099.18,0.75,21
MSTR,2025-04-28,368.4265,6.7578,2025-05-05,385.5009,115.39,4.63,7
MSTR,2025-04-28,368.4265,0.0052,2025-05-12,403.9931,0.18,9.65,14
MSTR,2025-04-28,368.4265,4412.6042,2025-05-19,412.9097,196286.75,12.07,21
PLTR,2025-05-19,126.1604,23.6807,2025-05-26,123.105,-72.35,-2.42,7
PLTR,2025-05-19,126.1604,0.0177,2025-06-02,131.8219,0.1,4.49,14
PLTR,2025-05-19,126.1604,0.0,2025-06-09,131.8219,0.0,4.49,21
PLTR,2025-05-19,126.1604,14418.2902,2025-06-16,141.1978,216813.6,11.92,28
MU,2025-06-16,119.5803,26.7308,2025-06-23,121.8569,60.86,1.9,7
MU,2025-06-16,119.5803,0.0212,2025-06-30,123.0651,0.07,2.91,14
MU,2025-06-16,119.5803,0.0,2025-07-07,119.6901,0.0,0.09,21
MU,2025-06-16,119.5803,16998.0495,2025-07-14,118.442,-19348.88,-0.95,28
AMD,2025-07-14,146.0306,13786.7199,2025-07-21,156.7345,147571.67,7.33,7
WBD,2025-07-21,12.7708,168950.5271,2025-07-28,13.6594,150129.44,6.96,7
AMD,2025-07-28,173.4094,20.7479,2025-08-04,177.8328,91.78,2.55,7
AMD,2025-07-28,173.4094,0.0172,2025-08-11,171.6221,-0.03,-1.03,14
AMD,2025-07-28,173.4094,0.0,2025-08-18,175.6361,0.0,1.28,21
AMD,2025-07-28,173.4094,13267.4882,2025-08-25,162.9052,-139364.35,-6.06,28
APP,2025-08-25,450.0539,7.2381,2025-09-01,477.7722,200.63,6.16,7
APP,2025-08-25,450.0539,0.0051,2025-09-08,546.0398,0.49,21.33,14
APP,2025-08-25,450.0539,0.0,2025-09-15,591.7908,0.0,31.49,21
APP,2025-08-25,450.0539,0.0,2025-09-22,642.3451,0.0,42.73,28
APP,2025-08-25,450.0539,4795.1657,2025-10-06,585.8898,651355.65,30.18,42
SNDK,2025-10-06,120.9383,33.4711,2025-10-13,134.2982,447.17,11.05,7
SNDK,2025-10-06,120.9383,0.0243,2025-10-20,147.718,0.65,22.14,14
SNDK,2025-10-06,120.9383,0.0,2025-10-27,176.1054,0.0,45.62,21
SNDK,2025-10-06,120.9383,0.0,2025-11-03,206.5796,0.0,70.81,28
SNDK,2025-10-06,120.9383,23196.8515,2025-12-01,209.7848,2060959.07,73.46,56
LITE,2025-12-01,317.0736,22.7482,2025-12-08,342.2758,573.3,7.95,7
LITE,2025-12-01,317.0736,0.0187,2025-12-15,333.8186,0.31,5.28,14
LITE,2025-12-01,317.0736,0.0,2025-12-22,389.1053,0.0,22.72,21
LITE,2025-12-01,317.0736,0.0,2025-12-29,371.9112,0.0,17.29,28
LITE,2025-12-01,317.0736,15324.9217,2026-01-12,339.1603,338476.95,6.97,42
SNDK,2026-01-12,388.4264,20.1472,2026-01-19,412.77,490.46,6.27,7
SNDK,2026-01-12,388.4264,0.0142,2026-01-26,469.6345,1.15,20.91,14
SNDK,2026-01-12,388.4264,0.0,2026-02-02,664.282,0.0,71.02,21
SNDK,2026-01-12,388.4264,0.0,2026-02-09,582.4351,0.0,49.95,28
SNDK,2026-01-12,388.4264,13361.0224,2026-03-16,703.71,4212511.23,81.17,63
LITE,2026-03-16,624.3,20.6476,2026-03-23,728.5901,2153.34,16.71,7
LITE,2026-03-16,624.3,0.0184,2026-03-30,654.5901,0.56,4.85,14
LITE,2026-03-16,624.3,0.0,2026-04-06,772.1501,0.0,23.68,21
LITE,2026-03-16,624.3,15039.8578,2026-04-13,897.21,4104527.6,43.71,28
MRVL,2026-04-13,132.0,141.8638,2026-04-20,152.19,2864.23,15.3,7
MRVL,2026-04-13,132.0,0.1098,2026-04-27,157.29,2.78,19.16,14
MRVL,2026-04-13,132.0,102084.6237,2026-05-04,163.31,3196269.57,23.72,21
INTC,2026-05-04,95.47,206.5854,2026-05-11,129.12,6951.6,35.25,7
INTC,2026-05-04,95.47,0.1978,2026-05-18,107.89,2.46,13.01,14
INTC,2026-05-04,95.47,0.0001,2026-05-25,119.89,0.0,25.58,21
INTC,2026-05-04,95.47,174418.1239,2026-06-01,108.85,2333714.5,14.01,28
MU,2026-06-01,1038.5,18281.5723,2026-06-08,945.75,-1695615.83,-8.93,7
MRVL,2026-06-08,287.5,60032.7663,2026-06-15,305.05,1053575.05,6.1,7
