date,action,symbol,price,shares
2022-09-19,BUY,MELI,931.3409,1073.7207
2022-09-26,SELL,MELI,796.9029,1073.7207
2022-09-26,BUY,NFLX,22.3594,38232.2932
2022-10-03,SELL,NFLX,23.8512,57.3725
2022-10-10,BUY,MELI,870.6021,1006.6154
2022-10-10,SELL,NFLX,22.9565,38174.9208
2022-10-17,SELL,MELI,848.2457,1006.6154
2022-10-17,BUY,NFLX,24.4652,34843.5737
2022-10-24,SELL,NFLX,28.2066,48.3947
2022-10-31,SELL,NFLX,29.1382,0.0375
2022-11-07,BUY,PDD,61.6274,14578.78
2022-11-07,SELL,NFLX,25.8212,34795.1415
2022-11-14,SELL,PDD,65.2919,22.0169
2022-11-21,SELL,PDD,67.5086,0.017
2022-11-28,SELL,PDD,73.9289,14556.7461
2022-11-28,BUY,NFLX,28.0748,38332.0353
2022-12-05,SELL,NFLX,31.2141,55.163
2022-12-12,SELL,NFLX,31.4647,0.0438
2022-12-19,BUY,PDD,86.8296,12688.2342
2022-12-19,SELL,NFLX,28.7828,38276.8286
2022-12-27,SELL,PDD,85.0323,20.7303
2023-01-03,SELL,PDD,84.3533,0.0167
2023-01-09,SELL,PDD,95.3568,0.0
2023-02-06,SELL,PDD,93.6293,12667.4872
2023-02-06,BUY,META,185.7809,6384.1221
2023-02-13,SELL,META,178.9811,10.6027
2023-02-21,BUY,MSTR,26.9455,40639.2523
2023-02-21,SELL,META,171.8119,6373.5195
2023-02-27,SELL,MSTR,25.7363,40639.2523
2023-02-27,BUY,META,169.2657,6168.7153
2023-03-06,SELL,META,184.5727,9.059
2023-03-13,SELL,META,180.6386,0.0074
2023-03-20,SELL,META,197.5133,0.0
2023-04-03,BUY,MSTR,29.6934,44137.4501
2023-04-03,SELL,META,212.7704,6159.6489
2023-04-10,SELL,MSTR,31.1931,67.2247
2023-04-17,SELL,MSTR,31.286,44070.2255
2023-04-17,BUY,META,218.5117,6309.8653
2023-04-24,SELL,META,212.4409,10.3843
2023-05-01,SELL,META,242.7254,0.0073
2023-05-08,BUY,NVDA,29.1063,50395.7467
2023-05-08,SELL,META,232.8502,6299.4738
2023-05-15,SELL,NVDA,28.9126,50395.7467
2023-05-15,BUY,META,238.3919,6102.2423
2023-05-22,BUY,NVDA,31.1192,48553.6379
2023-05-22,SELL,META,247.9875,6102.2423
2023-05-30,BUY,PLTR,14.6879,132237.4039
2023-05-30,SELL,NVDA,40.0528,48553.6379
2023-06-05,SELL,PLTR,15.1972,204.6166
2023-06-12,SELL,PLTR,15.6165,0.1593
2023-06-20,SELL,PLTR,15.7663,0.0001
2023-06-26,SELL,PLTR,13.9191,0.0
2023-08-21,SELL,PLTR,14.4683,132032.6279
2023-08-21,BUY,NVDA,46.9055,40726.3044
2023-08-28,BUY,CHTR,431.372,4406.1425
2023-08-28,SELL,NVDA,46.7448,40726.3044
2023-09-05,BUY,PDD,100.8984,17803.7071
2023-09-05,SELL,CHTR,408.3865,4406.1425
2023-09-11,SELL,PDD,97.2239,17803.7071
2023-09-11,BUY,CHTR,435.1663,3971.0548
2023-09-18,SELL,CHTR,455.2062,6.079
2023-09-25,BUY,PDD,96.525,18049.701
2023-09-25,SELL,CHTR,439.4099,3964.9758
2023-10-02,SELL,PDD,99.4706,28.0243
2023-10-09,SELL,PDD,106.8095,0.0209
2023-10-16,SELL,PDD,105.1221,0.0
2023-10-23,SELL,PDD,104.0437,0.0
2023-11-13,SELL,PDD,109.1161,18021.6558
2023-11-13,BUY,PLTR,19.6705,99969.6394
2023-11-20,SELL,PLTR,21.298,147.7286
2023-11-27,SELL,PLTR,19.0414,99821.9108
2023-11-27,BUY,SHOP,73.6893,25794.0626
2023-12-04,BUY,PDD,147.2288,12718.0669
2023-12-04,SELL,SHOP,72.7108,25794.0626
2023-12-11,SELL,PDD,142.7855,12718.0669
2023-12-11,BUY,SHOP,72.6908,24940.6687
2023-12-18,SELL,SHOP,77.0143,37.696
2023-12-25,SELL,SHOP,76.6948,0.0303
2024-01-01,SELL,SHOP,77.8031,0.0
2024-01-08,BUY,CRWD,260.8881,7405.694
2024-01-08,SELL,SHOP,77.5835,24902.9425
2024-01-15,SELL,CRWD,284.0233,10.8839
2024-01-22,SELL,CRWD,298.1921,0.0083
2024-01-29,SELL,CRWD,300.1292,7394.8018
2024-01-29,BUY,AMD,177.4734,12505.5131
2024-02-05,SELL,AMD,173.9487,12505.5131
2024-02-05,BUY,NVDA,69.207,31380.7378
2024-02-12,BUY,ARM,148.553,15217.244
2024-02-12,SELL,NVDA,72.1476,31380.7378
2024-02-19,SELL,ARM,128.1076,28.2551
2024-02-26,SELL,ARM,145.9607,0.0198
2024-03-04,SELL,ARM,137.8429,0.0
2024-03-11,SELL,ARM,126.5798,0.0
2024-03-18,SELL,ARM,129.5055,15188.9691
2024-03-18,BUY,MSTR,149.8748,13124.655
2024-03-25,SELL,MSTR,185.2218,16.992
2024-04-01,SELL,MSTR,163.4714,0.0154
2024-04-08,SELL,MSTR,150.9632,0.0
2024-04-15,BUY,MU,121.2279,14424.2413
2024-04-15,SELL,MSTR,133.4046,13107.6475
2024-04-22,SELL,MU,108.9463,25.6805
2024-04-29,SELL,MU,114.0886,0.0196
2024-05-06,SELL,MU,119.9099,14398.5412
2024-05-06,BUY,GOOG,169.5753,10181.4806
2024-05-13,BUY,APP,86.2005,20123.3529
2024-05-13,SELL,GOOG,170.6437,10181.4806
2024-05-20,BUY,MU,128.7965,13168.8377
2024-05-20,SELL,APP,84.4232,20123.3529
2024-05-27,BUY,PDD,153.3896,10807.4515
2024-05-27,SELL,MU,126.0906,13168.8377
2024-06-03,SELL,PDD,146.6397,10807.4515
2024-06-03,BUY,NVDA,114.8175,13779.6666
