symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
META,2023-04-10,214.378,29.9747,2023-04-17,218.5117,123.91,1.93,5
MSTR,2023-04-10,31.1931,10686.124,2023-04-17,31.286,992.74,0.3,5
SHOP,2023-04-17,48.4372,6879.236,2023-04-24,47.938,-3434.11,-1.03,5
NVDA,2023-04-10,27.5306,172.9731,2023-04-24,26.9845,-94.46,-1.98,10
META,2023-04-10,214.378,91.8619,2023-05-01,242.7254,2604.05,13.22,15
MELI,2023-04-24,1271.7096,258.6491,2023-05-01,1289.413,4578.97,1.39,5
MSFT,2023-05-01,304.9918,1159.1114,2023-05-08,308.0472,3541.55,1.0,5
NVDA,2023-04-10,27.5306,200.1721,2023-05-08,29.1063,315.41,5.72,20
META,2023-04-10,214.378,48.7431,2023-05-15,238.3919,1170.51,11.2,25
NVDA,2023-04-10,27.5306,32.4694,2023-05-15,28.9126,44.87,5.02,25
NVDA,2023-04-10,27.5306,390.09,2023-05-22,31.1192,1399.88,13.03,30
SHOP,2023-05-08,64.2934,5839.1341,2023-05-30,58.1127,-36089.94,-9.61,15
NVDA,2023-04-10,27.5306,1744.478,2023-05-30,40.0528,21844.7,45.48,35
META,2023-04-10,214.378,28.1939,2023-06-05,271.0229,1597.04,26.42,39
PLTR,2023-05-30,14.6879,523.9825,2023-06-05,15.1972,266.86,3.47,4
PLTR,2023-05-30,14.6879,416.3212,2023-06-12,15.6165,386.6,6.32,9
NVDA,2023-04-10,27.5306,495.551,2023-06-20,43.7543,8039.67,58.93,49
META,2023-04-10,214.378,76.148,2023-06-26,278.1022,4852.47,29.73,53
META,2023-04-10,214.378,1434.1861,2023-07-03,285.7108,102304.51,33.27,58
PLTR,2023-05-30,14.6879,1328.1478,2023-07-03,15.4867,1060.92,5.44,23
PLTR,2023-05-30,14.6879,1266.5636,2023-07-10,16.2756,2010.92,10.81,27
NVDA,2023-04-10,27.5306,181.2231,2023-07-17,46.3913,3417.99,68.51,67
NVDA,2023-04-10,27.5306,190.0393,2023-07-24,44.5511,3234.56,61.82,72
TSLA,2023-07-03,279.5301,1608.6057,2023-07-31,267.0388,-20093.58,-4.47,19
PLTR,2023-05-30,14.6879,2831.3416,2023-07-31,19.8003,14474.95,34.81,42
META,2023-07-31,317.9424,55.4724,2023-08-07,316.1551,-99.15,-0.56,5
NVDA,2023-04-10,27.5306,150.7209,2023-08-07,45.3289,2682.58,64.65,82
META,2023-07-31,317.9424,46.3998,2023-08-14,305.511,-576.82,-3.91,10
NVDA,2023-04-10,27.5306,297.6583,2023-08-14,43.6844,4808.31,58.68,87
PLTR,2023-05-30,14.6879,26736.1762,2023-08-21,14.4683,-5871.26,-1.5,57
NVDA,2023-04-10,27.5306,830.5783,2023-08-21,46.9055,16092.37,70.38,92
META,2023-07-31,317.9424,1422.3409,2023-08-28,290.0842,-39623.86,-8.76,20
