symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
NTNX,2023-01-03,26.2406,1280.7377,2023-02-01,28.5072,2902.92,8.64,20
NTNX,2023-01-03,26.2406,536.4841,2023-03-01,28.4173,1167.76,8.3,39
NTNX,2023-01-03,26.2406,17237.2206,2023-04-03,25.1622,-18588.62,-4.11,62
PCVX,2023-01-03,47.1192,11781.2584,2023-04-03,37.9031,-108577.26,-19.56,62
PTGX,2023-04-03,22.7558,26.4577,2023-05-01,23.5047,19.81,3.29,19
NVDA,2023-04-03,27.929,27.2548,2023-05-01,28.8586,25.34,3.33,19
PTGX,2023-04-03,22.7558,19314.7269,2023-06-01,27.4588,90837.16,20.67,41
NVDA,2023-04-03,27.929,1188.2077,2023-06-01,39.7123,14001.01,42.19,41
RIOT,2023-06-01,12.3814,265.1134,2023-07-03,13.33,251.49,7.66,21
RIOT,2023-06-01,12.3814,4553.4614,2023-08-01,18.1927,26461.53,46.94,41
NVDA,2023-04-03,27.929,3445.5257,2023-09-01,48.4003,70534.39,73.3,105
RIOT,2023-06-01,12.3814,41827.5683,2023-09-01,10.9935,-58052.48,-11.21,64
MARA,2023-09-01,11.962,52371.1178,2023-10-01,8.4673,-183021.35,-29.22,21
NVDA,2023-04-03,27.929,1377.8391,2023-10-01,43.4288,21356.23,55.5,126
NVDA,2023-04-03,27.929,11565.5375,2023-11-01,42.2436,165556.04,51.25,157
PDD,2023-11-01,102.7556,148.2378,2023-12-01,147.2288,6592.61,43.28,30
PLTR,2023-10-01,15.966,32100.2012,2023-12-01,20.0099,129810.0,25.33,61
COIN,2023-12-01,124.483,773.8596,2024-01-01,173.739,38117.23,39.57,31
PDD,2023-11-01,102.7556,5419.038,2024-02-01,126.3402,127805.84,22.95,92
COIN,2023-12-01,124.483,4555.106,2024-02-01,128.6967,19193.85,3.38,62
MARA,2024-02-01,18.5621,6444.5854,2024-03-01,26.9495,54053.32,45.19,29
CYTK,2024-02-01,81.2479,7819.6186,2024-03-01,73.7991,-58246.78,-9.17,29
MARA,2024-02-01,18.5621,27782.5545,2024-04-01,21.5976,84333.94,16.35,60
SMCI,2024-03-01,90.3892,1252.077,2024-04-01,103.6193,16565.1,14.64,31
SMCI,2024-03-01,90.3892,420.9646,2024-05-01,73.6893,-7030.07,-18.48,61
SMCI,2024-03-01,90.3892,6610.3148,2024-06-01,78.3513,-79574.31,-13.32,92
MSTR,2024-04-01,163.4714,673.4225,2024-06-01,152.2702,-7543.14,-6.85,61
HOOD,2024-06-01,20.8687,29729.7021,2024-07-01,22.7458,55805.62,8.99,30
INSM,2024-07-01,66.1906,9301.8775,2024-08-01,75.2669,84426.63,13.71,31
MSTR,2024-04-01,163.4714,4510.636,2024-08-01,150.9742,-56370.32,-7.64,122
RIVN,2024-08-01,15.2171,45344.776,2024-09-01,14.0988,-50709.06,-7.35,31
ARGX,2024-08-01,516.8437,1335.0574,2024-09-01,516.9235,106.54,0.02,31
INSM,2024-09-01,76.3253,8694.4993,2024-10-01,72.8805,-29950.81,-4.51,30
SMMT,2024-10-01,20.0898,29418.6747,2024-11-01,18.9415,-33781.46,-5.72,31
ASTS,2024-09-01,28.9964,601.9605,2024-11-01,23.8042,-3125.5,-17.91,61
APP,2024-11-01,163.2647,899.2904,2024-12-01,327.9573,148106.48,100.87,30
ASTS,2024-09-01,28.9964,23968.4955,2024-12-01,23.245,-137852.4,-19.83,91
RKLB,2024-12-01,25.6314,120.2867,2025-01-01,25.4218,-25.21,-0.82,31
RKLB,2024-12-01,25.6314,9.1508,2025-02-01,29.0164,30.98,13.21,62
RKLB,2024-12-01,25.6314,33078.3798,2025-03-01,20.4492,-171418.78,-20.22,90
APP,2024-11-01,163.2647,262.073,2025-03-01,325.6508,42557.01,99.46,120
APP,2024-11-01,163.2647,2339.2243,2025-04-01,282.1161,278020.08,72.8,151
RGTI,2025-03-01,8.4273,2907.8896,2025-04-01,7.7883,-1858.14,-7.58,31
RGTI,2025-03-01,8.4273,87485.2692,2025-05-01,9.1063,59402.5,8.06,61
CRWV,2025-05-01,44.2135,5454.5113,2025-06-01,111.0631,364631.9,151.2,31
OKTA,2025-04-01,104.5129,6822.4425,2025-06-01,103.0651,-9877.53,-1.39,61
PLTR,2025-06-01,131.7121,9928.2971,2025-07-01,130.4739,-12293.22,-0.94,30
CRWV,2025-05-01,44.2135,1736.498,2025-07-01,155.7959,193762.61,252.37,61
NVTS,2025-07-01,6.2506,250188.7198,2025-08-01,7.948,424670.33,27.16,31
CRDO,2025-08-01,107.3786,969.5718,2025-09-01,122.8654,15015.56,14.42,31
CRWV,2025-05-01,44.2135,14567.4775,2025-09-01,102.8554,854264.56,132.63,123
CRDO,2025-08-01,107.3786,13138.6945,2025-10-01,144.6826,490125.86,34.74,61
IREN,2025-09-01,26.4302,10347.4864,2025-10-01,47.0093,212941.96,77.86,30
SATS,2025-10-01,79.3607,30049.9261,2025-11-01,73.0902,-188428.06,-7.9,31
IREN,2025-09-01,26.4302,6474.5132,2025-11-01,58.0328,204611.45,119.57,61
CIFR,2025-11-01,19.0314,16509.8426,2025-12-01,19.6504,10219.59,3.25,30
IREN,2025-09-01,26.4302,44255.5161,2025-12-01,45.3518,837385.17,71.59,91
CIFR,2025-11-01,19.0314,118439.3213,2026-01-01,14.7178,-510899.86,-22.67,61
SNDK,2025-12-01,209.7848,1875.2571,2026-01-01,236.8641,50780.65,12.91,31
SNDK,2025-12-01,209.7848,2589.1541,2026-02-01,573.4985,941710.82,173.37,62
LITE,2026-01-01,368.0671,1856.1234,2026-03-01,701.1201,618187.47,90.49,59
LITE,2026-01-01,368.0671,3.3983,2026-04-01,764.1101,1345.87,107.6,90
SNDK,2025-12-01,209.7848,1194.8766,2026-05-01,1187.62,1168392.41,466.11,151
LITE,2026-01-01,368.0671,9354.5744,2026-06-01,904.72,5020159.5,145.8,151
SNDK,2025-12-01,209.7848,1337.4513,2026-06-01,1761.16,2074888.74,739.51,182
